Regulator	Target	MI
SPON1	NT-pro-BNP	0.21954500643742225
SPON1	CXCL8	0.3031369630189795
SPON1	IL20	0.043570588845379454
SPON1	FBLN1	0.2209981829989376
SPON1	AGER	0.2686969664336978
SPON1	FGF21	0.14327350699296204
SPON1	TNFRSF10B	0.3719662585901542
SPON1	FASN	0.3267674742357771
PGLYRP2	C7	0.3648492710118827
PGLYRP2	AMBP	0.41900081953511403
PGLYRP2	ALB	0.380346917124176
PGLYRP2	SHBG	0.35826534454166126
PGLYRP2	GC	0.40647544372783706
C4BPA	FCN3	0.343630841683928
C4BPA	CFI	0.5204767665135801
C4BPA	TF	0.3084952893902848
C4BPA	THRB	0.4588157033250644
C4BPA	CPN2	0.4096900512641106
SLC4A1	IGHG4	0.2297194360800976
SLC4A1	C7	0.2717629570319522
SLC4A1	APOL1	0.29817548608484756
SLC4A1	AGT	0.2842555085378349
TNFSF10	CLU	0.09379836506285688
TNFSF10	DNER	0.35191420675635854
TNFSF10	PLAUR	0.2825092776869029
TNFSF10	CMA1	0.2167943483384578
TNFSF10	CXCL11	0.17737173021705033
IL12B	CCL4L1	0.2668490237021812
IL12B	TNFRSF9	0.39989591484591536
IL12B	AGT	0.16870972653652672
TNFSF11	NT-pro-BNP	0.10885015590948388
TNFSF11	AGER	0.17182897003894748
TNFSF11	TTR	0.09874168332600775
TNFSF11	FGF23	0.14072368745342523
TNFSF11	CMA1	0.2541720799877112
TNFSF11	IL16	0.14862689722518052
IL15RA	SLAMF1	0.32830741092265914
IL15RA	CCL28	0.32876099252761826
IL1R1	C3	0.14731831352440672
IL1R1	CCL3	0.3086018493020575
IL1R1	FABP4	0.3061135915644275
SERPINF1	F13A1	0.31462582637228476
SERPINF1	IGHG1	0.3195381294766948
SERPINF1	VTN	0.3741443176830881
SERPINF1	C5	0.38283342326192127
SERPINF1	C6	0.3660257985050617
SERPINF1	AMBP	0.42076749547016057
SERPINF1	APOA4	0.28022985802603273
SERPINF1	TNFRSF1B	0.15156263173912254
SERPINF1	IL10RB	0.18209111673493705
SERPINF1	APOC1	0.3373098805127075
SERPINF1	IL17C	0.09258995891562449
SERPINF2	C6	0.3997163903810508
SERPINF2	MBL2	0.3397813154891356
SERPINF2	ITIH1	0.5984957657698011
FLT3LG	ORM1	0.15046427918722927
FLT3LG	CSTB	0.15241945014505998
FLT3LG	IL10RB	0.2862504398540304
FLT3LG	ADA	0.24590516252238626
RNASE3	IGHM	0.14491405477586028
RNASE3	DNER	0.16464649848746493
RNASE3	OLR1	0.4666439113079548
RNASE3	LEP	0.1708828053377367
DKK1	CXCL6	0.41755623941213127
DKK1	CD274	0.7071355359515836
DKK1	XPNPEP2	0.0886415196738426
PRAP1	HGF	0.3570677743254551
PRAP1	TNFRSF11B	0.37112958246031447
PRAP1	IL27	0.3457508366536395
PRAP1	OLR1	0.29315628074126376
PRAP1	TNFRSF1A	0.5325918618440495
AZGP1	RBP4	0.3105071178923664
AZGP1	SELENOP	0.25540288969523406
AZGP1	APOD	0.29564397811141774
AZGP1	TNFRSF10B	0.13986434569759165
AZGP1	HBD	0.27772461358578404
AZGP1	MMP3	0.2050574718419904
AZGP1	APOA4	0.34624468435374123
AZGP1	ERVMER34-1	0.2968334644516508
RBP4	AZGP1	0.31899492049562195
RBP4	APOH	0.3897841390581993
RBP4	FN1	0.290244729205285
RBP4	JCHAIN	0.26364043856476815
RBP4	APOC3	0.3678026679492028
PAPPA	TNFRSF11B	0.13812300529965071
PAPPA	ESM1	0.18551638090106604
PAPPA	CTSL	0.12332650698526937
PAPPA	MMP3	0.1641307187114478
PAPPA	LEP	0.17631346874714549
SERPING1	F13A1	0.38052232359001437
SERPING1	KNG1	0.5192427088967424
SERPING1	CCL19	0.14071881260512864
CFB	CFI	0.5431994835932885
CFB	C2	0.5070073475356409
CFB	MRS2	0.4610844819776716
CFB	IGHM	0.2917022591299867
CFB	AHSG	0.378945545548409
CFB	OSM	0.15735605704458333
CFB	C1QC	0.4524116427579381
CFH	CFI	0.5599893430395237
CFH	C5	0.4558184345268703
CFH	C6	0.5101152760367542
CFH	ALB	0.3518905550620772
CFH	C8A	0.5287921288771189
CFH	OLR1	0.19454248578997557
CFH	SERPIND1	0.5754015090499527
CFI	C4BPA	0.5158511682962708
CFI	IGHG2	0.3818810489921498
CFI	CFB	0.532914649582632
CFI	CFH	0.5559140431709171
CFI	C3	0.48806106596660737
CFI	GH1	0.09920425247899267
CFI	C1R	0.5086849542898211
CFI	PLG	0.461148190588478
CFI	ERVMER34-1	0.5175855782787044
CFI	CCL20	0.12331387253822879
IL20RA	IL20	0.18032953485320835
IL20RA	IL24	0.17105401517934293
IL20RA	IL13	0.13033765434840827
IL20RA	LTA	0.09234429160400914
IL20RA	ITIH4	0.13386347512828856
IL20RA	SLAMF1	0.16917289276790815
PDGFB	HPR	0.06420913239482484
PDGFB	FGF5	0.22098905457014517
PDGFB	CTSL	0.17718218418557274
PDGFB	IL1A	0.1171262778743074
PDGFB	IL17A	0.17753151083785568
TGFA	MMP7	0.14093415593444458
TGFA	SELPLG	0.13673159879807972
TGFA	CST5	0.30814035405873863
TGFA	NTF3	0.2541357374767763
TGFA	CCL25	0.25350696398713346
TGFA	TNFRSF9	0.3726148389575119
TGFA	OSM	0.3367102130125792
TGFA	GDNF	0.3338965846005104
TGFA	IL7	0.24196594311192943
TGFA	XPNPEP2	0.15586763149911143
TGFA	CCL28	0.3331795514318925
A1BG	C2	0.460366444048125
A1BG	C6	0.4094565207070806
A1BG	CHI3L1	0.14285740136805103
A1BG	C1S	0.4439583497112283
A1BG	SAA4	0.4156425087296123
HPR	IGHG3	0.30904907299962225
HPR	APOM	0.4969951840188269
HPR	APOD	0.25202573777991333
HPR	TF	0.2908511827327951
HPR	MRS2	0.3728673343216773
HPR	JCHAIN	0.2833126367676151
HPR	HBA1	0.2778224273992276
HPR	APOL1	0.7046941362700361
C2	CFB	0.5227817315882097
C2	A1BG	0.4965196176381683
C2	C3	0.45447671481885443
C2	PSPHP1	0.5130555260646359
C2	ORM1	0.42643940971381866
C2	ITIH4	0.4771114285465643
C2	ERVMER34-1	0.48676800315844115
KLK6	HSPB1	0.0763788505798022
KLK6	GAL	0.14499293456942564
KLK6	AGER	0.1797790747927639
KLK6	TNFSF12	0.09750006047106474
KLK6	TNFRSF10B	0.22217567843487895
C3	PLAT	0.2835199486575464
C3	IL1R1	0.14731831352440672
C3	CFI	0.48993555743420103
C3	C5	0.4880479450457589
C3	SERPINA6	0.3891464598917773
C3	C1S	0.37642658009699304
C3	SERPIND1	0.45997179971195745
SULT1A1	CXCL5	0.5805014466053997
SULT1A1	STAMBP	0.9032806705645386
SULT1A1	STOM	0.1778866440085869
SULT1A1	APOL1	0.15312626660775575
SULT1A1	CD40LG	0.4905307401208727
C5	SERPINF1	0.3897636074282804
C5	CFH	0.4596856265452205
C5	C3	0.47387189009317865
C5	APOE	0.3479491165543642
C5	IGHA1	0.27546078222303905
C5	SERPINA3	0.46179074301359346
C5	FGA	0.45916747276157377
C5	AGT	0.3881646824671119
APOM	HPR	0.49634961304974556
APOM	IGHA1	0.2669173213743292
APOM	AMBP	0.30231133561755286
APOM	APOA2	0.4398971854510636
C6	CXCL16	0.12714560517713291
C6	SERPINF1	0.3723355701402582
C6	SERPINF2	0.3999665821236409
C6	CFH	0.5028016974385752
C6	A1BG	0.42351402401722904
C6	FGG	0.43190829493654803
C7	FCN3	0.31658590748416326
C7	PGLYRP2	0.35747280761568323
C7	SLC4A1	0.2771440493683093
C7	APOB	0.36122560495750466
C7	FN1	0.3011232065017211
C7	TTR	0.4165688829548557
C7	GDF15	0.23372178516074715
APOH	RBP4	0.3892197714250756
APOH	KNG1	0.4791999688106232
APOH	ERVMER34-1	0.511080501065666
APOH	FABP4	0.24957081681529925
APOH	CD6	0.09328288843731691
Total-IGHG	IGHG3	0.2984863307930725
Total-IGHG	IGHG1	0.6899390947745028
Total-IGHG	IGHG2	0.38894183557598705
Total-IGHG	LPA	0.25840205205891564
Total-IGHG	FBLN1	0.2960391752222362
Total-IGHG	FGA	0.2794059816748691
Total-IGHG	C1S	0.28926466596150835
Total-IGHG	APOL1	0.2764646055610873
Total-IGHG	GC	0.3238204717191788
S100A12	ORM1	0.2354205006688117
S100A12	CXCL1	0.13890109748468227
S100A12	OLR1	0.409658743586931
S100A12	MMP3	0.14433880784713615
S100A12	IL16	0.21131796680825143
S100A12	MMP10	0.1173214817463899
S100A12	LTA	0.12844689116701513
APOD	AZGP1	0.29959881976421254
APOD	VTN	0.2740448113340985
APOD	REN	0.1308108805352397
APOD	HRG	0.2911841120407068
APOD	GSN	0.2818557843365319
APOE	C5	0.34202478167778416
APOE	GAL	0.14458866841700857
APOE	PLG	0.39820058400726666
APOE	APOC2	0.4996809284944117
APOB	F13A1	0.38353596610286456
APOB	VTN	0.3654047383252994
APOB	C7	0.36231610958544636
APOB	HBD	0.36382967916525466
APOB	SERPINA6	0.39836364533621627
APOB	CCL2	0.12870968783391756
