Regulator	Target	MI
SPON1	ESM1	0.21946240002155992
SPON1	TNFRSF11B	0.30031787148446387
SPON1	AGER	0.21173406705868203
SPON1	TNFRSF10B	0.27895037431003455
SPON1	GH1	0.17056480792129936
SPON1	C1QC	0.22246908034206214
PGLYRP2	FCN3	0.319038060822308
PGLYRP2	APOH	0.48663918146989715
PGLYRP2	SERPINA7	0.3806122975142756
PGLYRP2	APOA1	0.39995151162063447
C4BPA	PAPPA	0.1237989007833944
C4BPA	CFI	0.5191223169689705
C4BPA	C2	0.5145397143646573
C4BPA	APOH	0.5436518341734606
C4BPA	THRB	0.5123315071660342
C4BPA	SERPINA6	0.4396855147983123
C4BPA	ORM2	0.460496820408836
C4BPA	IL1A	0.06771080568629184
C4BPA	ITIH4	0.5928435967236938
SLC4A1	SERPING1	0.3073738236803196
SLC4A1	APOB	0.27938453506912975
SLC4A1	FN1	0.28967510646766215
SLC4A1	CCL19	0.15876794554451568
TNFSF10	DNER	0.2970458940328058
TNFSF10	PLAUR	0.1963342441097451
TNFSF10	AGER	0.10284333101895715
TNFSF10	KNG1	0.12498076952494763
TNFSF10	CMA1	0.4102203064806291
TNFSF10	CD244	0.2899108330250293
IL12B	SERPING1	0.1993945868949547
IL12B	CXCL10	0.23798587051509124
IL12B	CD5	0.29825845497380676
TNFSF11	CCL13	0.09241233513793912
TNFSF11	SELPLG	0.07344658563043893
TNFSF11	CCL20	0.08852093204169798
TNFSF11	CMA1	0.15133846696528863
TNFSF11	APOA2	0.09526179043682337
TNFSF11	CDCP1	0.09546002126435305
TNFSF11	FABP4	0.09734645342834103
TNFSF11	LTA	0.05411479687435872
IL15RA	FLT3LG	0.24897802075871933
IL15RA	IL20RA	0.16785153681396814
IL15RA	CCL7	0.2764555215795923
IL15RA	TNFRSF9	0.2826131008493311
IL1R1	SELE	0.2527212218017745
IL1R1	FABP4	0.3299953200763017
IL1R1	C1QC	0.14750801679307735
SERPINF1	TIMELESS	0.1365414976761974
SERPINF1	VTN	0.41928330218271004
SERPINF1	TNFRSF1B	0.13580807122008398
SERPINF2	SELENOP	0.3852095311327508
SERPINF2	VTN	0.4606558076512721
SERPINF2	APOE	0.3466868373022427
SERPINF2	CHI3L1	0.08615481816006731
SERPINF2	SERPINC1	0.3618487233776335
SERPINF2	ITIH1	0.5400170260537527
FLT3LG	C4BPA	0.12557261223140603
FLT3LG	IGHG4	0.1207638136692939
FLT3LG	IL15RA	0.24330643292492393
FLT3LG	FST	0.13963564557422092
FLT3LG	LIFR	0.2777924308820561
FLT3LG	CCL11	0.2687574511759454
FLT3LG	NTF3	0.23363128699101754
FLT3LG	CXCL10	0.19901550216037922
RNASE3	CXCL9	0.15035271075444356
RNASE3	OLR1	0.31290745281190535
RNASE3	LEP	0.15541233477022143
RNASE3	C1QC	0.1291187863393759
DKK1	F2R	0.4915540643534557
DKK1	CD274	0.6825360479457885
DKK1	SELPLG	0.10207367835940584
PRAP1	MPO	0.2331172221721829
PRAP1	TNFRSF1A	0.6016492299001888
PRAP1	MMP12	0.2386890621384028
PRAP1	ITIH1	0.11343560181738432
AZGP1	SERPING1	0.3214352460201235
AZGP1	APOD	0.30698358186696684
AZGP1	SERPINA3	0.3180057591567591
AZGP1	APOA4	0.37150843687633284
AZGP1	TNFRSF1A	0.18561107161885992
AZGP1	AGT	0.5662376081596285
RBP4	F13A1	0.35097128965064606
RBP4	HBE1	0.2860430795183069
RBP4	VTN	0.39320586556278325
RBP4	IGHA2	0.3115938239036806
RBP4	SHBG	0.29967555345781793
RBP4	MBL2	0.2664235917569213
RBP4	TTR	0.34141525502208303
PAPPA	TGFA	0.1365017131176769
PAPPA	C4BPA	0.1237989007833944
PAPPA	PGF	0.23079872027879134
PAPPA	CDCP1	0.14848418068601443
SERPING1	SLC4A1	0.32220667974920847
SERPING1	CLU	0.42037614573415993
SERPING1	IL12B	0.1993945868949547
SERPING1	AZGP1	0.3210616631321068
SERPING1	KNG1	0.42903151011469376
SERPING1	MBL2	0.29797247901554247
SERPING1	GPX3	0.35516540438302435
SERPING1	CLEC3B	0.39406372459997474
SERPING1	IL33	0.053184810375397795
CFB	CFI	0.507407164550906
CFB	C2	0.5559088012250388
CFB	GDNF	0.10799638507847131
CFB	OLR1	0.13751485086797022
CFB	C1R	0.4237055523198343
CFH	F13A1	0.32655022063795514
CFH	PLAT	0.2292556347953809
CFH	CFI	0.605239705791556
CFH	C5	0.5153984769547968
CFH	FGG	0.4485702954806632
CFH	C1R	0.44973777885448296
CFH	SERPIND1	0.5369023063209619
CFI	C4BPA	0.5202507312149143
CFI	CFH	0.6012935919810127
CFI	ERVMER34-1	0.5833839238170784
CFI	LEP	0.19265233022357542
CFI	IL17C	0.09993034698652359
IL20RA	IL20	0.175352235611423
IL20RA	TNF	0.1539993983551442
IL20RA	NRTN	0.17557571704997876
IL20RA	IL15RA	0.17796114707450617
IL20RA	IL1A	0.15246211234640406
IL20RA	APOH	0.08422478523311483
IL20RA	IL4	0.06743864052074322
PDGFB	IL10RA	0.1666002490334879
PDGFB	IL22RA1	0.17980436596148142
PDGFB	IL7	0.20356398641506335
TGFA	PRL	0.07020785539883612
TGFA	PLAUR	0.34638314987858987
TGFA	PAPPA	0.1365017131176769
TGFA	CST5	0.22027666058634576
TGFA	KLK6	0.11392150404697432
TGFA	C6	0.09615794069861128
TGFA	NTF3	0.25600571522156645
TGFA	CCL19	0.2724969098328742
TGFA	IL10RB	0.38541832782563823
TGFA	OSM	0.38652049616586837
TGFA	VEGFA	0.12923824200410738
TGFA	GDNF	0.41465377005438064
TGFA	IL7	0.2261300200127767
TGFA	CCL28	0.42970128933594864
TGFA	IL17A	0.22151048137454854
A1BG	IL15RA	0.08287041429414632
A1BG	BDNF	0.10073458780884526
A1BG	IGHM	0.3419878845458184
A1BG	SERPINA3	0.40406986121621813
A1BG	SERPINA7	0.39541478197563595
A1BG	ERVMER34-1	0.4476100214339329
HPR	FGF5	0.17786115154788984
HPR	IGHG3	0.26606195813761513
HPR	Total-IGHG	0.33663138439484364
HPR	AMBP	0.3132098070876639
HPR	APOA2	0.3359055955105976
HPR	CCL13	0.1452466074256602
HPR	APOL1	0.6229453618692835
HPR	PF4	0.29814454046640915
C2	C4BPA	0.510351948446222
C2	LPA	0.3101286370353131
C2	CFB	0.5634923765586812
C2	MRS2	0.48667592162577833
C2	ERVMER34-1	0.58417853435129
KLK6	TGFA	0.11392150404697432
KLK6	HBD	0.09504221868230722
KLK6	MMP3	0.19489021112388816
KLK6	TNFRSF1B	0.23911411624371848
KLK6	KLK11	0.2821272833704427
KLK6	GAL	0.1536200624715578
C3	VTN	0.4451837537533594
C3	APOB	0.40915807819032146
C3	ITIH4	0.5339383635123482
C3	NTF3	0.1255343479359574
C3	OSM	0.1360506652389084
SULT1A1	CXCL5	0.5693503985480763
SULT1A1	STAMBP	0.8607607949053655
SULT1A1	ARTN	0.05703930997678075
C5	CFH	0.506767389287412
C5	SERPINA3	0.5249492201160333
C5	C8A	0.4974544323412182
APOM	CP	0.27629932095131515
APOM	CXCL10	0.1168376980255239
APOM	SERPIND1	0.31234818551463306
APOM	APOC1	0.45429276776563476
C6	PSPHP1	0.46807283712085734
C6	C1S	0.42454073275124316
C7	SHBG	0.30116863171863706
C7	ITIH4	0.5172741503815841
C7	AFM	0.34617728625246524
C7	GDF15	0.21003836050387914
C7	CD40LG	0.11358382224713992
APOH	PGLYRP2	0.4964844421473469
APOH	C4BPA	0.5285951093382106
APOH	IGHG2	0.2551448097197868
APOH	KNG1	0.38794761805444455
APOH	IGHM	0.3110288195614759
APOH	CLEC3B	0.3967479214217553
APOH	STOM	0.3455416267294087
APOH	ABCF1	0.29013720478739025
APOH	ERVMER34-1	0.5559265139154776
APOH	AGT	0.4383792106990123
APOH	APOC2	0.35867241494684343
