Regulator	Target	MI
SPON1	HSPB1	0.20589782487316732
SPON1	FST	0.20026505837833675
SPON1	TNFRSF11B	0.3418015507026073
PGLYRP2	CLU	0.4322988756739843
PGLYRP2	KNG1	0.3787145456259875
PGLYRP2	CLEC3B	0.4027690608390744
PGLYRP2	IL17A	0.12639934967274957
C4BPA	CFI	0.5725993476954434
C4BPA	C2	0.5331371467717254
C4BPA	THRB	0.4761805587317305
C4BPA	ORM2	0.45721232870042794
C4BPA	SERPIND1	0.47272416622626334
SLC4A1	Total-IGHG	0.24267092401724355
SLC4A1	HBA1	0.34521700505799924
SLC4A1	NGF	0.0803963204184246
SLC4A1	ITIH4	0.2924588547092597
TNFSF10	CXCL9	0.1863885359294537
TNFSF10	DNER	0.2721118909142639
TNFSF10	TGFA	0.264681728594522
TNFSF10	KNG1	0.14164425871851627
TNFSF10	TGFB1	0.19047470673892253
TNFSF10	BDNF	0.1758346495472214
TNFSF10	CMA1	0.21636625532441744
TNFSF10	CD6	0.23084150943141868
IL12B	CXCL9	0.2439769909153897
IL12B	NPPB	0.10363564496858046
IL12B	GAL	0.21478609801118864
IL12B	TNFRSF9	0.31569739481601733
IL12B	GH1	0.13905490296827594
IL12B	CD6	0.20198571592422976
TNFSF11	SELPLG	0.11167545368446241
TNFSF11	CMA1	0.21376412808223577
TNFSF11	KITLG	0.13845890815379303
TNFSF11	SHBG	0.12678325738285867
IL15RA	TGFA	0.2946663131879177
IL15RA	APOE	0.1016925086002507
IL15RA	SLAMF1	0.36536993513916904
IL1R1	CSF1	0.25862616496184376
IL1R1	CCL7	0.14653967714571792
IL1R1	CMA1	0.16008883057858103
IL1R1	FABP4	0.24897560658117524
SERPINF1	AZGP1	0.3743960447618546
SERPINF1	CFI	0.3449140939461506
SERPINF1	APOH	0.3284370750116139
SERPINF1	Total-IGHG	0.27909771391363414
SERPINF1	GPX3	0.2996012029393036
SERPINF1	TNFRSF1A	0.19540667299428804
SERPINF2	CXCL16	0.12918291870835574
SERPINF2	C6	0.4454643223172612
SERPINF2	CXCL10	0.14598861978070765
SERPINF2	THRB	0.47093093832919397
SERPINF2	SERPINC1	0.3412605578626762
SERPINF2	ITIH1	0.5351423375262945
SERPINF2	AGT	0.4028508011870029
SERPINF2	KITLG	0.10332332442733527
FLT3LG	CDCP1	0.2596296301089529
FLT3LG	MUC16	0.06597207892516455
FLT3LG	IL10RB	0.30185824745475465
FLT3LG	OSM	0.21375244133075189
FLT3LG	KITLG	0.10722430198727206
FLT3LG	CCL28	0.19234830100241052
RNASE3	MPO	0.3715229143442791
RNASE3	IL16	0.18236853167790468
RNASE3	C5	0.12336296118934076
RNASE3	CCL7	0.19224969828698857
DKK1	CXCL5	0.4804300402453823
DKK1	CD274	0.7164359647176726
PRAP1	RBP4	0.13732203435657375
PRAP1	TNFRSF11B	0.3185786598257172
PRAP1	AGER	0.24813193594969096
PRAP1	CXCL10	0.21022003899218777
PRAP1	NT-pro-BNP	0.22647270850401036
PRAP1	IL27	0.27963727248884496
PRAP1	DNER	0.15785459259925005
PRAP1	OLR1	0.2791775950286368
PRAP1	TNFRSF1A	0.5481256762791222
PRAP1	MMP12	0.26098527554254414
PRAP1	CSTB	0.4147992269191976
PRAP1	VEGFD	0.24499703129951644
PRAP1	C1QC	0.12829377224811367
AZGP1	SERPINF1	0.3743960447618546
AZGP1	RBP4	0.38265759148115386
AZGP1	LPA	0.26206659106349584
AZGP1	ORM1	0.37126700225699594
AZGP1	APOA4	0.3422099122348259
AZGP1	ITIH1	0.37919994227014087
AZGP1	GC	0.3222172661790026
AZGP1	GSN	0.3578476132998727
AZGP1	IL17C	0.09728392391318685
AZGP1	C1QC	0.29224698396574045
RBP4	PRAP1	0.13732203435657375
RBP4	AZGP1	0.3894041130382426
RBP4	SERPING1	0.399635036742632
RBP4	APOB	0.34062623029922
RBP4	FN1	0.30895689530324244
RBP4	ERVMER34-1	0.3473671354164196
RBP4	APOC3	0.37372913712202305
RBP4	KLKB1	0.30169334487433286
PAPPA	PRL	0.19674428541997546
PAPPA	ESM1	0.1530025373817141
PAPPA	MB	0.1356708868928438
PAPPA	HGF	0.20792485323434384
PAPPA	SERPIND1	0.1400019389849092
SERPING1	FCN3	0.2738092362654392
SERPING1	IGHG2	0.2585508553665381
SERPING1	RBP4	0.39834151345282276
SERPING1	KNG1	0.47720407024297273
SERPING1	APOM	0.36310846540680775
SERPING1	CCL20	0.12734906995899475
CFB	PLAT	0.1649102357027985
CFB	CFI	0.4909849888148079
CFB	C2	0.6040185106941438
