Regulator	Target	MI
SPON1	CXCL8	0.30764096509675554
SPON1	HBD	0.10930255307879921
SPON1	CXCL16	0.27510449757331035
SPON1	MMP7	0.3374283390778654
SPON1	TNFRSF1B	0.33787947408321894
SPON1	AGER	0.24656421305303144
SPON1	CST5	0.09499347875497044
PGLYRP2	CLU	0.4441194602124474
PGLYRP2	FBLN1	0.2579331707571013
PGLYRP2	CLEC3B	0.377556036619497
C4BPA	CLU	0.4363262106376711
C4BPA	CFI	0.4845010392503548
C4BPA	C2	0.4725632849361512
C4BPA	APOE	0.42104242259748403
C4BPA	IGHA2	0.34328788239893093
C4BPA	GDNF	0.17386792167063536
C4BPA	SERPINA3	0.45336933524533496
C4BPA	ORM2	0.47151042620043704
SLC4A1	LPA	0.4014455722055139
SLC4A1	FBLN1	0.29896490396082065
SLC4A1	VTN	0.3057082084798708
SLC4A1	APOM	0.3005230076743146
SLC4A1	MBL2	0.2738426508144389
SLC4A1	CLEC3B	0.36278874429968866
SLC4A1	GC	0.32848896766545543
TNFSF10	AGER	0.10539686452046393
TNFSF10	CLEC3B	0.17249697126411956
TNFSF10	BDNF	0.15233277607207096
TNFSF10	CMA1	0.32626603130134946
TNFSF10	TNFSF12	0.26425142648974553
IL12B	ESM1	0.1224218205734724
IL12B	MMP1	0.16783976333587258
IL12B	TNFRSF9	0.4949076944026283
IL12B	CXCL11	0.23752050504852296
TNFSF11	SERPINA6	0.12002494111453377
TNFSF11	CXCL5	0.10949867940819935
TNFSF11	CDCP1	0.0757949616793514
TNFSF11	FGF23	0.1304598107542585
TNFSF11	CMA1	0.29794049757488583
TNFSF11	IL6	0.15152673126267135
TNFSF11	AGRP	0.10227554112703352
TNFSF11	TEK	0.132644440225687
IL15RA	FGF5	0.32361680469831544
IL15RA	PRAP1	0.22794846972916538
IL15RA	KNG1	0.13544427832114359
IL15RA	SLAMF1	0.2740237011096802
IL15RA	IL7	0.2314916493497643
IL1R1	HGF	0.3231757724165121
IL1R1	TNFRSF1B	0.27908943189352353
IL1R1	CFH	0.24751631558386222
IL1R1	KLK6	0.13488607969576627
IL1R1	CCL20	0.1930160319362333
IL1R1	FABP4	0.4575414898907395
IL1R1	IL7	0.20793597629810812
IL1R1	ADA	0.1561095775834609
SERPINF1	FCN3	0.34268819630327396
SERPINF1	AZGP1	0.31346736861797453
SERPINF1	APOH	0.3776106656260856
SERPINF1	APOD	0.26701242451011886
SERPINF1	APOE	0.2952744390208526
SERPINF1	SHBG	0.33166514625851207
SERPINF1	TNFRSF1A	0.1657736918459003
SERPINF1	IL2RB	0.04864620371905559
SERPINF2	VTN	0.5075817679491896
SERPINF2	THRB	0.43946510979771514
SERPINF2	C1R	0.3927817582918154
SERPINF2	PLG	0.45520368144565104
SERPINF2	ITIH1	0.5321839400016257
SERPINF2	VEGFD	0.09838796048772558
FLT3LG	PLAUR	0.23180785683261895
FLT3LG	C1R	0.11687596256050892
FLT3LG	CCL2	0.13521035156553385
FLT3LG	GH1	0.10809738989238848
RNASE3	OLR1	0.41071675448388767
RNASE3	IL16	0.26326273795429334
RNASE3	ITIH2	0.1108311970773137
DKK1	CXCL1	0.6172529327936962
PRAP1	NPPB	0.1457420650168606
PRAP1	IL15RA	0.2334092641907013
PRAP1	HGF	0.3476551330309725
PRAP1	TNFRSF10B	0.4939096546225521
PRAP1	IL6	0.3207687963128443
PRAP1	OLR1	0.3148927772313588
PRAP1	TNFRSF1A	0.5479317704495124
AZGP1	SERPINF1	0.31322830694346226
AZGP1	APOA4	0.35404606840320696
AZGP1	CSTB	0.17075495424546716
AZGP1	ITIH1	0.42595874186473637
AZGP1	APOC3	0.3812574455065141
AZGP1	AGT	0.3964684483278482
AZGP1	LRG1	0.3400474252136165
RBP4	NPPB	0.14837400163571868
RBP4	ORM1	0.267405106393964
RBP4	AFM	0.3141274678268706
RBP4	TTR	0.4789317070990089
RBP4	IL10RB	0.12075880072603962
RBP4	APOC3	0.5014196330239065
PAPPA	CXCL8	0.19101219469769948
PAPPA	ESM1	0.1673393202663176
PAPPA	GAL	0.10642601465879853
PAPPA	CCL3	0.21045930777939859
PAPPA	KLKB1	0.18950693934845741
SERPING1	APOD	0.36711971411805333
SERPING1	C1S	0.3699177614344311
SERPING1	SERPINC1	0.47558981279742873
CFB	CFH	0.48101452789865107
CFB	C2	0.5505853224501394
CFB	MRS2	0.48736499903267916
CFB	C8A	0.47225487598031624
CFB	MMP10	0.13360393301607765
CFB	ITIH4	0.4518935158320607
CFH	PLAT	0.23679165012880699
CFH	IL1R1	0.2387732286076698
CFH	CFI	0.6410078011058262
CFH	C3	0.44938308739842103
CFH	C5	0.583327793256589
CFH	IGHA1	0.3016603005095808
CFH	IGHM	0.3637849234186987
CFH	U6	0.22238460225815349
CFH	FGA	0.484272237429483
CFH	AHSG	0.4400481054705718
CFH	ITIH1	0.47250754824378927
CFH	CCL7	0.2261312617860689
CFH	CCL4	0.18975675285357152
CFH	SERPIND1	0.5815815395863471
CFH	APOC3	0.3876160512168809
CFH	LEP	0.3115893859048615
CFI	C4BPA	0.49230907699612825
CFI	CFB	0.4742927205686698
CFI	CFH	0.656184370442892
CFI	VTN	0.5296135937719892
CFI	SERPINA6	0.46728202411836506
CFI	CHI3L1	0.15145257493467135
CFI	C1S	0.48177438878437595
CFI	ERVMER34-1	0.6541075538865622
CFI	FABP4	0.22578730771581057
CFI	IL18R1	0.13227562142767368
IL20RA	HBE1	0.13431140469062086
IL20RA	SELPLG	0.10968772917276937
IL20RA	IL2	0.1368418479249005
IL20RA	IL17A	0.12671876324708453
PDGFB	FGF5	0.16755901310065902
PDGFB	IL2	0.1476812703772552
PDGFB	IL17A	0.19169457356389064
TGFA	FGF5	0.32589745513182145
TGFA	IL10	0.3614839575137401
TGFA	PLAUR	0.3384487965277865
TGFA	Total-IGHG	0.15981390741751156
TGFA	CCL23	0.19916122178976092
TGFA	TGFB1	0.26651540403734675
TGFA	IL10RB	0.39197944207843793
TGFA	OSM	0.36600567421775043
TGFA	GDNF	0.4378454275893384
TGFA	CCL28	0.320890650715544
A1BG	C2	0.6172711585392898
A1BG	IGHA2	0.3544528069056998
A1BG	AMBP	0.39079138901235666
A1BG	PSPHP1	0.48493096145498793
A1BG	IL5	0.1335574609815584
A1BG	SERPINC1	0.5337288322831997
A1BG	STOM	0.3240629434656359
A1BG	CCL23	0.1464342755001642
A1BG	SERPIND1	0.447091739675753
HPR	AZGP1	0.24956744637106087
HPR	CHI3L1	0.16506479311222133
HPR	CD5L	0.26948827755772253
HPR	APOM	0.3016119866431852
HPR	APOH	0.32074563979013515
HPR	APOL1	0.6845370015504777
C2	C4BPA	0.4731906772275867
C2	CFB	0.555781750261465
C2	A1BG	0.6101063753145235
C2	C3	0.4703204762613984
C2	C5	0.4607611202346016
C2	SERPINA7	0.4383247940591417
C2	SAA4	0.4325825743751732
C2	ABCF1	0.31108593276997176
C2	ERVMER34-1	0.5952451139457304
C2	PF4	0.42304593852658634
KLK6	IL1R1	0.13488607969576627
KLK6	APOA4	0.1661826132576243
KLK6	GAL	0.21241473412617218
KLK6	AGER	0.1829082764445502
KLK6	KLK11	0.21167966357954882
C3	CFH	0.44946431576544565
C3	KNG1	0.48959197375795505
C3	C2	0.4803143233801812
C3	APOH	0.47010073590567103
C3	APOD	0.38593188960558145
C3	HRG	0.4133000497259358
C3	HBA1	0.2909797090978774
C3	AFM	0.4364605921837166
SULT1A1	CXCL5	0.49792449076590284
SULT1A1	STAMBP	0.7061415005779414
SULT1A1	SRC	0.5816970194124984
SULT1A1	CCL8	0.24759518882472342
SULT1A1	ADA	0.35482545014813116
C5	C2	0.481897543686685
C5	SERPINA3	0.6183359858902371
C5	MBL2	0.330705028431284
C5	FGG	0.4770635382722572
C5	ITIH2	0.41253561417923645
C5	PLG	0.4778677844588568
APOM	F13A1	0.3274311112724906
APOM	SLC4A1	0.3068327793095129
APOM	IL6R	0.16660062220611405
APOM	HPR	0.3005705739844613
APOM	APOA2	0.49668721218948964
APOM	ITIH1	0.33894515006190673
APOM	APOC1	0.39740062681595223
C6	PSPHP1	0.5632617816745622
C6	LTA	0.08075417356389103
C6	SERPIND1	0.48047299437424584
C7	HBE1	0.4439228207335182
C7	IGHA1	0.28914581218322954
C7	APOA2	0.33017436509636333
C7	ITIH4	0.49666148554720735
C7	C1R	0.36072290406776286
C7	AFM	0.31738126957232105
C7	TTR	0.5083133086025606
C7	LRG1	0.368795241082184
APOH	CLU	0.47521079836924596
APOH	SERPINF1	0.37052277766326824
APOH	HPR	0.3179380572387318
APOH	C3	0.471029486331509
APOH	AMBP	0.43330655814216446
APOH	ALB	0.4277893238548085
APOH	APOC2	0.41493726736605385
Total-IGHG	IGHG3	0.36469403476321727
Total-IGHG	IGHG1	0.7767518328944316
Total-IGHG	IGHG2	0.2853704790799254
Total-IGHG	SELENOP	0.2944039568224195
Total-IGHG	SERPING1	0.29084696680395616
Total-IGHG	TGFA	0.1348845670710146
Total-IGHG	IGHA1	0.36339795652228
Total-IGHG	SERPINA6	0.3407390023816683
Total-IGHG	APOA4	0.3238017384273446
Total-IGHG	PF4	0.2753714203978932
S100A12	OLR1	0.41906515810727285
S100A12	MMP3	0.23274742597444487
S100A12	LRG1	0.20993608499790462
APOD	FGF5	0.15579020472892502
APOD	IGHG3	0.2843734075305804
APOD	SERPINF1	0.2782571173245305
APOD	SERPING1	0.35620312625578876
APOD	C3	0.39353907332173144
