Regulator	Target	MI
SPON1	NT-pro-BNP	0.20511638542494914
SPON1	MPO	0.23141554096951644
SPON1	CXCL16	0.2570484963144519
SPON1	IL6R	0.3400621864869855
SPON1	TNFRSF1B	0.3323457964015981
SPON1	TNFRSF11B	0.3475351548149419
SPON1	AGER	0.23486538630306075
PGLYRP2	KNG1	0.4067635196005206
PGLYRP2	C2	0.36888492275134954
PGLYRP2	FN1	0.25746885225856353
PGLYRP2	ALB	0.4037222767534727
PGLYRP2	AHSG	0.3551043321728429
C4BPA	CLU	0.5971640105275773
C4BPA	CFI	0.6511450035720818
C4BPA	C2	0.578749626466152
C4BPA	APOE	0.445000187094057
C4BPA	ORM1	0.33744965669457816
C4BPA	C8A	0.43323990618803077
C4BPA	GC	0.4292892180327401
C4BPA	ERVMER34-1	0.5703343531030614
C4BPA	AGRP	0.14563790908665197
SLC4A1	LPA	0.27421644074445783
SLC4A1	HPR	0.29708550801226696
SLC4A1	IGHA1	0.34415665929430794
SLC4A1	IL5	0.12168772995762911
SLC4A1	IGHM	0.380977751358782
SLC4A1	HBD	0.3539785382423837
SLC4A1	APOA1	0.31181637128253836
SLC4A1	PLG	0.36155431646181313
SLC4A1	TTR	0.35196001928687526
SLC4A1	APOC1	0.33253577858102723
TNFSF10	HBD	0.08121290835182826
TNFSF10	CXCL5	0.16151004428494797
TNFSF10	CMA1	0.3171305245799614
TNFSF10	TNFSF12	0.2626007544748168
TNFSF10	GDNF	0.28973634409104587
IL12B	TNFSF11	0.11563955056021324
IL12B	TNFRSF1B	0.2969252360215835
IL12B	FBLN1	0.13718293564296413
IL12B	CCL25	0.26827197876223163
IL12B	BDNF	0.13107100558601115
IL12B	CD5	0.3742407067824871
TNFSF11	IL12B	0.11563955056021413
TNFSF11	CMA1	0.3031892700468166
TNFSF11	GPX3	0.14749005784938873
IL15RA	FGF5	0.31161124767652115
IL15RA	SLAMF1	0.3419622333891139
IL15RA	CCL25	0.21737956709660544
IL15RA	MUC16	0.12805640248681716
IL15RA	GDF15	0.20626923558765764
IL15RA	TNFRSF9	0.3476860237421473
IL15RA	IL22RA1	0.04687272895138239
IL1R1	OLR1	0.24753607751800555
IL1R1	HGF	0.26460830119152146
IL1R1	CCL4	0.26988995045822417
IL1R1	CXCL11	0.1767361878240994
IL1R1	FABP4	0.29215021485282566
IL1R1	TEK	0.21309109960784056
SERPINF1	IGHG3	0.28146896743733585
SERPINF1	AZGP1	0.33303802566676577
SERPINF1	CFI	0.3872338278896521
SERPINF1	KNG1	0.3890671872823024
SERPINF1	FN1	0.3362954596097829
SERPINF1	PF4	0.30810174502940857
SERPINF2	TGFA	0.09996873675471374
SERPINF2	VTN	0.43033296077546357
SERPINF2	IL27	0.14874239092380392
SERPINF2	SAA4	0.343484502567609
SERPINF2	ITIH1	0.44505658328709696
SERPINF2	GC	0.4015466879707388
SERPINF2	APOC1	0.31489981056784977
FLT3LG	PLAT	0.10911588188151455
FLT3LG	CCL23	0.2641849216645813
FLT3LG	ERVMER34-1	0.10143007301087081
FLT3LG	CCL28	0.2403562406022406
FLT3LG	ADA	0.2540107523160735
RNASE3	U6	0.12650329221711765
RNASE3	MPO	0.3613527724640777
RNASE3	EGF	0.22349543864691856
RNASE3	KLK11	0.19587840860280092
RNASE3	IL6	0.23828277404885867
RNASE3	FGF19	0.12204546092266089
RNASE3	KLKB1	0.126103540998737
DKK1	CD274	0.7208678052494157
PRAP1	CXCL10	0.20840404599955598
PRAP1	GH1	0.13492412789338815
PRAP1	IL27	0.3112190923039666
PRAP1	PLAUR	0.18015405715919464
PRAP1	TNFRSF1A	0.5420095104978175
AZGP1	SERPINF1	0.3278830538760511
AZGP1	APOM	0.33517608150099765
AZGP1	AHSG	0.28320301252582425
AZGP1	PLG	0.3551202125836168
AZGP1	RETN	0.13089522214672122
AZGP1	CCL23	0.16133043694290894
AZGP1	ERVMER34-1	0.33123916017427124
RBP4	LPA	0.2819178317701585
RBP4	AGER	0.12403281624984075
RBP4	ALB	0.3331938082393524
RBP4	APOC3	0.36325268807061395
PAPPA	PGF	0.22208159029542696
PAPPA	CCL11	0.12283284149935003
SERPING1	IGHG1	0.32142846125992275
SERPING1	IGHA2	0.3186682033734325
SERPING1	ORM2	0.4494776076115068
SERPING1	SERPINC1	0.5084606064339221
SERPING1	CD5L	0.3607135729081481
SERPING1	GC	0.4852967328013067
CFB	C2	0.5471648664671447
CFB	C3	0.5121334028843858
CFB	MRS2	0.4418448881833852
CFB	SERPINA7	0.36316163613180485
CFB	C1R	0.42666841201998285
CFB	PLG	0.4712300875923239
CFB	XPNPEP2	0.12258407373318914
CFH	CFI	0.66393384826151
CFH	SERPINA3	0.4966905563585069
CFH	FGA	0.41908029958182436
CFH	C1S	0.4264175579187599
CFH	SERPIND1	0.52228800363683
CFH	LEP	0.23908057531905857
CFH	PF4	0.34873255063986086
CFI	C4BPA	0.6570693384486628
CFI	IGHG1	0.29083323780132186
CFI	SERPINF1	0.3854278177933592
CFI	CFH	0.6871360536943243
CFI	VTN	0.44689413628493213
CFI	C5	0.5117096962603149
CFI	ORM2	0.43854640433336467
IL20RA	IL15RA	0.09793843824598447
IL20RA	IL24	0.07067625196656824
IL20RA	TNF	0.09006163018005786
IL20RA	CPN2	0.07138596892623994
IL20RA	NRTN	0.09073471728776994
IL20RA	PTX3	0.06618019138563103
IL20RA	IL6R	0.044263889317065264
IL20RA	IL17A	0.09612032332046105
PDGFB	TSLP	0.055165731563274534
PDGFB	IL13	0.07364829214254165
PDGFB	SLAMF1	0.13497532425136427
TGFA	CCL4L1	0.34909780719896855
TGFA	PRL	0.13641140398149076
TGFA	IL15RA	0.33315051632488757
TGFA	SERPINF2	0.10354299143924006
TGFA	LIFR	0.384481534579864
TGFA	IL10RB	0.33826201253998445
TGFA	OSM	0.3031240316181707
TGFA	TNFRSF10B	0.2477311242866973
TGFA	FGF19	0.16463991894248764
A1BG	FBLN1	0.41114429444326905
A1BG	KNG1	0.4408301689976817
A1BG	C2	0.5463106003879759
A1BG	ITIH2	0.4332701734287845
HPR	SLC4A1	0.29847710416298057
HPR	MRS2	0.39471165379870055
HPR	APOL1	0.6150883593591212
C2	C4BPA	0.5773988133867372
C2	CFB	0.5452799210813666
C2	A1BG	0.5349258258875489
C2	PSPHP1	0.4927119808860523
C2	SERPINA6	0.4742593477774921
C2	SERPINC1	0.4435223815039677
C2	CPN2	0.43539326370679277
KLK6	THRB	0.19558344682077244
KLK6	IL6R	0.18281899052597073
KLK6	PGF	0.2680593402670466
KLK6	GAL	0.14541599240364622
KLK6	AGER	0.2303386778355998
KLK6	GSN	0.16593675440828903
C3	CFB	0.5052187906640029
C3	IGHM	0.3138627397389433
C3	ITIH4	0.4523365789129725
SULT1A1	GAL	0.09508231952614032
SULT1A1	STAMBP	0.7695447106659188
SULT1A1	CST5	0.13142714502948039
C5	CFI	0.5115867265332739
C5	APOD	0.332149418668199
C5	SERPINA3	0.4788187591666482
C5	CD6	0.11988438006733748
APOM	IGHG4	0.2838341739726875
APOM	AZGP1	0.3341321861721225
APOM	CP	0.3072575596187628
APOM	FGA	0.34798989442585526
APOM	SAA4	0.3826146867264555
APOM	AGT	0.3269613249382113
APOM	KITLG	0.15689617066282935
APOM	APOC1	0.5637438118260549
C6	CP	0.42765777428671736
C6	SERPINA3	0.4609341570026002
C6	THRB	0.4281549008475496
C6	HBD	0.3104063915315285
C6	MMP10	0.12325956546983896
C6	GAL	0.13140411114545714
C6	SAA4	0.40355348244027045
C7	HGF	0.19784209106281114
C7	IL27	0.21879202349348503
C7	HBD	0.3418897316783793
C7	ITIH4	0.500694736619046
C7	KLKB1	0.31072622576419384
APOH	CLU	0.5456256781976467
APOH	AZGP1	0.34683349984135337
APOH	RBP4	0.3164433057428342
APOH	KNG1	0.46115981687260366
APOH	APOE	0.4394292798109083
APOH	AFM	0.33277806351130224
