Regulator	Target	MI
SPON1	MPO	0.2353588781744298
SPON1	CXCL16	0.2588091137676223
SPON1	CTSL	0.2547520867593427
SPON1	LIFR	0.11356713645959982
SPON1	TNFRSF1B	0.357105923666845
SPON1	TNFRSF11B	0.36872793361893574
SPON1	VEGFA	0.30783717872580585
SPON1	GH1	0.13386911717346628
SPON1	KLKB1	0.09310275618210184
PGLYRP2	SERPINA7	0.2581741429244868
PGLYRP2	MBL2	0.27451049930521343
PGLYRP2	APOH	0.3738332851835393
PGLYRP2	IGHA1	0.2826303091957465
PGLYRP2	AGT	0.36601140446107383
C4BPA	CFI	0.5997501344277039
C4BPA	C2	0.5291349777585737
C4BPA	THRB	0.5326209012831029
C4BPA	ORM2	0.407940855879791
C4BPA	ITIH4	0.4085149076652099
C4BPA	ERVMER34-1	0.4953011790554793
C4BPA	SERPIND1	0.4952519637839705
C4BPA	AGRP	0.07621714336270813
SLC4A1	F13A1	0.29871521561367853
SLC4A1	APOE	0.2817527383159142
SLC4A1	HBA1	0.28597693494509535
SLC4A1	CPN2	0.25007287168271564
SLC4A1	GSN	0.2926023533216986
SLC4A1	KLKB1	0.26708096560583616
TNFSF10	IL24	0.07949222035208692
TNFSF10	THBD	0.11922401626127677
TNFSF10	DNER	0.3193610984488391
TNFSF10	SERPINF2	0.16710558153406385
TNFSF10	TGFA	0.233682951326732
TNFSF10	CCL4	0.14057615505004417
TNFSF10	CMA1	0.293324489354311
IL12B	CSF1	0.1961440446605529
IL12B	SERPINA7	0.19769695437650103
IL12B	CCL19	0.22658762634786633
IL12B	TNFSF14	0.16834736228963898
IL12B	TNFRSF9	0.3188502662051018
IL12B	CXCL11	0.22842160692926505
TNFSF11	CCL8	0.12141448130191623
TNFSF11	TTR	0.15256484768076017
TNFSF11	CMA1	0.2039852028353124
TNFSF11	AXIN1	0.07413805535430207
TNFSF11	LTA	0.13710093423120195
IL15RA	PLAUR	0.2454675986956376
IL15RA	TGFA	0.2779554989067341
IL15RA	STOM	0.11617017341161162
IL15RA	SLAMF1	0.24053554616851258
IL1R1	CSF1	0.22591250666444562
IL1R1	C1QB	0.16850921568118782
IL1R1	FABP4	0.365576055729246
SERPINF1	GPX3	0.27640290093315034
SERPINF1	TNFRSF1A	0.18315854164428114
SERPINF1	C1R	0.3581240347187089
SERPINF2	TNFSF10	0.1492405084949624
SERPINF2	FN1	0.3183607669621136
SERPINF2	SERPINA1	0.3664593925278785
SERPINF2	THRB	0.4805935991809065
SERPINF2	ITIH1	0.51296213507527
SERPINF2	IL1RL1	0.12460009975290376
SERPINF2	NTF3	0.11493342421518538
SERPINF2	APOL1	0.39916906367296434
SERPINF2	KLKB1	0.4214479315250719
FLT3LG	CXCL1	0.08718823964599665
FLT3LG	PLAT	0.16276675620971748
FLT3LG	DNER	0.2225008049592887
FLT3LG	IL10	0.21472908272563718
FLT3LG	PLAUR	0.3002837372327223
FLT3LG	APOB	0.16641432047264892
FLT3LG	FGF23	0.17504765441294712
FLT3LG	KLK11	0.12333088160356187
RNASE3	OLR1	0.47846220048973276
RNASE3	CSTB	0.3040359544597848
RNASE3	AFM	0.12808212198289848
RNASE3	TNFSF14	0.3036460632706719
DKK1	GAL	0.11478395047634482
DKK1	CD274	0.6876329230145162
DKK1	TNFRSF11B	0.19124424582664368
DKK1	PSPHP1	0.17478713493680686
DKK1	XPNPEP2	0.13660156022641967
PRAP1	TNFRSF11B	0.38458300296385595
PRAP1	IL27	0.28334237608026047
PRAP1	TNFRSF1A	0.5095326554815056
AZGP1	RBP4	0.3703819175960641
AZGP1	LPA	0.3455275348065312
AZGP1	Total-IGHG	0.282198736169752
AZGP1	LTA	0.1158615275497894
AZGP1	ITIH4	0.346891799393644
AZGP1	ERVMER34-1	0.31340874027666477
AZGP1	GSN	0.35974919529445337
AZGP1	APOC2	0.3088287610529692
RBP4	AZGP1	0.36969789645244155
RBP4	VTN	0.28997554566627937
RBP4	TTR	0.3496772797053236
RBP4	XPNPEP2	0.08849529484533925
PAPPA	CLU	0.2108060334333004
PAPPA	PGF	0.17749748414771815
PAPPA	SLAMF1	0.16127529895011872
SERPING1	GC	0.514161268136923
CFB	F13A1	0.39293864390649524
CFB	CFH	0.5786415198510708
CFB	C2	0.512074415571794
CFB	C6	0.5194223412405838
CFB	FGF23	0.16909616776706837
CFB	SERPINA3	0.4879203895696742
CFB	HBD	0.3300309834107429
CFB	SERPINA7	0.3869710209250856
CFB	MMP12	0.16233361297191795
CFB	C1S	0.4490436940549829
CFB	CCL20	0.196403430275101
CFH	PLAT	0.20506486044798855
CFH	CFB	0.5865406330198457
CFH	CFI	0.6007716461388144
CFH	APOE	0.4013488642768799
CFH	GSN	0.2771958753884203
CFH	KLKB1	0.39608884549699575
CFI	FCN3	0.3798105678018695
CFI	C4BPA	0.6167656451332126
CFI	HGF	0.16125658944480215
CFI	CFH	0.5878810077101067
CFI	A1BG	0.47450431063623544
CFI	VTN	0.48717077034991263
CFI	C5	0.5013050327550692
CFI	TNFSF12	0.12394926496163805
CFI	SERPINA6	0.42896676759027486
CFI	LEP	0.31949847433015055
IL20RA	IL20	0.12452224113651944
IL20RA	AMBP	0.11497459692703238
IL20RA	IL13	0.14879622560691885
IL20RA	IL2	0.1526157253985181
PDGFB	FGF5	0.12230666760853559
PDGFB	CCL7	0.12199098752603987
TGFA	TNFSF10	0.24246903533791553
TGFA	IL10	0.29927176840584124
TGFA	IL15RA	0.2779554989067341
TGFA	LIFR	0.3164929506461167
TGFA	CCL13	0.30970049901486796
TGFA	CCL11	0.236090057275538
TGFA	CCL25	0.2413263723699952
TGFA	CCL23	0.29565622799351754
TGFA	BDNF	0.15084507131989078
TGFA	IL10RB	0.3511509513766864
TGFA	GDNF	0.2760919521912264
TGFA	IL7	0.2585013871697086
TGFA	CCL28	0.46490635261268665
TGFA	IL17A	0.21181581512249004
A1BG	CFI	0.4798401995816173
A1BG	C2	0.49218274427102493
A1BG	SERPINA3	0.4718681132518867
A1BG	SERPINA7	0.3391559329438625
A1BG	KLKB1	0.3903140111165282
HPR	IGHG3	0.2945876176071174
HPR	APOM	0.3109173932988787
HPR	IGHA2	0.25963194399055833
HPR	SHBG	0.3233003528719971
HPR	IL1A	0.06738892852230816
HPR	PLG	0.3711421868102063
HPR	APOL1	0.6585347946687214
C2	C4BPA	0.5175374740855778
C2	CFB	0.5295254120724406
C2	KNG1	0.4046461109197059
C2	C3	0.5072888917900213
C2	PSPHP1	0.4696349257268233
C2	CP	0.5025572781489318
C2	CXCL10	0.14235612579232004
C2	ALB	0.35044139266706864
C2	GAL	0.12077872723034933
C2	C1QB	0.3530848486176472
KLK6	HBD	0.14744194996494198
KLK6	PGF	0.26046126816223314
KLK6	GAL	0.22394888362473697
KLK6	AGER	0.2869443389445969
KLK6	CMA1	0.20358491779737165
KLK6	KLK11	0.2603412561852494
KLK6	FGF19	0.11349158590317021
C3	C2	0.5080694150418408
C3	APOH	0.36627133438381687
C3	APOB	0.44503730845688416
C3	SERPINA6	0.40485364499854803
C3	ITIH4	0.569268962065876
C3	AFM	0.4364357328153279
SULT1A1	PRL	0.1269874065352825
SULT1A1	STAMBP	0.7584918765179101
SULT1A1	IL7	0.41167693025036645
C5	CFI	0.5013050327550692
C5	AMBP	0.5149010338953008
C5	IL20	0.06385045562374181
C5	C8A	0.457661054022128
C5	SERPIND1	0.4745133157767496
C5	CD5	0.16163677973630275
APOM	ORM1	0.2985113828160788
APOM	HBD	0.24186686585133632
APOM	PRL	0.09776673480319253
APOM	IGHG2	0.3109833250588929
APOM	HPR	0.322293084544123
APOM	CPN2	0.3103940556322353
APOM	TNFRSF9	0.13890091566344065
APOM	APOC1	0.4621528120059004
C6	SLC4A1	0.2560616728552949
C6	CFB	0.5253466761171648
C6	KNG1	0.3593276159728154
C6	Total-IGHG	0.28206132972260356
C6	PSPHP1	0.458092068783019
C6	ITIH1	0.3889304221762755
C7	F13A1	0.314776297041389
C7	APOD	0.3234926818067141
C7	FN1	0.3641485734491612
C7	CXCL10	0.1619477762448005
C7	FGF19	0.11220848638474212
C7	SHBG	0.2881576545289972
C7	SERPINA1	0.33002488447657274
C7	ITIH4	0.40436679132385756
C7	GDF15	0.3449911365982654
APOH	PGLYRP2	0.3814268421313267
APOH	FBLN1	0.30723725416214265
APOH	KNG1	0.48926672648465885
APOH	APOA4	0.2945818687455315
APOH	CCL11	0.1158634434104373
APOH	ABCF1	0.3004976569273454
APOH	ERVMER34-1	0.48048899812212564
Total-IGHG	IGHG3	0.2643339362660537
Total-IGHG	IGHG1	0.7337616440377754
Total-IGHG	IGHG2	0.43642249529951105
Total-IGHG	AZGP1	0.28228459947280005
S100A12	ORM1	0.1528855994903635
S100A12	OLR1	0.41381747008899517
S100A12	SERPING1	0.15431121514159685
S100A12	CSTB	0.2443836266836783
APOD	C7	0.2821988885468558
APOD	SERPINA3	0.23203633453456085
APOD	MMP3	0.17869942240130587
APOD	APOA2	0.2357254596194176
APOD	GAL	0.2403152636472745
APOD	C1QB	0.24575535262565573
APOD	CCL13	0.1595637234072269
APOD	AFM	0.23579876419137769
APOD	GSN	0.2785245025826546
APOE	SLC4A1	0.2817527383159142
APOE	CFH	0.4028395997292007
APOE	AMBP	0.44020075904366074
APOE	ITIH4	0.39949272323374707
APOE	APOC2	0.5758164661872076
APOB	FLT3LG	0.16641432047264892
APOB	C3	0.44503730845688416
APOB	APOA2	0.3575217755230966
APOB	IFNG	0.11988277566304095
APOB	TTR	0.46267664888999693
APOB	GC	0.4513407594108738
APOB	APOC2	0.3653480321251239
IGHA1	PGLYRP2	0.29250420065671445
IGHA1	AZGP1	0.24302941433897285
IGHA1	FBLN1	0.2765697894388133
IGHA1	IGHA2	0.44146702329757037
IGHA1	SLAMF1	0.16051044460149733
IGHA1	CXCL9	0.20535185725150118
IGHA1	MB	0.12367255485500461
IGHA1	FGG	0.2903548979374797
IGHA1	APOC3	0.2793336993301372
IGHA2	HPR	0.2427442294598814
IGHA2	IGHA1	0.4246821146920823
IGHA2	SERPINA6	0.23407101657637153
IGHA2	HBA1	0.21941499458355196
IGHA2	CCL19	0.11718934188708907
IGHA2	ABCF1	0.21422436521809196
SLAMF1	CCL4L1	0.2445022529572789
SLAMF1	IL15RA	0.24360519086200938
SLAMF1	PAPPA	0.16127529895011872
SLAMF1	IL20RA	0.1080149818530014
SLAMF1	CCL7	0.22018878610077763
SLAMF1	IGHA1	0.16051044460149733
SLAMF1	IL10RA	0.1912779583243278
SLAMF1	GH1	0.1514070436611723
SLAMF1	GDNF	0.3036478373196676
SLAMF1	CCL28	0.2792388831995991
TNFSF14	IL12B	0.16834736228963898
TNFSF14	HGF	0.30915535116792725
