Regulator	Target	MI
SPON1	CXCL16	0.21389704372298812
SPON1	APOA4	0.193467266931858
SPON1	TNFRSF1A	0.4072794040750516
SPON1	TNFRSF11B	0.3493756063126465
SPON1	AGER	0.19186693381330233
SPON1	BDNF	0.0813082040771187
SPON1	GDF15	0.4202704428762587
PGLYRP2	C4BPA	0.36313936387754175
C4BPA	CFI	0.5970582148242647
C4BPA	A1BG	0.4750700426469239
C4BPA	C6	0.502959080981543
C4BPA	THRB	0.5249242340568996
C4BPA	ORM2	0.46769796289425525
C4BPA	GC	0.4398785801174965
C4BPA	AGT	0.5657475826048897
SLC4A1	IGHG1	0.29006626937012125
SLC4A1	APOM	0.2527363498563364
SLC4A1	GSN	0.2519995622516289
SLC4A1	HRG	0.23207403115717007
TNFSF10	IL27	0.1583039561288917
TNFSF10	TNF	0.06611853654023303
TNFSF10	DNER	0.25224599312716567
TNFSF10	PLAUR	0.2704008603712076
TNFSF10	APOD	0.1255852905753443
TNFSF10	CMA1	0.2754806260978375
TNFSF10	CD5	0.27970828041142326
IL12B	CXCL9	0.25143465101797613
IL12B	CCL3	0.16309426603624821
IL12B	TNFRSF9	0.39507270219174817
TNFSF11	CD40	0.11170688432703191
TNFSF11	SERPINA1	0.1512944441715689
TNFSF11	CCL20	0.10952280409669957
TNFSF11	CMA1	0.3572182584208745
TNFSF11	PAPPA	0.10520813486050429
IL15RA	CSF1	0.13321601078877343
IL15RA	FGF5	0.27862115124760667
IL15RA	LIFR	0.2969482078786152
IL15RA	PDGFB	0.12587725914203407
IL15RA	IL10RB	0.33710853159849385
IL15RA	LIF	0.13927270852390894
IL1R1	ADM	0.30068407596712987
IL1R1	SERPINF2	0.1525102952422781
IL1R1	FABP4	0.3456108997791594
SERPINF1	CFI	0.30824648603307736
SERPINF1	APOH	0.3352612544448119
SERPINF1	IL5	0.05308588070233622
SERPINF1	IL7	0.1798783626838274
SERPINF1	AHSG	0.3148161640484659
SERPINF1	FABP4	0.15853747531741824
SERPINF1	IL18R1	0.14814061369112874
SERPINF2	IL1R1	0.14961981064370367
SERPINF2	TIMELESS	0.12009644195412328
SERPINF2	ITIH1	0.5296490106308873
SERPINF2	CST5	0.12461952180073688
SERPINF2	AGT	0.39347286895981526
SERPINF2	CD5	0.11844245999975733
FLT3LG	PLAUR	0.22691019576685711
FLT3LG	APOA4	0.11421319694558374
FLT3LG	ADA	0.2075793588707766
RNASE3	MPO	0.36863353251712017
RNASE3	C7	0.19327164164900612
RNASE3	TNFSF14	0.28857564723800166
RNASE3	LEP	0.15340309598253743
DKK1	CD274	0.7814975252832692
PRAP1	FST	0.1965362835554183
PRAP1	HGF	0.44143961450385305
PRAP1	S100A12	0.28746325759349567
PRAP1	FGF23	0.23362589267803457
PRAP1	MUC16	0.15493246818968842
PRAP1	FN1	0.15734018119864412
PRAP1	CP	0.16764934556649802
PRAP1	CXCL9	0.22753173516867342
PRAP1	IL27	0.30016342025642473
PRAP1	TNFRSF1A	0.610783748484315
PRAP1	MMP12	0.27150793122587125
PRAP1	VEGFD	0.2313721178883119
AZGP1	IGHG3	0.26930467304754035
AZGP1	RBP4	0.38779073432857913
AZGP1	SERPING1	0.3558089387679795
AZGP1	AMBP	0.35631901165007385
AZGP1	APOA4	0.40332006246767094
AZGP1	CD5L	0.290589616504759
AZGP1	RETN	0.1598056194728832
AZGP1	GSN	0.31750712400420156
