Regulator	Target	MI
SPON1	LIFR	0.09934810358288448
SPON1	C1QB	0.09774126536701999
SPON1	GDF15	0.3374339240450759
SPON1	KITLG	0.12764033190468815
PGLYRP2	CPN2	0.45142325239106107
PGLYRP2	TF	0.44188986186796964
PGLYRP2	ALB	0.43798878470738156
PGLYRP2	HRG	0.3253981625914202
C4BPA	FLT3LG	0.1142815320543562
C4BPA	CFI	0.6546454982507912
C4BPA	C2	0.5018744375768271
C4BPA	AMBP	0.4495891553080371
C4BPA	THRB	0.5539642392257225
C4BPA	ORM2	0.41268185847298966
C4BPA	ITIH4	0.5232675195661702
C4BPA	CPN2	0.4315844376937452
C4BPA	APOC2	0.46383452514909784
SLC4A1	FST	0.10973617785385947
SLC4A1	CFB	0.3615356723793246
SLC4A1	HBD	0.3103013709046749
SLC4A1	ORM2	0.31424544911070473
SLC4A1	ABCF1	0.28583279883462787
TNFSF10	CXCL8	0.12591938984653517
TNFSF10	DNER	0.26149449864411967
TNFSF10	PLAUR	0.327788216097499
TNFSF10	IGHA2	0.25148433873508935
TNFSF10	CMA1	0.3097152414162938
TNFSF10	CD244	0.22697307958842483
IL12B	IL10	0.3584530113927533
IL12B	IL16	0.12282382194978769
IL12B	RETN	0.22162986265055817
IL12B	APOM	0.11286251624466725
IL12B	CD5	0.33681152158479044
TNFSF11	CPN2	0.0916926051054654
TNFSF11	CMA1	0.2417327652248833
TNFSF11	GDF15	0.15096783827044113
TNFSF11	ADA	0.10300152594714529
IL15RA	TGFA	0.29333215343886465
IL15RA	CCL8	0.23360708418905762
IL15RA	SLAMF1	0.28638182629266407
IL15RA	TNFSF12	0.2761863437106493
IL1R1	CSF1	0.23491661109627593
IL1R1	OLR1	0.21520904422078058
IL1R1	PLG	0.1542715629438085
IL1R1	CCL19	0.1292213171174641
IL1R1	FABP4	0.31756293341955555
IL1R1	TEK	0.1424359142710765
SERPINF1	VTN	0.4377341569958322
SERPINF1	FASN	0.21970091848671647
SERPINF1	AHSG	0.35634330035127704
SERPINF1	APOC1	0.3314760558766352
SERPINF2	NPPB	0.11135293899057253
SERPINF2	C5	0.42974781965257236
SERPINF2	IGHA1	0.33846130425418863
SERPINF2	ITIH1	0.6098681352402249
SERPINF2	ABCF1	0.29880046631739265
SERPINF2	ERVMER34-1	0.4695938426396591
FLT3LG	GSN	0.11634557054107741
FLT3LG	TNFSF12	0.2638578871906061
