Regulator	Target	MI
SPON1	CXCL8	0.2463221469806971
SPON1	IL27	0.34086757423890024
SPON1	ESM1	0.1884266113995423
SPON1	CTSD	0.2697098048287092
SPON1	IL6R	0.22541611375925275
SPON1	PGF	0.43299895419517664
SPON1	FBLN1	0.1255932021174253
SPON1	AGER	0.17745206049511264
PGLYRP2	A1BG	0.4141319128969556
PGLYRP2	HPR	0.370495042106592
PGLYRP2	ALB	0.5151586432060364
PGLYRP2	HRG	0.40024937048182707
PGLYRP2	AGT	0.40539042643856504
C4BPA	SERPINF2	0.5737728946152902
C4BPA	SERPING1	0.44685643312556955
C4BPA	CFI	0.5247947860086741
C4BPA	C2	0.5819172266337693
C4BPA	C3	0.526512621334323
C4BPA	C5	0.5260918665676071
C4BPA	APOH	0.4668024200078156
C4BPA	ORM1	0.4753670307087674
C4BPA	THRB	0.5703177235764096
C4BPA	TEK	0.10693222876672426
SLC4A1	F13A1	0.3970765720360472
SLC4A1	APOH	0.334005469732948
SLC4A1	Total-IGHG	0.3544313169602571
TNFSF10	DNER	0.2521612480852804
TNFSF10	TGFA	0.2577345656626795
TNFSF10	ITIH1	0.13772646898738117
TNFSF10	CMA1	0.28030848776674944
TNFSF10	TNFSF12	0.21072898391998685
IL12B	CSF1	0.24109639188012988
IL12B	TNF	0.07584174853830916
IL12B	RETN	0.19434041540301372
IL12B	TNFRSF9	0.4446482650794099
IL12B	CXCL10	0.3029866253835616
TNFSF11	CXCL6	0.11546550374669806
TNFSF11	TNFRSF11B	0.14874486272086607
TNFSF11	FGF21	0.13690009273421033
TNFSF11	CMA1	0.26777535353194537
TNFSF11	MMP3	0.12374134439336526
TNFSF11	APOA2	0.15032114893432613
TNFSF11	AXIN1	0.13111019167272442
TNFSF11	KITLG	0.20143131275484372
IL15RA	FGF5	0.2931487070079033
IL15RA	PAPPA	0.13197614687211168
IL15RA	TGFA	0.3091178105698047
IL15RA	TNFRSF9	0.324871674744017
IL15RA	TTR	0.1016097430214602
IL15RA	CCL7	0.2926289403179698
IL1R1	CSF1	0.3663104334110505
IL1R1	HGF	0.31167698893716533
IL1R1	LEP	0.2845968068716793
IL1R1	IL18R1	0.21148188260446066
SERPINF1	F13A1	0.41133458125755773
SERPINF1	VTN	0.4442916879460572
SERPINF1	HBD	0.37868803630365555
SERPINF1	THBD	0.1700302189456382
SERPINF1	AHSG	0.36539469373151157
SERPINF1	GPX3	0.3804460398577971
SERPINF1	FGG	0.35368812610133915
SERPINF2	C4BPA	0.5775522552596062
SERPINF2	VTN	0.5009596302477402
SERPINF2	APOA2	0.4937593506755533
SERPINF2	IFNG	0.07981292821600139
SERPINF2	ITIH1	0.5682424054932103
SERPINF2	APOL1	0.4889695290733993
SERPINF2	ERVMER34-1	0.524979510646082
SERPINF2	APOC2	0.46820176944979064
FLT3LG	NTF3	0.25403191518284984
FLT3LG	CCL25	0.273038144399262
FLT3LG	GSN	0.11742525124041236
FLT3LG	IL10RB	0.3254139731056922
FLT3LG	XPNPEP2	0.07860422326545269
FLT3LG	ADA	0.2964059041123148
RNASE3	PGLYRP2	0.09734029619317841
RNASE3	OLR1	0.39482188917775307
DKK1	CD274	0.6227629409898059
PRAP1	HGF	0.36733443760095597
PRAP1	C7	0.2321317694464513
PRAP1	GH1	0.1470555270784022
PRAP1	TNFRSF1A	0.5454363945470817
PRAP1	CDCP1	0.23907734129152125
PRAP1	OSM	0.25187890773101174
AZGP1	RBP4	0.46922022187542556
AZGP1	SERPING1	0.3975348678505126
AZGP1	APOD	0.3924511785470619
AZGP1	HBD	0.38560129275523103
AZGP1	MBL2	0.34228075076925357
AZGP1	APOA4	0.43402932535447025
AZGP1	CD5L	0.32478768963792604
AZGP1	ERVMER34-1	0.4578723370196407
AZGP1	GSN	0.4208503226586604
AZGP1	LRG1	0.3615153455718225
RBP4	AZGP1	0.46922022187542556
RBP4	VTN	0.3760417456552565
RBP4	TTR	0.4152461948587094
RBP4	APOC3	0.413265496549557
PAPPA	ESM1	0.28048795168485796
PAPPA	TNFRSF1B	0.2071012464439157
PAPPA	KLKB1	0.15538239623257688
SERPING1	F13A1	0.4600273848781997
SERPING1	C4BPA	0.44608881369398823
SERPING1	AZGP1	0.37090101628649563
SERPING1	FBLN1	0.42138290219933516
SERPING1	Total-IGHG	0.3889244524268429
SERPING1	GC	0.5308456856417543
CFB	F13A1	0.3973346318283504
CFB	CFH	0.5323988489814067
CFB	PSPHP1	0.4799501421516519
CFB	ITIH4	0.5922323951089972
CFB	C1R	0.47903655712504634
CFH	PLAT	0.20938748373185145
CFH	IGHG2	0.3636436654508026
CFH	CFB	0.5542078198072264
CFH	CFI	0.5985488808450583
CFH	C3	0.5103785033974653
CFH	VTN	0.5447720550721202
CFH	AHSG	0.3507916786022509
CFH	LEP	0.26737065189058296
CFI	C4BPA	0.5199369859478518
CFI	CFH	0.6102063165732874
CFI	C1S	0.4688021987357516
CFI	ERVMER34-1	0.5498343651849122
CFI	SERPIND1	0.5200680973182088
IL20RA	PDGFB	0.1829352065780938
IL20RA	TSLP	0.1808844719385183
IL20RA	HBE1	0.08369186369404069
IL20RA	IL2	0.1596086454494623
IL20RA	IFNG	0.15885488844710594
PDGFB	IL20RA	0.17604089619512653
PDGFB	TNF	0.1371854119380309
PDGFB	SLAMF1	0.21037895359155723
PDGFB	IL10RA	0.15593457522173892
PDGFB	IL1A	0.1540135890113703
TGFA	CXCL9	0.3116672150859383
TGFA	TNFSF10	0.2577345656626795
TGFA	IL10	0.362598870948621
TGFA	IL15RA	0.3145279728218
TGFA	LIFR	0.29237391676948654
TGFA	CST5	0.19007417910987545
TGFA	NTF3	0.2694600219447416
TGFA	SLAMF1	0.30846520659881094
TGFA	TGFB1	0.29589411616693706
TGFA	IL10RB	0.4136663604522761
TGFA	OSM	0.36714501690061585
TGFA	GDNF	0.282718924329445
TGFA	CD5	0.33148334206933416
TGFA	CCL28	0.37380470274252886
A1BG	PGLYRP2	0.4631628657408662
A1BG	C6	0.4499624120469816
A1BG	ITIH4	0.5727253164807724
A1BG	CD5L	0.3847868929761695
A1BG	ERVMER34-1	0.5340569812871507
HPR	PGLYRP2	0.37466484849696613
HPR	IGHG2	0.3375851542925883
HPR	SELENOP	0.4014772743533648
HPR	FBLN1	0.3819977146638349
HPR	APOM	0.40424448346072506
HPR	HBD	0.3496317016026129
HPR	CTSL	0.14264759942084826
HPR	PLG	0.42335093439197014
HPR	APOL1	0.7966354607987389
C2	C4BPA	0.5718819425915571
C2	KNG1	0.5020682122773739
C2	PSPHP1	0.49317798669115476
C2	IGHM	0.3810286130574694
C2	C1QB	0.42187177768591066
C2	APOL1	0.44334381935731404
C2	KLK11	0.13654539131235932
KLK6	APOA4	0.11796829942579379
KLK6	TNFRSF1A	0.3337766711527612
KLK6	GAL	0.19874645058661855
KLK6	AGER	0.19914286809676618
C3	CFH	0.5103785033974653
C3	APOD	0.3642017296648845
C3	APOB	0.5603813853781574
C3	IGHA2	0.35601063639691066
C3	ORM2	0.5566460506915245
C3	ITIH4	0.49435285152817254
C3	APOC3	0.4921620546243535
SULT1A1	STAMBP	0.7256646420407113
C5	C4BPA	0.545773420490077
C5	CFB	0.4806879717399566
C5	SHBG	0.4284486358215398
C5	SERPINA3	0.5084772040519479
C5	FGA	0.507647268155341
C5	APOA4	0.39038912971552353
C5	HBA1	0.3857921815117944
APOM	HPR	0.405355032857436
APOM	AMBP	0.43424161191862254
APOM	CPN2	0.4799723625957286
APOM	ABCF1	0.3740940814056364
APOM	APOC1	0.5334335555871155
C6	A1BG	0.4421739531317428
C6	SERPINA3	0.5335055883726385
C6	ORM2	0.4259678513137377
C6	C1S	0.4768887503947603
C6	SAA4	0.43498433310843687
C7	CXCL11	0.1925908276940813
C7	SHBG	0.37332677905310785
C7	FGG	0.40935901361011684
C7	ITIH2	0.37174850169634954
C7	TTR	0.5275320600095421
C7	SERPIND1	0.45086191001975173
C7	KITLG	0.15830693518250794
APOH	C4BPA	0.4695856960706113
APOH	SLC4A1	0.3510114531947215
APOH	CLU	0.5379973661047028
APOH	SERPINF1	0.40623239670204825
APOH	AMBP	0.5083171800589321
APOH	ALB	0.4368175977941453
APOH	SERPIND1	0.5000653164532807
Total-IGHG	SLC4A1	0.3474837185546864
Total-IGHG	IGHG1	0.9572482874883912
Total-IGHG	IGHG2	0.45664248671030894
Total-IGHG	SERPING1	0.3889244524268429
Total-IGHG	APOA2	0.43357278304812574
Total-IGHG	APOA4	0.40361649303686153
Total-IGHG	HBA1	0.3446058882841285
Total-IGHG	GAL	0.11737197249192821
S100A12	OLR1	0.4145027738915976
S100A12	MMP3	0.18754371830108063
