Regulator	Target	MI
SPON1	NT-pro-BNP	0.15989588526578302
SPON1	CXCL8	0.2532535971022245
SPON1	ESM1	0.21228540865701895
SPON1	PRAP1	0.2848026132355965
SPON1	PGF	0.3269147186677239
SPON1	TNFRSF11B	0.28458738887970547
SPON1	AGER	0.248688984213433
SPON1	TEK	0.15840206563406056
PGLYRP2	SLC4A1	0.32401882752892774
PGLYRP2	APOA1	0.34504390812640473
PGLYRP2	ITIH4	0.41929135280266916
PGLYRP2	A1BG	0.45533049899975
PGLYRP2	ALB	0.4492295496387113
C4BPA	PAPPA	0.1330120944880191
C4BPA	CFI	0.5529753176282712
C4BPA	IGHA2	0.27107476257776764
C4BPA	THRB	0.4676853489651229
C4BPA	ORM2	0.37948708374496576
C4BPA	APOA4	0.3320383508040434
C4BPA	ERVMER34-1	0.5225904286801732
C4BPA	APOC3	0.3989137518241863
C4BPA	KLKB1	0.4837428834839921
SLC4A1	PGLYRP2	0.3227711446671613
SLC4A1	TNFRSF9	0.10600149933622216
SLC4A1	SERPINA7	0.3015050193722608
SLC4A1	FGA	0.28391494263869177
SLC4A1	CCL13	0.12812711558767198
TNFSF10	BDNF	0.09564926921190953
TNFSF10	CMA1	0.24314740330004891
TNFSF10	PLAUR	0.22087435616134687
TNFSF10	CD6	0.25975013633151534
TNFSF10	CHI3L1	0.11474241319445522
TNFSF10	C1QC	0.10361314414161082
IL12B	SERPINA7	0.15352642595321875
IL12B	LTA	0.29003331114502284
IL12B	CCL25	0.24095719096780677
IL12B	TNFRSF9	0.42153240284535975
TNFSF11	SELPLG	0.09456133828412039
TNFSF11	CCL8	0.07550644287549257
TNFSF11	TTR	0.1134244902331778
TNFSF11	FGF23	0.10816278525587997
TNFSF11	CMA1	0.25194328484049056
TNFSF11	CDCP1	0.06330550000936341
TNFSF11	CD5	0.09744113608982552
TNFSF11	PAPPA	0.09660235859759858
IL15RA	PDGFB	0.15950854155784455
IL15RA	TGFA	0.3237107943909372
IL15RA	CCL7	0.16802748485270413
IL1R1	CXCL6	0.1761320547616263
IL1R1	VTN	0.13175405379514782
IL1R1	FABP4	0.2664073088027008
SERPINF1	TNFRSF1A	0.11163924335967224
SERPINF1	VTN	0.3598703233491145
SERPINF1	ERVMER34-1	0.36041850080212967
