Regulator	Target	MI
SPON1	MPO	0.20459182603387394
SPON1	SAA4	0.1460964745728548
SPON1	TNFRSF11B	0.38645332522779974
PGLYRP2	CLU	0.4686412482021831
PGLYRP2	A1BG	0.38743108371319934
PGLYRP2	VTN	0.41611750618049737
PGLYRP2	CLEC3B	0.4632143388277008
PGLYRP2	IL17C	0.17979490018345512
C4BPA	CLU	0.5924459748608024
C4BPA	IL6R	0.1816325050491061
C4BPA	CFI	0.6435404729267518
C4BPA	THRB	0.4956239090742729
C4BPA	ORM2	0.4923877939011465
C4BPA	CPN2	0.45907404437937593
C4BPA	SERPIND1	0.48397011123003075
C4BPA	APOC2	0.4231928450232365
SLC4A1	CFI	0.3447240818789927
SLC4A1	GSN	0.27707097184202745
SLC4A1	PF4	0.32387488711130175
TNFSF10	IL27	0.14626064696753804
TNFSF10	HBE1	0.18896399587758772
TNFSF10	CCL2	0.10970491366487778
TNFSF10	CMA1	0.3673571220273706
TNFSF10	TNFSF12	0.3205123272990811
TNFSF10	ADA	0.34523967181060744
IL12B	C5	0.19116193390536207
IL12B	TNFRSF9	0.48839921664185404
IL12B	CXCL9	0.3108873790407358
IL12B	TNFRSF1A	0.19850284401917406
TNFSF11	AFM	0.11996200361144815
TNFSF11	AGER	0.11253563244805331
TNFSF11	IL1RL1	0.16118974017960852
TNFSF11	CMA1	0.22388806022009877
TNFSF11	AGRP	0.08916336910831557
TNFSF11	TEK	0.15667316295992784
IL15RA	FGF5	0.3210987480839682
IL15RA	PDGFB	0.15829060855037458
IL15RA	STOM	0.12636876885464154
IL15RA	SLAMF1	0.3952912478147965
IL1R1	TNFRSF11B	0.21912916881650712
IL1R1	VTN	0.2163667336321966
IL1R1	APOE	0.2035373699687817
IL1R1	SELE	0.12621387709575682
IL1R1	CSTB	0.2701471925685013
IL1R1	IL33	0.052852501429690335
IL1R1	OSM	0.24387577981165798
IL1R1	FABP4	0.41647298415995326
SERPINF1	IGHG1	0.379950087848302
SERPINF1	AZGP1	0.3716202043424657
SERPINF1	VTN	0.45154435475797694
SERPINF1	AHSG	0.3465293445489577
SERPINF1	APOA4	0.3515607892424413
SERPINF1	PF4	0.35875962907391656
SERPINF2	AMBP	0.5354259723402839
SERPINF2	SERPINA6	0.4438204639331227
SERPINF2	JCHAIN	0.3334167288375216
SERPINF2	CMA1	0.18375240787591096
SERPINF2	APOC3	0.40458397255056777
FLT3LG	CLEC3B	0.17687802236129535
FLT3LG	NTF3	0.2440308572782106
FLT3LG	IL10RB	0.29391836122373327
FLT3LG	TNFSF12	0.2817945341149928
FLT3LG	IL22RA1	0.051155507902560515
RNASE3	OLR1	0.38008031701597655
RNASE3	Total-IGHG	0.15901169259770764
RNASE3	MUC16	0.1605347979534235
RNASE3	CD5	0.11514175259929171
DKK1	MPO	0.22264126432853004
DKK1	HBEGF	0.5632410222492892
DKK1	CD274	0.6687761961190253
PRAP1	CSF1	0.4600885625069564
PRAP1	TNFRSF11B	0.33699599626404986
PRAP1	IL27	0.3441339952030482
PRAP1	OLR1	0.3542422950513302
PRAP1	TNFRSF1B	0.4791647562384407
PRAP1	LRG1	0.1962096751854725
AZGP1	SERPINF1	0.3561170022558855
AZGP1	AMBP	0.4060719969298132
AZGP1	THBD	0.13789957098445793
AZGP1	C1R	0.4187992786130863
AZGP1	GC	0.3553830569027898
AZGP1	CCL25	0.15887234258588467
AZGP1	KITLG	0.1768147641650648
RBP4	HBE1	0.3127381220254106
RBP4	APOH	0.38332991672450056
RBP4	MBL2	0.3226328313277973
RBP4	APOC3	0.4017432066814095
PAPPA	MRS2	0.1740094252176183
PAPPA	CX3CL1	0.1130937683913169
