Regulator	Target	MI
SPON1	U6	0.0921503198252811
SPON1	NPPB	0.1366402669441964
SPON1	TNFRSF1B	0.3966366988075176
SPON1	AGER	0.17844658111091505
PGLYRP2	C4BPA	0.41800608896566604
PGLYRP2	CLU	0.375548800578537
PGLYRP2	IGHG1	0.24314102085236922
PGLYRP2	RNASE3	0.09674722203063446
PGLYRP2	SERPINA7	0.33509550585182346
PGLYRP2	AHSG	0.3074763648430956
PGLYRP2	IL17C	0.11872028194494622
C4BPA	PGLYRP2	0.4178923265847079
C4BPA	SERPINF2	0.41298231934140084
C4BPA	CFI	0.5901202843922384
C4BPA	KNG1	0.40351731883364916
C4BPA	ORM2	0.37461176953905007
C4BPA	MB	0.11440142410883514
C4BPA	ITIH4	0.43858543836575237
C4BPA	SERPIND1	0.4688080943936255
C4BPA	APOC2	0.33252446008245595
C4BPA	KLKB1	0.46329879468289636
C4BPA	IL17A	0.07671745316378065
SLC4A1	HBA1	0.1932569647838509
SLC4A1	ITIH1	0.2150047187919144
SLC4A1	STOM	0.24544194829415833
SLC4A1	APOE	0.25715609998780486
SLC4A1	PSPHP1	0.22021813139259194
SLC4A1	PF4	0.2433184239393018
TNFSF10	THRB	0.13031254287722582
TNFSF10	MPO	0.10703521459953436
TNFSF10	DNER	0.2537496909451562
TNFSF10	PLAUR	0.32464332075113234
TNFSF10	CHI3L1	0.09873381296421169
TNFSF10	CMA1	0.22606641515298698
IL12B	CXCL8	0.1667123847134082
IL12B	TNFRSF1A	0.23330997259234376
IL12B	APOD	0.1348123937282688
IL12B	TNFRSF9	0.37912376549232185
IL12B	CD5	0.3916674713257322
TNFSF11	CMA1	0.435809893453432
TNFSF11	GDF15	0.1213554099792642
TNFSF11	LTA	0.13067670234839035
TNFSF11	SHBG	0.09473614554232768
IL15RA	FGF5	0.3404423440102171
IL15RA	TGFA	0.3474266493567315
IL1R1	C2	0.21920263199667023
IL1R1	CTSL	0.2633714990505345
IL1R1	CSTB	0.36159387660616815
IL1R1	NTF3	0.14111914006219273
SERPINF1	APOA1	0.24988190748760086
SERPINF1	TNFRSF1A	0.18298128800244928
SERPINF1	RBP4	0.2999380947610195
SERPINF1	ERVMER34-1	0.3164856296000904
SERPINF1	SERPIND1	0.29463482058527735
SERPINF1	SELE	0.1666511282507166
SERPINF2	C4BPA	0.4119088696767692
SERPINF2	HBE1	0.247684470715261
SERPINF2	LPA	0.26516031506877713
SERPINF2	C8A	0.36806084648008586
SERPINF2	FGG	0.3330918023514009
SERPINF2	SAA4	0.331868328742293
SERPINF2	ITIH1	0.40654220921021356
SERPINF2	ERVMER34-1	0.3919364497883926
SERPINF2	CMA1	0.10192448709059576
SERPINF2	APOC1	0.2852041603989788
FLT3LG	AHSG	0.1386978343250398
FLT3LG	AFM	0.14133964692642653
FLT3LG	ABCF1	0.1494505500079777
FLT3LG	IL10RB	0.27008709772156525
FLT3LG	TNFSF12	0.3077266247927595
RNASE3	U6	0.13129080718792885
RNASE3	CXCL8	0.12644508368300134
RNASE3	MPO	0.3786901734554542
RNASE3	LIFR	0.08281755329471974
DKK1	NT-pro-BNP	0.1568131004787361
DKK1	AHSG	0.13187102073826829
DKK1	CD274	0.7714998698018114
PRAP1	C7	0.23651708393394433
PRAP1	PSPHP1	0.2029514601261111
PRAP1	NT-pro-BNP	0.2275659912114305
PRAP1	IL27	0.3006454035031485
PRAP1	ESM1	0.18212438440024048
PRAP1	OLR1	0.3126941490310067
PRAP1	TNFRSF1A	0.4202466407393102
PRAP1	MMP12	0.26961843574715516
PRAP1	CCL13	0.15932735887878646
AZGP1	AMBP	0.31045207834115285
AZGP1	CP	0.3557681359428848
AZGP1	CTSD	0.12150163422444749
AZGP1	MMP3	0.1588648352683224
AZGP1	GSN	0.3446388546926187
AZGP1	AGT	0.3343742381888868
RBP4	FCN3	0.29484457419475696
RBP4	SERPINF1	0.29559732433670494
RBP4	C7	0.2814488270152644
RBP4	APOH	0.341567296439627
RBP4	IGHA2	0.3134964919281371
RBP4	SERPINA1	0.3246353944671494
RBP4	C8A	0.28920102075801424
RBP4	TTR	0.39399004480029465
RBP4	CCL2	0.12642420753591388
RBP4	IL10RB	0.12092983957492986
RBP4	APOC3	0.42495732771126615
RBP4	VEGFD	0.10044455891371484
RBP4	C1QC	0.30309582625571174
RBP4	PF4	0.25490435713997694
PAPPA	THRB	0.11513556756685706
PAPPA	NGF	0.14892041107468224
PAPPA	PGF	0.12601469308398894
PAPPA	TGFA	0.129630059972353
SERPING1	FCN3	0.3402073123636278
SERPING1	CD5L	0.23730644666058787
SERPING1	KNG1	0.464027855599225
SERPING1	GC	0.48021541947751345
CFB	C2	0.5015568006040683
CFB	C5	0.45941743529139867
CFB	PLG	0.4404810148098486
CFH	CFB	0.4611765108239645
CFH	CFI	0.4873641391514161
CFH	VTN	0.4681902077906921
CFH	C5	0.5003397601924284
CFH	CASP8	0.2105095238243777
CFH	HBA1	0.2685464339498189
CFH	ITIH2	0.33500003612391005
CFH	LEP	0.22332819451036645
CFH	C1QC	0.3344855038787129
CFI	C4BPA	0.5934541523470926
CFI	CFH	0.48736413915141696
CFI	C3	0.4790907771040622
CFI	MRS2	0.41031529091811425
CFI	SERPINA6	0.4019888282206656
CFI	FGA	0.36791668956456114
CFI	C1R	0.46518425341722835
CFI	CST5	0.16311546387178755
CFI	ERVMER34-1	0.5020185920926856
CFI	FABP4	0.18218876784367932
IL20RA	IL22RA1	0.08491994532254221
IL20RA	IL4	0.07208654971515482
IL20RA	IL2RB	0.10822965857756639
IL20RA	IL2	0.12321298157046723
IL20RA	IL17A	0.15085905998931004
PDGFB	TNF	0.1171390537725987
PDGFB	IL7	0.1416807021738995
PDGFB	IL17A	0.18179375619403793
TGFA	FCN3	0.13790985889012042
TGFA	CCL4L1	0.2685216297877906
TGFA	F13A1	0.20289033115588673
TGFA	IL15RA	0.3280365401331178
TGFA	PLAUR	0.34372118514642214
TGFA	PAPPA	0.129630059972353
TGFA	NTF3	0.29219781693414415
TGFA	IL10RB	0.464784929525063
TGFA	OSM	0.30255318886618543
TGFA	GDNF	0.33333890835356694
TGFA	CD5	0.3827911836703848
TGFA	CCL28	0.311534084838061
A1BG	IGHG3	0.23192673159253108
A1BG	LPA	0.24864051186595315
A1BG	C2	0.457759712615716
A1BG	AMBP	0.44291591561951904
