Regulator	Target	MI
SPON1	CSF1	0.29592434685211
SPON1	IL6R	0.25686378614795125
SPON1	TNFRSF11B	0.49462157529225337
SPON1	TEK	0.21848065648379933
PGLYRP2	IL20	0.04572992752599081
PGLYRP2	FBLN1	0.2543679358838178
PGLYRP2	A1BG	0.4413296318506008
PGLYRP2	APOH	0.3916373261590236
PGLYRP2	ALB	0.35722592028217814
C4BPA	CLU	0.44442939190945907
C4BPA	CFI	0.5003529765544057
C4BPA	C2	0.42781155295829176
C4BPA	IGHA1	0.275669309538066
C4BPA	ORM2	0.4330999278517007
C4BPA	SERPINC1	0.44549826397662784
C4BPA	CCL19	0.09704852813919373
C4BPA	KLKB1	0.3894434836788463
SLC4A1	LPA	0.24919531318530375
SLC4A1	CFH	0.26485576286897494
SLC4A1	HPR	0.3482142643851809
SLC4A1	APOA1	0.30065655671642944
SLC4A1	ABCF1	0.25256229614832204
SLC4A1	IL2RB	0.04856349895265755
TNFSF10	DNER	0.2976727351409503
TNFSF10	ITIH1	0.11634039010464736
TNFSF10	CMA1	0.21928576264389754
IL12B	CXCL6	0.16717733214676134
IL12B	SERPINA7	0.08055569487145942
IL12B	RETN	0.19979653598826985
IL12B	TNFRSF9	0.2832421727246537
TNFSF11	CX3CL1	0.12054409544322464
TNFSF11	FGF5	0.09284917036169382
TNFSF11	SERPINF2	0.1562677657175735
TNFSF11	AGER	0.12251018731947294
TNFSF11	FGF23	0.171973919816657
TNFSF11	CMA1	0.24563985832970392
TNFSF11	GH1	0.10293760562315768
IL15RA	FGF5	0.3264228329873582
IL15RA	PDGFB	0.15267980012655524
IL15RA	TGFA	0.3462469398203938
IL15RA	SLAMF1	0.29858759250307276
IL15RA	IL10RA	0.1785109260322546
IL1R1	MPO	0.2552389148905263
IL1R1	CCL4	0.2183757676104472
IL1R1	APOD	0.15953830833743332
IL1R1	CCL20	0.20669781170658563
IL1R1	FABP4	0.30309412017091475
IL1R1	C1QC	0.1215478911376282
SERPINF1	IGHG3	0.2789554959337295
SERPINF1	IGHG2	0.2496871766900126
SERPINF1	AMBP	0.3155625294520279
SERPINF1	SERPINC1	0.34400263568141565
SERPINF1	IL10RB	0.14490535937400661
SERPINF2	SELENOP	0.31049042621996303
SERPINF2	C6	0.3704834529517038
SERPINF2	THRB	0.4591463928931354
SERPINF2	C8A	0.4072660570665807
SERPINF2	MBL2	0.3174576966582343
SERPINF2	PLG	0.4657465410545898
SERPINF2	ITIH1	0.5857189815704409
SERPINF2	CLEC3B	0.3674784096248489
SERPINF2	ERVMER34-1	0.46116746728748925
SERPINF2	APOC1	0.29023034751504007
FLT3LG	LIFR	0.2369123814904306
FLT3LG	PAPPA	0.07699304918906069
FLT3LG	C6	0.11422392911607737
RNASE3	MPO	0.4348568755281894
RNASE3	CCL2	0.24254889159460902
RNASE3	STOM	0.14784100116425147
DKK1	CD274	0.7141638474169385
PRAP1	CSF1	0.4633052275908396
PRAP1	TIMELESS	0.254473870632947
PRAP1	TNFRSF10B	0.45487097846344593
PRAP1	IL1RL1	0.18375638602796496
PRAP1	CCL25	0.1469043131820369
PRAP1	CMA1	0.21257482594016341
AZGP1	HBE1	0.23674691773041623
AZGP1	RBP4	0.31729692162958933
AZGP1	SERPING1	0.2834188987385149
AZGP1	CTSD	0.14537973235063628
AZGP1	LTA	0.07556988189389013
AZGP1	ITIH1	0.40642141799058695
AZGP1	ABCF1	0.2551806942769419
AZGP1	CCL23	0.20251795697494313
AZGP1	GSN	0.3367044267422443
RBP4	KNG1	0.33035815618227726
RBP4	FN1	0.30755196290190057
RBP4	ORM1	0.30968334827040866
RBP4	ERVMER34-1	0.3011798483032946
PAPPA	CXCL8	0.11551310755345146
PAPPA	ESM1	0.14588171929596072
PAPPA	CTSL	0.16167491483318752
PAPPA	FLT3LG	0.0793732469736721
PAPPA	SAA4	0.18088790646388908
PAPPA	XPNPEP2	0.08345498141896446
SERPING1	AZGP1	0.2751571452432495
SERPING1	KNG1	0.45530617550932906
SERPING1	GPX3	0.34330682864493856
SERPING1	ITIH4	0.4518555357084679
CFB	CFI	0.5298570031105783
CFB	C2	0.5620013248949647
CFB	APOM	0.28777679872624606
CFB	PSPHP1	0.45434708686807657
CFB	CP	0.43466052627173735
CFB	C1S	0.3954342856571582
CFH	CFI	0.6467685825887832
CFH	C3	0.5171722692739653
CFH	C5	0.4440942342841252
CFH	GSN	0.26860610909318705
CFH	SERPIND1	0.4640281968928317
CFI	C4BPA	0.49506940438823754
CFI	PLAT	0.250186004499497
CFI	HBE1	0.27655029896976835
CFI	CFB	0.5177711523372395
CFI	CFH	0.6576234343007057
CFI	CXCL11	0.10180616139374088
CFI	SERPINA3	0.526669388301066
CFI	SERPINA6	0.4390139892283358
CFI	C8A	0.40471339133200424
CFI	ERVMER34-1	0.4966542175097919
CFI	FABP4	0.23321995443656185
CFI	PF4	0.3618930322995695
IL20RA	IL10RA	0.12887799656284482
IL20RA	APOC3	0.05431737237366541
IL20RA	IL2	0.11221446507126753
IL20RA	CCL7	0.09805251528616399
IL20RA	IL2RB	0.0988852403313496
PDGFB	IL22RA1	0.07597540309551842
PDGFB	IL15RA	0.14298596952522313
PDGFB	IFNG	0.10997211534442108
PDGFB	IL20RA	0.08128784394562949
PDGFB	NRTN	0.04577272084480022
PDGFB	IL2	0.08385743437650728
PDGFB	IL17A	0.15384529817677084
TGFA	CCL4L1	0.2266917931508079
TGFA	IL15RA	0.35576072741352505
TGFA	CDCP1	0.20945897642295108
TGFA	RETN	0.15779029718527404
TGFA	CCL25	0.20303431733370036
TGFA	IL10RB	0.33139681844369484
TGFA	OSM	0.37238094679473566
TGFA	AGT	0.12734722090856732
TGFA	GDNF	0.3918134069507877
TGFA	CCL28	0.37144426974434364
TGFA	IL17C	0.24187029921256098
TGFA	IL17A	0.1827329043169792
A1BG	PGLYRP2	0.45082275438235353
A1BG	KNG1	0.36881529867436846
A1BG	C2	0.49977174294096827
A1BG	CD5L	0.30424308372087516
A1BG	KLKB1	0.48163425959544703
HPR	MRS2	0.3241078045115122
HPR	SLC4A1	0.3479274337078193
HPR	CD5L	0.3048338717103469
HPR	APOH	0.27572220609482834
HPR	APOL1	0.636588594887308
HPR	GSN	0.25607084273886915
C2	C4BPA	0.43084771179452375
C2	CFB	0.5541022117261907
C2	A1BG	0.49977174294096915
C2	MRS2	0.40479289156369713
C2	SERPINA3	0.49217955909727795
C2	SERPINA7	0.4271920351013563
C2	ITIH4	0.49967563403853354
C2	SAA4	0.3111085460482794
KLK6	CCL11	0.1558928623870557
KLK6	TNFRSF1A	0.25613456575840576
KLK6	GAL	0.21760268011875805
C3	CFH	0.5158442526266755
C3	APOD	0.26181833573851065
C3	ORM2	0.4050561396009593
C3	ITIH4	0.5524580291328887
C3	C1R	0.39798615513149205
C3	APOC3	0.4275733489141347
C3	LEP	0.2656154168389948
SULT1A1	CXCL5	0.4715530849036824
SULT1A1	STAMBP	0.7328827759920893
SULT1A1	ITIH1	0.10437810993574637
SULT1A1	IL18R1	0.1556030765219445
C5	CFI	0.5037810149020965
C5	C6	0.40515363621407463
C5	SERPINA3	0.45768015556769903
C5	FGG	0.43010747917290715
C5	C1S	0.46785964382464673
C5	ITIH1	0.4292082513135602
APOM	APOA1	0.33779826039055383
