Regulator	Target	MI
SPON1	CXCL8	0.3151929794717807
SPON1	DKK1	0.25526102217932767
SPON1	TNFRSF11B	0.36243474410851384
SPON1	AGER	0.24407563405887966
SPON1	VEGFA	0.3844666681842215
PGLYRP2	C3	0.37587717401040077
PGLYRP2	APOH	0.5028425361856916
PGLYRP2	ALB	0.4195728542516477
C4BPA	CFI	0.6310204532994659
C4BPA	KNG1	0.48017676386605324
C4BPA	C6	0.4681558444321299
C4BPA	AMBP	0.4380287695158849
C4BPA	MUC16	0.12332424674665265
C4BPA	THRB	0.47341447521607005
C4BPA	ORM2	0.563441779232563
C4BPA	ITIH4	0.5557836034397665
C4BPA	SAA4	0.4712408951580622
C4BPA	SERPIND1	0.5279989455010119
C4BPA	AGT	0.45022380270408124
SLC4A1	APOB	0.3684955617481913
SLC4A1	APOL1	0.2839650302176384
SLC4A1	ABCF1	0.32190566205492743
TNFSF10	TGFA	0.3708506081765526
TNFSF10	CMA1	0.29557252195816464
TNFSF10	CD6	0.3466225026197165
TNFSF10	SHBG	0.11229182525181969
IL12B	NPPB	0.11224290028378547
IL12B	TNFRSF1A	0.21527555263226184
IL12B	LTA	0.397990491192207
IL12B	MUC16	0.1919503372132061
IL12B	CMA1	0.12768924454366726
TNFSF11	FGF5	0.09989733956194158
TNFSF11	TTR	0.18019714644138585
TNFSF11	CMA1	0.22562154629817766
IL15RA	TGFA	0.33217495789823825
IL15RA	APOH	0.144459568906524
IL15RA	SLAMF1	0.3290154824262004
IL15RA	IL5	0.15856921990928363
IL15RA	CCL3	0.17149820590425868
IL1R1	CTSD	0.199787452993192
IL1R1	SERPINF1	0.20063963942879592
IL1R1	PRAP1	0.2531784750762389
IL1R1	PAPPA	0.18278028427036297
IL1R1	CCL19	0.12463509071318235
IL1R1	LEP	0.36875324253603026
SERPINF1	IL1R1	0.2104661990537977
SERPINF1	RBP4	0.35322751647116934
SERPINF1	APOD	0.3007764199553984
SERPINF1	AMBP	0.3741706291022995
SERPINF1	FN1	0.415805871165948
SERPINF1	TF	0.28283038465894705
SERPINF1	ORM1	0.34914824268582745
SERPINF1	ORM2	0.36564133991365555
SERPINF1	VEGFD	0.1258142785584644
SERPINF1	PF4	0.3435830908969679
SERPINF2	FGF23	0.08277198382860362
SERPINF2	THRB	0.4700157525685853
SERPINF2	C8A	0.5088763972415329
SERPINF2	ERVMER34-1	0.5096534962638728
SERPINF2	AGT	0.40068577866073074
SERPINF2	APOC1	0.33325072718699467
FLT3LG	CCL4L1	0.3017429037752022
FLT3LG	CXCL5	0.2066523394339539
FLT3LG	IL10RB	0.36624011833281855
FLT3LG	ADA	0.3759364235940268
RNASE3	OLR1	0.31817494677702207
RNASE3	CD5L	0.20235754252642657
RNASE3	TNFSF14	0.24146333700548617
DKK1	SPON1	0.25127430218929625
DKK1	CD274	0.7228450667090547
DKK1	CCL4	0.20860356220605158
PRAP1	CSF1	0.4804598559958322
PRAP1	IL1R1	0.24825157416576982
PRAP1	TNFRSF1A	0.5839622080372298
PRAP1	AFM	0.19795307378355886
AZGP1	LPA	0.3943276136466256
AZGP1	AMBP	0.4591644808192328
AZGP1	APOA4	0.32729130407018037
AZGP1	GC	0.3468734924644714
RBP4	SELENOP	0.3909675995337025
RBP4	APOH	0.37968485419093767
RBP4	SERPINA3	0.34068918991136954
RBP4	SERPINA1	0.34147589560114167
RBP4	GPX3	0.3612862620897337
RBP4	TTR	0.4028258719934277
RBP4	APOC3	0.39173696846504313
PAPPA	CCL11	0.12130868108430004
PAPPA	ESM1	0.1999728784944228
PAPPA	IL1R1	0.18608468677876377
SERPING1	KNG1	0.4684582412743792
SERPING1	APOM	0.3009274588931561
SERPING1	Total-IGHG	0.3124480338018998
SERPING1	GPX3	0.3691700286617934
SERPING1	ITIH4	0.49735858167226255
CFB	C2	0.5445105512132544
CFB	C5	0.48939358460100557
CFB	MRS2	0.522638231328969
CFB	IL13	0.08719642421424112
CFB	C1S	0.48495343672196256
CFB	OSM	0.14619813023567207
CFH	CFI	0.6215764876323231
CFH	KNG1	0.43372128491381723
CFH	C5	0.48365260870358373
CFH	C1S	0.4474936127177829
CFI	FCN3	0.37280581056756823
CFI	C4BPA	0.6325993140506325
CFI	CFB	0.5500999933103143
CFI	CFH	0.6111848602275884
CFI	VTN	0.5480510652964004
CFI	APOE	0.5125941388629514
CFI	ORM1	0.45738407518565705
CFI	SERPINA6	0.4550122369695053
CFI	C1QB	0.47125516297435777
CFI	ERVMER34-1	0.5532893919343858
IL20RA	IL24	0.19413652827265437
IL20RA	LIFR	0.15475361142292243
IL20RA	IL1A	0.13793490283617604
IL20RA	PDGFB	0.18275121440331965
IL20RA	LIF	0.20001906039520279
IL20RA	IL17C	0.15423858157773385
PDGFB	IL13	0.16861033187455998
PDGFB	IFNG	0.21107996282703478
PDGFB	IL20RA	0.17178995359648042
PDGFB	EIF4EBP1	0.19350109881453115
PDGFB	IL17A	0.18899962867528863
TGFA	FGF5	0.32103153631569015
TGFA	TNFSF10	0.3708506081765526
TGFA	IL15RA	0.3306950277801235
TGFA	LIFR	0.43091609285585797
TGFA	TNFRSF9	0.4090944104477785
TGFA	CXCL10	0.2656567610497431
TGFA	GDNF	0.3257313278766292
TGFA	ESM1	0.24239250529366174
TGFA	DNER	0.42295622858898607
TGFA	IL10	0.4425184843275991
TGFA	PLAUR	0.3240637541967004
TGFA	CCL13	0.26164426346488856
TGFA	CCL11	0.29433259451016447
TGFA	SELPLG	0.16873244554405886
TGFA	CST5	0.2944089390548852
TGFA	IL1RL1	0.10238343390029225
TGFA	CCL7	0.31735638340071315
TGFA	NTF3	0.30717555452009204
TGFA	OSM	0.3984951522913027
TGFA	IL17C	0.24096047912753082
TGFA	IL17A	0.32331642856973275
A1BG	IL6R	0.11985230402768288
A1BG	KNG1	0.4659824199502536
A1BG	C2	0.5032288251108339
A1BG	KLKB1	0.4376190608740558
HPR	SPON1	0.1092390180789522
HPR	APOM	0.37627913519558387
HPR	ITIH4	0.37941977304467045
HPR	C1S	0.3620522639045367
HPR	CLEC3B	0.3111477730823582
HPR	APOL1	0.6829573340673099
C2	SERPINF2	0.5472237502194925
C2	CFB	0.5439189726075684
C2	CFI	0.5767348196331605
C2	A1BG	0.5029275313668817
C2	C3	0.5503337292788588
C2	SERPINA3	0.5392771480939578
C2	ITIH4	0.553165358916984
C2	CPN2	0.4726790703455732
C2	ERVMER34-1	0.5300910266891172
KLK6	CCL4L1	0.09508818099903138
KLK6	PGF	0.2512764840434274
KLK6	GAL	0.19518834536025942
KLK6	KLK11	0.24968262395376062
C3	PGLYRP2	0.377469984811607
C3	PLAT	0.24198462146253075
C3	C2	0.5509390946443649
C3	C5	0.44987897614181005
C3	HRG	0.38306338209356383
C3	ORM2	0.418821038349801
SULT1A1	STAMBP	0.720223525440856
SULT1A1	CXCL5	0.5796107687861003
C5	CFB	0.5111122849406078
C5	CFH	0.49311807030303
C5	C3	0.45917295616249465
C5	S100A12	0.26458308030172795
C5	APOB	0.4004738089518174
C5	IGHA2	0.28829042724596654
C5	SHBG	0.37842279124001177
C5	SERPINA3	0.45650922579766995
C5	FGA	0.5822264474787548
APOM	HPR	0.3730984768474652
APOM	APOD	0.41754757063989434
APOM	ITIH1	0.42255435182794976
APOM	APOC1	0.4567633389353736
C6	C4BPA	0.4763486090233169
C6	CLU	0.47647531972754287
C6	SERPINA3	0.47631951101321324
C6	MMP10	0.1479302826611555
C7	TNFRSF11B	0.23588150751726378
C7	HBD	0.4010249533471102
C7	ITIH4	0.5736236416026186
C7	TTR	0.3994072791675194
APOH	PGLYRP2	0.528202940926394
APOH	CLU	0.4828168681091185
APOH	IGHG4	0.320644901477948
APOH	IL15RA	0.13529974398792532
APOH	RBP4	0.3731289451144111
APOH	IGHA1	0.34498812188065386
APOH	APOA4	0.3389802539503579
APOH	SERPINC1	0.3987498302156256
APOH	ITIH1	0.4016054956463426
APOH	CLEC3B	0.4570769535200272
APOH	CCL4	0.10052598718053662
APOH	STOM	0.36431305905892497
APOH	ERVMER34-1	0.4574098677810179
Total-IGHG	IGHG3	0.3109185598456605
Total-IGHG	IGHG1	0.7278510750904896
Total-IGHG	IGHG2	0.4331228289156721
Total-IGHG	SERPING1	0.312448033801898
Total-IGHG	FBLN1	0.3157167719978453
Total-IGHG	APOE	0.30459048822926604
Total-IGHG	APOA1	0.3180966828910359
Total-IGHG	CD5	0.11808566834559109
S100A12	MPO	0.3194954090938378
S100A12	MMP3	0.1344387342141351
S100A12	CDCP1	0.2019322537150421
S100A12	CSTB	0.18230117340125318
S100A12	C5	0.2647497627160291
S100A12	IL6	0.22350743240039606
APOD	SERPINF1	0.31020514650653386
APOD	SELENOP	0.2721642290435371
APOD	APOM	0.39812003199958124
APOD	IGHA2	0.30717971373310426
APOD	HRG	0.29595783581739
APOD	FGA	0.34081198872533847
APOD	MMP3	0.20822605408553763
APOD	GSN	0.3055953068465609
APOE	CFI	0.5222571501285316
APOE	Total-IGHG	0.3013449830793906
APOE	APOB	0.54483802371655
APOE	THBD	0.14261193249473614
APOE	AHSG	0.31408362172872994
APOE	APOA2	0.4064346561050032
APOE	CD5L	0.32305273422571457
APOE	CST5	0.16597775192143072
APOE	APOC2	0.6513340704018855
APOB	F13A1	0.37255569731455385
APOB	SLC4A1	0.3760240322241106
APOB	IGHG1	0.292889228467172
APOB	SELENOP	0.3161025397606698
APOB	C5	0.3999802517293123
APOB	APOE	0.5580910644928361
APOB	ITIH4	0.46418860710889565
APOB	TTR	0.367257046627091
APOB	STOM	0.36173554101796324
IGHA1	RBP4	0.34774698436059204
IGHA1	LPA	0.31842724228243124
IGHA1	IGHA2	0.43172127650455927
IGHA1	APOA1	0.341305576677037
IGHA1	C1QB	0.33378781909253963
IGHA1	CCL3	0.12268817067779736
IGHA1	ABCF1	0.34094480127029225
IGHA1	OSM	0.1847041785976904
IGHA2	FCN3	0.28806613245020696
IGHA2	IGHG3	0.3511489372329315
IGHA2	HBE1	0.2871992081165633
IGHA2	C5	0.307789807821103
IGHA2	APOD	0.2832181404365235
IGHA2	IGHA1	0.4265256265852324
IGHA2	PRL	0.1204907659911516
IGHA2	CD5L	0.29072945388997073
SLAMF1	IL15RA	0.35752860168010603
SLAMF1	PLAUR	0.29277697302899686
SLAMF1	RETN	0.21603475256577376
SLAMF1	ITIH1	0.22702836419029726
SLAMF1	CCL23	0.24781725429860835
SLAMF1	IL10RB	0.3517117162224057
SLAMF1	CXCL11	0.2735108116187339
SLAMF1	GDNF	0.33450304459519664
TNFSF14	RNASE3	0.24146333700548617
TNFSF14	DKK1	0.4818279283895439
TNFSF14	SELPLG	0.16301540391973024
TNFSF14	EGF	0.6359664363265658
TSLP	FGF19	0.10730890209179567
TSLP	IL2RB	0.10963203157715906
TSLP	IL17A	0.11131396116782533
TNFSF12	DNER	0.3778702822474651
TNFSF12	IL10	0.3926347587652561
TNFSF12	IL13	0.1002478080792848
TNFSF12	PLAUR	0.2833488438805105
TNFSF12	LIFR	0.3710430073341273
TNFSF12	CCL25	0.41433402985665513
TNFSF12	CCL23	0.2971190399502248
TNFSF12	GSN	0.19466493329874712
TNFSF12	FGF19	0.21103250525177142
FN1	SERPINF1	0.4361408672803275
FN1	SELE	0.15694673457561326
FN1	FGA	0.4060979662023758
FN1	TTR	0.2948324452562545
LIF	IL20RA	0.17440867650820024
LIF	IL15RA	0.1852672077078763
LIF	GSN	0.0917681514983375
LIF	IL10RA	0.19904177474435958
CP	FGF5	0.12717144511287337
CP	PSPHP1	0.45216649883029447
CP	GH1	0.21297390122758575
CP	TF	0.41440809197717776
CP	IL20	0.09141094698735763
CP	SERPINA1	0.41157303532767386
CP	APOA4	0.2780745048974378
CP	ITIH4	0.6068370971172268
CP	CD5L	0.3319256773379955
CP	XPNPEP2	0.10541698706227365
CP	PF4	0.3788957235029109
IL22RA1	TNF	0.15279829318852212
IL22RA1	C6	0.09876669903684121
IL22RA1	IL7	0.10206586631760661
IL22RA1	IL2RB	0.14441140367140015
TF	CCL4L1	0.2107396417210614
TF	SERPINF1	0.29046999952901054
TF	VTN	0.3133742016918166
TF	CP	0.4120901666786967
TF	ALB	0.3504634290982933
TF	THRB	0.4142384009616693
TF	APOA1	0.4082820937572249
TF	ABCF1	0.34503633552287916
ARTN	TGFB1	0.11876052722169916
ARTN	IL24	0.12289784875517995
FASN	PGF	0.3476847918970689
FASN	KLK11	0.23869903867083675
REN	IL1RL1	0.14967197827921463
REN	IL6R	0.16415431569768657
REN	MMP7	0.22971443376397094
HRG	HBE1	0.3135955302701259
HRG	C3	0.37995421052169487
HRG	AHSG	0.31762719528888095
HRG	SERPINC1	0.3963833877793492
HRG	CD5L	0.3338093871028507
ADA	SERPINA3	0.21516851117613722
ADA	DNER	0.4274698238374972
ADA	PLAUR	0.29707705341403656
ADA	FLT3LG	0.39094957348268444
ADA	LIFR	0.3485446083115811
ADA	CCL11	0.2542132169400064
ADA	CD5	0.34020853345686053
MRS2	CFB	0.525268905181326
MRS2	KNG1	0.42872729568590007
MRS2	IL2	0.0779982229822549
MRS2	MBL2	0.3582672576239121
MRS2	CD5L	0.30892222023530014
MRS2	SERPIND1	0.7878655010069204
MRS2	CMA1	0.18136178937028635
IGHM	FGG	0.38397773109275146
IGHM	CD5L	1.5637815608335819
IGHM	STOM	0.2957112358886276
IGHM	ABCF1	0.3489329264492129
IGHM	APOC3	0.3359259581006624
SERPINA3	RBP4	0.3386080084733507
SERPINA3	C2	0.5525392867051648
SERPINA3	C5	0.45285898318128304
SERPINA3	C6	0.48183739316212737
SERPINA3	PSPHP1	0.6669061283902318
SERPINA3	ADA	0.2192705733850131
SERPINA3	ORM1	0.5054298683552769
SERPINA3	C1S	0.5127242373117262
SERPINA3	SAA4	0.42252757678276964
SERPINA3	CCL7	0.20385716422265698
SERPINA3	GSN	0.45081481572172066
SERPINA3	SERPIND1	0.4650236352521384
U6	OLR1	0.25410141830041244
U6	APOH	0.13604164651849437
CD40	IKBKG	0.9943816539973644
CD40	MMP12	0.21423522541195705
CD40	PECAM1	0.8474113809779853
ORM1	SERPINF1	0.3462293448799878
ORM1	CFI	0.45042197139702367
ORM1	SERPINA3	0.5022262466178891
ORM1	IL27	0.11292527192271251
ORM1	CD5L	0.30207144946064446
ORM1	GC	0.3463036748490236
ORM1	CCL23	0.10841873325735385
IL20	IL10RA	0.213518770912124
IL20	IL13	0.18246791816598318
IL20	LIF	0.21602724502253512
IL20	IL2	0.19566320715537788
IL20	IL5	0.1174515749946341
IL20	IFNG	0.1732784302072723
IL20	PTX3	0.12402185527999077
SERPINA1	IGHG1	0.2961443181142176
SERPINA1	HGF	0.19238881953056364
SERPINA1	RBP4	0.344257388202033
SERPINA1	FBLN1	0.32753959304291147
SERPINA1	CP	0.39911684731313013
IL24	IL20	0.2132611671537603
IL24	TNF	0.1690389804586605
IL24	CCL7	0.13991818444568604
ADM	TNFRSF1A	0.4890724459755891
ADM	ITIH4	0.15052135641529052
ADM	FABP4	0.3720370297279292
IL27	CSF1	0.34012388457355236
IL27	GAL	0.09742277235099461
IL27	PSPHP1	0.12468748191282497
HBD	F13A1	0.28326153175420554
HBD	IGHG2	0.2705899972667529
HBD	C7	0.39570535609969504
HBD	HBA1	0.7159795760225593
HBD	AGT	0.3127346342664188
PRL	MUC16	0.07936374382337874
PRL	CMA1	0.11628376737991886
PRL	CXCL16	0.12048014853183986
PRL	TNFRSF1A	0.12080117394032541
PRL	IGHA2	0.1204907659911516
SERPINA6	IGHG4	0.3023442765940718
SERPINA6	CFI	0.45623155161477946
SERPINA6	APOD	0.2684746014838426
SERPINA6	IFNG	0.14376933668380065
