Regulator	Target	MI
SPON1	MPO	0.2536181533997759
SPON1	C1S	0.1411544433499543
SPON1	FBLN1	0.2418467457671465
SPON1	TNFRSF11B	0.36536336452168516
SPON1	AGER	0.19139777774811062
SPON1	KLK6	0.27028981155105747
SPON1	TNFRSF10B	0.32964786939728175
PGLYRP2	SLC4A1	0.28213122342882
PGLYRP2	KNG1	0.40363523624637665
PGLYRP2	APOH	0.46055068160046275
PGLYRP2	SHBG	0.31195319763849394
PGLYRP2	IL18R1	0.09851053115813624
C4BPA	FCN3	0.3484047294851145
C4BPA	CLU	0.4553347278460169
C4BPA	IGHG4	0.3400352125085435
C4BPA	CFI	0.7142448914742827
C4BPA	C3	0.48225811735952906
C4BPA	C5	0.4710390608606456
C4BPA	APOM	0.36324127948570606
C4BPA	THRB	0.47219747661083566
C4BPA	SERPINA6	0.516144542761098
C4BPA	C8A	0.45821333829808175
C4BPA	ITIH1	0.43155086840569545
SLC4A1	PGLYRP2	0.2766952079647158
SLC4A1	LPA	0.27654929677069795
SLC4A1	TTR	0.2840706614675774
SLC4A1	STOM	0.2571388340071543
TNFSF10	TGFA	0.2761374749156156
TNFSF10	CMA1	0.28386253983252807
TNFSF10	SHBG	0.16943286847588812
IL12B	SERPINA7	0.2320815285515332
IL12B	TNFRSF9	0.32724413170833433
IL12B	CXCL11	0.31851477061638356
IL12B	IL5	0.09406595695754483
TNFSF11	PECAM1	0.11757690098533224
TNFSF11	C2	0.18323639393108238
TNFSF11	CMA1	0.31240213723138766
TNFSF11	VEGFD	0.11015397570676644
IL15RA	IL10RB	0.4250938806545319
IL1R1	VTN	0.23038509492263248
IL1R1	MUC16	0.14985678515916145
IL1R1	CCL3	0.2402495534579412
IL1R1	FABP4	0.3669747100632801
SERPINF1	CXCL16	0.1705730599379809
SERPINF1	RBP4	0.3495395565401136
SERPINF1	SELENOP	0.36684288612652516
SERPINF1	CFI	0.4084376284803781
SERPINF1	APOD	0.2842473713997
SERPINF1	GPX3	0.2770820986191147
SERPINF1	TNFRSF1B	0.22295070462689104
SERPINF2	VTN	0.5173719519716435
SERPINF2	THRB	0.4973123547504166
SERPINF2	JCHAIN	0.35251704992574595
SERPINF2	ITIH1	0.5027616728400481
SERPINF2	GC	0.4043802976849511
SERPINF2	KITLG	0.16476592101969967
SERPINF2	APOC1	0.40068672495378
FLT3LG	CXCL9	0.24324150910337927
FLT3LG	IL6R	0.10550189100094975
FLT3LG	CLEC3B	0.14301696176493994
FLT3LG	IL10RB	0.31145880727908093
FLT3LG	CD5	0.28689448640505777
RNASE3	U6	0.17250919414347354
RNASE3	OLR1	0.4667952450793873
RNASE3	VEGFD	0.1815529176268642
RNASE3	VEGFA	0.2587125185348338
RNASE3	CD40LG	0.23946298062399496
DKK1	CXCL6	0.4868090813274817
DKK1	CXCL1	0.6895754145314825
DKK1	F2R	0.5409745518643572
DKK1	CD274	0.8139534768523431
DKK1	AMBP	0.11079987584377093
PRAP1	TNFSF10	0.15411229916300861
PRAP1	TNFRSF11B	0.3401123032958102
PRAP1	S100A12	0.2989987976379389
PRAP1	REN	0.21520834835922198
PRAP1	MMP10	0.30936171154985725
PRAP1	TNFRSF1A	0.5198759391591903
PRAP1	LRG1	0.29555721360239495
AZGP1	RBP4	0.36193423425005644
AZGP1	SERPINA6	0.3775174656940612
AZGP1	RETN	0.17811140414719873
AZGP1	AGT	0.3893053393530508
AZGP1	LRG1	0.3435774091345225
RBP4	SERPINF1	0.35713879852856945
RBP4	AZGP1	0.3679171146261142
RBP4	FBLN1	0.2868504016689428
RBP4	APOH	0.3609633776499468
RBP4	Total-IGHG	0.30557293631449056
RBP4	ESM1	0.1490046089966821
RBP4	MBL2	0.30646394502513363
RBP4	IL13	0.07243969643457593
RBP4	CD5L	0.2964315806905331
RBP4	TTR	0.4259953764991824
RBP4	ABCF1	0.28718294278199874
RBP4	APOC3	0.3544689980269844
PAPPA	PGF	0.21911245962612114
PAPPA	GSN	0.142867412180939
PAPPA	SERPIND1	0.16960551294599036
SERPING1	LPA	0.39096427116295107
SERPING1	Total-IGHG	0.37124238725948544
SERPING1	TNFRSF9	0.1284453632610063
SERPING1	SERPINC1	0.4151673875731783
SERPING1	CD5L	0.29758884871242053
SERPING1	CPN2	0.40759077010222633
SERPING1	APOC3	0.4223971166480034
CFB	CLU	0.4767047376597038
CFB	HBE1	0.3556018243350225
CFB	CFH	0.6144274265803142
CFB	C2	0.6562494242550532
