Regulator	Target	MI
SPON1	IL6R	0.2898349165435299
SPON1	TNFRSF1B	0.3050864494125616
SPON1	FBLN1	0.13652098468004592
SPON1	TNFRSF11B	0.3079553660912113
PGLYRP2	CPN2	0.4208279033798661
PGLYRP2	C7	0.27782119941603867
PGLYRP2	APOH	0.47236827602523235
PGLYRP2	ALB	0.4765571795441872
C4BPA	CFI	0.6095957766908713
C4BPA	C2	0.5349655263229769
C4BPA	ITIH4	0.4504616856680128
C4BPA	CD5L	0.38406496078776087
C4BPA	GSN	0.34090811888271944
C4BPA	SERPIND1	0.4818369456116933
C4BPA	APOC3	0.405634775640781
C4BPA	VEGFA	0.1962484012277219
SLC4A1	IGHG4	0.27410789292136695
SLC4A1	APOH	0.2809573541590096
SLC4A1	APOC1	0.28292162355575545
TNFSF10	DNER	0.2874246423659006
TNFSF10	PLAUR	0.3209096743559252
TNFSF10	CMA1	0.2604505298996722
IL12B	TNFSF11	0.1650743667703285
IL12B	MBL2	0.11877461636468034
IL12B	TNFRSF9	0.4022911072866586
IL12B	KITLG	0.19967416290398798
TNFSF11	IL12B	0.1588721792553187
TNFSF11	TNFRSF1A	0.1809829489424235
TNFSF11	SELPLG	0.13479246994612915
TNFSF11	C7	0.16484769715150005
TNFSF11	CCL20	0.12400895075321472
TNFSF11	CMA1	0.21160363765510226
IL15RA	FGF5	0.42700803186023073
IL15RA	NRTN	0.12901566020708266
IL15RA	PRAP1	0.2867265576698399
IL15RA	TGFA	0.42212489902700145
IL15RA	LTA	0.2906998101745577
IL15RA	CCL8	0.2974663425827133
IL15RA	CCL25	0.2799259619714558
IL1R1	CSF1	0.2726884741497768
IL1R1	CFI	0.22195997953585866
IL1R1	TNFSF14	0.23179157006718576
IL1R1	FABP4	0.3422499030974979
SERPINF1	AZGP1	0.3888390344935422
SERPINF1	C5	0.31512312497447503
SERPINF1	SHBG	0.2394744319990707
SERPINF1	GPX3	0.3069782800925527
SERPINF1	CD5L	0.2805400820889883
SERPINF1	AFM	0.3229798100154886
SERPINF2	VTN	0.4796499302402317
SERPINF2	C6	0.3267047784055892
SERPINF2	APOA1	0.3290200915095447
SERPINF2	SAA4	0.42568231459670347
SERPINF2	ITIH1	0.45381356613185453
SERPINF2	ERVMER34-1	0.5427831233448606
SERPINF2	IL18R1	0.11399130243315447
FLT3LG	CXCL5	0.18832592331233755
FLT3LG	PLAUR	0.35337361517185784
FLT3LG	FGF21	0.13096406794914106
FLT3LG	IL10RB	0.3361062476667147
FLT3LG	PSPHP1	0.16853147160156556
RNASE3	ESM1	0.11615721240465327
RNASE3	OLR1	0.34734129358482324
DKK1	CXCL1	0.6487634446796928
DKK1	CCL8	0.27692453376567894
DKK1	S100A12	0.20757449790753846
DKK1	IL7	0.37137172905823057
PRAP1	IL15RA	0.285554436893416
PRAP1	TIMELESS	0.2928993998037024
PRAP1	TNFRSF10B	0.4962702318301959
PRAP1	OLR1	0.29888053671158854
PRAP1	MMP12	0.39438336673180174
PRAP1	LRG1	0.2504312734765719
AZGP1	SERPINF1	0.4003362597194178
AZGP1	RBP4	0.40735083535376937
AZGP1	SELENOP	0.26841924008222584
AZGP1	CXCL9	0.16020061709687194
AZGP1	AGT	0.31324164630667983
RBP4	AZGP1	0.4041573582208544
RBP4	APOM	0.29560698091355864
RBP4	APOH	0.3724925136885364
RBP4	TF	0.269954152538328
RBP4	SHBG	0.27237762969147017
RBP4	APOC3	0.37691431706330825
PAPPA	NT-pro-BNP	0.13765872772714172
PAPPA	ESM1	0.15867459597980993
PAPPA	CFH	0.1963122698855102
PAPPA	TNFRSF10B	0.19268925147739058
PAPPA	CD6	0.11886233655324752
PAPPA	XPNPEP2	0.09913508350273315
PAPPA	AGRP	0.16702280194709918
SERPING1	HBE1	0.30132488078937403
SERPING1	VTN	0.32831440674079726
SERPING1	APOM	0.3494078688282185
SERPING1	CTSD	0.12889370663911137
SERPING1	SERPINC1	0.46223124580509367
CFB	CLU	0.41930521223387984
CFB	CFH	0.5167517882821668
CFB	PSPHP1	0.43694564119352464
CFH	PLAT	0.33862670005081075
CFH	PAPPA	0.20000624319295213
CFH	CFB	0.5085691353130812
