Regulator	Target	MI
SPON1	CXCL16	0.2953884733977725
SPON1	TNFRSF11B	0.3395753781305402
SPON1	CXCL10	0.2259640148906552
SPON1	GH1	0.13642185469740653
SPON1	TNFRSF1B	0.331518827363559
SPON1	C1QB	0.1736443061548565
SPON1	KITLG	0.17837253635528416
SPON1	PTX3	0.09371053707886379
SPON1	TEK	0.2757225837947024
PGLYRP2	KNG1	0.37028506819490836
PGLYRP2	ALB	0.38964090281736397
PGLYRP2	JCHAIN	0.254838666890814
C4BPA	CLU	0.5675690945962817
C4BPA	C3	0.4410001399913819
C4BPA	C6	0.45418027176751163
C4BPA	AMBP	0.46335910781649847
C4BPA	THRB	0.5959592757188048
C4BPA	C1S	0.48197542794952053
C4BPA	PLG	0.43878709777862834
C4BPA	APOC3	0.39573807234115943
C4BPA	CD5	0.13267081160974037
SLC4A1	PSPHP1	0.27906968159956946
SLC4A1	IKBKG	0.15765951966330416
SLC4A1	SERPINC1	0.3450542862348618
SLC4A1	CPN2	0.27025926310909565
SLC4A1	IL2RB	0.044588298839913776
TNFSF10	CMA1	0.3015437947214492
TNFSF10	PLAUR	0.25072030670671186
TNFSF10	CD5	0.273145469967516
IL12B	CXCL9	0.27949030777599315
IL12B	CSF1	0.17326145191071785
IL12B	IL10	0.24598352672722967
IL12B	CCL7	0.23142271537708403
IL12B	BDNF	0.2520191987851259
IL12B	TNFRSF9	0.3679428725984195
TNFSF11	FGF5	0.10212263264385868
TNFSF11	LTA	0.10998733540357541
TNFSF11	TTR	0.09588839231832846
TNFSF11	CCL20	0.12861823893278235
TNFSF11	CMA1	0.2068764058231105
IL15RA	FGF5	0.3276771029960859
IL15RA	IFNG	0.23860365921622062
IL15RA	TGFA	0.4159360399147678
IL15RA	CCL8	0.24512602197629096
IL15RA	EIF4EBP1	0.191522382560521
IL15RA	IL10RB	0.4054166775908703
IL15RA	IL10RA	0.20451706253250013
IL15RA	IL5	0.14608433032759915
IL15RA	IL17C	0.24647676713403222
IL1R1	OLR1	0.38376314477720097
IL1R1	CSTB	0.2887354070360617
IL1R1	GH1	0.1284193929709918
IL1R1	LEP	0.2664360492967246
SERPINF1	APOH	0.3602572360864613
SERPINF1	APOD	0.2972801293376026
SERPINF1	APOE	0.347946172667398
SERPINF1	FASN	0.1513840513606608
SERPINF1	JCHAIN	0.2395093594288955
SERPINF1	MBL2	0.2989396610102464
SERPINF1	AHSG	0.3220117749122089
SERPINF1	AFM	0.4343988743188989
SERPINF2	A1BG	0.40907310840430533
SERPINF2	FN1	0.30458778173077494
SERPINF2	AHSG	0.27876521262548604
SERPINF2	LTA	0.11999258772412791
SERPINF2	ITIH1	0.5769971424146041
SERPINF2	ERVMER34-1	0.44502274160501365
SERPINF2	CMA1	0.12376178995620002
SERPINF2	APOC3	0.3799250134552157
FLT3LG	NRTN	0.05792403041172456
FLT3LG	PLAUR	0.2761410977703118
FLT3LG	NGF	0.1376908401597916
FLT3LG	IL1RL1	0.08728266539543306
FLT3LG	NTF3	0.27556969606927684
FLT3LG	IL10RB	0.2781051409045796
FLT3LG	TNFSF12	0.3043105930075303
FLT3LG	APOC3	0.13180044882539033
RNASE3	OLR1	0.38950285979452737
RNASE3	DKK1	0.2740566881726805
RNASE3	APOH	0.10848357910437656
RNASE3	CXCL11	0.17483756560763997
DKK1	RNASE3	0.2740566881726805
DKK1	CD274	0.7505408947843373
PRAP1	TNFRSF10B	0.46954875772626803
PRAP1	IL27	0.28335898247674596
PRAP1	OLR1	0.29162760440833946
PRAP1	VEGFD	0.1739276401945853
AZGP1	F13A1	0.26602649507468445
AZGP1	RBP4	0.281159245634762
AZGP1	APOD	0.26670145539242895
AZGP1	FN1	0.26142727690423406
AZGP1	SHBG	0.2937199046163066
AZGP1	CCL11	0.12493321899847398
AZGP1	ITIH1	0.398202721818528
RBP4	IGHG2	0.2799271716191578
RBP4	AZGP1	0.281159245634762
RBP4	TTR	0.35309533175461283
RBP4	GSN	0.24255393198135078
RBP4	APOC3	0.4194366898815183
RBP4	LRG1	0.3407041699447717
PAPPA	THRB	0.1451199510464809
PAPPA	PGF	0.21242595858482538
SERPING1	ORM2	0.42801584258365555
SERPING1	APOA1	0.30744962212113514
SERPING1	HBA1	0.2490145334170384
SERPING1	SERPINC1	0.46867102818396944
SERPING1	CD5L	0.32308663026900586
CFB	CFH	0.5709385102989009
CFB	CFI	0.6061129157518756
CFB	C2	0.47685970488722607
CFB	C5	0.4374170949947498
CFB	SELE	0.12226518061377067
CFB	MRS2	0.4336719628905348
CFB	SERPINA6	0.3800651764234102
CFB	FGA	0.39972163787439907
CFB	C1R	0.5043272096641891
CFH	IGHG2	0.29401038432280746
CFH	CFB	0.5496794064557697
CFH	VTN	0.5047733220203501
CFH	C6	0.4236496766345734
CFH	TF	0.3186457201957369
CFI	IL6R	0.19568582957060343
CFI	CFB	0.6257547685322367
CFI	C3	0.48441011048300453
CFI	PSPHP1	0.44170088257418083
CFI	C1QB	0.4395786236536665
CFI	PLG	0.4236961218532951
CFI	ABCF1	0.25179867496339803
CFI	ERVMER34-1	0.5706687970871664
CFI	SERPIND1	0.5268793933109475
IL20RA	NRTN	0.13017327092431774
IL20RA	IL10RA	0.1805106797619116
IL20RA	APOC3	0.09299329724348127
IL20RA	IL1A	0.11268666896434354
PDGFB	HBD	0.06678803187996696
PDGFB	SULT1A1	0.11935255098572384
PDGFB	IL15RA	0.16066044540362334
PDGFB	TSLP	0.10355813144668158
PDGFB	LIF	0.11736274202176222
PDGFB	IL2	0.11851303058955143
TGFA	CCL4L1	0.25706394864620563
TGFA	IL10	0.33244166101166606
TGFA	IL15RA	0.4280041537897885
TGFA	C1S	0.09633144636161184
TGFA	MUC16	0.10438501980353809
TGFA	TNFRSF9	0.43224330342785056
TGFA	OSM	0.3183214089758888
TGFA	IL7	0.2294035416335669
A1BG	SERPINF2	0.40907310840430533
A1BG	C2	0.5201750019452334
A1BG	APOM	0.30349603929654023
A1BG	C6	0.3998789412888959
A1BG	CD5L	0.3176557286438033
A1BG	CPN2	0.4101009310451236
A1BG	LRG1	0.36004785714964793
A1BG	KLKB1	0.37215246899783416
A1BG	PF4	0.28532854288085474
HPR	TNFRSF10B	0.18562167550134934
HPR	MRS2	0.2976487170194959
HPR	APOL1	0.5551124052622676
HPR	APOC3	0.3014010910656282
C2	PGLYRP2	0.3654199342512312
C2	CLU	0.5004277017288681
C2	CFB	0.47685970488722607
C2	A1BG	0.5281727211952658
C2	VTN	0.45774651258620747
C2	SERPINA3	0.4201269338070963
C2	SERPINA7	0.553441558174347
C2	IFNG	0.12289446539721816
C2	SERPINC1	0.3780286894843643
C2	ERVMER34-1	0.4899973942605085
KLK6	GAL	0.20147774200417157
KLK6	AGER	0.22058581964383173
KLK6	C7	0.13965704200294038
KLK6	CCL20	0.11922509715584884
KLK6	VEGFA	0.29165680181801346
KLK6	XPNPEP2	0.0847209674599263
C3	C4BPA	0.4410001399913819
C3	CFI	0.4348397002494728
C3	APOH	0.4180503818037131
C3	SERPINA7	0.3767885526672501
C3	ITIH4	0.40372091195164206
SULT1A1	CXCL5	0.5239030230827764
SULT1A1	STAMBP	0.7683664376291537
C5	IGHG4	0.2883056742943815
C5	CFB	0.42863198400282077
C5	CFH	0.4446325867736771
C5	AMBP	0.474632240890835
C5	SERPINA3	0.41426791109577543
C5	C8A	0.47182172375231346
C5	SAA4	0.33448198657831973
APOM	IL6R	0.18469409703419526
APOM	MBL2	0.3507511041513798
APOM	Total-IGHG	0.27798051153978864
APOM	APOD	0.30125547960890486
APOM	APOL1	0.30089882804069124
APOM	APOC2	0.44680072997429043
C6	C4BPA	0.44612526272787356
C6	CFH	0.4218790964364443
C6	A1BG	0.3998789412888959
C6	C5	0.4221477157733391
C6	BDNF	0.12807637386347448
C6	HRG	0.31887589382149883
C6	SERPINA3	0.5011715446514433
C6	JCHAIN	0.27772830781819025
C6	FGG	0.46987794119761706
C6	TNFRSF1B	0.17638809072995087
C6	C1R	0.4448638447688955
C7	IL15RA	0.1322683449808011
C7	HBE1	0.3067554311148397
C7	KLK6	0.14845846462159518
C7	HBD	0.37044321499246724
C7	ITIH4	0.4067757209704732
C7	TTR	0.4930436426842144
C7	GDF15	0.14197128787019064
C7	C1QC	0.27239627714391546
APOH	SERPINF1	0.3599560703980691
APOH	RNASE3	0.10848357910437567
APOH	C3	0.42448619778832075
APOH	AMBP	0.4630264721748736
APOH	APOA1	0.31268318797941674
APOH	C1R	0.5261292583021362
APOH	SERPINC1	0.4305297484970101
APOH	ERVMER34-1	0.530730093232866
Total-IGHG	IGHG1	0.6527595239454085
Total-IGHG	IGHG2	0.3794019351930302
Total-IGHG	APOM	0.2895641570769234
Total-IGHG	IGHA1	0.2616936676049564
Total-IGHG	PSPHP1	0.4055054063298167
S100A12	OLR1	0.380935596711919
S100A12	MMP3	0.16035429306977989
S100A12	C1QC	0.1539540303159992
APOD	SERPINF1	0.3181904349547997
APOD	AZGP1	0.2829361247849995
APOD	KNG1	0.29356721785618856
APOD	APOM	0.30684795590522906
APOD	FGF19	0.17827606253420658
APOD	IGHM	0.26675025574454647
APOD	HBD	0.27275483776542675
APOD	SERPINA6	0.27551095209708887
APOD	GPX3	0.30891217882266986
APOD	GAL	0.13231224427635357
APOD	SAA4	0.2806965987740737
APOE	SERPINF1	0.347946172667398
APOE	HBE1	0.27097074815168654
APOE	EIF4EBP1	0.1740246280229023
APOE	APOC2	0.4891778798911446
APOB	FGA	0.2776066212896531
APOB	AFM	0.3306584366176777
APOB	TTR	0.36670690304192277
APOB	APOC2	0.4012597853013151
APOB	PF4	0.2655061919118147
IGHA1	IGHG4	0.30690179527413086
IGHA1	HBE1	0.31601510071651173
IGHA1	SELENOP	0.26474659830121183
IGHA1	Total-IGHG	0.2651605287834542
IGHA1	IGHA2	0.4167502209817746
IGHA1	AMBP	0.34468778788620824
IGHA1	APOL1	0.3346917887677803
IGHA1	AGT	0.2902210701002037
IGHA2	TIMELESS	0.13459886786297837
IGHA2	LPA	0.32473127668641766
IGHA2	FBLN1	0.26743897970551256
IGHA2	IGHA1	0.4549669318668066
IGHA2	JCHAIN	0.24361984833345485
IGHA2	MMP3	0.19476066116757806
IGHA2	ERVMER34-1	0.32259764542050995
SLAMF1	IGHG1	0.1528269792033745
SLAMF1	PLAUR	0.31856805716050207
SLAMF1	LIFR	0.4113784741572255
SLAMF1	IL10RB	0.33160958991506284
SLAMF1	CXCL10	0.23207487371482127
TNFSF14	OLR1	0.2964965608946972
TNFSF14	EGF	0.5721537793493017
TSLP	IL2RB	0.0984324470338569
TSLP	CCL19	0.051712027372255776
TSLP	GC	0.053210391355905884
TNFSF12	PLAT	0.12844950847498282
TNFSF12	FGF5	0.25370885608036176
TNFSF12	FLT3LG	0.3061649333892644
TNFSF12	ITIH1	0.12636969953847554
TNFSF12	GSN	0.10822367302171187
TNFSF12	TNFRSF9	0.2988426885664044
FN1	SERPINF2	0.3045877817307767
FN1	FGA	0.4125984806571603
FN1	CD5L	0.2676766980264542
LIF	IL20	0.16479231789435023
LIF	NRTN	0.15149535921886592
LIF	IL15RA	0.16108847470379573
CP	LIFR	0.11757980237387322
CP	SERPING1	0.3259089944541893
CP	LPA	0.2655342469169897
CP	GH1	0.13008773361578907
CP	SHBG	0.2953689806809745
CP	SERPINA3	0.43922358933378725
CP	SERPINA7	0.39920052331987943
CP	ITIH4	0.5160166736451117
CP	IL1RL1	0.10268097223433958
CP	CLEC3B	0.3719633905938462
CP	NTF3	0.1535435551108213
IL22RA1	IL20RA	0.11289594109018264
IL22RA1	IL2	0.10559175036640145
TF	HSPB1	0.10122143577632858
TF	HBA1	0.2640781280014046
TF	CFH	0.32100999203947733
TF	ALB	0.37507113027167627
ARTN	TSLP	0.1059103469969882
ARTN	IL24	0.11560388237306718
ARTN	IL20RA	0.16634263727504006
ARTN	PLAUR	0.056808337269137255
