Regulator	Target	MI
SPON1	CXCL16	0.2770859570206117
SPON1	FST	0.23117343104074095
SPON1	PGF	0.348997662378018
SPON1	TNFRSF11B	0.3964456385333648
SPON1	AGER	0.24866938711011066
SPON1	FASN	0.3289490885308206
SPON1	SELPLG	0.15015336957466374
PGLYRP2	SLC4A1	0.3421567768205671
PGLYRP2	APOH	0.46464781423657797
PGLYRP2	PSPHP1	0.4117308630430667
PGLYRP2	ALB	0.5101277808321214
PGLYRP2	HRG	0.4055639371678348
PGLYRP2	SERPINA7	0.3958149841529863
PGLYRP2	CHI3L1	0.11772898960569123
PGLYRP2	CPN2	0.4559141665038018
C4BPA	F13A1	0.4277780356643186
C4BPA	CFI	0.6940362758438203
C4BPA	C2	0.6729430392761575
C4BPA	AMBP	0.5745239916925398
C4BPA	TSLP	0.04508061963271448
C4BPA	SERPINA3	0.5494310212267122
C4BPA	THRB	0.5745770166700428
C4BPA	C8A	0.4982575891299863
C4BPA	MMP7	0.1533265288996688
C4BPA	FGG	0.5368089806336167
C4BPA	ITIH4	0.5839103164956123
C4BPA	CPN2	0.5019408319018615
C4BPA	CLEC3B	0.5075096609676644
C4BPA	APOC3	0.44713266744683544
SLC4A1	PGLYRP2	0.35709425185962473
SLC4A1	APOM	0.3788722120224586
SLC4A1	FN1	0.44166037673461744
SLC4A1	SERPINA6	0.37452570874107405
SLC4A1	STOM	0.3736244627443952
SLC4A1	APOC2	0.3388842237566223
TNFSF10	DNER	0.4088716183844552
TNFSF10	IL6R	0.14034833549284187
TNFSF10	IL13	0.09845583743194375
TNFSF10	CFH	0.13246261520034963
TNFSF10	TGFA	0.3387615016543135
TNFSF10	BDNF	0.1453416199449844
TNFSF10	CMA1	0.39736880339897684
IL12B	PGLYRP2	0.1536785747228686
IL12B	FLT3LG	0.3608473052715988
IL12B	TNFRSF1B	0.33943126091931397
IL12B	CD5L	0.14329812014165366
IL12B	TNFRSF9	0.39090969385661545
IL12B	IL5	0.08308346906193353
TNFSF11	ADM	0.16420024931971877
TNFSF11	PRL	0.14681254861011972
TNFSF11	IL1R1	0.1856641242172392
TNFSF11	SELENOP	0.1520449579193155
TNFSF11	FGF23	0.20508036488888504
TNFSF11	CMA1	0.3952550024892654
TNFSF11	GH1	0.08911762472112006
IL15RA	TGFA	0.3756452295419406
IL15RA	SLAMF1	0.29505727406910065
IL15RA	APOA2	0.16160703504441987
IL15RA	TNFRSF1A	0.2531668252977797
IL15RA	IFNG	0.21727788461221031
IL15RA	CST5	0.2542804470097444
IL1R1	TNFSF11	0.1856641242172392
IL1R1	SELE	0.25075570076059694
IL1R1	OLR1	0.3548014229450356
IL1R1	C1QB	0.2195483872313142
IL1R1	VEGFA	0.3454866188271959
SERPINF1	CFH	0.42756689261043945
SERPINF1	APOH	0.45941724987987076
SERPINF1	MB	0.14554909536363336
SERPINF1	CCL8	0.13924258372394238
SERPINF1	CMA1	0.15361656776716792
SERPINF2	SELENOP	0.39623296832662724
SERPINF2	AHSG	0.4654518551196629
SERPINF2	PLG	0.5596746626852038
SERPINF2	ITIH1	0.6146900923937739
SERPINF2	ABCF1	0.43515209808712463
SERPINF2	C1QC	0.46437853197896306
FLT3LG	DNER	0.4021427198790919
FLT3LG	IL12B	0.36652464629863335
FLT3LG	OLR1	0.15714798728132884
FLT3LG	STOM	0.1395320199183896
RNASE3	OLR1	0.3805247712800961
RNASE3	FST	0.16863452845644034
RNASE3	LTA	0.19141671573314145
DKK1	CD274	0.6992298583566106
PRAP1	NPPB	0.22070927521924677
PRAP1	TNFRSF11B	0.43246378671154595
PRAP1	SERPINA1	0.21270722040836265
PRAP1	OLR1	0.41912677510269436
PRAP1	TNFRSF1A	0.6024099450730285
PRAP1	CCL3	0.4216035263003315
AZGP1	RBP4	0.5021407521001393
AZGP1	APOH	0.46419768831642383
AZGP1	REN	0.1693489751282593
AZGP1	FGA	0.41434099390108425
AZGP1	GC	0.46055230035048655
AZGP1	GSN	0.5277845287565697
AZGP1	APOC3	0.45194843925799066
RBP4	AZGP1	0.5027849613313409
RBP4	FBLN1	0.35629151405950044
RBP4	KNG1	0.46263467724339336
RBP4	IL10	0.1164278636553675
RBP4	APOA2	0.4006640091934379
PAPPA	IL27	0.1896796418254567
PAPPA	PGF	0.24516281446485433
PAPPA	CCL13	0.12465187557763446
PAPPA	ITIH1	0.16704439939007898
PAPPA	CST5	0.12935519661956807
PAPPA	REN	0.1737604163552433
SERPING1	IGHG2	0.41816955354029695
SERPING1	CP	0.4910669328051931
SERPING1	SERPINC1	0.5265738834992106
SERPING1	AGT	0.4971599452641797
CFB	CFI	0.6772132296301372
CFB	C2	0.6931624775999596
CFB	APOA2	0.3941488250735299
CFH	PLAT	0.23552506930792205
CFH	SERPINF1	0.42352556511302986
CFH	HBE1	0.3830043564854124
CFH	CFI	0.6852104434522959
CFH	FBLN1	0.4327558767096802
CFH	KNG1	0.4769832155956868
CFH	C5	0.5339085108424451
CFH	SHBG	0.43826281098666087
CFH	C1QB	0.4536999032530389
CFH	AFM	0.4259148148435159
CFH	FABP4	0.3142455578850951
CFI	C4BPA	0.6891934267940041
CFI	CFB	0.6768207125138019
CFI	CFH	0.6906236826135261
CFI	C3	0.5856035363593994
CFI	VTN	0.5830340242179082
CFI	SERPINA6	0.6796589391636552
CFI	C1S	0.5976299425557094
CFI	SAA4	0.4826699732106352
CFI	PLG	0.5077135217272115
CFI	ERVMER34-1	0.6439003627778312
CFI	SERPIND1	0.5631471101490533
CFI	LEP	0.26337940944495486
IL20RA	IL24	0.175240755150587
IL20RA	IGHG3	0.10483273138643234
IL20RA	NRTN	0.15911651114036918
IL20RA	PDGFB	0.1726349617450067
IL20RA	IL22RA1	0.11190676377021891
IL20RA	IL17A	0.19683635083935158
PDGFB	IL20RA	0.17633019123214488
PDGFB	IFNG	0.16842124101892697
TGFA	CCL4L1	0.33663843913279745
TGFA	TNFSF10	0.3387615016543135
TGFA	IL15RA	0.3814104045215405
TGFA	EIF4EBP1	0.25081268913638066
TGFA	GDNF	0.4108925712146334
TGFA	MBL2	0.10781060509182794
TGFA	MMP12	0.2416727239962455
TGFA	CCL13	0.2951759653638035
TGFA	CCL8	0.3238723629167817
TGFA	NTF3	0.2597645623128182
TGFA	CD5	0.3936978100469055
A1BG	FBLN1	0.4127335386024624
A1BG	KNG1	0.4778301366743589
A1BG	C2	0.49418551814426337
A1BG	AMBP	0.5533641321210121
A1BG	SERPINA1	0.5067917836355198
A1BG	CD5L	0.4504804734338519
A1BG	CPN2	0.4982629944584689
A1BG	LRG1	0.4503615719531071
A1BG	C1QC	0.43894253878818645
HPR	FCN3	0.32873015490616275
HPR	IL20RA	0.12307411877215024
HPR	APOH	0.38977347377637983
HPR	MRS2	0.3689059657672633
HPR	IL27	0.2517385063340214
HPR	STOM	0.3471921128824471
HPR	APOL1	0.6497375501720359
C2	C4BPA	0.6865776271689326
C2	CFB	0.6900491991763893
C2	A1BG	0.49450438291995535
C2	C6	0.4977022198374046
C2	CP	0.4903645807679897
C2	SERPINA7	0.5323103861086178
KLK6	CCL4L1	0.11068133435495575
KLK6	GAL	0.3640025149119728
KLK6	KLK11	0.15800728113030438
KLK6	FASN	0.17150092936000227
KLK6	AGRP	0.17623534192561152
C3	CFI	0.5884396827113907
C3	CCL19	0.11053512210035699
SULT1A1	IKBKG	0.49453114153734834
SULT1A1	STAMBP	0.8475672358797892
SULT1A1	IL7	0.439523570110806
SULT1A1	PF4	0.5051361689986091
C5	CFH	0.5240189843833107
C5	C8A	0.46758224412129756
C5	FGG	0.5373955564719619
C5	ITIH4	0.48404505024114375
APOM	SLC4A1	0.37996344258403525
APOM	IGHG3	0.3441332680078748
APOM	APOD	0.4159701055953544
APOM	GPX3	0.3854356236441463
APOM	APOC1	0.4819611319295296
C6	C2	0.5143247034305451
C6	SERPINA3	0.5016229830115329
C6	CXCL1	0.14353058625755732
C6	C1S	0.49693410429124985
C7	HBD	0.31464953414062347
C7	ITIH4	0.5271166380037045
APOH	SERPINF1	0.464241702694034
APOH	HBE1	0.37254382010913023
APOH	AZGP1	0.4627646339105089
APOH	HPR	0.3572027296352047
APOH	APOB	0.45396809192886867
APOH	AMBP	0.6730514718177396
APOH	ORM2	0.47219974171261914
APOH	AHSG	0.397068188792697
APOH	AFM	0.40971945803871
APOH	ABCF1	0.48501344345536257
APOH	ERVMER34-1	0.5831182361516891
APOH	IL10RB	0.19581692357152214
Total-IGHG	IGHG4	0.3904487494597051
Total-IGHG	IGHG1	0.8592140073394647
Total-IGHG	IGHG2	0.5505808787065192
Total-IGHG	SHBG	0.3589798031999756
Total-IGHG	CD5L	0.4254719164765568
Total-IGHG	VEGFD	0.13297026379537336
Total-IGHG	PF4	0.43935917031912286
S100A12	IL6R	0.2519360537225692
S100A12	IL6	0.2663182290293298
S100A12	OLR1	0.45163211848099927
S100A12	CSTB	0.27382123770339106
S100A12	IL1RL1	0.2164616025905124
S100A12	IL10RA	0.09665225654155307
S100A12	AGT	0.17374763316456399
APOD	F13A1	0.3302014622387439
