Regulator	Target	MI
SPON1	FCN3	0.15929219957370933
SPON1	MPO	0.22489612531579706
SPON1	TNFRSF1B	0.3213037425177072
SPON1	TNFRSF11B	0.35186727419794295
SPON1	AGER	0.19782816213524512
PGLYRP2	SERPINA1	0.3229299774116301
PGLYRP2	SERPINA7	0.36684045436620494
PGLYRP2	JCHAIN	0.25326054000494125
PGLYRP2	FGF23	0.0868128545575857
PGLYRP2	AGT	0.35102638649459905
PGLYRP2	ALB	0.3043762327497861
C4BPA	CLU	0.497708370214184
C4BPA	C2	0.6056235343421639
C4BPA	MRS2	0.4819882428651283
C4BPA	THRB	0.45135559739518616
C4BPA	SERPINA6	0.4043441310977114
C4BPA	ORM2	0.44613436226230974
C4BPA	AHSG	0.3042051924448108
C4BPA	ITIH1	0.4670217411757056
C4BPA	GC	0.4319409661616005
C4BPA	ERVMER34-1	0.5644067664912606
C4BPA	APOC3	0.3244587410980939
C4BPA	KLKB1	0.3796877065240958
SLC4A1	LPA	0.26860818651633256
SLC4A1	APOH	0.27082039557021975
SLC4A1	MBL2	0.2566891813994294
SLC4A1	HBA1	0.3253388187515691
TNFSF10	CLU	0.12197559090110044
TNFSF10	IGHG4	0.16643496516435885
TNFSF10	DNER	0.3002655507018446
TNFSF10	CCL13	0.20963807951553282
TNFSF10	CCL11	0.22206711659232337
TNFSF10	CMA1	0.31327377829601843
TNFSF10	IL10RB	0.2750442839327851
TNFSF10	SELE	0.09624506145088585
TNFSF10	LEP	0.11978222835868113
IL12B	MBL2	0.11178745721477323
IL12B	CCL3	0.22441712199231834
IL12B	TNFRSF9	0.36785361247942294
IL12B	CXCL10	0.2615101216176292
TNFSF11	NT-pro-BNP	0.08900483829668548
TNFSF11	TTR	0.13383481235075223
TNFSF11	CCL3	0.0980019617322041
TNFSF11	CMA1	0.18292713018356732
TNFSF11	STAMBP	0.06473389558370268
IL15RA	IL20	0.15139719346120017
IL15RA	FGF5	0.29695466061841014
IL15RA	CD5	0.270359241904254
IL1R1	CSF1	0.20842694828059294
IL1R1	DNER	0.12909951463698288
IL1R1	IL6R	0.2273997603368043
IL1R1	HGF	0.3159102777953571
IL1R1	CCL4	0.18521272656534116
IL1R1	FABP4	0.31211007488736264
SERPINF1	IGHG1	0.24759371525504736
SERPINF1	TNFRSF1A	0.16623849669310786
SERPINF1	AFM	0.2968576903059814
SERPINF1	AMBP	0.37312907343536583
SERPINF1	AGT	0.3507957959726422
SERPINF1	GH1	0.17632343747613533
SERPINF1	LEP	0.1863147054085479
SERPINF2	THRB	0.4703195555094055
SERPINF2	IL10RB	0.11449255658142121
FLT3LG	STAMBP	0.11651542462876385
FLT3LG	NTF3	0.1576399683498133
FLT3LG	IL10RB	0.1957898661437092
FLT3LG	APOC3	0.11378098279407212
RNASE3	APOA4	0.1244692773314302
RNASE3	S100A12	0.30281992103682764
DKK1	CXCL6	0.423040207901729
DKK1	CD274	0.6158025280245836
PRAP1	MMP7	0.2911229818750529
PRAP1	MMP1	0.14869055026191003
PRAP1	TNFRSF1A	0.4992740946321197
AZGP1	RBP4	0.3022923376227702
AZGP1	SELENOP	0.25942064999259795
AZGP1	GC	0.3565306204915535
RBP4	AZGP1	0.3013842510915783
RBP4	SERPING1	0.3070121313047327
RBP4	SHBG	0.2636388241280434
RBP4	SERPINA1	0.2765182301438127
RBP4	GSN	0.24859304855061382
RBP4	IL17A	0.05089838205383934
PAPPA	THRB	0.11803610669012699
PAPPA	TGFA	0.15353885793452715
PAPPA	MMP3	0.2002066538644156
PAPPA	PGF	0.18469087472383094
SERPING1	RBP4	0.30148904368734275
SERPING1	SERPINA6	0.3732843725073991
SERPING1	MBL2	0.26091160584492457
SERPING1	SERPINC1	0.47164168633017667
SERPING1	GC	0.5396011084371342
CFB	CFI	0.5887246293621313
CFB	C2	0.7244892834934848
