Regulator	Target	MI
SPON1	PGF	0.3354761612453263
SPON1	AGER	0.25118868078445633
SPON1	FGF23	0.2986309094754711
PGLYRP2	FCN3	0.32549216971743355
PGLYRP2	APOA4	0.24296757350642384
PGLYRP2	CP	0.3841984539003871
C4BPA	SERPINF2	0.3958537864381899
C4BPA	CFI	0.5804348902886742
C4BPA	KNG1	0.43179862660467805
C4BPA	C2	0.45360662497720217
C4BPA	C6	0.4292012944440913
C4BPA	THRB	0.4447399400822567
C4BPA	SERPINA6	0.45014528477223426
C4BPA	ORM2	0.44488863098528864
C4BPA	AHSG	0.2627412579224897
C4BPA	GC	0.44036895098424456
C4BPA	AGT	0.46288517338666857
C4BPA	FABP4	0.15400956721942372
SLC4A1	CFH	0.26258060057615573
SLC4A1	AMBP	0.2753504319342355
SLC4A1	PRL	0.0755870220405992
SLC4A1	MBL2	0.2797224496853046
SLC4A1	C1QB	0.289971036193041
SLC4A1	PF4	0.28720006463364633
TNFSF10	DNER	0.27228590410337006
TNFSF10	TGFA	0.30823010119657024
TNFSF10	CMA1	0.2879135437827438
TNFSF10	PF4	0.17220755098225826
IL12B	CXCL9	0.2380769651671546
IL12B	GAL	0.10687704862272973
IL12B	RETN	0.17230585145880983
IL12B	C5	0.19692354640248233
IL12B	TNFRSF9	0.3679682632647685
TNFSF11	SERPINA1	0.09786606052658176
TNFSF11	CMA1	0.2616763105759894
TNFSF11	PRAP1	0.19777915395141488
TNFSF11	FGF19	0.09667314763311285
IL15RA	PRAP1	0.1752023433226766
IL15RA	IL10RB	0.38031512987793725
IL1R1	SLAMF1	0.21890397138990103
IL1R1	LTA	0.16286562397876558
IL1R1	C1QB	0.1559165466485224
IL1R1	FABP4	0.31174353499402585
IL1R1	XPNPEP2	0.06887014488280752
SERPINF1	VTN	0.3456504332879904
SERPINF1	Total-IGHG	0.30329182405226707
SERPINF1	AMBP	0.30481520830315567
SERPINF1	GPX3	0.25223486909539794
SERPINF1	IL10RB	0.13957797077095346
SERPINF2	SELENOP	0.359055371207023
SERPINF2	AMBP	0.49764922399953626
SERPINF2	APOA4	0.27975283679200125
SERPINF2	C1R	0.4056582193807241
SERPINF2	ERVMER34-1	0.39035047520473665
FLT3LG	CXCL9	0.24065804018228487
FLT3LG	ORM1	0.14105082725617368
FLT3LG	TNFRSF9	0.309013818565413
FLT3LG	CCL28	0.23569321350023031
FLT3LG	ADA	0.32730758413322825
RNASE3	OLR1	0.41125877400090527
RNASE3	GAL	0.08359154512753975
RNASE3	VTN	0.14222252175573935
DKK1	CXCL5	0.47173403056821606
DKK1	CD274	0.6568215750572826
PRAP1	TNFSF11	0.19777915395141488
PRAP1	PSPHP1	0.19693873725387867
PRAP1	OLR1	0.29609816957035484
PRAP1	TNFRSF1A	0.491155621367807
AZGP1	IGHG1	0.2535846208193959
AZGP1	RBP4	0.32130707783474843
AZGP1	AMBP	0.35761597818697677
AZGP1	HBA1	0.2783023172605823
AZGP1	TNFRSF1A	0.17813948891017972
AZGP1	CCL11	0.17936178361972122
AZGP1	ABCF1	0.25672427592244773
AZGP1	GSN	0.30116669303396737
RBP4	AZGP1	0.32891297461777125
RBP4	SHBG	0.3459566021290996
RBP4	ESM1	0.1896878111500957
RBP4	TTR	0.33106144603845244
RBP4	CCL25	0.15177180877896568
RBP4	APOC3	0.3839718466561104
PAPPA	C2	0.1707461561332968
PAPPA	TNFRSF10B	0.14322614906549802
PAPPA	LEP	0.1463634656237458
SERPING1	IGHG2	0.29126751759303016
SERPING1	KNG1	0.4976437564692864
SERPING1	ORM2	0.37055605752717113
SERPING1	GC	0.4357256826933602
SERPING1	SERPIND1	0.38202184431658814
SERPING1	APOC3	0.4100201747571406
CFB	CFI	0.5101751470857501
CFB	C2	0.45440192422419834
CFB	C5	0.5074456677354018
CFB	ITIH4	0.45413213285552434
CFB	C1R	0.3523987417086172
CFB	LEP	0.19016037728621882
CFH	CFI	0.6521145135020792
CFH	VTN	0.5916795619115165
CFH	IGHA1	0.3058991806663238
CFH	CTSD	0.17721028986788046
CFH	FGA	0.4260362918316023
CFH	GSN	0.32528114291318033
CFH	C1QC	0.3161282213360401
CFI	C4BPA	0.5845243692459672
CFI	CFB	0.5190923956351536
CFI	CFH	0.6122584202067571
CFI	IL20RA	0.09598730869955485
CFI	SERPINA3	0.42099037006577245
CFI	FGG	0.4569364806429501
CFI	LTA	0.09477353904237962
CFI	C1S	0.4225976182317721
CFI	AFM	0.4070252792557527
CFI	ITIH1	0.4830038045454428
CFI	ERVMER34-1	0.4378539162746433
CFI	SERPIND1	0.5167104162150151
CFI	APOC2	0.4025739119188074
IL20RA	IL20	0.14526837135330872
IL20RA	CFI	0.09220784790339298
PDGFB	IL24	0.15130396923625877
PDGFB	IL22RA1	0.12231614677307512
PDGFB	IL5	0.09952667511772528
PDGFB	IL17A	0.1737641499539624
TGFA	CXCL9	0.23419060572553896
TGFA	FGF5	0.30002344047859175
TGFA	TNFSF10	0.30823010119657024
TGFA	CCL11	0.2795726428982723
TGFA	HPR	0.13244694019985204
TGFA	CST5	0.23760826739503305
TGFA	CCL25	0.27327620254799
TGFA	IL10RB	0.3755592831798493
TGFA	OSM	0.3352600974642952
TGFA	TNFRSF10B	0.17479108550078593
TGFA	GDNF	0.3940956513640055
TGFA	CD5	0.3487849209817364
TGFA	CCL28	0.38203519689335863
TGFA	IL17A	0.23533502522814054
A1BG	IL6R	0.17457166901158505
A1BG	C2	0.46358627386534756
A1BG	IGHA1	0.30283258552155523
A1BG	SERPINA3	0.41789156652235615
A1BG	THRB	0.4420155413256621
A1BG	HBD	0.35389301380187277
A1BG	CHI3L1	0.11807520162529439
A1BG	CD5L	0.30079782929985743
A1BG	ERVMER34-1	0.46268054964947325
A1BG	AGT	0.4278057236151298
A1BG	KLKB1	0.39357008485522993
A1BG	PF4	0.31473731846296893
HPR	F13A1	0.311439553586065
HPR	TNF	0.06351605506513014
HPR	TGFA	0.1313003252144993
HPR	APOM	0.43189494295964614
HPR	APOH	0.31788067101841566
HPR	SHBG	0.29837646518754557
HPR	GPX3	0.3288408786599373
HPR	APOL1	0.6907949802176709
HPR	ABCF1	0.26882144686957776
C2	CLU	0.40788597738653287
C2	PAPPA	0.16367661357946606
C2	CFB	0.4655458440702329
C2	A1BG	0.44978736462056723
C2	C3	0.5418593256572706
C2	CP	0.5051339406853366
C2	SERPINA1	0.39416537730103496
C2	SERPINA7	0.45032913204843084
C2	FGG	0.40929712597805334
C2	ITIH2	0.41700370775439577
C2	SAA4	0.3468205638262667
C2	PLG	0.3586715208455953
KLK6	PGF	0.2034488885048802
KLK6	GAL	0.2972241989359423
KLK6	TNFSF12	0.08484731058414585
C3	C4BPA	0.45396325743060206
C3	C2	0.5433697155783097
C3	TNFSF14	0.1411167181822437
C3	ITIH4	0.5352847874549083
SULT1A1	STAMBP	0.7233884696953305
SULT1A1	KLK11	0.1127550804200741
SULT1A1	ADA	0.26602990731719167
SULT1A1	PF4	0.5538945903590449
C5	C4BPA	0.4616535409324678
C5	IL12B	0.19692354640248322
C5	CFB	0.5106890945217462
C5	C8A	0.3983815709140597
C5	HBA1	0.30822046438422035
APOM	NPPB	0.10916828449627047
APOM	HPR	0.4221849124489969
APOM	APOD	0.37191040763441485
APOM	MBL2	0.27608253871662924
APOM	ITIH1	0.3433575038595027
APOM	STOM	0.2887422984947845
APOM	SERPIND1	0.30355621956838874
APOM	XPNPEP2	0.061144676144054166
APOM	APOC1	0.38358906321512354
C6	C4BPA	0.4303129859860908
C6	SERPINA3	0.42314515981564416
C6	FGG	0.42072306453735653
C6	SAA4	0.33947097696200235
C7	SHBG	0.30695631610319296
C7	HBD	0.37764894683632555
C7	ITIH4	0.5121620704690582
C7	APOC1	0.3299371552132708
APOH	HPR	0.3160044721937849
APOH	ITIH2	0.36942243160970634
APOH	C1R	0.38206312509831797
APOH	SERPINC1	0.4297444100728418
APOH	ERVMER34-1	0.4479777759986998
APOH	APOC2	0.3210961673132875
Total-IGHG	IGHG1	0.5781145470234943
Total-IGHG	IGHG2	0.3085808679063602
Total-IGHG	SERPINF1	0.30455914505881676
Total-IGHG	SERPING1	0.3037712458037163
Total-IGHG	LPA	0.2709307275909687
Total-IGHG	IGHA2	0.2878852549462092
Total-IGHG	SHBG	0.28609153233039386
Total-IGHG	MRS2	0.24813648261041887
Total-IGHG	CXCL9	0.16634664245137998
Total-IGHG	HBA1	0.28406441694324513
S100A12	FCN3	0.1345794929242219
S100A12	OLR1	0.37298990647306063
S100A12	MMP7	0.18879139796965116
APOD	APOM	0.39379261993120984
APOD	CP	0.30442433520714207
APOD	HBD	0.31994491677800596
APOD	MMP3	0.19734870566821883
APOD	GSN	0.4367091502005387
APOE	THRB	0.4110398395810275
APOE	AFM	0.3828337323477191
APOE	APOC2	0.5759066259277219
APOE	AGRP	0.08502518572711981
APOB	F13A1	0.46819476139816274
APOB	FBLN1	0.2900078404730646
APOB	APOE	0.41783617240937243
APOB	SERPINA6	0.36009362084707064
APOB	ORM2	0.42276666875256463
APOB	GC	0.41514252951311104
APOB	APOC3	0.3690680234574044
APOB	CD5	0.10662359294161661
IGHA1	IGHG3	0.3070158203054776
IGHA1	IGHG1	0.2945092256917494
IGHA1	CFH	0.2992405207880635
IGHA1	A1BG	0.3092022732956714
IGHA1	AGER	0.0956112076942146
IGHA1	IGHA2	0.37580348921344164
IGHA1	SHBG	0.28088252902876576
IGHA1	SELPLG	0.08117887023623371
IGHA1	STOM	0.3032956050095539
IGHA1	CCL20	0.11653002976357474
IGHA1	APOC3	0.32233984614171174
IGHA2	IGHG4	0.27420172881813176
IGHA2	TNFRSF11B	0.11022403048145613
IGHA2	Total-IGHG	0.2952362125513357
IGHA2	IGHA1	0.39443295113899346
IGHA2	HBD	0.30031533574132485
IGHA2	APOA4	0.29124721553383104
IGHA2	CPN2	0.3076607086414329
IGHA2	OSM	0.1525919097173123
