Regulator	Target	MI
SPON1	MPO	0.34939522135964474
SPON1	TNFRSF11B	0.46892837535245846
SPON1	AGER	0.32885888405696395
SPON1	FASN	0.38563441574275714
SPON1	NGF	0.30835550865764194
SPON1	MMP12	0.29551034532636766
PGLYRP2	SERPINA1	0.38225692803654887
PGLYRP2	CLU	0.5028626886464913
PGLYRP2	MPO	0.21503564444635703
PGLYRP2	SERPINA7	0.4914035204165801
PGLYRP2	IGHG3	0.33324956686429896
PGLYRP2	IL10	0.21795485727108854
PGLYRP2	ITIH2	0.4970432078113127
PGLYRP2	A1BG	0.40072309001246875
C4BPA	IGHG2	0.38565123366355714
C4BPA	CFI	0.6399625827276507
C4BPA	REN	0.26641596762584463
C4BPA	ORM1	0.5059272380873239
C4BPA	THRB	0.4970534456298088
C4BPA	C8A	0.4444264635797941
C4BPA	ORM2	0.5896311238179326
C4BPA	MBL2	0.3245324879986349
C4BPA	APOA1	0.4415334546557492
C4BPA	PLG	0.5982614380100362
C4BPA	ERVMER34-1	0.5704765992627845
C4BPA	SERPIND1	0.5290639349508401
C4BPA	APOC2	0.42857069112311486
SLC4A1	F13A1	0.4417496023411367
SLC4A1	HRG	0.31607456005708734
SLC4A1	THRB	0.40129172488815446
SLC4A1	TTR	0.41000157017736427
TNFSF10	IGHM	0.13782265843167618
TNFSF10	PLAUR	0.41103641801767665
TNFSF10	CHI3L1	0.21972081967403145
TNFSF10	CCL13	0.32516210994022643
TNFSF10	CCL11	0.31193975043574707
TNFSF10	CMA1	0.33177744560381583
IL12B	AXIN1	0.12772317445384118
IL12B	TNFRSF9	0.4759994850635847
IL12B	TNFSF12	0.38437463926562554
IL12B	CXCL10	0.35668439942419283
IL12B	GH1	0.1696772236149977
TNFSF11	CLU	0.10631520453323162
TNFSF11	AGER	0.13255048985719675
TNFSF11	CMA1	0.2285250163508845
IL15RA	IL20	0.15685575892683712
IL15RA	IL10RB	0.34746791243758857
IL15RA	KLK11	0.17878340089262323
IL1R1	TNFSF14	0.23617317927375936
IL1R1	IL16	0.27779723063359185
IL1R1	C1QB	0.22184336309669472
IL1R1	CSTB	0.3723864348780781
IL1R1	CCL7	0.3761814729966595
IL1R1	CCL4	0.21664352521361696
IL1R1	OSM	0.2556994040631242
IL1R1	IL18R1	0.25898674397314103
SERPINF1	APOH	0.4245716653982363
SERPINF1	APOE	0.35112370610872645
SERPINF1	GPX3	0.38144445494933255
SERPINF1	TNFRSF1A	0.2828851504477541
SERPINF1	C1R	0.3597298710245731
SERPINF2	F13A1	0.4134219053107344
SERPINF2	CLU	0.5075958226142419
SERPINF2	CFI	0.5913451351026078
SERPINF2	THRB	0.4771568274927036
SERPINF2	SERPINC1	0.4651152816970887
SERPINF2	ITIH1	0.6553730077835169
FLT3LG	PLAUR	0.36870677272381247
FLT3LG	SRC	0.16752478609515542
FLT3LG	GSN	0.15299777002714166
FLT3LG	ADA	0.2975354634938068
RNASE3	OLR1	0.37059490912565973
RNASE3	IL16	0.30008670183192176
RNASE3	TNFSF14	0.2430829991997019
RNASE3	TF	0.11239390557694673
DKK1	HBEGF	0.5839548733855411
DKK1	CD274	0.7278049343392858
PRAP1	HGF	0.4594875332260573
PRAP1	C7	0.22190659388302514
PRAP1	TNFRSF10B	0.606043899057382
PRAP1	IL27	0.4545454016565751
PRAP1	OLR1	0.40129256305069116
PRAP1	IKBKG	0.25829125619392723
PRAP1	MMP12	0.39309217519173956
PRAP1	RETN	0.4326658603252911
PRAP1	OSM	0.2974134916098343
PRAP1	LRG1	0.231868836716707
PRAP1	LEP	0.2638980650778393
AZGP1	APOM	0.36020138728301543
AZGP1	APOH	0.5418424340159405
AZGP1	APOD	0.3481993513259489
AZGP1	FGF23	0.15600107331030166
AZGP1	HRG	0.41992968385032103
AZGP1	RETN	0.29653481918002544
AZGP1	ABCF1	0.3676275090678063
AZGP1	GSN	0.2760309265576426
RBP4	KNG1	0.4662263668140394
RBP4	APOH	0.4518011904343213
RBP4	APOE	0.483856648318441
RBP4	ALB	0.36387355672389887
RBP4	MRS2	0.3915406821553562
RBP4	TTR	0.4339986925698689
RBP4	APOL1	0.3957322841570923
RBP4	APOC3	0.45479109159097675
RBP4	PF4	0.37927714805744905
PAPPA	ESM1	0.20499695943718077
PAPPA	MMP1	0.16158171323197745
PAPPA	GAL	0.1933447407502369
PAPPA	ITIH1	0.17020922589966148
PAPPA	TNFRSF10B	0.23533155632940428
PAPPA	APOC1	0.16407684554403534
SERPING1	C4BPA	0.4431706757324987
SERPING1	KNG1	0.5934475181389018
SERPING1	IL13	0.06168949718646566
SERPING1	SERPINC1	0.5592910750373994
SERPING1	GC	0.6157723011806722
CFB	LPA	0.40963818666954666
CFB	CFH	0.5222357236475528
CFB	CFI	0.7695993048610275
CFB	C2	0.580832177076827
CFB	MRS2	0.561147754195523
CFB	C1R	0.5977404807548075
CFH	PLAT	0.2732275546272751
CFH	LIFR	0.14282602349992324
CFH	CFB	0.5220007752738098
CFH	SERPINA7	0.3900261199806838
CFH	FGA	0.5397321060401623
CFH	CLEC3B	0.4242535712516249
CFH	CCL19	0.17751663263494066
CFH	CMA1	0.18798861157071745
CFH	APOC3	0.46460858706511754
CFH	LEP	0.2828028335668247
CFI	C4BPA	0.619245241496607
CFI	SERPINF2	0.5875906482130322
CFI	CFB	0.7726486523357243
CFI	VTN	0.5767905028815319
CFI	C5	0.6007742002490648
CFI	C6	0.5175526463684541
CFI	APOE	0.5183561871548266
CFI	SERPINA3	0.510995831587449
CFI	SERPINA6	0.5647344694202454
IL20RA	IL20	0.14937563626690675
IL20RA	SERPINF2	0.061638072980501946
IL20RA	IL1A	0.0605731896358046
IL20RA	APOC2	0.05323934419181775
PDGFB	IL20	0.15861103667586463
PDGFB	IL20RA	0.12531397086116236
PDGFB	TNF	0.13275676165136563
PDGFB	FGF5	0.15815360000141254
TGFA	EIF4EBP1	0.3005748931210288
TGFA	SLAMF1	0.47189117410884585
TGFA	BDNF	0.17380663100238003
TGFA	TNFSF12	0.407012390897906
TGFA	GDNF	0.4554924118549186
TGFA	ITIH1	0.1445379901034327
TGFA	STOM	0.21788280900631296
A1BG	PGLYRP2	0.3586741648858993
A1BG	IGHG4	0.4147370541786328
A1BG	C2	0.5645636782212673
A1BG	ITIH4	0.5638596531275493
A1BG	C1R	0.4676413953971288
A1BG	AGT	0.47708242202337203
HPR	FBLN1	0.3917872863362035
HPR	IGHA2	0.4186203332744718
HPR	SHBG	0.40296226313752737
HPR	MRS2	0.47792773241211783
HPR	ORM2	0.41308636579237046
HPR	PLAUR	0.1463548871488376
HPR	TTR	0.3719624709882856
HPR	APOL1	0.7190172354192628
HPR	ABCF1	0.3419083141309933
C2	CLU	0.5535090152317172
C2	CFB	0.5748848888228739
C2	A1BG	0.5732780671499533
C2	PLG	0.4706766202308277
C2	IL18R1	0.19174890389558108
C2	C1QC	0.3983309288615029
KLK6	PLAUR	0.25669722167926956
KLK6	CSTB	0.28553409502992544
KLK6	AGER	0.27945211423934424
KLK6	KLK11	0.3100532674935401
C3	CLU	0.46016248648897573
C3	CFB	0.4787685689028045
C3	KNG1	0.4973389670582744
C3	HRG	0.4185690055991067
C3	ORM2	0.4320135778942493
SULT1A1	CLU	0.20365259733918872
SULT1A1	AZGP1	0.22977263870614628
SULT1A1	STAMBP	0.7707256100509365
SULT1A1	IL5	0.09676906175719502
C5	CFI	0.6168056287541521
C5	C2	0.5093579851685535
C5	MRS2	0.5521475361594073
C5	HBD	0.42651559847099385
C5	FGG	0.508157438906709
APOM	MPO	0.2082781283944959
APOM	IGHG3	0.3670105904798149
APOM	HGF	0.2188289214066721
APOM	AZGP1	0.36434514382765837
APOM	FBLN1	0.4060125751108279
APOM	MRS2	0.4163637388552299
APOM	SERPINA7	0.2988122546403371
APOM	XPNPEP2	0.17487540625135
APOM	APOC1	0.4505582835413309
C6	IL6R	0.21990572430689515
C6	CFB	0.5351505936627561
