Regulator	Target	MI
SPON1	PGF	0.41599211707062267
SPON1	TNFRSF11B	0.3428960672905088
SPON1	AGER	0.18757922155697315
SPON1	NT-pro-BNP	0.2940657990142954
SPON1	HBD	0.13373047765827462
SPON1	CTSL	0.183976798872723
SPON1	VEGFA	0.37941072168048073
SPON1	KITLG	0.2048742635522034
PGLYRP2	A1BG	0.37036515791134583
PGLYRP2	ALB	0.4192913901187394
PGLYRP2	SERPINA7	0.420159617955294
PGLYRP2	APOA1	0.4149271741480991
PGLYRP2	AGT	0.3809533627338677
C4BPA	PAPPA	0.14804996791452307
C4BPA	CFI	0.5142767656052243
C4BPA	KNG1	0.4683374370523783
C4BPA	SHBG	0.3336062087875735
C4BPA	THRB	0.5715760132572738
C4BPA	PLG	0.4520291545235482
C4BPA	CST5	0.13447542267641577
SLC4A1	F13A1	0.3027406614573076
SLC4A1	IGHG1	0.3093483119328093
SLC4A1	C5	0.3748736746514263
SLC4A1	FN1	0.34512270664409783
SLC4A1	ARTN	0.05291693437021561
SLC4A1	IGHM	0.33905351290643804
SLC4A1	MBL2	0.2766378476850031
SLC4A1	APOC1	0.3278766120939878
TNFSF10	CMA1	0.3565246305106262
TNFSF10	CD6	0.2592585715220004
TNFSF10	SHBG	0.1499622350746206
TNFSF10	ADA	0.22485643117276766
IL12B	APOD	0.1580381377886937
IL12B	CD5	0.37409774388001615
IL12B	IL7	0.16806096132490467
TNFSF11	C7	0.15291974574699818
TNFSF11	CMA1	0.26719269153378367
TNFSF11	CD244	0.12209779810611643
IL15RA	FGF5	0.2729383391671121
IL15RA	SAA4	0.09969350311605663
IL15RA	CCL2	0.12619530513670796
IL15RA	FGF23	0.12150522007005371
IL15RA	TNFRSF9	0.31026716543934363
IL1R1	CSF1	0.29940715733440637
IL1R1	HGF	0.2840077067410469
IL1R1	C1QB	0.14929289966728465
IL1R1	CCL19	0.15562821421919004
IL1R1	FABP4	0.23744530824880972
SERPINF1	VTN	0.3702974848926681
SERPINF1	IGHM	0.34470859387714103
SERPINF1	TNFRSF1A	0.1709566235968314
SERPINF1	C1R	0.3581284073441635
SERPINF2	VTN	0.5014812140999139
SERPINF2	C6	0.5189468552218273
SERPINF2	AHSG	0.37475065315275646
SERPINF2	SAA4	0.43534396959726607
SERPINF2	AFM	0.3843933885365711
SERPINF2	ITIH1	0.531004822218061
FLT3LG	PLAUR	0.29237951491330705
FLT3LG	IL10RB	0.32106821470439684
RNASE3	U6	0.11125885003841773
RNASE3	OLR1	0.37974091501796536
RNASE3	Total-IGHG	0.1319413676064034
RNASE3	TEK	0.18777985937283503
DKK1	CD274	0.6464283871613823
PRAP1	TNFRSF10B	0.5261635731609342
PRAP1	OLR1	0.32661202582616333
PRAP1	TNFRSF1A	0.5350760550662139
PRAP1	LRG1	0.18340058571914408
AZGP1	IL6R	0.13532717533705974
AZGP1	SERPING1	0.35766425678933
AZGP1	CD5L	0.30440123376220996
AZGP1	ITIH1	0.47914375856252
RBP4	FCN3	0.3797123397458
RBP4	SERPING1	0.3508528502368726
RBP4	LPA	0.37907671859775327
RBP4	ORM1	0.3680188399465649
RBP4	MBL2	0.3192743445809292
RBP4	APOA2	0.395884679454527
RBP4	TTR	0.36876826651342576
PAPPA	C4BPA	0.14804996791452307
PAPPA	HGF	0.21534679169489745
PAPPA	AXIN1	0.0912781954496591
PAPPA	NGF	0.13103855403794284
PAPPA	KITLG	0.09839983671083274
PAPPA	AGRP	0.14228454566687976
PAPPA	REN	0.19095066125150328
SERPING1	F13A1	0.34172443017166554
SERPING1	AZGP1	0.32842624020102207
SERPING1	RBP4	0.35496848010012005
SERPING1	HBD	0.32225283321067266
SERPING1	GC	0.49255473187625665
CFB	CFH	0.5965200603339111
CFB	CFI	0.6111798549144236
CFB	PSPHP1	0.533514314489139
