Regulator	Target	MI
SPON1	MPO	0.3015069910718342
SPON1	CXCL16	0.21560516537942487
SPON1	MMP7	0.37509983697690696
PGLYRP2	IGHA2	0.34772670910629877
PGLYRP2	ALB	0.4380500690723865
PGLYRP2	PRL	0.09323484564804474
PGLYRP2	APOA1	0.3792191692929858
C4BPA	SERPING1	0.47556230179172143
C4BPA	CFI	0.6911800610560048
C4BPA	AMBP	0.5285167778252413
C4BPA	IL22RA1	0.06680993903091093
C4BPA	THRB	0.5747708889634771
C4BPA	SERPINA6	0.4943026420076837
C4BPA	ORM2	0.4991554456477365
C4BPA	C1QB	0.40257104830896484
C4BPA	PLG	0.5380335081986471
SLC4A1	HPR	0.28990007924588035
SLC4A1	ADA	0.14170821722143057
SLC4A1	ABCF1	0.35175886618114305
SLC4A1	ERVMER34-1	0.261613335353279
TNFSF10	FCN3	0.12966747881582474
TNFSF10	DNER	0.3158617438476403
TNFSF10	PLAUR	0.32655468910816854
TNFSF10	IL1A	0.0730872120750572
TNFSF10	CMA1	0.2454303002084588
TNFSF10	IL10RB	0.3188530534477918
TNFSF10	C1QC	0.13138855697399077
IL12B	APOD	0.19315071652781413
IL12B	TNFRSF9	0.4426082534565303
IL12B	CXCL11	0.2627707309495255
IL12B	CD5	0.33872958778847195
TNFSF11	CMA1	0.27424197077202805
TNFSF11	TNFRSF9	0.12659111550139102
TNFSF11	RNASE3	0.09443267132006028
TNFSF11	LPA	0.09436249961693832
IL15RA	IL20RA	0.1810483144897841
IL15RA	PDGFB	0.15344532927417376
IL15RA	TGFA	0.28350936316255115
IL15RA	KNG1	0.10649584428465708
IL15RA	FABP4	0.17085792015486767
IL1R1	PRAP1	0.28303641982237604
IL1R1	TNFSF12	0.13998395278959386
IL1R1	LEP	0.2792289259254952
IL1R1	IL18R1	0.1554729277527347
IL1R1	C1QC	0.1719522642250899
SERPINF1	CFH	0.42638195047538385
SERPINF1	C1R	0.3707504249527105
SERPINF2	CLU	0.49114570088631737
SERPINF2	TNFSF11	0.09672380610208098
SERPINF2	HBE1	0.2907380555484602
SERPINF2	VTN	0.5049670212319439
SERPINF2	FN1	0.3345797200207574
SERPINF2	TF	0.38866849141710524
SERPINF2	MB	0.11324350788552362
SERPINF2	ITIH1	0.5016965852267177
SERPINF2	ERVMER34-1	0.4960234119475784
SERPINF2	IL18R1	0.10589467626200033
FLT3LG	PLAUR	0.30872321478012754
FLT3LG	GAL	0.057094852956214304
FLT3LG	AGER	0.10628242174716096
FLT3LG	GSN	0.18472512890093107
RNASE3	MPO	0.3683381552341025
RNASE3	TNFSF11	0.09443267132006028
RNASE3	CFH	0.17441183978275365
RNASE3	VEGFD	0.11245586033012955
DKK1	MPO	0.2280032140237216
DKK1	CD274	0.6565718060380332
DKK1	FGF21	0.08729228108807785
PRAP1	CSF1	0.509254555344314
PRAP1	IL1R1	0.28303641982237693
PRAP1	TNFRSF11B	0.37376443145994465
PRAP1	IL6	0.2467802770054046
PRAP1	TNFRSF1A	0.5027818789296274
PRAP1	IL17A	0.13643814897115902
AZGP1	CCL4L1	0.14744208962382643
AZGP1	RBP4	0.34911615126111695
AZGP1	ADM	0.14351551930984652
AZGP1	APOA4	0.3604093727375197
AZGP1	ERVMER34-1	0.4477585324308757
RBP4	IGHG3	0.2964525567092213
RBP4	AZGP1	0.3368995462176514
RBP4	SERPING1	0.43719106681639186
RBP4	IGHA2	0.3376065011609004
RBP4	GH1	0.16634115182732678
RBP4	THBD	0.11459885568635997
RBP4	LTA	0.13651013396673672
RBP4	ITIH1	0.373836172925043
RBP4	TTR	0.38580515878178634
PAPPA	ESM1	0.1689047697700099
PAPPA	HGF	0.20209812429686203
PAPPA	CCL4	0.1692555074283124
PAPPA	CCL23	0.16239610823345707
PAPPA	SERPIND1	0.17945048236477756
SERPING1	C4BPA	0.4765351766444743
SERPING1	RBP4	0.39901178639005597
SERPING1	KNG1	0.5314068389598905
SERPING1	APOC3	0.38128407363625527
CFB	CFH	0.5786467534027837
CFB	C2	0.5375378430400151
CFB	CPN2	0.39700193938077355
CFH	IGHG1	0.2979271664826886
CFH	SERPINF1	0.42611999459367933
CFH	RNASE3	0.17441183978275365
CFH	CFB	0.5844997045741342
CFH	CFI	0.55422449458991
CFH	VTN	0.47294474686122534
CFH	C6	0.45408502233713666
CFH	CXCL10	0.20388178583254923
CFH	SERPINA3	0.5027233140809058
CFH	MBL2	0.3283723606425406
CFH	FGG	0.5072995163138136
CFI	C4BPA	0.6990378579331296
CFI	PLAT	0.16110358005233127
CFI	CFH	0.5534949373643254
CFI	C2	0.6265795731148973
CFI	C5	0.6044738707148314
CFI	C7	0.2998568530723995
CFI	APOB	0.4571893363354249
CFI	FGA	0.46011124851661656
CFI	APOA2	0.44349429983264876
CFI	ERVMER34-1	0.6278023307041956
CFI	APOC2	0.4812428677396845
IL20RA	PGLYRP2	0.08215492309480776
IL20RA	TNF	0.14513843050407438
IL20RA	IL15RA	0.177477711907307
IL20RA	IL2	0.1466705835179143
PDGFB	IL24	0.12274422656036688
PDGFB	IL20RA	0.16246309297079264
TGFA	FGF5	0.3114241404728748
TGFA	IL15RA	0.28052376594169015
TGFA	FST	0.17847122854734554
TGFA	LIFR	0.3671812589407315
TGFA	SLAMF1	0.33752462646177417
TGFA	CCL23	0.3202863760061856
TGFA	IL10RB	0.3738482243076353
TGFA	OSM	0.36788830388285465
TGFA	GDNF	0.38631276741835396
TGFA	FGF19	0.14088878628747814
A1BG	C2	0.5317001184981178
A1BG	C6	0.4129316913075751
A1BG	SERPINC1	0.44070515015854106
A1BG	PLG	0.42081489132405103
A1BG	AGT	0.40249066507345876
HPR	SLC4A1	0.2890411544274585
HPR	IGHG3	0.2675592125708688
HPR	APOM	0.391298517066053
HPR	TNFRSF10B	0.2010145995760304
HPR	JCHAIN	0.24690136044470457
HPR	APOL1	0.6374678330204766
HPR	GSN	0.31069439036549795
C2	CFB	0.5416624193207085
C2	CFI	0.6200819530703052
C2	A1BG	0.5281548919045074
C2	C3	0.5518806914944001
C2	FGF21	0.18304037718513033
C2	MRS2	0.4775462484365658
C2	U6	0.19301368874986924
C2	SERPINA7	0.4918635253391237
C2	ITIH4	0.545384131579179
C2	C1S	0.47003022158873353
KLK6	GAL	0.13054392160812522
KLK6	AGER	0.26666080027883066
KLK6	TNFRSF10B	0.2905198638613724
KLK6	CD6	0.09854995536007483
C3	LPA	0.37182629644326504
C3	C2	0.5555678214024704
C3	Total-IGHG	0.324842513965252
C3	HRG	0.38244903824179577
C3	SERPINA6	0.4390934336599681
SULT1A1	CXCL5	0.4769043014717962
SULT1A1	AXIN1	0.6696396245547485
C5	IGHG4	0.3147641501570986
C5	CFI	0.5921602112016702
C5	KNG1	0.45272359182531297
C5	ITIH4	0.4767369520711462
C5	SERPIND1	0.5011627385005655
APOM	APOA1	0.41662397429441
