Regulator	Target	MI
SPON1	ESM1	0.23881874338054665
SPON1	CTSL	0.2811709958036124
SPON1	F2R	0.23451826549784816
SPON1	PGF	0.3343800115074931
SPON1	FBLN1	0.23317544129646084
PGLYRP2	CLEC3B	0.42772354101451615
PGLYRP2	AGT	0.4340490997669493
C4BPA	IGHG1	0.3274488145011869
C4BPA	CFI	0.554221505263583
C4BPA	C2	0.5425826215329748
C4BPA	C6	0.4391546814859968
C4BPA	IGHA1	0.2981889339040711
C4BPA	MRS2	0.4648597479581449
C4BPA	THRB	0.5038142337316174
C4BPA	ITIH4	0.4306229745053196
C4BPA	ERVMER34-1	0.5472994347184512
C4BPA	KLKB1	0.4549709208631567
SLC4A1	SHBG	0.2796272045908772
SLC4A1	SERPINA6	0.28402034895577444
SLC4A1	APOA4	0.26356939155581927
SLC4A1	CCL2	0.0822492419465064
SLC4A1	APOC1	0.29204373490252955
TNFSF10	DNER	0.28334688490683035
TNFSF10	PLAUR	0.27520087681547434
TNFSF10	APOL1	0.1352775386472258
TNFSF10	CMA1	0.3214354231784302
IL12B	CXCL9	0.3135787321599537
IL12B	FLT3LG	0.2651473824970445
IL12B	LTA	0.33745118581650235
IL12B	APOM	0.18457153832932605
IL12B	TNFRSF9	0.38101266779144627
IL12B	CXCL11	0.26790049383938985
TNFSF11	CD40	0.11756467311849228
TNFSF11	LTA	0.13058251949887456
TNFSF11	KLK6	0.1209058391531741
TNFSF11	AMBP	0.11656806818170562
TNFSF11	CMA1	0.2074970020545237
TNFSF11	FABP4	0.10287607215611061
TNFSF11	REN	0.09564668466603887
IL15RA	FGF5	0.3683982619135815
IL15RA	TNFRSF9	0.3180168330300912
IL15RA	IL20	0.13113050753206767
IL15RA	CCL8	0.19119344624423817
IL15RA	VEGFD	0.13472926717567368
IL1R1	OLR1	0.18044831390894966
IL1R1	LTA	0.09736188979334237
IL1R1	C3	0.23116652407854144
IL1R1	CCL7	0.1675200299164823
IL1R1	CCL3	0.18012853418282937
