Regulator	Target	MI
miR-126*	PGLYRP2	0.10366597128749433
miR-126*	CLU	0.10836454780618876
miR-126*	IL6R	0.12938755377361133
miR-126*	NGF	0.0835173231843589
miR-126*	AZGP1	0.15901877825112987
miR-126*	RBP4	0.1453245629182245
miR-126*	CHI3L1	0.10960747708974061
miR-126*	SERPINC1	0.13897870124932243
miR-126*	C3	0.04892548251349016
miR-126*	miR-126	1.0576279724297342
miR-126*	APOH	0.0789353276191136
miR-126*	EIF4EBP1	0.5263321959749243
miR-126*	ERVMER34-1	0.09732168256418383
miR-126*	GSN	0.18376380116556934
miR-223*	IGHG1	0.08574607691421132
miR-223*	MBL2	0.1500388710544982
miR-223*	FLT3LG	0.05609420102704643
miR-223*	miR-28-3p	0.7326401708316972
miR-223*	GDNF	0.11179053685563112
miR-223*	XPNPEP2	0.10175642360492798
miR-223*	APOC2	0.08188887044406012
miR-146a	MRS2	0.06540915927037272
miR-146a	CXCL6	0.38633237607803217
miR-146a	CXCL8	0.07421583183975233
miR-146a	TNFSF11	0.09923935913254667
miR-146a	AXIN1	0.6358601197520768
miR-146a	DKK1	0.3535523511204035
miR-146a	SIRT2	0.8341156695864047
miR-146a	STAMBP	0.7477796848799221
miR-146a	A1BG	0.14158605894860443
miR-146a	miR-24	1.3068886264094068
miR-146a	S100A12	0.08522223730559553
miR-146a	GC	0.09970421072822955
miR-146a	FGF21	0.11641997766097845
miR-146a	EGF	0.6807900930631492
miR-146a	miR-27b	1.0308728566661012
miR-146a	miR-335	1.1994341380762954
miR-146a	CD40LG	0.7021718667933836
miR-27b	SERPINA1	0.050285417745128846
miR-27b	FGF5	0.057935826134780655
miR-27b	IGHG3	0.044173570432011644
miR-27b	CTSL	0.07765029081717234
miR-27b	HBE1	0.10255852880788208
miR-27b	CSTB	0.1283875077413983
miR-27b	miR-146a	1.0401110292066464
miR-27b	STOM	0.17349244237290318
miR-27b	miR-21	1.1116955625249192
miR-27b	CD244	0.29746300062463327
