Regulator	Target	MI
miR-126*	SPON1	0.049211391463390264
miR-126*	CSF1	0.04950829450593197
miR-126*	CCL4L1	0.09104773360723417
miR-126*	PLAT	0.17238257243504318
miR-126*	SLAMF1	0.07063917592630897
miR-126*	HRG	0.107538884711885
miR-126*	OLR1	0.12481880801263667
miR-126*	FGA	0.11424907539319662
miR-126*	NGF	0.07197455753017579
miR-126*	MMP12	0.055484067843533325
miR-126*	HBEGF	0.3519628307509546
miR-126*	IL1RL1	0.07670489000499003
miR-126*	miR-126	1.1069077041328317
miR-126*	CCL8	0.12256019662504158
miR-126*	STOM	0.1911186696343261
miR-126*	APOL1	0.10818352465282732
miR-223*	PRL	0.11205862546613066
miR-223*	miR-28-3p	0.7808055090035406
miR-223*	LEP	0.0737909163132846
miR-146a	SLC4A1	0.14532298559636647
miR-146a	IGHG4	0.17105354997282962
miR-146a	TNFSF11	0.0626022892788951
miR-146a	IL15RA	0.07692006568033882
miR-146a	STAMBP	0.7612767108850749
miR-146a	CD274	0.6263885327900498
miR-146a	AGER	0.046552902406573615
miR-146a	FGF21	0.05350425450876273
miR-146a	TGFB1	0.40460151893752183
miR-146a	miR-335	1.1841096626121068
miR-146a	SERPINA1	0.1567873574803862
miR-146a	HSPB1	0.7522080506841027
miR-146a	CXCL1	0.56044978564438
miR-146a	THBD	0.09316057949292134
miR-146a	IKBKG	0.5167078878082991
miR-146a	CTSD	0.09151839799974137
miR-146a	MBL2	0.11485635924739768
miR-146a	MMP3	0.08323322402542743
miR-146a	SIRT2	0.9289931323728
miR-146a	ITGB1BP2	0.6243224807997363
miR-146a	SRC	0.7558261266371451
miR-146a	miR-28-3p	1.3343459220496117
miR-146a	CCL7	0.052106115696155975
miR-146a	miR-24	1.3974788452197684
miR-146a	CCL25	0.08835436067395097
miR-146a	SERPIND1	0.1642650323423851
miR-146a	EGF	0.5836820534120948
miR-146a	CD40LG	0.6918996771217802
miR-146a	PF4	0.7259593661592305
miR-27b	C4BPA	0.22118179261031035
miR-27b	TGFA	0.11499625269791292
miR-27b	C6	0.1522402978331634
miR-27b	APOB	0.1532848099640498
miR-27b	IGHA2	0.1095659052551543
miR-27b	BDNF	0.04515154101787733
miR-27b	SERPINA3	0.1300838765172374
miR-27b	CD40	0.3921762208231607
miR-27b	THRB	0.17362807223563692
miR-27b	ORM2	0.11380145089168447
miR-27b	APOA1	0.11622359827301487
miR-27b	APOA4	0.09012543134030704
miR-27b	IL16	0.14027555192916008
miR-27b	TTR	0.14710348334426104
miR-27b	miR-21	1.0564258709695915
miR-27b	GC	0.1427094540234215
miR-27b	ERVMER34-1	0.10477812867457015
miR-27b	IL10RB	0.05168802978236986
miR-148a	FST	0.05959980058996717
miR-148a	PGF	0.04772938735977483
miR-148a	KLK6	0.0698960456465878
miR-148a	CXCL11	0.19895143523669123
miR-148a	IGHM	0.14461996765095897
miR-148a	CXCL8	0.08192981226347928
miR-148a	SERPINA6	0.17556591112048903
miR-148a	FGG	0.12896414839620363
miR-148a	PLAUR	0.061933972907397106
miR-148a	SERPINC1	0.21521112028355027
miR-148a	CCL19	0.06144197886755265
miR-148a	miR-21	0.9203656416055983
miR-148a	IL17C	0.052831680953620896
miR-28-3p	miR-223*	0.7775441933530907
miR-28-3p	F13A1	0.11273141123418817
miR-28-3p	SERPINF1	0.09755737535275255
miR-28-3p	F2R	0.5239192772660175
miR-28-3p	RBP4	0.21885743723580475
miR-28-3p	miR-146a	1.3314396065932268
miR-28-3p	SULT1A1	0.6194776898279795
miR-28-3p	AMBP	0.17003492045819701
miR-28-3p	GDNF	0.04397868254902537
miR-28-3p	CASP8	0.45632366217526066
miR-28-3p	MMP1	0.2155876881168899
miR-28-3p	IFNG	0.05800348750873674
miR-28-3p	GSN	0.10608522705526724
miR-28-3p	KLKB1	0.1561420480106337
miR-223	IGHG2	0.17141978558438353
miR-223	TNFSF10	0.1163875906037184
miR-223	IL12B	0.08511098554510532
miR-223	miR-191	1.5865610189506363
miR-223	TNFSF14	0.3699745061520483
miR-223	CP	0.2006972740160755
miR-223	SHBG	0.15359427599514763
miR-223	CXCL6	0.3219139086731877
miR-223	CX3CL1	0.05495286450818693
miR-223	MB	0.0750956419374127
miR-223	C1QB	0.11457941199323418
miR-223	ITIH2	0.11818712537960785
miR-223	miR-24	1.5385135532682952
miR-378	miR-126*	0.3464624886625334
miR-378	CFB	0.16571420375940615
miR-378	FBLN1	0.12344636331957304
miR-378	C2	0.13030123309961805
miR-378	MUC16	0.09476139251217042
miR-378	FASN	0.07745320110338483
miR-378	REN	0.06669188674733917
miR-378	miR-122	0.28488451968858897
miR-126	miR-126*	1.1069077041328317
miR-126	IGHG1	0.17713828598392833
miR-126	miR-195	0.7306445619934516
miR-126	LPA	0.11313695071171637
miR-126	C7	0.1072803306514496
miR-126	APOD	0.13567959028811138
miR-126	FGF19	0.12054470770567871
miR-126	ADM	0.04897862351280491
miR-126	CXCL5	0.44970798566200454
miR-126	CTSL	0.1549326956946322
miR-126	miR-24	1.319186314404571
miR-126	miR-21	1.1004546791636436
miR-126	APOC3	0.15952346240778503
miR-335	CLU	0.1482361727018544
miR-335	HBE1	0.1535912107593056
miR-335	miR-146a	1.184109662612106
miR-335	A1BG	0.13491148795976748
miR-335	APOH	0.12702938955449472
miR-335	TNFRSF10B	0.04756773276745463
miR-335	IL7	0.3652458939217702
miR-335	MMP10	0.08585876990777042
miR-335	GAL	0.12285145037322209
miR-335	PECAM1	0.29226730804922596
miR-335	CHI3L1	0.08184799056587178
miR-335	CD244	0.3373205160615056
miR-197	NT-pro-BNP	0.08138910283263012
miR-197	APOA2	0.12621370788074593
miR-197	CCL13	0.13586537162787327
miR-197	CPN2	0.19675319006930092
miR-197	miR-24	1.1872239740440973
miR-24	miR-223	1.554625358321827
miR-24	miR-197	1.1852389524756255
miR-24	miR-146a	1.3974788452197684
miR-24	IGHA1	0.1600484649407159
miR-24	ALB	0.11924121238649654
miR-24	MRS2	0.11704522110884952
miR-24	AXIN1	0.7161542338568951
miR-24	C1R	0.13160152116739177
miR-24	ITIH1	0.1213608093218399
miR-24	miR-126	1.3261131774928385
miR-24	miR-378	0.35330254939614747
miR-24	AGRP	0.0762114475104525
miR-122	NT-pro-BNP	0.07609395603462055
miR-122	SPON1	0.151592899748052
miR-122	PLAT	0.10326654826137815
miR-122	SLC4A1	0.145780139570733
miR-122	FGF5	0.07291166175631414
miR-122	CTSL	0.047395228125235
miR-122	CTSD	0.09141330330839192
miR-122	AZGP1	0.1479992346249137
miR-122	CDCP1	0.07762425383934879
miR-122	CHI3L1	0.07762536577702317
miR-122	AFM	0.1854909904968629
miR-122	C3	0.07464004146741754
miR-122	APOM	0.07576797000259994
miR-122	APOL1	0.08743773739764471
miR-122	FGF21	0.07356672901198369
miR-122	TNFRSF10B	0.054195107810686594
miR-122	SELE	0.08117363154503643
miR-122	miR-378	0.2840264746776304
miR-122	XPNPEP2	0.0888099902670536
miR-122	APOC2	0.14042240043922405
miR-122	LEP	0.05268854107310528
miR-122	ALB	0.09722572168776633
miR-155	U6	0.3912827667846974
miR-155	DNER	0.07194891880900833
miR-155	miR-92a	0.34749487513094035
miR-155	IL10	0.10104930828616876
miR-155	IL1R1	0.10231151848813091
miR-155	APOA4	0.11531719756253622
miR-155	ITIH4	0.09198270251280327
miR-155	C1S	0.12167146120603789
miR-155	CFI	0.1680820873053328
miR-155	AFM	0.16340778807909828
miR-155	TNFRSF11B	0.07261122966631017
miR-155	CCL3	0.07149573741601323
miR-155	APOE	0.1015575271310114
miR-155	FGF23	0.0787882118413954
miR-155	ABCF1	0.18267357296148035
miR-155	KLK11	0.0709666707770209
miR-155	TF	0.12439282448075772
miR-155	CD6	0.10352814791661036
miR-155	IL18R1	0.11039828668420704
miR-320	MPO	0.06974306686439835
miR-320	PRAP1	0.04525212312123106
miR-320	SELENOP	0.1438480061948555
miR-320	SERPING1	0.15639920787563888
miR-320	APOM	0.11049298278350594
miR-320	PSPHP1	0.14364294658863486
miR-320	C8A	0.13140156767015476
miR-320	miR-92a	1.0916083840839512
miR-320	CSTB	0.15165379826538494
miR-320	PLG	0.11951350728826604
