Regulator	Target	MI
miR-126*	HBE1	0.11863855124673517
miR-126*	C1QB	0.11558403338284418
miR-126*	C1R	0.10680869345275479
miR-126*	CLEC3B	0.14049093704924864
miR-126*	miR-126	0.9865094844200124
miR-126*	C7	0.12440273702806337
miR-126*	CCL3	0.11325491597016235
miR-126*	IL10RB	0.10666750291084615
miR-126*	APOC3	0.07295267530608207
miR-126*	ALB	0.08522845828647796
miR-126*	IL18R1	0.13603645890617244
miR-223*	miR-92a	0.7614010036825629
miR-223*	FST	0.06192934802790706
miR-223*	MMP12	0.0678359830974129
miR-223*	RBP4	0.16565242488120724
miR-223*	CCL13	0.14270110944297887
miR-223*	AFM	0.1598878993883437
miR-223*	TGFA	0.06894625837633317
miR-223*	CPN2	0.16211537429192546
miR-223*	XPNPEP2	0.05154315636729834
miR-223*	HRG	0.18243153043739113
miR-223*	ADA	0.13239161024287682
miR-146a	HSPB1	0.7556264219822975
miR-146a	CXCL1	0.5957782490190606
miR-146a	CASP8	0.5301498995019012
miR-146a	MBL2	0.08461202615972585
miR-146a	AXIN1	0.612832297610737
miR-146a	SIRT2	0.9515845377011649
miR-146a	IFNG	0.04397001536046563
miR-146a	ITGB1BP2	0.5785292363738312
miR-146a	HBEGF	0.3304514233637841
miR-146a	SRC	0.7256895646098984
miR-146a	SAA4	0.10835473598493195
miR-146a	IL1RL1	0.06765393345116433
miR-146a	miR-24	1.3099843207542898
miR-146a	miR-320	1.1670838095164173
miR-146a	TGFB1	0.43732483669480704
miR-146a	MUC16	0.12527898930514692
miR-146a	IL6	0.05865366243035286
miR-146a	KITLG	0.05497255543371349
miR-146a	miR-335	1.0553262368195533
miR-146a	CD244	0.22448843342692726
miR-27b	CLU	0.16057818182813133
miR-27b	FBLN1	0.14204668104989437
miR-27b	APOH	0.07609853898895036
miR-27b	APOB	0.18861239161431342
miR-27b	PSPHP1	0.17947775118604525
miR-27b	ORM1	0.10001062510305658
miR-27b	THRB	0.09707122667854584
miR-27b	ADM	0.087305382593863
miR-27b	SERPINA6	0.15265976305281015
miR-27b	CTSL	0.0949537310583386
miR-27b	miR-21	0.9904607517629378
miR-148a	IGHM	0.13491959735792758
miR-148a	PGLYRP2	0.11682744961679337
miR-148a	miR-21	0.8758794977411419
miR-148a	SELE	0.17305409879206746
miR-148a	FABP4	0.0558037838279688
miR-28-3p	CXCL6	0.3644290093118929
miR-28-3p	CTSD	0.15187047378891627
miR-28-3p	LTA	0.0564592915984754
miR-28-3p	miR-191	1.2751112115718826
miR-28-3p	CCL4	0.08092805191750863
miR-28-3p	CCL20	0.08315826727676967
