Regulator	Target	MI
miR-126*	DNER	0.08608339773213647
miR-126*	APOA2	0.1071775058305402
miR-126*	MMP12	0.0847062993827894
miR-126*	miR-126	1.0744852485048435
miR-126*	SHBG	0.09778391296263322
miR-223*	PGLYRP2	0.05914404900495107
miR-223*	CXCL16	0.09230965035175842
miR-223*	JCHAIN	0.08541569620583545
miR-223*	IGHG4	0.06496545864256653
miR-223*	RNASE3	0.0935685407798994
miR-223*	miR-197	0.741914455270396
miR-223*	miR-150	0.3353014204903735
miR-223*	ITIH4	0.11235396514992768
miR-223*	CCL11	0.05166434800122133
miR-223*	AFM	0.11098436531890776
miR-223*	A1BG	0.12421321419698561
miR-223*	CST5	0.08260154561459654
miR-223*	S100A12	0.11000427720285622
miR-223*	FGF23	0.07909775046044576
miR-223*	GH1	0.10504021951868214
miR-146a	CCL4L1	0.10424054411629236
miR-146a	HSPB1	0.7574315023044216
miR-146a	CXCL5	0.5512417283134265
miR-146a	CASP8	0.5173143415774595
miR-146a	SERPINF1	0.11082160972384525
miR-146a	PLAUR	0.09996283613511725
miR-146a	SIRT2	0.8479478072034246
miR-146a	IFNG	0.05443017276795814
miR-146a	ITGB1BP2	0.601033901892948
miR-146a	STAMBP	0.6414450391980022
miR-146a	SRC	0.7629658727778548
miR-146a	C3	0.089430021902416
miR-146a	CCL8	0.1265123484034989
miR-146a	miR-24	1.4598363628588773
miR-146a	miR-21	1.0155264054688322
miR-146a	IGHA2	0.10678691028595377
miR-146a	TGFB1	0.4652641535469657
miR-146a	EGF	0.639530377784288
miR-146a	miR-335	1.163488323655888
miR-146a	IL7	0.3282582099714286
miR-146a	LEP	0.04687949784259615
miR-146a	CD244	0.2525826364798789
miR-27b	SERPINA7	0.1018148915897843
miR-27b	miR-21	0.9774223094604855
miR-27b	FGF21	0.08979055687529058
miR-27b	KITLG	0.0745102214537745
miR-148a	MRS2	0.08610543243687285
miR-148a	CXCL6	0.33253774987484075
miR-148a	SERPINA3	0.10909830795435038
miR-148a	HGF	0.15906353419690866
miR-148a	APOA1	0.09124240544777606
miR-148a	SERPING1	0.11753199643239842
miR-148a	CSTB	0.2237565863394666
miR-148a	RETN	0.07401519415857827
miR-148a	CCL3	0.062084380198903055
miR-148a	miR-21	0.8501646939691359
miR-148a	AMBP	0.13576053665290821
miR-148a	PSPHP1	0.1413959492637069
miR-148a	IL18R1	0.08095746358639033
miR-28-3p	ADM	0.05484670755898957
miR-28-3p	IL1R1	0.07485845404333258
miR-28-3p	F2R	0.4626024072861732
miR-28-3p	MMP3	0.06762458121412251
miR-28-3p	CD5L	0.054680349530443095
miR-28-3p	SAA4	0.09275861401480423
miR-28-3p	CPN2	0.11129089912362922
miR-28-3p	miR-24	1.2556025948238494
miR-28-3p	miR-320	1.118753883147816
miR-28-3p	APOE	0.0837156285116123
miR-28-3p	GC	0.09843232258230827
miR-28-3p	ABCF1	0.13544719540291172
miR-28-3p	CMA1	0.05214558348067744
miR-28-3p	FABP4	0.13198166342239048
miR-28-3p	ADA	0.09814806152952293
miR-223	F13A1	0.11972197904756321
miR-223	IKBKG	0.6099387363731603
miR-223	RBP4	0.14616838875463145
miR-223	miR-191	1.470008483891867
miR-223	CD274	0.6488408119616116
miR-223	CFH	0.08696938168611901
miR-223	HPR	0.06856989228060595
miR-223	miR-126	1.3765662885120475
miR-223	miR-24	1.3998709206448892
miR-223	BDNF	0.04971960956605059
miR-223	CD40LG	0.7105284031804935
miR-223	GDNF	0.10045348677572985
miR-223	PF4	0.70096596379351
miR-378	SERPINA1	0.09936055397725418
miR-378	CSF1	0.08051141702438525
miR-378	IGHG1	0.05447215647618098
miR-378	miR-92a	0.3023802855386295
miR-378	MMP7	0.06640064240909016
miR-378	miR-28-3p	0.31067110631207573
miR-378	miR-122	0.31369620114333774
miR-378	CCL20	0.06403731096098664
miR-378	GDF15	0.09387298043711123
miR-378	FASN	0.05886451408117388
miR-378	FGF19	0.08767033349828157
miR-378	REN	0.10300408909993841
miR-126	miR-126*	1.076074590038421
miR-126	IGHG3	0.046983698615277625
miR-126	miR-223	1.3728139440901739
miR-126	MMP10	0.08241970076241589
miR-126	miR-195	0.9341011881740906
miR-126	APOH	0.09825009584650868
miR-126	Total-IGHG	0.04617480243154226
miR-126	CCL23	0.047396570700835916
miR-126	IL10RA	0.04824134887956255
miR-126	TNFSF12	0.06985202328394369
miR-126	CCL28	0.07072166374398581
miR-335	CD40	0.3786339084206727
miR-335	CLU	0.10881381401013179
miR-335	OLR1	0.15498322168200307
miR-335	FGG	0.06550003223232981
miR-335	CHI3L1	0.09280097014972455
miR-335	LPA	0.08762057219664765
miR-335	HBEGF	0.41406718551407007
miR-335	miR-146a	1.1578979318382796
miR-335	KLK6	0.06253298128384621
miR-335	STOM	0.15971307876348462
miR-335	KLK11	0.05362146710334148
miR-335	CD6	0.04827135772018387
miR-197	miR-223*	0.7379745939765057
miR-197	MPO	0.05653165377728264
miR-197	IL15RA	0.07757805357163505
miR-197	NGF	0.08124001735612563
miR-197	AZGP1	0.16770906771193062
miR-197	GAL	0.05175674069674763
miR-197	CCL13	0.10386931831713841
miR-197	miR-24	1.1236623636175604
miR-197	ERVMER34-1	0.08861756787175601
miR-197	CP	0.09103463251142241
miR-24	ORM1	0.12397616306225334
miR-24	CXCL1	0.5555019883185057
miR-24	miR-223	1.3998709206448892
miR-24	DKK1	0.40742946394062063
miR-24	CDCP1	0.0778020297726254
miR-24	miR-197	1.1317430570504117
miR-24	PECAM1	0.37526631595057935
miR-24	ITIH2	0.08554138804740852
miR-24	miR-146a	1.4516147000411292
miR-24	miR-28-3p	1.2507087776074464
miR-24	C6	0.1221598955012535
miR-24	VEGFA	0.2624857372577507
miR-122	U6	0.21668955776574084
miR-122	FCN3	0.11681148803049357
miR-122	SPON1	0.17029635327350778
miR-122	IL27	0.07491659836741071
miR-122	PLAT	0.23575750819713281
miR-122	FGF5	0.06733070787609297
miR-122	CTSD	0.14124621606450916
miR-122	IL15RA	0.12042356989849345
miR-122	FLT3LG	0.08355486140200341
miR-122	APOA4	0.10524274855713145
miR-122	C1R	0.10228993869527425
miR-122	SERPINC1	0.1039220555757554
miR-122	AGER	0.10601253786182685
miR-122	C7	0.11882984505171112
miR-122	CCL4	0.12687617869851042
miR-122	CCL19	0.0633334833642234
miR-122	FGF21	0.07353096198410558
miR-122	CCL25	0.09315615593862159
miR-122	IL10RB	0.12060808680450741
miR-122	TNFSF12	0.08086915899393876
miR-122	miR-378	0.31737996664647206
miR-122	IL6	0.08310678461921484
miR-122	LRG1	0.14789875507429606
miR-122	CD5	0.06187551643677747
miR-122	XPNPEP2	0.07005350160710133
miR-122	IL17C	0.06586908523338231
miR-155	IGHG2	0.05209397273643379
miR-155	miR-92a	0.3216664864160377
miR-155	miR-150	0.3613986216905616
miR-155	CFB	0.10391094556963498
miR-155	CFI	0.20422725339849812
miR-155	FBLN1	0.11770431834279815
miR-155	FN1	0.06681930722115137
miR-155	AGT	0.08961619032512136
miR-155	HRG	0.06363108179547883
miR-320	CXCL8	0.12792567704149072
miR-320	miR-92a	0.8898000164824031
miR-320	AHSG	0.0820027886894783
miR-320	MMP1	0.2390347016366361
miR-320	PRAP1	0.04839504228001967
miR-320	SELENOP	0.05857356110173839
miR-320	TNFRSF11B	0.052673177641647584
miR-320	miR-28-3p	1.118753883147816
miR-320	CCL2	0.1308384604411872
miR-320	IGHA1	0.07587265123127906
miR-320	SELE	0.05370461213604649
miR-320	miR-378	0.32612807736996174
miR-150	IGHM	0.06323487309109854
miR-150	U6	0.4335394057663837
miR-150	THRB	0.09084443514643681
miR-150	miR-223*	0.3353014204903735
miR-150	C4BPA	0.15398741701828111
miR-150	ESM1	0.07927931554599077
miR-150	IL16	0.14920049209407793
miR-150	miR-155	0.361038690723019
miR-150	TIMELESS	0.07775078864261342
miR-150	C1QB	0.12246221371130961
miR-150	SELPLG	0.051905674548419434
miR-150	PLG	0.13811039758820698
miR-150	ITIH1	0.1490069660725739
miR-150	VTN	0.08619916541348349
miR-150	C5	0.07369734480520318
miR-150	SLAMF1	0.0785293030939771
miR-150	SERPIND1	0.10607100321700891
miR-150	OSM	0.111893692665741
miR-150	CXCL10	0.08708713656199851
miR-150	APOC2	0.08375272119536614
miR-195	HBD	0.22030178074883278
miR-195	SERPINA6	0.09079805282368625
miR-195	IL10	0.06346910705421749
miR-195	APOA4	0.10344336076650062
