Regulator	Target	MI
miR-126*	CX3CL1	0.048879371398979465
miR-126*	JCHAIN	0.13636486884624066
miR-126*	MMP12	0.05952372314725274
miR-126*	PDGFB	0.06456924976476408
miR-126*	miR-126	1.0097993778423389
miR-126*	VEGFA	0.07782525842794641
miR-223*	C4BPA	0.12268892509288776
miR-223*	SERPINA7	0.05871196810233492
miR-223*	CXCL16	0.07533215219961331
miR-223*	MMP3	0.1262953905984503
miR-223*	SERPINF2	0.16496957717071314
miR-223*	APOA2	0.09991789831737119
miR-223*	miR-197	0.710376364483662
miR-223*	CCL13	0.07120706855928738
miR-223*	A1BG	0.17420355859153247
miR-223*	CCL25	0.07901831113208413
miR-223*	XPNPEP2	0.09456886837311451
miR-146a	F13A1	0.06991331566835157
miR-146a	IL15RA	0.05250120731187646
miR-146a	STAMBP	0.6568750446468368
miR-146a	CD274	0.5502812965954158
miR-146a	SULT1A1	0.5001806438714134
miR-146a	miR-320	1.0731256702660383
miR-146a	miR-27b	0.9487454346346453
miR-146a	miR-335	1.1135619484788695
miR-146a	IL7	0.377027169218759
miR-146a	ALB	0.07768489142631108
miR-146a	HSPB1	0.7191192075027981
miR-146a	CASP8	0.4403177351790122
miR-146a	OLR1	0.1137218854533737
miR-146a	MBL2	0.1035518991523654
miR-146a	APOA1	0.12070869573434972
miR-146a	MMP10	0.08949710728120497
miR-146a	SIRT2	0.7944082596391047
miR-146a	IFNG	0.06108975023593555
miR-146a	ITGB1BP2	0.5381411343169162
miR-146a	HBEGF	0.3482175685570912
miR-146a	CSTB	0.17423585521764462
miR-146a	SRC	0.7892466555099036
miR-146a	CCL8	0.11024451161534987
miR-146a	TTR	0.1429715789374102
miR-146a	CCL7	0.056673855185125355
miR-146a	miR-24	1.3772713062415427
miR-146a	STOM	0.21995130292960674
miR-146a	miR-21	1.0984131479557977
miR-146a	GC	0.1308356492411038
miR-146a	EGF	0.5481429697601703
miR-146a	CD40LG	0.6793497428357993
miR-146a	APOC2	0.1491072178993793
miR-146a	C1QC	0.1078174899698725
miR-27b	TNFRSF1B	0.08652833445622576
miR-27b	PECAM1	0.32949830561807225
miR-27b	miR-146a	0.9515455038773499
miR-27b	CLEC3B	0.12911497306624398
miR-27b	NTF3	0.09614382297598656
miR-27b	VEGFD	0.05344054948303878
miR-27b	AGT	0.0756013732092029
miR-148a	IGHM	0.10467884439697528
miR-148a	MMP1	0.1636751405116783
miR-148a	CD5L	0.07624880380467669
miR-148a	RETN	0.06317357580502936
miR-148a	miR-21	0.8298393218647275
miR-148a	TNFSF14	0.3106528154237971
miR-148a	APOC1	0.051629717525861984
miR-148a	CD244	0.25054275619813016
miR-28-3p	CXCL6	0.2485068492266267
miR-28-3p	CXCL8	0.11348776525975257
miR-28-3p	IKBKG	0.4652870722676594
miR-28-3p	IL6R	0.05251319086632655
miR-28-3p	TNFRSF1A	0.12299147464096638
miR-28-3p	PAPPA	0.09640258122795409
miR-28-3p	miR-191	1.23755811807038
miR-28-3p	CCL11	0.07536921551737485
miR-28-3p	miR-146a	1.2284274108343967
miR-28-3p	TNFRSF11B	0.09782710050374277
miR-28-3p	APOD	0.09230939102789293
