Regulator	Target	MI
miR-126*	CSF1	0.1207472278417896
miR-126*	CLU	0.11377683610849587
miR-126*	FGF5	0.05414145149359939
miR-126*	CXCL10	0.0646279353735233
miR-126*	SERPINA3	0.0986085663391405
miR-126*	CXCL8	0.13764418857676208
miR-126*	THBD	0.08551443869284281
miR-126*	MBL2	0.06506034891877643
miR-126*	MMP3	0.06187960927801761
miR-126*	TNFRSF1B	0.05285203192655885
miR-126*	C1R	0.08012607143006001
miR-126*	miR-126	1.0936162733755825
miR-126*	VEGFD	0.13660816828718403
miR-126*	CCL28	0.055166207846047755
miR-126*	KLKB1	0.07455809648879885
miR-223*	IGHM	0.10375172870433946
miR-223*	IGHG4	0.09897501567466449
miR-223*	miR-150	0.2916574278724182
miR-223*	C2	0.1009153387872157
miR-223*	miR-28-3p	0.7238468664953892
miR-223*	CCL2	0.06838973221104538
miR-223*	CP	0.13072181028875463
miR-223*	AGRP	0.08426228561329108
miR-146a	F13A1	0.09543789162426464
miR-146a	SERPINA7	0.09382334595084618
miR-146a	miR-223	1.3711697650502686
miR-146a	DNER	0.06492957104227504
miR-146a	IKBKG	0.5507106440905343
miR-146a	PLAUR	0.05843187032388286
miR-146a	SIRT2	0.9520805499747391
miR-146a	CDCP1	0.08294662393757335
miR-146a	ITGB1BP2	0.6098321262968414
miR-146a	STAMBP	0.6611874939925384
miR-146a	CFH	0.0947732879899208
miR-146a	CD5L	0.07380364185528343
miR-146a	SULT1A1	0.5749466889913482
miR-146a	IL1RL1	0.058602089322886464
miR-146a	CCL25	0.08860826740572936
miR-146a	ERVMER34-1	0.14772499702728226
miR-146a	TNFSF14	0.34417763789402755
miR-146a	TNFSF12	0.10367750817915589
miR-146a	miR-335	1.0104714209328494
miR-146a	REN	0.06277930453743252
miR-146a	CD244	0.24662332467463344
miR-146a	PF4	0.6089246374903103
miR-27b	IL12B	0.16076151543159956
miR-27b	IL6R	0.0664570404293583
miR-27b	FGA	0.11186675749470698
miR-27b	FST	0.07022706201737261
miR-27b	IL16	0.10064554001890791
miR-27b	GAL	0.07430753276722868
miR-27b	CFI	0.12771457359157878
miR-27b	CLEC3B	0.10322573697790283
miR-27b	C7	0.13449993374337232
miR-27b	NTF3	0.06433795493035888
miR-27b	miR-21	1.0067443609180629
miR-27b	FN1	0.09743565496881423
miR-27b	miR-335	0.907058946377834
miR-148a	NT-pro-BNP	0.09270247599387549
miR-148a	IL15RA	0.08833698733693218
miR-148a	MMP7	0.07477353233865802
miR-148a	SERPINF2	0.06466984396431474
miR-148a	ITIH4	0.14287086593065546
miR-148a	Total-IGHG	0.11400236153089072
miR-148a	miR-21	0.822002557884784
miR-148a	CXCL11	0.12511531958939592
miR-148a	TF	0.07775673512520065
miR-148a	TEK	0.04950778120162891
