Regulator	Target	MI
miR-126*	CSF1	0.06259500324929768
miR-126*	DNER	0.11361673601057376
miR-126*	APOA1	0.10976556636610013
miR-126*	MMP10	0.1359684059068469
miR-126*	miR-126	1.0706858711256029
miR-126*	C6	0.0946237353682875
miR-126*	C7	0.1047481733419291
miR-126*	AGT	0.15047746015332208
miR-126*	KLKB1	0.08829132097001491
miR-223*	SERPINA6	0.07607835056257883
miR-223*	MMP7	0.06859925846919968
miR-223*	FLT3LG	0.06366225661152569
miR-223*	PRAP1	0.054647312280301286
miR-223*	miR-197	0.7463355365225519
miR-223*	miR-150	0.38984886501871685
miR-223*	IL1RL1	0.09074601760625
miR-223*	TTR	0.1834929109166623
miR-223*	NTF3	0.04912562533869114
miR-223*	S100A12	0.07056737414838476
miR-223*	TNFRSF9	0.11054779379108748
miR-223*	GH1	0.12345543681291282
miR-223*	ALB	0.10886608532310227
miR-223*	SHBG	0.10343072496369388
miR-146a	F13A1	0.078204544193607
miR-146a	MPO	0.12140238744059406
miR-146a	IL1R1	0.09282529236026438
miR-146a	DKK1	0.3845743216790787
miR-146a	RBP4	0.13800314629612664
miR-146a	TGFB1	0.3532815147790256
miR-146a	TNFRSF10B	0.06521561919264585
miR-146a	miR-335	1.2463131215523084
miR-146a	CXCL6	0.3773022149586627
miR-146a	SERPINA3	0.22756843081527922
miR-146a	CD40	0.3598110248769153
miR-146a	HSPB1	0.8349065474355273
miR-146a	CASP8	0.5668900309095948
miR-146a	IKBKG	0.5206329878011919
miR-146a	SIRT2	0.8107947461041087
miR-146a	PECAM1	0.3361442399003032
miR-146a	ITGB1BP2	0.563722738641875
miR-146a	miR-24	1.352296319989044
miR-146a	EGF	0.5815386506552027
miR-146a	CD40LG	0.6647264089082636
miR-146a	XPNPEP2	0.10577236702501835
miR-146a	IL17C	0.0902526740375551
miR-27b	miR-21	1.062248384503504
miR-27b	CCL20	0.04417926802959116
miR-27b	IL7	0.2887936379216427
miR-148a	IGHG4	0.06286692366651447
miR-148a	CSTB	0.13606951002823653
miR-148a	A1BG	0.0820876619190054
miR-148a	KLK6	0.06095359918481158
miR-148a	Total-IGHG	0.21631599286320835
miR-148a	miR-21	0.7512062757963456
miR-148a	FABP4	0.10939586365771525
miR-148a	CD6	0.16916216229484515
miR-148a	IL18R1	0.08037581934918059
miR-28-3p	miR-223	1.3663872529754366
miR-28-3p	F2R	0.4658995687757015
miR-28-3p	PAPPA	0.094600973297438
miR-28-3p	CD274	0.6557979826942519
miR-28-3p	HPR	0.0793791678487441
miR-28-3p	KNG1	0.1061646024244629
miR-28-3p	C2	0.10766532089219183
miR-28-3p	APOM	0.11858334904315804
miR-28-3p	SERPINA1	0.1103617735991147
miR-28-3p	CXCL1	0.562236555181312
miR-28-3p	APOA4	0.09245975746681623
miR-28-3p	SERPINC1	0.0828162750532151
miR-28-3p	CLEC3B	0.07806334694287465
miR-28-3p	CCL2	0.14329001186562973
miR-223	THRB	0.128450510056763
miR-223	CX3CL1	0.06439269443278572
miR-223	CTSD	0.1515194413653198
miR-223	LPA	0.0949272626138491
miR-223	miR-191	1.5083886162126667
miR-223	SAA4	0.13742997086855624
miR-223	miR-28-3p	1.381526420519564
miR-223	miR-24	1.4472631649905319
miR-223	miR-320	1.176659147622443
miR-223	GSN	0.1279565857110141
miR-223	TNFSF14	0.3601470697396101
miR-223	PF4	0.6773328586259799
miR-378	CLU	0.08348252993027216
miR-378	ORM2	0.1905483027111714
miR-378	THBD	0.06949518591001791
miR-378	miR-92a	0.370299710744896
miR-378	FGA	0.10771322576039388
miR-378	IL15RA	0.04895202320390002
miR-378	CCL13	0.06995544934388676
miR-378	APOH	0.1554998180468381
miR-378	miR-122	0.25490118306284604
miR-378	CCL3	0.08931869002909298
miR-378	APOD	0.11285167328532264
miR-378	SERPIND1	0.07721634610292938
miR-378	GDF15	0.061038296963687344
miR-378	IL10RB	0.10796895787447713
miR-378	CXCL10	0.06669117231785027
miR-378	IL6	0.06181086246221046
miR-378	CD5	0.10398892824726058
miR-378	FASN	0.13495404254702592
miR-126	miR-126*	1.069025267939316
