Regulator	Target	MI
miR-126*	TNFSF10	0.07017080824060429
miR-126*	RNASE3	0.04902436726899051
miR-126*	AZGP1	0.1902040200721249
miR-126*	APOM	0.15738364469927646
miR-126*	APOE	0.057670376443145877
miR-126*	AMBP	0.14898517402372224
miR-126*	BDNF	0.07751950328046053
miR-126*	TNFRSF9	0.08650311310615688
miR-126*	ALB	0.11424077113983433
miR-126*	MMP10	0.07067999830197191
miR-126*	TNFRSF1A	0.0624188700702506
miR-126*	C1R	0.1343495209743466
miR-126*	SERPINC1	0.08688931673677658
miR-126*	CPN2	0.1461945990616771
miR-126*	miR-126	1.144459206776859
miR-126*	ABCF1	0.168298532029457
miR-126*	OSM	0.07840156443016699
miR-126*	KITLG	0.15398893968038063
miR-223*	CCL4L1	0.10288386233124225
miR-223*	miR-197	0.7248437131110856
miR-223*	TGFA	0.05509487871523078
miR-223*	A1BG	0.15100536203793435
miR-223*	HPR	0.14115186891253373
miR-223*	C3	0.09400344223196289
miR-223*	IGHM	0.10988167875142629
miR-223*	SERPINA7	0.1345690563948443
miR-223*	DNER	0.08724012344142817
miR-223*	miR-150	0.412939253050812
miR-223*	ITIH2	0.09145477280444325
miR-223*	VEGFA	0.12016951380524254
miR-146a	CXCL16	0.055056656537327164
miR-146a	DKK1	0.29063985749044274
miR-146a	IGHA1	0.17647697611880986
miR-146a	HSPB1	0.7361652792492581
miR-146a	C8A	0.11541095445077243
miR-146a	CASP8	0.39957061306181174
miR-146a	IKBKG	0.5394035195246083
miR-146a	GPX3	0.24711801261534827
miR-146a	MMP1	0.26228865190214545
miR-146a	MMP12	0.1165913394158018
miR-146a	HBEGF	0.42614120281836776
miR-146a	SELPLG	0.04545256024038746
miR-146a	SRC	0.7845423998930956
miR-146a	ITIH1	0.09437854076104735
miR-146a	miR-24	1.302731465626752
miR-146a	GSN	0.08469175244510208
miR-146a	EGF	0.5632093477016893
miR-146a	FABP4	0.1328111348068557
miR-146a	IL2RB	0.07158489793861555
miR-27b	TIMELESS	0.043694796950685344
miR-27b	Total-IGHG	0.11371850648604465
miR-27b	TNFRSF10B	0.07987740915772079
miR-27b	PRL	0.07137111038562516
miR-27b	CTSL	0.09075654627462892
miR-27b	IL16	0.06736660867649391
miR-27b	CCL13	0.14893636009926414
miR-27b	miR-126	0.9591828132990257
miR-27b	VEGFD	0.0638960976379126
miR-148a	IGHG1	0.08071975064736492
miR-148a	IGHA2	0.2375885885561848
miR-148a	HRG	0.1148450020940075
miR-148a	ADM	0.052790356304689645
miR-148a	OLR1	0.10315222446769923
miR-148a	IL10	0.0624111625917152
miR-148a	CDCP1	0.06251373290146667
miR-148a	CSTB	0.09981857004827344
miR-148a	ITIH4	0.09507204025468763
miR-148a	CCL8	0.15591910775009055
miR-148a	TTR	0.1877104245163288
miR-148a	miR-21	0.7788647477144384
miR-148a	GC	0.19456601761281345
miR-148a	CD5	0.0997985959780836
miR-148a	IL17A	0.053054039545750165
miR-28-3p	miR-223	1.2960170334678853
miR-28-3p	RBP4	0.18368794030149527
miR-28-3p	miR-320	1.1553317239819503
miR-28-3p	APOD	0.12748433449710728
miR-28-3p	ADA	0.0936378993719682
miR-28-3p	CXCL8	0.06636312714492565
miR-28-3p	SAA4	0.13327368722735056
miR-28-3p	PLG	0.07189975858281716
miR-28-3p	CLEC3B	0.14681068782271467
miR-28-3p	CMA1	0.04837922356547697
miR-28-3p	APOC1	0.09578157048774028
miR-223	SPON1	0.11389532143361158
miR-223	IL1R1	0.07464331746519015
miR-223	SERPINF2	0.14912767554241668
miR-223	miR-197	1.1554033911967005
miR-223	miR-191	1.4891016417628302
miR-223	APOB	0.17189970924036935
miR-223	FGF23	0.05046336614230196
miR-223	TGFB1	0.38076722881186154
miR-223	PSPHP1	0.1391521488375007
miR-223	CXCL1	0.4907313538037057
miR-223	CXCL5	0.4042108564358786
miR-223	AXIN1	0.5366288559172574
miR-223	miR-28-3p	1.2960170334678853
miR-223	miR-126	1.3024815876340394
miR-223	miR-24	1.5264854576513187
miR-223	PF4	0.6585547905001672
miR-378	C4BPA	0.21229497564793487
miR-378	IGHG2	0.1028124413324134
miR-378	IL12B	0.13330006183321963
miR-378	FST	0.05208124637409561
miR-378	FBLN1	0.13339362243115005
miR-378	C2	0.18809593914923095
miR-378	APOH	0.09711407498526636
miR-378	TF	0.16261653980063517
miR-378	CXCL9	0.10065973131563677
miR-378	IL27	0.06367477428671275
miR-378	MB	0.07101220913174178
miR-378	CTSD	0.08956017366753244
miR-378	miR-92a	0.4118943394108534
miR-378	APOA2	0.14084551013515068
miR-378	APOA1	0.16360598849249897
miR-378	miR-122	0.2365845214739739
miR-378	SERPIND1	0.12067947388325706
miR-378	GDF15	0.11381811583394619
miR-378	KLKB1	0.06955477913656427
miR-378	IL18R1	0.08856437820243013
miR-126	miR-126*	1.187750814487094
miR-126	miR-223	1.3113715829146857
miR-126	miR-195	0.8102300440290389
miR-126	TNFSF14	0.2965866653794649
miR-126	miR-27b	0.9275651654684616
miR-126	CXCL11	0.2914676802086449
miR-126	CXCL6	0.31521206101235943
miR-126	THBD	0.05891567762010297
miR-126	miR-21	1.0900659316474526
miR-126	ERVMER34-1	0.12488363807919267
miR-126	APOC2	0.19650996503135687
miR-335	F2R	0.4569631818533253
miR-335	APOA4	0.1618657072878129
miR-335	PRAP1	0.04623742200333858
miR-335	ITGB1BP2	0.5460499798126088
miR-335	CD274	0.6088927973556313
miR-335	miR-24	1.1602786072671192
miR-335	S100A12	0.06154373171114358
