Regulator	Target	MI
miR-126*	CXCL16	0.06392493320660542
miR-126*	IL15RA	0.0761460203037263
miR-126*	SERPINF2	0.10610985115842642
miR-126*	VTN	0.1171691417058982
miR-126*	TNFSF12	0.12985173181137277
miR-126*	GDNF	0.1087944791453177
miR-126*	ALB	0.11403159003286678
miR-126*	ADA	0.11575918515806283
miR-126*	CCL13	0.15529341790305917
miR-126*	ITIH2	0.14707826134163504
miR-126*	C1R	0.201825550703429
miR-126*	SAA4	0.09664067792104536
miR-126*	PLG	0.13654765227372057
miR-126*	ITIH1	0.11833000283265793
miR-126*	miR-126	1.0929352430664867
miR-126*	AGT	0.12468007592650032
miR-223*	C4BPA	0.11336177127180402
miR-223*	IL6R	0.06381652201178856
miR-223*	miR-320	0.770254331799074
miR-223*	TEK	0.0757118061421691
miR-223*	HRG	0.12737647012597808
miR-223*	IL17C	0.04471584363291381
miR-146a	CXCL6	0.3500062591823552
miR-146a	CD40	0.3575944955060715
miR-146a	SERPINA1	0.12024483354373583
miR-146a	CXCL1	0.5499336429582016
miR-146a	CXCL5	0.5638937424765489
miR-146a	MMP7	0.04673143106483657
miR-146a	F2R	0.5524401801623471
miR-146a	PLAUR	0.06311009373971022
miR-146a	SIRT2	0.901805642272671
miR-146a	ITGB1BP2	0.6279213579265308
miR-146a	CD274	0.6273729942157651
miR-146a	C1S	0.11124398983851869
miR-146a	CFH	0.2383050627739136
miR-146a	IL1RL1	0.19927048864405794
miR-146a	miR-24	1.2960846001758863
miR-146a	miR-320	1.184235725784589
miR-146a	APOE	0.08872623308933303
miR-146a	FN1	0.08226772134662053
miR-146a	miR-335	1.226748287574872
miR-146a	CD40LG	0.714874872857366
miR-146a	IL7	0.3694940317609179
miR-146a	PF4	0.7781849296359384
miR-27b	PGLYRP2	0.08210228419887144
miR-27b	NPPB	0.08774255573440382
miR-27b	IL12B	0.0791488660595574
miR-27b	SELENOP	0.07493018690326458
miR-27b	SERPING1	0.16109863418393822
miR-27b	CPN2	0.12425993442542893
miR-27b	miR-21	1.0733082393620377
miR-27b	APOB	0.1556771614264063
miR-27b	miR-335	1.022905169795309
miR-27b	AGRP	0.1080583352181339
miR-148a	SERPINA6	0.10356944445923855
miR-148a	C8A	0.16903417777736252
miR-148a	CLU	0.11901122964069888
miR-148a	FGG	0.08303186643796323
miR-148a	APOA1	0.15852557705820125
miR-148a	LIFR	0.09860096412360608
miR-148a	RNASE3	0.1378458738542374
miR-148a	MMP10	0.15515745044415485
miR-148a	CSTB	0.17704307331785163
miR-148a	S100A12	0.12777792535757904
miR-148a	miR-21	0.8798046970068647
miR-148a	APOL1	0.17688829322307686
miR-148a	FGF21	0.13886478312857786
miR-148a	FGF19	0.09426051127379331
miR-28-3p	FCN3	0.09538676700473125
miR-28-3p	SPON1	0.07013166516855751
miR-28-3p	SLC4A1	0.05201288100351764
miR-28-3p	miR-223	1.3835687304387667
miR-28-3p	CFB	0.20863148260965936
miR-28-3p	AGER	0.09015246812742994
miR-28-3p	C5	0.15619843219661167
miR-28-3p	BDNF	0.08495148001589126
miR-28-3p	ADM	0.1698304429427555
miR-28-3p	CASP8	0.49305190199997195
miR-28-3p	AHSG	0.14725111003051694
miR-28-3p	MMP12	0.07679847135054363
miR-28-3p	GAL	0.08928240946373656
miR-28-3p	SRC	0.7397395512553961
miR-28-3p	CCL20	0.08527008008376935
miR-28-3p	IL10RB	0.13027231649467907
miR-28-3p	KLKB1	0.2035335375603191
miR-223	ORM2	0.11287873019765104
miR-223	IGHG2	0.06536325027064116
miR-223	MMP1	0.21143640082529203
miR-223	TNFRSF1B	0.10388267622392533
miR-223	AZGP1	0.19380219066798787
miR-223	CDCP1	0.07171829323702195
miR-223	miR-195	0.7503364005031994
miR-223	miR-191	1.5007124128622813
miR-223	FBLN1	0.10833268289504439
miR-223	C2	0.14289105200742913
miR-223	miR-28-3p	1.3608629735762001
miR-223	miR-24	1.5308185125243865
miR-223	Total-IGHG	0.12822651493326376
miR-223	STOM	0.16698627622405837
miR-223	IL18R1	0.11100244702885309
miR-378	CCL4L1	0.07877521641319252
miR-378	PLAT	0.129182547736022
miR-378	HGF	0.08342279631985594
miR-378	miR-320	0.3524767637207331
miR-378	APOD	0.10428150919423729
miR-378	FASN	0.15379578438823227
miR-378	CXCL8	0.23903624370656384
miR-378	PRL	0.053557603224134276
miR-378	THBD	0.07584390284047782
miR-378	OLR1	0.07005015627600297
miR-378	CTSD	0.18157826822848566
miR-378	APOA4	0.12619413294551673
miR-378	miR-155	0.33069238756912345
miR-378	C1QB	0.17772241826906932
miR-378	SERPINC1	0.07748053240082786
miR-378	CD5L	0.1403081995915887
