Regulator	Target	MI
miR-126*	TNFSF10	0.06697654972587763
miR-126*	TNFRSF10B	0.11123720811487825
miR-126*	IL6	0.0796860998484119
miR-126*	CXCL9	0.09512448623184255
miR-126*	CXCL8	0.14117747249237933
miR-126*	CX3CL1	0.1292465603119295
miR-126*	miR-126	1.085794153416007
miR-126*	VEGFA	0.16555756030465307
miR-223*	miR-191	0.8596251208172241
miR-223*	C3	0.18031775240206116
miR-223*	FGF23	0.18014453389093532
miR-146a	STAMBP	0.7002832595341051
miR-146a	A1BG	0.1646045633976767
miR-146a	C2	0.14503015527156649
miR-146a	C5	0.11822026667462904
miR-146a	miR-320	1.1702646218253951
miR-146a	CXCL10	0.10379120753260906
miR-146a	miR-335	1.1531583417393243
miR-146a	ALB	0.17766201010039584
miR-146a	SERPINA1	0.11892935783504655
miR-146a	THRB	0.1698580568039132
miR-146a	HSPB1	0.7929865833532936
miR-146a	CASP8	0.590048030096769
miR-146a	FGA	0.10344907515422452
miR-146a	SIRT2	0.7934951498508207
miR-146a	PECAM1	0.3652724884064673
miR-146a	SELPLG	0.0483570675911178
miR-146a	SRC	0.7370794629570128
miR-146a	SAA4	0.16135908871251203
miR-146a	miR-126	1.2381491359920007
miR-146a	miR-24	1.374180048284873
miR-146a	ERVMER34-1	0.14961758856331553
miR-146a	GSN	0.16310389166194117
miR-146a	EGF	0.6328305180841269
miR-146a	PF4	0.6748050379715123
miR-27b	NT-pro-BNP	0.1686970330188453
miR-27b	CSF1	0.10909524109314361
miR-27b	PLAT	0.11113166121887019
miR-27b	NPPB	0.04886938431666099
miR-27b	IL6R	0.1032181296313226
miR-27b	NGF	0.15316481819961503
miR-27b	PRAP1	0.08121042451782312
miR-27b	CSTB	0.1427188722864745
miR-27b	CLEC3B	0.14244964115385983
miR-27b	miR-21	0.9431172241018144
miR-27b	GH1	0.08988055294743713
miR-27b	TF	0.08904981331638506
miR-27b	KLKB1	0.10705251072183852
miR-148a	SERPINA6	0.1590089006525286
miR-148a	HGF	0.08122466070119838
miR-148a	LIFR	0.0831776202710186
miR-148a	RNASE3	0.09520811070640978
miR-148a	LPA	0.13386476377805945
miR-148a	PLG	0.11392563083481022
miR-148a	miR-21	0.8427414867833098
miR-148a	TNFRSF9	0.09301953729811618
miR-148a	FGF19	0.05873628869541214
miR-148a	CCL28	0.0778441396091134
miR-148a	IL17C	0.04668263952104379
miR-28-3p	SPON1	0.06286027394396054
miR-28-3p	miR-223	1.2807044194258
miR-28-3p	C7	0.18101105585722888
miR-28-3p	miR-320	1.185201430609542
miR-28-3p	CXCL11	0.22148623480852425
miR-28-3p	CD40	0.38260237409146924
miR-28-3p	CTSD	0.10618573708006007
miR-28-3p	CHI3L1	0.09759882025580868
miR-28-3p	miR-150	0.29688513419100016
miR-28-3p	GDF15	0.1203097225987868
miR-28-3p	FABP4	0.04400967898424657
miR-223	CXCL1	0.5578898616755117
miR-223	MPO	0.0800595799117998
miR-223	RBP4	0.1873531366027894
miR-223	miR-191	1.3387450383850812
miR-223	CD274	0.5561971795022638
miR-223	TGFA	0.14111205415670103
miR-223	miR-28-3p	1.2738166995255806
miR-223	VTN	0.13760251379919897
miR-223	CCL8	0.11359072629692246
