Regulator	Target	MI
miR-126*	SLC4A1	0.13529801909579486
miR-126*	FGF5	0.059251710356791776
miR-126*	IL15RA	0.07669189719927516
miR-126*	HBE1	0.1886922304473
miR-126*	PRAP1	0.05097624204575801
miR-126*	AZGP1	0.2053493708906471
miR-126*	TNFRSF11B	0.09675590234378273
miR-126*	A1BG	0.05357154823972543
miR-126*	HPR	0.14602397318300397
miR-126*	KNG1	0.13492285621277933
miR-126*	APOE	0.14473082589490893
miR-126*	TGFB1	0.3854395394466019
miR-126*	GH1	0.10192956781757445
miR-126*	miR-335	0.9494127598963269
miR-126*	CX3CL1	0.1075737915674484
miR-126*	MMP3	0.055422110780210865
miR-126*	ITIH4	0.245538003870986
miR-126*	CLEC3B	0.0663878988364015
miR-126*	miR-126	1.019705667554641
miR-126*	TTR	0.11010168347465044
miR-126*	GC	0.11352575530331155
miR-126*	ABCF1	0.22133514149107203
miR-126*	CMA1	0.06888414640346063
miR-126*	APOC3	0.18280610028698252
miR-126*	CCL28	0.1775166526444485
miR-223*	CXCL16	0.082283756966679
miR-223*	IGHG1	0.1417650732787603
miR-223*	IL1R1	0.07933023645531101
miR-223*	RNASE3	0.1499760326420505
miR-223*	IL1RL1	0.07247903168104841
miR-223*	miR-320	0.669159677352952
miR-223*	APOD	0.11924676815651924
miR-223*	GDF15	0.058416404458115245
miR-223*	CP	0.13751830730368386
miR-223*	miR-378	0.38816172824514794
miR-223*	IL17A	0.05100348826628842
miR-146a	C4BPA	0.243686876979198
miR-146a	IGHG4	0.13427355954373343
miR-146a	STAMBP	0.6609599297508906
miR-146a	CD274	0.5533190673077177
miR-146a	TGFA	0.08102852583235443
miR-146a	SULT1A1	0.5420859037029899
miR-146a	VTN	0.15216393185783872
miR-146a	APOM	0.12957892620889133
miR-146a	APOB	0.11417971959711348
miR-146a	MUC16	0.10573298781116414
miR-146a	CXCL10	0.06561597152602516
miR-146a	miR-335	1.1976133622689238
miR-146a	CXCL9	0.05596449028890316
miR-146a	SERPINA1	0.07210859616771881
miR-146a	HSPB1	0.6957643306680223
miR-146a	CXCL1	0.5407742444121038
miR-146a	C8A	0.13032618798065165
miR-146a	CXCL5	0.4437795803582647
miR-146a	CASP8	0.5152148242498651
miR-146a	PLAUR	0.058736157275709466
miR-146a	ITGB1BP2	0.5353956754366642
miR-146a	SRC	0.6629026551012887
miR-146a	RETN	0.05061917835605989
miR-146a	ITIH1	0.08754064673861706
miR-146a	CCL8	0.19000353022017347
miR-146a	miR-24	1.3447686381025026
miR-146a	miR-21	1.0241038892710081
miR-146a	ERVMER34-1	0.08608319029147538
miR-146a	SERPIND1	0.17669584573313735
miR-146a	EGF	0.5721724567833801
miR-146a	APOC2	0.15767318646296502
miR-27b	AHSG	0.06478837470888621
miR-27b	IL16	0.1537818009758345
miR-27b	C1S	0.10365291075431049
miR-27b	Total-IGHG	0.09605204658265176
miR-27b	miR-21	0.944226461138653
miR-27b	IL7	0.31567668253781633
miR-148a	IGHG2	0.08546389022285439
miR-148a	IL12B	0.060629044397335186
miR-148a	HGF	0.07655119790130094
miR-148a	TNFRSF1B	0.06688758065527267
miR-148a	IFNG	0.06705506622317614
miR-148a	KLK6	0.07277917424887548
