Regulator	Target	MI
miR-126*	CSF1	0.08012565431289076
miR-126*	CXCL16	0.04714703706942469
miR-126*	SELENOP	0.12524310393201432
miR-126*	LPA	0.12468606217717948
miR-126*	A1BG	0.05943629523523075
miR-126*	C6	0.15495494232814
miR-126*	APOE	0.07679926738528575
miR-126*	AMBP	0.1678871225890024
miR-126*	MB	0.05676469103370607
miR-126*	IL16	0.12065645143832704
miR-126*	NGF	0.17481753988414628
miR-126*	SERPINC1	0.19750328897367897
miR-126*	miR-126	1.0149457307536087
miR-126*	CCL7	0.0589086588039498
miR-126*	LEP	0.08007001664932734
miR-223*	F13A1	0.12182007714425769
miR-223*	IGHG3	0.08358036788190049
miR-223*	FLT3LG	0.1112243603451093
miR-223*	miR-191	0.9031491832127507
miR-223*	CCL13	0.13098050681974627
miR-223*	ITIH2	0.05356616831288186
miR-223*	C1S	0.12929758439221306
miR-223*	AFM	0.24176583997350942
miR-223*	Total-IGHG	0.15419937764601688
miR-223*	ERVMER34-1	0.16980172406519234
miR-223*	IL10RB	0.09155586380443648
miR-223*	ALB	0.11465149839761501
miR-223*	CCL28	0.14155681261375985
miR-146a	OLR1	0.10727007301421843
miR-146a	TNFSF11	0.06477633246582482
miR-146a	HBE1	0.1319643431643751
miR-146a	SIRT2	0.8662673037745661
miR-146a	CHI3L1	0.0903112678588407
miR-146a	ITGB1BP2	0.6051566741300913
miR-146a	HBEGF	0.4396012814997867
miR-146a	SRC	0.7706342463054519
miR-146a	SAA4	0.10495599326902472
miR-146a	miR-24	1.3480365045308993
miR-146a	TNFSF14	0.3977495597813583
miR-146a	miR-335	1.1920768226767118
miR-146a	CD40LG	0.7690398572543806
miR-27b	PGLYRP2	0.061514677349594926
miR-27b	IGHG1	0.0903106683825925
miR-27b	miR-146a	0.913984722769106
miR-27b	C3	0.10296619510215255
miR-27b	MUC16	0.08646946256150301
miR-27b	PSPHP1	0.11207260021637211
miR-27b	TNFSF12	0.050115789312665804
miR-27b	FN1	0.13784371981863064
miR-27b	FASN	0.09745368056277215
miR-27b	U6	0.17953027395161048
miR-27b	SERPINA1	0.09710261338872961
miR-27b	SERPINA6	0.18704913045532212
miR-27b	ORM2	0.1613064523485459
miR-27b	MMP7	0.10318067758525817
miR-27b	FGG	0.1125021523739349
miR-27b	MMP3	0.058128928651110634
miR-27b	TNFRSF1B	0.06498031184985198
miR-27b	TTR	0.21509896055489452
miR-27b	CCL2	0.10029588399417833
miR-27b	miR-21	0.9750985226173885
miR-27b	SERPIND1	0.18308195929245397
miR-27b	FABP4	0.10269175582622836
miR-27b	LRG1	0.1492322293214805
miR-148a	SELE	0.15860216074966615
miR-148a	C8A	0.08339275199451812
miR-148a	MMP1	0.21621129054464738
miR-148a	miR-24	0.8002645868787148
miR-28-3p	CFI	0.2295570260196902
miR-28-3p	miR-320	1.1242161280206373
miR-28-3p	IL6	0.1096284473735345
miR-28-3p	CXCL6	0.3353132847089313
miR-28-3p	CASP8	0.5790667167373202
miR-28-3p	CDCP1	0.053250499655428385
miR-28-3p	IL1RL1	0.10763865638005576
miR-28-3p	miR-24	1.298794627091973
miR-28-3p	APOC1	0.17486606493004686
miR-223	CXCL1	0.5653107853799808
miR-223	IKBKG	0.545869816367941
miR-223	AXIN1	0.6595211242144572
miR-223	miR-191	1.4259657703841944
miR-223	EGF	0.7072138033616335
miR-223	PF4	0.6989606709859801
miR-378	IL15RA	0.13590079457460913
miR-378	PRAP1	0.10874242526533884
miR-378	TIMELESS	0.10785174962034372
miR-378	CFB	0.10010206082594486
miR-378	ADA	0.13821696988646526
miR-378	IGHM	0.19257493219484623
miR-378	CTSD	0.14053838621408943
miR-378	APOA2	0.15666122854279152
miR-378	C1QB	0.14485648195779177
miR-378	miR-126	0.46010410275643476
miR-378	miR-122	0.2716113857221947
miR-378	VEGFD	0.19823207126457731
miR-378	IL18R1	0.11713380578349852
miR-378	C1QC	0.12496277420017243
miR-126	miR-126*	1.0246796998416716
miR-126	SLC4A1	0.11295715844839016
miR-126	CLU	0.152750805450653
miR-126	miR-148a	0.8052180061422165
miR-126	IGHG2	0.11729986543555082
miR-126	DKK1	0.38169079793355376
miR-126	PAPPA	0.06109435219085135
miR-126	FBLN1	0.1986563345672856
miR-126	TNFRSF10B	0.10533311142804003
miR-126	CP	0.17047543186903003
miR-126	MRS2	0.1575704833070697
miR-126	SERPINA3	0.14606935246811847
miR-126	CD40	0.36606942388014563
miR-126	CTSL	0.08171346510906208
