Regulator	Target	MI
miR-126*	PRL	0.067377616376608
miR-126*	SERPINA6	0.14757575149053004
miR-126*	SERPINF2	0.05241641056482482
miR-126*	FLT3LG	0.049759132261754324
miR-126*	CPN2	0.10067747714557473
miR-126*	miR-126	1.1695140836311282
miR-126*	IGHA2	0.08082216103078466
miR-126*	TNFRSF9	0.14773889656284744
miR-126*	APOC3	0.0739592821705557
miR-126*	miR-335	0.9792356068765207
miR-126*	GDNF	0.04386294698473048
miR-223*	C8A	0.08205644248973432
miR-223*	NPPB	0.07049511561490363
miR-223*	CTSL	0.06259523564448966
miR-223*	PRAP1	0.044705875274136275
miR-223*	miR-197	0.7670678022832798
miR-223*	C1R	0.08742809796731166
miR-223*	SAA4	0.14490884295616624
miR-223*	A1BG	0.10269330771531315
miR-223*	NTF3	0.0848610859329968
miR-223*	CCL25	0.07038216533196096
miR-223*	ERVMER34-1	0.13398865134876736
miR-223*	CCL28	0.06510844956466944
miR-146a	SERPINA3	0.12554993919409707
miR-146a	CD40	0.39138305963571174
miR-146a	HSPB1	0.8033308565880626
miR-146a	C4BPA	0.09751371637653428
miR-146a	CXCL1	0.5400147085870541
miR-146a	CASP8	0.447316331059576
miR-146a	IKBKG	0.5371964327372263
miR-146a	MMP1	0.24617510155146505
miR-146a	F2R	0.5172594905644212
miR-146a	APOA2	0.12685560223834447
miR-146a	AZGP1	0.17855042036000057
miR-146a	ITGB1BP2	0.5900600750588749
miR-146a	STAMBP	0.6851280296610307
miR-146a	HBEGF	0.47296602780642427
miR-146a	CD274	0.6872234357982778
miR-146a	miR-28-3p	1.2669734767512209
miR-146a	SULT1A1	0.5555765217848414
miR-146a	miR-24	1.3990382057441906
miR-146a	miR-320	1.152364166530874
miR-146a	STOM	0.19100888550729245
miR-146a	miR-21	1.1009833780249192
miR-146a	EGF	0.6175511785720138
miR-146a	miR-335	1.2007474827106117
miR-146a	IL7	0.3282406561974609
miR-146a	APOC2	0.11679579004094087
miR-146a	ALB	0.07096135557611039
miR-146a	PF4	0.6947490098856779
miR-27b	THRB	0.10183405100475973
miR-27b	F13A1	0.14755764470301802
