Regulator	Target	MI
miR-126*	NT-pro-BNP	0.04574598355486614
miR-126*	CXCL8	0.13759176743451285
miR-126*	C2	0.1441272666335287
miR-126*	miR-126	1.1083376028657792
miR-126*	TNFRSF9	0.07192540186521335
miR-126*	LRG1	0.1379014420785385
miR-223*	C4BPA	0.12525576958407214
miR-223*	FLT3LG	0.05071207837676628
miR-223*	miR-155	0.31891787304501573
miR-223*	C1R	0.09963354436160365
miR-223*	SERPINC1	0.06964219988911413
miR-223*	miR-28-3p	0.724024486535626
miR-223*	FGF23	0.056000631938945666
miR-223*	TNFSF12	0.05719010635478927
miR-223*	FN1	0.11952191272557666
miR-223*	CP	0.10303073848790323
miR-223*	AGT	0.14325074582791242
miR-223*	APOC2	0.20498964179039092
miR-146a	TNFSF11	0.04752020911270005
miR-146a	CD274	0.5780971613506081
miR-146a	CFI	0.16877762663085427
miR-146a	TGFB1	0.4338897343518129
miR-146a	MUC16	0.07832719160175028
miR-146a	TNFSF14	0.41979805225804956
miR-146a	miR-335	1.1282053029861672
miR-146a	IL7	0.3343741432912175
miR-146a	SERPINA3	0.20350348890219205
miR-146a	CXCL1	0.6097238985396292
miR-146a	THBD	0.18654652380719483
miR-146a	IKBKG	0.5743749981850375
miR-146a	ITGB1BP2	0.5462296560138151
miR-146a	HBEGF	0.4201246318216345
miR-146a	miR-24	1.2700499169722468
miR-146a	ABCF1	0.1820471656777034
miR-146a	GSN	0.10661523440325382
miR-146a	EGF	0.6493529423100295
miR-146a	CD40LG	0.7430420051994995
miR-146a	CD244	0.28664661175316386
miR-146a	PF4	0.6942601255413114
miR-27b	CSF1	0.08529166451081238
miR-27b	LIFR	0.08271204408322941
miR-27b	RBP4	0.14968228386705196
miR-27b	C6	0.19654085131250554
miR-27b	APOD	0.13808397690315832
miR-27b	APOB	0.13114344773274134
miR-27b	miR-335	0.9765807932218173
miR-27b	ADM	0.05908594696264835
miR-27b	SERPINA6	0.11049101758873725
miR-27b	SERPINA7	0.1444180504453536
miR-27b	MBL2	0.10691798717082879
miR-27b	PECAM1	0.3601130178027061
miR-27b	C1S	0.11409400922145885
miR-27b	APOL1	0.08295872270513982
miR-27b	GC	0.1293924925742811
