Regulator	Target	MI
miR-126*	CSF1	0.12589580508453668
miR-126*	CXCL16	0.05857955863840125
miR-126*	IGHG2	0.22347779933151202
miR-126*	SELENOP	0.1477189351661936
miR-126*	C7	0.1495094040232221
miR-126*	IL27	0.11084176018888314
miR-126*	C8A	0.17873243240627268
miR-126*	MMP7	0.06801341784156634
miR-126*	NGF	0.089459736910805
miR-126*	miR-126	1.0487934021540681
miR-126*	CD6	0.08344606546680389
miR-223*	C4BPA	0.17169662711662603
miR-223*	PGF	0.09116983578969418
miR-223*	FBLN1	0.14213223715823187
miR-223*	A1BG	0.12704121516716516
miR-223*	C3	0.13367663099604687
miR-223*	S100A12	0.07462590343001807
miR-223*	SERPINA3	0.16730744862359703
miR-223*	MBL2	0.16769489275341698
miR-223*	CDCP1	0.07661872297807815
miR-223*	ITIH4	0.2412443262574948
miR-223*	miR-28-3p	0.7878466046576102
miR-223*	IL10RA	0.04448844501197158
miR-223*	CCL28	0.09083543357540336
miR-146a	PGLYRP2	0.15898610757392984
miR-146a	IL1R1	0.09226917567609139
miR-146a	F2R	0.44551133375048746
miR-146a	CFB	0.11811667093364253
miR-146a	miR-27b	0.9531200452003645
miR-146a	miR-335	1.1062215124636268
miR-146a	REN	0.056798358858936915
miR-146a	HSPB1	0.8137359353641509
miR-146a	MMP1	0.17601176908781202
miR-146a	SIRT2	0.8159711846650453
miR-146a	ITGB1BP2	0.5580881233830937
miR-146a	CCL13	0.15068285829003703
miR-146a	SRC	0.6905115537514961
miR-146a	miR-24	1.3743258102848133
miR-146a	EGF	0.5956345063944903
miR-146a	CD40LG	0.6278926983346569
miR-146a	PF4	0.6797260393080924
miR-27b	CCL4L1	0.12950194096813217
miR-27b	NPPB	0.09671815947130202
miR-27b	IL6R	0.08965514546554676
miR-27b	IL20RA	0.06787905890114843
miR-27b	miR-146a	0.9652445029064056
miR-27b	C6	0.16415890994910942
miR-27b	TNFRSF9	0.07044133673907993
miR-27b	FN1	0.16240955251681655
miR-27b	GH1	0.08022346406988135
miR-27b	PLAUR	0.05532684075575123
miR-27b	IL16	0.12540712374678886
miR-27b	C1S	0.14328230553444943
miR-27b	miR-21	0.9470072363760069
miR-27b	CCL20	0.05614082385576058
miR-27b	KITLG	0.06639384794532877
