Regulator	Target	MI
miR-126*	CSF1	0.10917543597298529
miR-126*	CXCL16	0.051430043069843556
miR-126*	NPPB	0.11473272793531297
miR-126*	SERPINF1	0.1603834377016966
miR-126*	PRAP1	0.08439827473754846
miR-126*	ITIH1	0.17839074642351083
miR-126*	miR-126	1.0111845252281046
miR-126*	CCL8	0.11528328165031976
miR-126*	miR-378	0.41142636879712047
miR-223*	IGHG3	0.0796352474154256
miR-223*	miR-146a	0.7570389441076717
miR-223*	A1BG	0.227934241418553
miR-223*	THBD	0.0805647320226992
miR-223*	NGF	0.08444096932219125
miR-223*	TNFRSF1A	0.07100774754392702
miR-223*	miR-150	0.3444165148154159
miR-223*	CMA1	0.06315475208348076
miR-223*	GDF15	0.08805456150199387
miR-146a	miR-223*	0.7445435127096056
miR-146a	FGF5	0.09348980365899706
miR-146a	PGF	0.06719256706675569
miR-146a	AZGP1	0.14382911812808974
miR-146a	STAMBP	0.6213259051283755
miR-146a	CFH	0.1100213554585272
miR-146a	C3	0.15553026491819288
miR-146a	APOB	0.14723165843203834
miR-146a	IGHA2	0.0859686331570062
miR-146a	FGF21	0.11178510225364846
miR-146a	TGFB1	0.43743965382946826
miR-146a	CXCL10	0.05484067761339961
miR-146a	miR-335	1.3934853616838359
miR-146a	CXCL6	0.3221418451669553
miR-146a	SERPINA3	0.15823280897338243
miR-146a	ORM1	0.1951931734364809
miR-146a	JCHAIN	0.16030625332798376
miR-146a	FGA	0.13122043277280238
miR-146a	FGG	0.13608433141010412
miR-146a	AXIN1	0.5686119262226512
miR-146a	CDCP1	0.08184386961272416
miR-146a	ITGB1BP2	0.5560288787275987
miR-146a	CSTB	0.07543253541981176
miR-146a	SAA4	0.26818458291751845
miR-146a	CPN2	0.10918953534019504
miR-146a	miR-24	1.3180768937475325
miR-146a	GSN	0.1319053096848739
miR-146a	EGF	0.6706781366926657
miR-146a	OSM	0.06239428531351621
miR-27b	MMP12	0.08485537284486977
miR-27b	CCL11	0.09667414921164941
miR-27b	RETN	0.06154758675079197
miR-27b	miR-126	0.9482047617672968
miR-27b	FGF23	0.06621258701943145
miR-27b	AMBP	0.16047004096763917
miR-27b	TNFRSF9	0.08481258609934983
miR-27b	IL17C	0.08602916713209918
miR-148a	PGLYRP2	0.12330698277063323
miR-148a	HPR	0.1545036703409357
miR-148a	VTN	0.13245833806571916
miR-148a	APOE	0.15836730753489725
miR-148a	CXCL8	0.07889729810761281
miR-148a	SERPINA7	0.17536288750656404
miR-148a	MMP3	0.06519658291472386
miR-148a	CCL4	0.07068646679169799
miR-148a	CCL2	0.08609054223949553
miR-148a	miR-21	0.8367955664078508
miR-148a	AGT	0.2619976157687729
miR-148a	AGRP	0.07251598630267608
miR-28-3p	SPON1	0.0672572694250908
miR-28-3p	F13A1	0.12903949984069474
miR-28-3p	SLC4A1	0.15634177446372188
miR-28-3p	RNASE3	0.06911245309712388
miR-28-3p	RBP4	0.2647346694027979
miR-28-3p	PAPPA	0.05724905489145016
miR-28-3p	TIMELESS	0.043384666400468674
miR-28-3p	CD274	0.5909440269485318
miR-28-3p	APOM	0.14788039199615
miR-28-3p	TNFRSF10B	0.061101488459055275
miR-28-3p	CD40	0.3926280886562701
miR-28-3p	CXCL5	0.47026328943365847
miR-28-3p	CASP8	0.5055757928378837
miR-28-3p	IKBKG	0.5011128271641923
miR-28-3p	miR-24	1.2886291901407212
miR-28-3p	CCL25	0.09689301720537724
miR-28-3p	CCL28	0.12413196742240373
miR-28-3p	CD244	0.39762931537994817
miR-223	miR-191	1.5504815304429584
miR-223	CP	0.17285790246627641
miR-223	miR-28-3p	1.2748144659134217
miR-223	TTR	0.1773840919270171
miR-223	miR-24	1.4887209883064418
miR-223	STOM	0.2468259455474051
miR-378	miR-126*	0.41142636879712047
miR-378	FN1	0.26006178702738403
miR-378	PRL	0.12561803239317637
miR-378	SERPINA6	0.12634309018754308
miR-378	APOA4	0.13070918870564974
miR-378	GAL	0.05235112772185335
miR-378	CD5L	0.11250849597759682
miR-378	miR-122	0.24845964448784486
miR-378	NTF3	0.05925530543051316
miR-378	APOL1	0.15329050930288535
miR-378	IL18R1	0.09741904752259867
miR-126	miR-126*	1.0446291492617572
miR-126	CLU	0.1947123068738854
miR-126	IL15RA	0.06124768301416239
miR-126	SLAMF1	0.06277212041464963
miR-126	miR-27b	0.9595252000326049
miR-126	CXCL11	0.1730500694254289
miR-126	ADA	0.07591518627772942
miR-126	ORM2	0.15612292545875928
miR-126	CTSL	0.05741246895556795
miR-126	C1QB	0.08340001119381313
miR-126	SERPINC1	0.21808852473633156
miR-126	miR-24	1.307117347727229
miR-126	miR-21	1.0809675494728408
miR-335	FCN3	0.14122903688952082
miR-335	HSPB1	0.7962237877831004
miR-335	IL10	0.08663415627675697
miR-335	IL1R1	0.13666083713384491
miR-335	DKK1	0.3670754459062211
miR-335	MMP10	0.10257930683049032
miR-335	PECAM1	0.3505426714827289
miR-335	HBEGF	0.32863525222511214
miR-335	miR-146a	1.3645617621091093
miR-335	ABCF1	0.1824685731595901
miR-335	APOC3	0.12152972385408489
miR-335	KLK11	0.07607115829366506
miR-335	CD40LG	0.7208277567817305
miR-335	IL7	0.34475083263634243
miR-335	REN	0.11682383409779984
miR-335	PF4	0.8400609256508442
miR-197	SELENOP	0.20022869825955247
miR-197	KNG1	0.10224072292610042
miR-197	MUC16	0.06813874578809553
miR-197	MMP7	0.06142629672787159
miR-197	MMP1	0.23136412388438465
miR-197	APOA2	0.16076953134734495
miR-197	PLAUR	0.09311497737172036
miR-197	IL16	0.10234873660156651
miR-197	miR-155	0.35914519228274067
miR-197	miR-24	1.1130189430651267
miR-197	GC	0.13607463424349842
miR-24	miR-223	1.5040160290056193
miR-24	F2R	0.5168480973686451
miR-24	miR-197	1.1196160274951827
miR-24	miR-195	0.6826551549409654
miR-24	miR-146a	1.318508436356101
miR-24	C6	0.1538903716942901
miR-24	C7	0.19823595892946155
miR-24	miR-320	1.199442209204685
miR-24	Total-IGHG	0.13155447603630321
miR-24	IGHA1	0.1672073856674352
miR-24	BDNF	0.10610401494876864
miR-24	MRS2	0.13674680076173473
miR-24	SERPINA1	0.08543511708464635
miR-24	OLR1	0.05756824330876409
miR-24	SIRT2	0.8981326103190206
miR-24	SRC	0.8396845880168247
miR-24	miR-126	1.308924204982203
miR-122	NT-pro-BNP	0.077566749149109
miR-122	U6	0.20767056511458826
miR-122	CXCL9	0.08042444761766454
miR-122	FCN3	0.15563828561865822
miR-122	CXCL8	0.077620620238263
miR-122	PLAT	0.1733727064276307
miR-122	SLC4A1	0.10492172660814614
