Regulator	Target	MI
miR-126*	IGHG3	0.056984766009155585
miR-126*	NPPB	0.06943377833865316
miR-126*	IGHG1	0.07706927693502852
miR-126*	TNFRSF10B	0.09333748528849295
miR-126*	SELE	0.12779469842681213
miR-126*	GH1	0.07846272578993041
miR-126*	FASN	0.09286099125358671
miR-126*	C8A	0.10241798083400333
miR-126*	CXCL5	0.4470329461119542
miR-126*	LTA	0.14904569939390022
miR-126*	ITIH4	0.18902406943969208
miR-126*	C1R	0.0765002098761336
miR-126*	CST5	0.06938850663716511
miR-126*	miR-126	1.0766943279323193
miR-126*	CCL8	0.1664124315064175
miR-223*	RNASE3	0.10361911523390877
miR-223*	RBP4	0.17700809457990463
miR-223*	miR-197	0.6692132917966562
miR-223*	CCL13	0.19108323612930356
miR-223*	GSN	0.09188581787980699
miR-146a	IL27	0.05869544463727383
miR-146a	miR-223	1.3057865668036852
miR-146a	TNFSF10	0.0806936755397123
miR-146a	IKBKG	0.636536855324823
miR-146a	DKK1	0.4159767035890276
miR-146a	SIRT2	0.9222169418138595
miR-146a	PECAM1	0.371614766608916
miR-146a	ITGB1BP2	0.6227611110666373
miR-146a	STAMBP	0.7967374808048033
miR-146a	HBEGF	0.37594365148875575
miR-146a	SELPLG	0.07476653186269999
miR-146a	CLEC3B	0.09402902634257604
miR-146a	miR-320	1.0728601964610718
miR-146a	S100A12	0.07528871014975103
miR-146a	TGFB1	0.43824365886327854
miR-146a	MUC16	0.06682949663307447
miR-146a	CCL20	0.0930313426865137
miR-146a	EGF	0.6693425036630796
miR-146a	miR-335	1.1629434872571034
miR-146a	APOC2	0.07743967147918607
miR-27b	IGHM	0.08717651824158512
miR-27b	MMP3	0.07401551887329827
miR-27b	APOA1	0.1320483262561689
miR-27b	PDGFB	0.06818428292596579
miR-27b	miR-126	0.9131025177004606
miR-27b	APOL1	0.05898522644778659
miR-27b	FGF23	0.049392196762808815
miR-27b	TNFRSF9	0.05806862907205623
miR-27b	CXCL11	0.15147005814618186
miR-27b	KLKB1	0.08676616034172469
miR-148a	CXCL8	0.1759370183817719
miR-148a	SERPINA1	0.17272226034019678
miR-148a	THRB	0.05692244678324698
miR-148a	MMP1	0.2573679078537996
miR-148a	APOA4	0.10642296815206187
miR-148a	CD5L	0.08090066406023233
miR-148a	CPN2	0.1738851110010371
miR-148a	NTF3	0.0870214333643764
miR-148a	miR-21	0.8538225856298887
miR-148a	VEGFD	0.06365846619916216
miR-148a	VEGFA	0.23855947513072984
miR-148a	CXCL10	0.05268265335099187
miR-148a	CD6	0.11003797730035991
miR-148a	ALB	0.11023211318913528
miR-148a	SHBG	0.14914781715047187
miR-148a	IL18R1	0.12514904265620785
miR-28-3p	miR-223	1.298203447167558
miR-28-3p	IGHA2	0.14894400142201025
miR-28-3p	APOC3	0.1143891850670018
miR-28-3p	GDNF	0.12328835299061591
miR-28-3p	LEP	0.06614830841160924
miR-223	PGLYRP2	0.09100879910434578
miR-223	APOA2	0.12407257634235247
miR-223	miR-191	1.4661285094452605
miR-223	SAA4	0.1279609747631607
miR-223	miR-146a	1.3213732739051034
miR-223	miR-28-3p	1.2746045507451065
miR-223	miR-24	1.4421140925072962
miR-223	TEK	0.0891699239243895
miR-223	PF4	0.7041318599855284
miR-378	SLC4A1	0.05234804227348544
miR-378	FLT3LG	0.07350379414041708
miR-378	PAPPA	0.0679732168581193
miR-378	LPA	0.10412554115157668
miR-378	VTN	0.21709025390056258
miR-378	APOD	0.0851182428375088
miR-378	IGHA1	0.14571563351945738
miR-378	PRL	0.04506599165078651
miR-378	CTSD	0.15976270942141646
miR-378	FGG	0.12931378721662679
miR-378	miR-150	0.31930318539044666
miR-378	C1QB	0.11603148377224581
miR-378	CSTB	0.0795305014030907
miR-378	C1S	0.055792292003545185
miR-378	TTR	0.1445001720789163
miR-378	miR-122	0.25352407469189675
miR-378	CCL4	0.08719196428786447
miR-378	miR-21	0.41256087797411833
miR-378	GDF15	0.06603578034584245
miR-126	miR-126*	1.0766943279323202
miR-126	HBE1	0.1243953358731682
miR-126	SULT1A1	0.5976052393598339
miR-126	C6	0.15321656400796524
miR-126	C7	0.12248709910176192
miR-126	APOH	0.10901302640417754
miR-126	SLAMF1	0.052948681389712426
miR-126	PSPHP1	0.07872747892083254
miR-126	miR-27b	0.9326268862000333
miR-126	ADM	0.08109891830396077
miR-126	ORM2	0.09112631575361352
miR-126	MB	0.06703123887430174
miR-126	MBL2	0.054763726874748286
miR-126	FGA	0.11702315508390182
miR-126	GAL	0.15081482072633712
miR-126	ITIH1	0.13997711253892042
miR-126	miR-24	1.3751493547515823
