Regulator	Target	MI
miR-126*	SERPINA3	0.08447138085098249
miR-126*	FCN3	0.11049825177549
miR-126*	CCL11	0.05590631357155296
miR-126*	CFH	0.09511601769788847
miR-126*	C2	0.06740811073084974
miR-126*	miR-126	1.0315679094203203
miR-126*	TNFRSF10B	0.13268094333719738
miR-126*	GDNF	0.045763768382842684
miR-223*	RNASE3	0.046533855417393966
miR-223*	RBP4	0.24020130248354477
miR-223*	miR-197	0.8051000238859212
miR-223*	CHI3L1	0.10850948986042663
miR-223*	miR-150	0.2882629457587029
miR-223*	ITIH4	0.14828783679209323
miR-223*	AFM	0.11507023246031878
miR-223*	S100A12	0.051493099754677196
miR-223*	TNFSF12	0.07893837320979813
miR-223*	GH1	0.0813101854416276
miR-223*	APOC2	0.0931376812537339
miR-223*	AGRP	0.062168914627029004
miR-146a	CXCL6	0.3586482445880117
miR-146a	CD40	0.38361992314804993
miR-146a	SERPINA1	0.04950052773703639
miR-146a	THRB	0.1023585997696781
miR-146a	CXCL5	0.48620229360631484
miR-146a	CASP8	0.4869650156721397
miR-146a	IGHG2	0.10655698401424907
miR-146a	IKBKG	0.5666573348502828
miR-146a	MBL2	0.09296584215048131
miR-146a	APOA2	0.051539731672003875
miR-146a	SIRT2	0.8301644240888226
miR-146a	SERPING1	0.09277589236423989
miR-146a	ITGB1BP2	0.6156671270704921
miR-146a	STAMBP	0.7107163353153831
miR-146a	CCL13	0.14837507801443905
miR-146a	CD274	0.6802193409256327
miR-146a	SRC	0.8081277954491357
miR-146a	CFI	0.20755011612271534
miR-146a	SULT1A1	0.6230932748744307
miR-146a	TTR	0.12912313911087558
miR-146a	miR-24	1.3962484549015484
miR-146a	TGFB1	0.3784346475467135
miR-146a	TNFSF14	0.4012427988567886
miR-146a	SELE	0.09103931746089788
miR-146a	CXCL10	0.10561196896239
miR-146a	miR-335	1.1604760870697532
miR-146a	CD40LG	0.7089382668414386
miR-146a	ADA	0.14669166534635636
miR-146a	PF4	0.691601266941472
miR-27b	SERPINA6	0.11217867111382063
miR-27b	MPO	0.05038932511735528
miR-27b	JCHAIN	0.0699161266759285
miR-27b	IGHG1	0.0801011443267452
