Regulator	Target	MI
miR-126*	CCL4L1	0.056659161176991546
miR-126*	CXCL16	0.06816416212448928
miR-126*	IGHG3	0.11366200184916408
miR-126*	NPPB	0.0837838073408328
miR-126*	IGHG1	0.16113289937990594
miR-126*	C6	0.10426651450895452
miR-126*	C7	0.08278114091128863
miR-126*	GDNF	0.07659084294612217
miR-126*	FASN	0.11294643572573726
miR-126*	CXCL6	0.3101588530416972
miR-126*	JCHAIN	0.0679100966408539
miR-126*	NGF	0.09846641517054167
miR-126*	ITIH2	0.07887319439863827
miR-126*	miR-126	1.046644525818441
miR-126*	NTF3	0.10667067950927756
miR-126*	CCL3	0.07561239940607489
miR-126*	KITLG	0.08489120423118468
miR-223*	GPX3	0.15704859530934545
miR-223*	FLT3LG	0.08899060213066612
miR-223*	TNFRSF1A	0.08019919985849189
miR-223*	CCL13	0.12659133828248592
miR-223*	CFI	0.15862495049553615
miR-223*	A1BG	0.19298668714648137
miR-223*	ITIH1	0.13071935098971643
miR-223*	miR-28-3p	0.807121488146481
miR-223*	CCL2	0.06361033957577522
miR-223*	CMA1	0.052589426729655386
miR-223*	APOC3	0.08073973757741193
miR-223*	ALB	0.098351699626126
miR-146a	CD40	0.3512686725924299
miR-146a	HSPB1	0.682793124650896
miR-146a	C4BPA	0.09718480980072197
miR-146a	CXCL1	0.596250303723834
miR-146a	SERPINA7	0.20226593359125555
miR-146a	IL15RA	0.04818959587995142
miR-146a	MMP1	0.19458742362264125
miR-146a	F2R	0.4538574150250927
miR-146a	AXIN1	0.572325199643573
miR-146a	PLAUR	0.059636354048207885
miR-146a	DKK1	0.36591638002083826
miR-146a	PECAM1	0.33174834009792864
miR-146a	ITGB1BP2	0.5328390926506197
miR-146a	STAMBP	0.7038386802767622
miR-146a	HBEGF	0.3111982057349536
miR-146a	CD274	0.6715410859587623
miR-146a	CSTB	0.1350756918331495
miR-146a	SRC	0.7722495232575
miR-146a	TGFA	0.0705442240440739
miR-146a	CCL8	0.1719423756802385
