Regulator	Target	MI
miR-126*	THRB	0.09898375139316595
miR-126*	IGHG2	0.10113422175978215
miR-126*	MMP7	0.04527726156646317
miR-126*	APOA1	0.15110079463897375
miR-126*	GAL	0.08516662061253033
miR-126*	TIMELESS	0.07750501115726216
miR-126*	TGFA	0.09743013580860449
miR-126*	AGER	0.10721119819525438
miR-126*	CLEC3B	0.09912220736946153
miR-126*	miR-126	1.0605408664056188
miR-126*	ABCF1	0.23378551277295578
miR-126*	PSPHP1	0.09444000109901918
miR-126*	APOC3	0.10553801028648824
miR-126*	KITLG	0.0807954408394913
miR-126*	XPNPEP2	0.044115167960049995
miR-126*	ALB	0.07812728332596919
miR-126*	CD244	0.2771173758583023
miR-223*	PGLYRP2	0.08922381602282048
miR-223*	PLAT	0.07337856644153096
miR-223*	PRL	0.07227841974971039
miR-223*	HBE1	0.10124002100913199
miR-223*	miR-28-3p	0.7005018477816103
miR-223*	APOM	0.05523962123902404
miR-223*	GDNF	0.10519263423025738
miR-146a	DKK1	0.3883136529912523
miR-146a	CFB	0.07270456286273763
miR-146a	VTN	0.15232834217348934
miR-146a	APOH	0.10420028529076397
miR-146a	APOD	0.11429274821506841
miR-146a	FGF23	0.0571786542929793
miR-146a	TNFSF14	0.29918183959657796
miR-146a	FN1	0.10333243622427357
miR-146a	miR-335	1.105011360024771
miR-146a	CXCL6	0.36497406324597037
miR-146a	CXCL1	0.5503349275593585
miR-146a	SERPINA6	0.11858672716153329
miR-146a	CXCL5	0.48333245087936305
miR-146a	JCHAIN	0.0611942590067267
miR-146a	DNER	0.11006437907307554
miR-146a	IKBKG	0.5601367570617608
miR-146a	AHSG	0.06719223489384696
miR-146a	MMP1	0.3172205118130629
miR-146a	SIRT2	0.8459487844132907
miR-146a	AFM	0.04725482151708338
miR-146a	ITIH1	0.05061814255952246
miR-146a	miR-24	1.3818702601363055
miR-146a	OSM	0.045319068379718
miR-146a	KLKB1	0.06540228977215357
miR-146a	PF4	0.6410007404589342
