Regulator	Target	MI
miR-126*	CCL4L1	0.053379195911594124
miR-126*	CX3CL1	0.10893972710916167
miR-126*	SERPINF2	0.08325322692334058
miR-126*	PLAUR	0.05497697006215674
miR-126*	TNFRSF1A	0.08351771019148302
miR-126*	PAPPA	0.05411223441309687
miR-126*	ITIH4	0.06994212979055359
miR-126*	SERPINC1	0.04433838076585239
miR-126*	HPR	0.07199124622784492
miR-126*	miR-126	1.2031294973147135
miR-126*	CCL3	0.06558853318433222
miR-126*	CCL2	0.06133529874602228
miR-126*	ABCF1	0.13888445368305824
miR-126*	GSN	0.07990528333023583
miR-126*	TNFRSF10B	0.0892708046026005
miR-223*	IGHG4	0.05637628991228816
miR-223*	RBP4	0.05798107728415047
miR-223*	C1R	0.08271715757579745
miR-223*	miR-28-3p	0.784432649042702
miR-223*	APOH	0.06385179085018233
miR-223*	IGHA2	0.05043912930450922
miR-223*	IL10RB	0.08885986282068536
miR-223*	TNFRSF9	0.09016215300858565
miR-223*	CD6	0.053285880009507736
miR-223*	C1QC	0.057673228714985036
miR-146a	SERPINA3	0.10584056341077286
miR-146a	CD40	0.3914172838114327
miR-146a	CXCL9	0.06485233652663958
miR-146a	HSPB1	0.7374767763720547
miR-146a	MPO	0.07192462493673535
miR-146a	CASP8	0.589264914794625
miR-146a	CTSD	0.12786000597659442
miR-146a	FGA	0.0712752469288116
miR-146a	F2R	0.5193148605839149
miR-146a	APOA2	0.06049986044515787
miR-146a	AXIN1	0.6055921195905887
miR-146a	SIRT2	0.9099425321653527
miR-146a	miR-195	0.7767679738146249
miR-146a	ITGB1BP2	0.6430400355941739
miR-146a	STAMBP	0.6850236580989932
miR-146a	CD274	0.6353620289011932
miR-146a	C2	0.0887080624698573
miR-146a	miR-28-3p	1.2294582161029641
miR-146a	SULT1A1	0.6032736322531234
miR-146a	IL1RL1	0.10644043403512526
miR-146a	miR-24	1.344532798350735
miR-146a	GC	0.087853039809076
miR-146a	FGF21	0.0695982529261352
miR-146a	TGFB1	0.44073349969687037
miR-146a	EGF	0.7295348883346593
miR-146a	CP	0.08186578826959412
miR-146a	miR-335	1.142849263754111
miR-146a	APOC1	0.10682355407352251
miR-146a	CD244	0.28950155744517403
miR-27b	SERPINA1	0.09058567652621718
miR-27b	SERPINA7	0.0914358045433703
miR-27b	THBD	0.05134336340174528
miR-27b	IGHG2	0.059637881504873036
miR-27b	APOA1	0.1074613619923408
miR-27b	APOA4	0.05615402035536121
miR-27b	MMP12	0.07957358809516979
miR-27b	CLEC3B	0.06597232479423365
miR-27b	miR-21	0.9896829779487675
miR-27b	APOB	0.11423255895357176
miR-27b	APOL1	0.1098347895263796
miR-27b	VEGFD	0.05159825270725449
miR-27b	ALB	0.07203638738748008
miR-148a	PRL	0.08522635694479952
miR-148a	CTSL	0.08675122596086648
miR-148a	MMP1	0.31277441936025685
miR-148a	IL16	0.09786733638613754
miR-148a	TNFRSF1B	0.0932893053632684
miR-148a	LPA	0.06184577582331574
miR-148a	CCL13	0.06498800872430532
miR-148a	C5	0.05590514627362886
miR-148a	miR-21	0.7967992433374302
miR-148a	CCL23	0.07892844769811891
miR-148a	SELE	0.12740549935054446
miR-148a	CXCL11	0.17692353674489336
miR-148a	FGF19	0.06864150133554148
miR-148a	TEK	0.07779376184499842
miR-148a	SHBG	0.11896110989160391
miR-148a	ADA	0.06622427811065545
miR-28-3p	FCN3	0.11738646349663462
miR-28-3p	THRB	0.1200021371287141
miR-28-3p	miR-223*	0.784432649042702
miR-28-3p	ADM	0.08634499951871444
miR-28-3p	CXCL1	0.5307392143912821
miR-28-3p	miR-223	1.249493483473886
miR-28-3p	IL1R1	0.09051576620686319
miR-28-3p	CCL11	0.08660775193220083
miR-28-3p	TGFA	0.06323101037910472
miR-28-3p	miR-146a	1.2290217677622008
miR-28-3p	PLG	0.059109774122774184
miR-28-3p	KLK6	0.06631956888180923
miR-28-3p	miR-320	1.0524805626799827
miR-28-3p	CCL25	0.07569125063996118
miR-28-3p	MUC16	0.04922589460693416
miR-28-3p	VEGFA	0.1575048749536352
miR-28-3p	IL6	0.053422242026019084
miR-28-3p	TF	0.14655822794298068
miR-28-3p	REN	0.07400856051239213
miR-28-3p	IL17C	0.06280500001179679
miR-28-3p	PF4	0.599467008491291
miR-223	CXCL6	0.38859624838444606
miR-223	IL27	0.06877589351500024
miR-223	miR-191	1.521524050774608
miR-223	C1S	0.09211607218705264
miR-223	miR-28-3p	1.249493483473887
miR-223	miR-24	1.3408955176971773
miR-223	IL18R1	0.0776039998376481
miR-378	CXCL8	0.074924638298274
miR-378	SLC4A1	0.08145858965261166
