Regulator	Target	MI
miR-126*	CXCL16	0.04387521602360245
miR-126*	C6	0.08601023314241818
miR-126*	TNFRSF10B	0.12004181363485245
miR-126*	GDNF	0.13919999565662433
miR-126*	ALB	0.10187578684592768
miR-126*	SERPINA3	0.1570295885534314
miR-126*	THRB	0.1348608838551817
miR-126*	SERPINA7	0.113199572793798
miR-126*	TNFRSF1B	0.07637435687097227
miR-126*	C1R	0.09048926897793041
miR-126*	ITIH1	0.12329604843007491
miR-126*	miR-126	1.195201414987248
miR-126*	GSN	0.11284340253720426
miR-126*	KITLG	0.09720194156276651
miR-223*	CSF1	0.0561436788870342
miR-223*	SLC4A1	0.07807856991974393
miR-223*	IGHG2	0.12704460959726127
miR-223*	IL6R	0.0646973256121921
miR-223*	FLT3LG	0.06689204856667352
miR-223*	RBP4	0.13024280550537704
miR-223*	TGFA	0.06232610508420855
miR-223*	FGF21	0.04707004178806784
miR-223*	TNFRSF9	0.12077464554618089
miR-223*	FGF19	0.06983613691560908
miR-223*	HRG	0.17327060252695858
miR-223*	SHBG	0.15299382391800975
miR-223*	CSTB	0.2472899599377758
miR-223*	CCL11	0.06569255514879302
miR-223*	AFM	0.20468523551765383
miR-223*	miR-28-3p	0.922363762568633
miR-223*	CCL2	0.04989798250967237
miR-223*	SERPIND1	0.2513659438758493
miR-223*	IL10RB	0.11790883462274948
miR-223*	XPNPEP2	0.05172950637310514
miR-223*	IL17C	0.06437937540529148
miR-146a	F2R	0.5761659332321267
miR-146a	DKK1	0.5267761052803497
miR-146a	CD274	0.8174052397652236
miR-146a	SULT1A1	0.6439239729318977
miR-146a	MUC16	0.08398526282424079
miR-146a	TNFSF14	0.40322938309101364
miR-146a	LIF	0.05197776828505507
miR-146a	miR-335	1.3019247249559305
miR-146a	HSPB1	0.7572506031360744
miR-146a	CXCL1	0.6475359024135594
miR-146a	CXCL5	0.49272366263432055
miR-146a	CASP8	0.5763724303846915
miR-146a	IKBKG	0.6390029287323298
miR-146a	SIRT2	0.9135184732316022
miR-146a	SRC	0.7619827331100444
miR-146a	miR-28-3p	1.279516663119744
miR-146a	EGF	0.7095568505973944
miR-146a	CD40LG	0.751990694143962
miR-146a	PF4	0.7490483977918885
miR-27b	miR-148a	0.8132506902022962
miR-27b	IL12B	0.13850946097550487
miR-27b	SERPINF1	0.12010212461107805
miR-27b	IGHA1	0.08370665967219448
miR-27b	IL7	0.42403277373612713
miR-27b	ADM	0.07058908102201222
miR-27b	CTSL	0.09073943810762053
miR-27b	OLR1	0.14267420941116438
miR-27b	GPX3	0.22595972826570332
miR-27b	APOA4	0.2211704560650558
miR-27b	IL16	0.09894716606296772
miR-27b	GAL	0.051045400206326974
miR-27b	CLEC3B	0.10592929561021602
miR-27b	CCL7	0.0730258370743222
miR-27b	miR-21	1.0666086240939565
miR-27b	KLK11	0.07059812861474946
miR-27b	APOC2	0.10515025614042006
miR-148a	PGLYRP2	0.10563892127518937
miR-148a	F13A1	0.16396498845423668
miR-148a	IGHG4	0.16307889256645147
miR-148a	IGHG1	0.08710038925537944
miR-148a	IL1R1	0.11244490675056351
miR-148a	RNASE3	0.09643532411559264
miR-148a	SERPINC1	0.08921258320630088
miR-148a	CD5L	0.07364491655012362
miR-148a	S100A12	0.07876494525882816
miR-148a	miR-27b	0.816576281573905
miR-148a	miR-378	0.49429148857787464
miR-148a	miR-335	0.7813766953879879
miR-148a	TEK	0.04836705601452351
miR-28-3p	SPON1	0.08463605013254316
miR-28-3p	miR-223*	0.9213155906671515
miR-28-3p	miR-223	1.3561020360755194
miR-28-3p	HGF	0.11070626265758143
miR-28-3p	PAPPA	0.07039102207197967
miR-28-3p	miR-146a	1.291400797842198
miR-28-3p	SERPINA1	0.10373792389705727
miR-28-3p	CTSD	0.10817419587536481
miR-28-3p	APOA1	0.15068257254321615
miR-28-3p	NGF	0.08384632579653495
miR-28-3p	SAA4	0.181692920849855
miR-28-3p	GC	0.12039205509737361
miR-28-3p	CCL25	0.07502014135856694
miR-28-3p	APOC3	0.13445903846241958
miR-28-3p	IL18R1	0.09041695819192874
miR-223	CLU	0.15852576966248488
miR-223	miR-191	1.3903636633376113
miR-223	HPR	0.11783097575859802
miR-223	TF	0.12571874905302938
miR-223	FASN	0.07073355975124507
miR-223	ADA	0.23194887260698227
miR-223	miR-28-3p	1.3725008553929117
miR-223	miR-24	1.4677910075289686
miR-223	CD6	0.04522830366803632
miR-378	PLAT	0.1302468636074785
miR-378	miR-148a	0.4898352713236305
miR-378	APOM	0.1256102188669299
miR-378	APOD	0.1215902283878556
miR-378	PSPHP1	0.16243456188330896
miR-378	TNFSF12	0.12620773961561316
miR-378	IGHM	0.09530792975662283
miR-378	IL27	0.048018877824504536
miR-378	IL10	0.048829900185726416
miR-378	CDCP1	0.13006300475624677
miR-378	C1QB	0.07604827330740349
miR-378	miR-122	0.2868875020736512
miR-378	CCL3	0.12619425471117562
miR-378	CCL19	0.12972005541879472
miR-378	APOL1	0.10051825297719574
miR-378	GDF15	0.11917348422036778
miR-126	miR-126*	1.1869797521694982
miR-126	CFH	0.147999256084427
miR-126	A1BG	0.10983456397755198
miR-126	APOB	0.14481392137376403
miR-126	SLAMF1	0.11022596096376702
miR-126	CP	0.16627309390673783
miR-126	NT-pro-BNP	0.0841543715383688
