Regulator	Target	MI
miR-126*	MRS2	0.07359592592953934
miR-126*	IGHM	0.055328025040564555
miR-126*	PGLYRP2	0.0987976933889394
miR-126*	NPPB	0.10700003212472531
miR-126*	HBE1	0.07770733660285423
miR-126*	SERPING1	0.10579731515037949
miR-126*	SAA4	0.2713307841279953
miR-126*	miR-126	1.0469277509184334
miR-126*	APOL1	0.10296865086687568
miR-126*	miR-378	0.33367321250412996
miR-126*	CD6	0.04417015538860891
miR-126*	IL7	0.41514214415158524
miR-126*	CCL28	0.1017101347310545
miR-223*	CSF1	0.08520839519947643
miR-223*	CCL4L1	0.08473117835148436
miR-223*	IGHG4	0.07683912234719426
miR-223*	IL6R	0.05747363103692482
miR-223*	TNFRSF1A	0.05741996944441574
miR-223*	ITIH4	0.09656984129291946
miR-223*	AFM	0.15915378216036657
miR-223*	miR-28-3p	0.7624265132407837
miR-223*	IL1RL1	0.06929042946603214
miR-223*	CCL2	0.06000381094210283
miR-223*	S100A12	0.07588169921165289
miR-223*	APOD	0.1359240707453555
miR-223*	FGF23	0.15920264219189662
miR-223*	IGHA2	0.162433965614178
miR-223*	IL10RB	0.058229148539914455
miR-223*	TNFRSF10B	0.08167105999167745
miR-223*	GDNF	0.09677195162671559
miR-223*	XPNPEP2	0.07119316596748071
miR-146a	SERPINA3	0.19118374073241373
miR-146a	HSPB1	0.7703999483570723
miR-146a	CXCL1	0.4954605125868907
miR-146a	miR-148a	0.8507507258979885
miR-146a	CASP8	0.6104731457972488
miR-146a	IGHG2	0.06583817333048891
miR-146a	IKBKG	0.5793786489523622
miR-146a	ITGB1BP2	0.6121776726555765
miR-146a	STAMBP	0.6916376911369628
miR-146a	CD274	0.6500999143458932
miR-146a	SRC	0.8977572240626746
miR-146a	CCL8	0.15705101821236322
miR-146a	TTR	0.11795117137034072
miR-146a	miR-24	1.226380054717965
miR-146a	miR-21	1.0156824448088662
miR-146a	GC	0.1399427873683532
miR-146a	EGF	0.7086899787699403
miR-146a	PSPHP1	0.0947935675680025
miR-146a	AGT	0.10609136860135404
miR-146a	miR-335	1.2723906918049668
miR-146a	APOC2	0.11391943060407783
miR-146a	PF4	0.6355645978303119
miR-27b	CLU	0.0906809185964299
miR-27b	DNER	0.09325573602793646
miR-27b	FGG	0.08307538878569964
miR-27b	IL16	0.05079764927825714
miR-27b	NGF	0.07456128823521091
miR-27b	C1S	0.1295708702657148
miR-27b	KNG1	0.0544333249839255
miR-27b	VTN	0.08018698022863102
miR-27b	CCL19	0.13964381313408758
miR-27b	miR-21	0.9566552580267684
miR-27b	APOB	0.14687420372502835
miR-27b	ERVMER34-1	0.05307936894135956
miR-27b	SERPIND1	0.1686599330464702
miR-27b	CCL20	0.14150027834280365
miR-27b	CXCL11	0.14037686262430515
miR-27b	APOC1	0.06755954625565508
miR-148a	IL12B	0.07518564794304705
miR-148a	HGF	0.09598042885386793
miR-148a	miR-146a	0.8169339805449853
miR-148a	BDNF	0.13598785136212932
miR-148a	CXCL9	0.11660376722995203
miR-148a	CXCL8	0.11187906301149297
miR-148a	MMP7	0.07032513838533916
miR-148a	PLAUR	0.0448374878835649
miR-148a	C1QB	0.09001855956652438
miR-148a	CSTB	0.17248143201394672
miR-148a	PLG	0.10457660489546061
miR-148a	CCL3	0.12377233299610158
miR-148a	IL17C	0.12175739583481615
miR-148a	IL18R1	0.14075018641670667
miR-28-3p	miR-223*	0.7616127562182449
miR-28-3p	miR-223	1.2962945933273833
miR-28-3p	CFB	0.11940236824779138
miR-28-3p	C5	0.09575766599867741
miR-28-3p	C6	0.12219095503949795
miR-28-3p	miR-320	1.1235338584071908
miR-28-3p	APOE	0.1112366458000622
miR-28-3p	TGFB1	0.420087131539173
miR-28-3p	CD40	0.48866287210323733
miR-28-3p	SERPINA1	0.12183728937307414
miR-28-3p	ORM2	0.05992548270654119
miR-28-3p	CXCL5	0.5077652162640476
miR-28-3p	MMP3	0.0584091641740665
miR-28-3p	CD5L	0.08163094720799347
miR-223	FCN3	0.09330717979123371
miR-223	THRB	0.15742478262070492
miR-223	C4BPA	0.12766064123181042
miR-223	APOA2	0.15787755477156118
miR-223	DKK1	0.42860102404084977
miR-223	miR-191	1.4855351435059374
miR-223	miR-146a	1.2371988231933875
miR-223	C2	0.09455798691163597
miR-223	miR-28-3p	1.2990964073261093
miR-223	miR-24	1.4227537433121729
miR-223	CCL23	0.09577404599399753
miR-378	miR-126*	0.32849256461036536
miR-378	SPON1	0.07938386065171787
miR-378	FST	0.07948076166820517
miR-378	PRAP1	0.0755327025543373
miR-378	PAPPA	0.07693157050645283
miR-378	CCL11	0.06337038059616695
miR-378	miR-122	0.14809609101787302
miR-378	GSN	0.04599779341649235
miR-378	CXCL11	0.1666196557813837
miR-126	miR-126*	1.0469277509184325
miR-126	TNFSF10	0.08852607426100789
miR-126	SERPINF1	0.0555876108370148
miR-126	SERPINF2	0.08531558383457938
miR-126	MMP10	0.05155044622095506
miR-126	CDCP1	0.06742390807802767
miR-126	miR-195	0.6874618673897848
miR-126	miR-24	1.1878003960693126
miR-126	TF	0.08192284268114403
miR-126	miR-335	1.0841307457791904
miR-126	ADA	0.12654857840509415
miR-335	PRL	0.057812072798355096
miR-335	C8A	0.050177824544179295
miR-335	IGHG3	0.09551181489986948
miR-335	MMP1	0.2827581185540362
miR-335	RNASE3	0.048971229538898875
miR-335	PECAM1	0.35517285098341844
miR-335	miR-146a	1.2016161013237445
miR-335	miR-126	1.0752366937056141
miR-335	SELE	0.059183531267181344
miR-335	IL6	0.04383310675348184
miR-335	FABP4	0.07442327707807106
miR-197	F13A1	0.10267716808417848
miR-197	JCHAIN	0.07384118598804079
miR-197	IGHG1	0.12060469525690731
miR-197	CTSL	0.06375412760493315
miR-197	OLR1	0.08427171841810743
miR-197	miR-92a	0.9707221840027849
miR-197	APOA1	0.09637744003993287
miR-197	miR-155	0.3847411358220718
miR-197	SELENOP	0.1384952054623545
miR-197	LTA	0.052898030827459586
miR-197	miR-191	1.0237137940851788
miR-197	A1BG	0.10587671586497294
miR-197	CST5	0.05247555993772668
miR-197	miR-28-3p	1.0413590538424087
miR-197	ABCF1	0.151744370459312
miR-24	SLC4A1	0.11202051272197888
miR-24	miR-223	1.425464707977584
miR-24	F2R	0.5478329945315235
miR-24	AXIN1	0.7055858797162076
miR-24	PGF	0.0657046761832012
miR-24	SIRT2	0.871711725263542
miR-24	CHI3L1	0.10117885638806445
miR-24	CCL13	0.16337715333788072
miR-24	C1R	0.08867034006536834
miR-24	SERPINC1	0.05541105405260005
miR-24	CFI	0.11212513974184812
miR-24	miR-126	1.1913645158950823
miR-24	Total-IGHG	0.1404534539743798
miR-24	FGF21	0.10186313385144263
miR-24	OSM	0.08848956495914262
miR-24	CP	0.1960962680709093
miR-24	CXCL10	0.10531417718934843
miR-24	CD40LG	0.8373501349887169
miR-24	ALB	0.10661556535764483
miR-24	REN	0.04399441422211137
miR-24	SHBG	0.19214030900569856
miR-122	NT-pro-BNP	0.07025378180239006
miR-122	U6	0.1136208362971356
miR-122	FCN3	0.11552225672476002
miR-122	THRB	0.13745762075169132
miR-122	PLAT	0.11932186253207
miR-122	JCHAIN	0.09555585878722184
miR-122	IGHG3	0.0876267370681072
miR-122	IL15RA	0.09500016368387154
miR-122	SERPINF1	0.07160863894961356
miR-122	APOA4	0.09088345851365709
miR-122	LIFR	0.05034993007239574
miR-122	AZGP1	0.13919090835102477
miR-122	CHI3L1	0.09060621644757472
miR-122	AFM	0.22271976789615255
miR-122	A1BG	0.058615468572430274
miR-122	VTN	0.0833578738654488
miR-122	CCL19	0.08330678502157784
miR-122	APOL1	0.06063886827900955
miR-122	IGHA1	0.10181647519869763
miR-122	FGF21	0.09061145941711057
miR-122	PSPHP1	0.12767162896606887
miR-122	TNFRSF9	0.11021779142734545
miR-122	TNFSF12	0.056532417923291334
miR-122	SELE	0.26722262003354746
miR-122	GH1	0.048353815577103276
miR-122	miR-378	0.14809609101787302
miR-122	IL6	0.047072538405644515
miR-122	KITLG	0.07806527682487285
miR-122	APOC2	0.07575215848585604
miR-122	FGF19	0.11779321055650893
miR-155	THBD	0.06081118353322168
miR-155	IL1R1	0.07378788884461951
miR-155	miR-197	0.392331667734215
miR-155	miR-150	0.4055598352120624
miR-155	CPN2	0.09932116785814671
miR-155	MUC16	0.05685156138442693
miR-155	FN1	0.0893497537278165
miR-155	VEGFD	0.05878034984197722
