Regulator	Target	MI
miR-126*	SERPINF2	0.1017276888543881
miR-126*	SELE	0.07269795265329648
miR-126*	TF	0.16486267509992825
miR-126*	CXCL9	0.07002064718923684
miR-126*	ADM	0.07703911454505707
miR-126*	IKBKG	0.5351713219742953
miR-126*	NGF	0.0908679767959848
miR-126*	LTA	0.08667549261949237
miR-126*	miR-126	1.056389868161352
miR-126*	AGT	0.1364428894864842
miR-126*	KLKB1	0.18950496813496276
miR-223*	PGLYRP2	0.06598362700985305
miR-223*	IL6R	0.0534706617690448
miR-223*	HBE1	0.1471011301512295
miR-223*	TGFA	0.05045118847529739
miR-223*	KNG1	0.12728736787170636
miR-223*	FN1	0.18430529164291176
miR-223*	PRL	0.07506104127011781
miR-223*	JCHAIN	0.14453700401071945
miR-223*	AFM	0.1515393010212911
miR-223*	miR-28-3p	0.8323750357851454
miR-223*	TTR	0.13170196831138004
miR-223*	STOM	0.14545331208885504
miR-223*	ERVMER34-1	0.19084618165909895
miR-223*	KLK11	0.0522372967460587
miR-223*	FABP4	0.12575009759284939
miR-146a	MPO	0.0801384211409788
miR-146a	FGF5	0.06715559616183153
miR-146a	IGHG2	0.13334417538261345
miR-146a	F2R	0.49351790484233327
miR-146a	CD274	0.5896385052031929
miR-146a	C2	0.09500921459724054
miR-146a	SULT1A1	0.6315972891842767
miR-146a	APOM	0.1298628842518612
miR-146a	TNFSF12	0.16406952426288157
miR-146a	CXCL11	0.1956655583145368
miR-146a	miR-335	1.2199198956322101
miR-146a	IL7	0.2715012734060016
miR-146a	REN	0.088640715802776
miR-146a	HSPB1	0.7359044419965892
miR-146a	CXCL5	0.39612997428758856
miR-146a	THBD	0.127924889608237
miR-146a	CASP8	0.5047042916644937
miR-146a	MB	0.05799384025415932
miR-146a	MMP1	0.22551341740141773
miR-146a	AXIN1	0.578041302758292
miR-146a	SIRT2	0.7991396700383735
miR-146a	ITGB1BP2	0.5418569495681753
miR-146a	HBEGF	0.3816000904247465
miR-146a	CCL13	0.1582794618628176
miR-146a	SAA4	0.15601799880421385
miR-146a	PLG	0.13868157648219892
miR-146a	miR-24	1.2896485754602525
miR-146a	ABCF1	0.1497683372704417
miR-146a	CCL23	0.12193204849685024
miR-146a	SERPIND1	0.12585052514842587
miR-146a	EGF	0.6873333495748497
miR-146a	CD5	0.08720844307795339
miR-146a	PF4	0.7070543916775405
miR-27b	IL16	0.12871005617917497
miR-27b	CHI3L1	0.0718833796146292
miR-27b	miR-21	1.0598106239752854
miR-27b	MUC16	0.04472671238734183
miR-27b	CCL20	0.044527709388375136
miR-27b	IL5	0.046604941070084394
miR-27b	C1QC	0.18643543090292614
miR-148a	PRAP1	0.06433551075256982
miR-148a	PAPPA	0.06653950687534582
miR-148a	A1BG	0.15427145178144563
miR-148a	AGER	0.07005150185213527
miR-148a	miR-320	0.8838438318765025
miR-148a	Total-IGHG	0.16552890860592573
miR-148a	APOE	0.13615782559650746
miR-148a	FGF21	0.08889412124356255
miR-148a	FGF19	0.09685900115135482
miR-148a	HRG	0.15295553920095095
miR-148a	IGHM	0.10656428899951376
miR-148a	THRB	0.0943507637746066
miR-148a	SERPINA6	0.13254070362479453
miR-148a	MBL2	0.17571534824055757
miR-148a	C1S	0.1405680623063077
miR-148a	miR-21	0.8530163472186336
miR-148a	APOC2	0.07941923802507311
miR-28-3p	FCN3	0.11093593681279312
miR-28-3p	miR-223*	0.8236477593095302
