Regulator	Target	MI
miR-126*	FCN3	0.1740102023278549
miR-126*	F13A1	0.06142998142435285
miR-126*	C8A	0.047860655758155346
miR-126*	IGHG2	0.07841436870633522
miR-126*	FGG	0.10176866897050818
miR-126*	SAA4	0.07205963490174128
miR-126*	CPN2	0.10477573557286846
miR-126*	miR-126	1.097531504075893
miR-126*	CCL4	0.13699940636819985
miR-126*	TNFSF14	0.28370855711860443
miR-126*	TNFRSF9	0.0587364089318374
miR-126*	GDNF	0.07025013462965735
miR-126*	ALB	0.07516650182720053
miR-223*	SERPINA6	0.09861094917344371
miR-223*	miR-197	0.9327854035094143
miR-223*	CCL13	0.15779222368763612
miR-223*	ITIH4	0.09759330271683808
miR-223*	A1BG	0.20051443616774112
miR-223*	ITIH1	0.12239235149873195
miR-223*	C3	0.13533762821951534
miR-223*	CCL19	0.0885345537855331
miR-223*	FGF21	0.05043714188833359
miR-223*	APOC3	0.20382025011621252
miR-223*	SHBG	0.12350018568011745
miR-223*	IL17C	0.04815882178375741
miR-146a	MRS2	0.09057307314438034
miR-146a	THRB	0.12343679309789746
miR-146a	HSPB1	0.8205256936106542
miR-146a	CXCL1	0.5515890384050968
miR-146a	PLAT	0.09882280435374025
miR-146a	CXCL5	0.4533962740468631
miR-146a	IGHG4	0.0893003140239319
miR-146a	CASP8	0.5265945780694432
miR-146a	TNFSF11	0.056820678463739505
miR-146a	GPX3	0.09270264403865003
miR-146a	F2R	0.45262081189556724
miR-146a	SERPINF2	0.13218700266471028
miR-146a	SERPING1	0.19222683740490965
miR-146a	ITGB1BP2	0.584284676440026
miR-146a	STAMBP	0.6530956421202996
miR-146a	HBEGF	0.34914651470202696
miR-146a	C1R	0.08665028924777207
miR-146a	SRC	0.7481137139669176
miR-146a	RETN	0.053522426822824265
miR-146a	SULT1A1	0.5209154679293277
miR-146a	C5	0.09687554079936866
miR-146a	miR-126	1.272356421612833
miR-146a	miR-24	1.4237315091032592
miR-146a	miR-320	1.1128948677365003
miR-146a	IGHA2	0.09996888158922612
miR-146a	ERVMER34-1	0.10588709200757762
miR-146a	TGFB1	0.5129760370165366
miR-146a	EGF	0.6436674873393944
miR-146a	miR-335	1.153729215574872
miR-146a	CD40LG	0.7416172804800221
miR-146a	FGF19	0.0643342587319724
miR-27b	CX3CL1	0.05808973746241364
miR-27b	CTSL	0.07039113542691666
miR-27b	DNER	0.11103913932578724
miR-27b	HBE1	0.11287208027798545
miR-27b	IL16	0.059814950726248206
miR-27b	PRAP1	0.07179497120039535
miR-27b	PAPPA	0.0632344358256205
miR-27b	CLEC3B	0.086658649636985
miR-27b	miR-126	0.9566953081625797
miR-27b	GC	0.09313935900254133
miR-27b	CCL25	0.09395374085455543
miR-27b	BDNF	0.08717694596505332
miR-27b	AGT	0.15814005999046543
miR-27b	CXCL11	0.10424951426017515
miR-27b	IL7	0.37971314030578274
miR-148a	ESM1	0.059196531561400256
miR-148a	MB	0.05236218652007896
miR-148a	CTSD	0.08593515599890011
miR-148a	SELENOP	0.15866721231599445
miR-148a	GH1	0.0584823793537117
miR-148a	miR-378	0.35877890942593904
miR-148a	miR-335	0.734675147441231
miR-148a	FASN	0.05317079943315317
miR-28-3p	CXCL6	0.3429363894782931
miR-28-3p	SPON1	0.05850880060565444
miR-28-3p	SERPINA1	0.08099459756022132
miR-28-3p	ADM	0.10742070819108651
miR-28-3p	miR-223	1.3154378392951722
miR-28-3p	MMP1	0.25401965610832544
miR-28-3p	CD274	0.6322211959965411
miR-28-3p	ITIH2	0.0766524104929518
miR-28-3p	HPR	0.15486880100890055
miR-28-3p	APOM	0.10426064405347546
miR-28-3p	miR-320	1.180000728679465
miR-28-3p	EIF4EBP1	0.43387352067096163
miR-28-3p	APOD	0.1422901665412395
miR-28-3p	SELE	0.10299190759047061
miR-28-3p	FABP4	0.08171136072073626
miR-28-3p	KLKB1	0.10952410408449342
miR-28-3p	ADA	0.06312724542292258
miR-223	IL27	0.0466528182648247
miR-223	IL1R1	0.08115597988692347
miR-223	AXIN1	0.6628743624109754
miR-223	MMP10	0.1288078147566516
