Regulator	Target	MI
miR-126*	SPON1	0.0935954446416778
miR-126*	CLU	0.11057238779200596
miR-126*	CX3CL1	0.0820091575671471
miR-126*	HBE1	0.10379945528088719
miR-126*	APOA4	0.08916372789287941
miR-126*	GAL	0.057980262636990076
miR-126*	A1BG	0.10693321611530138
miR-126*	C2	0.11937061269144511
miR-126*	miR-126	1.1201559741303013
miR-126*	CCL8	0.12469353693929275
miR-126*	TTR	0.09866893596445703
miR-126*	ABCF1	0.16648849160527934
miR-126*	HRG	0.11800325600962047
miR-223*	IL27	0.05664508329018414
miR-223*	SERPINA7	0.08169581374092694
miR-223*	FLT3LG	0.06496972536578394
miR-223*	RBP4	0.18271767511880999
miR-223*	SERPING1	0.09621777050916336
miR-223*	miR-150	0.33160032516864657
miR-223*	SAA4	0.072296345513986
miR-223*	TGFA	0.08207075730717595
miR-223*	miR-24	0.6352211848225044
miR-223*	AMBP	0.09032186966335942
miR-223*	GDF15	0.0714251269525894
miR-223*	TNFRSF9	0.04946309701445539
miR-146a	HSPB1	0.7436422152348818
miR-146a	CXCL1	0.4489268309774621
miR-146a	ORM2	0.07895375390866732
miR-146a	CXCL16	0.132843104659357
miR-146a	THBD	0.09861523115246307
miR-146a	IKBKG	0.5192996450833558
miR-146a	MBL2	0.12055557316512822
miR-146a	MMP1	0.26802311293969616
miR-146a	AXIN1	0.6385898850449614
miR-146a	PLAUR	0.13153487458536706
miR-146a	SIRT2	0.8282536677318681
miR-146a	miR-195	0.6638629682262085
miR-146a	CCL13	0.12567457411811933
miR-146a	SULT1A1	0.5537923328796905
miR-146a	miR-24	1.3143428082659554
miR-146a	miR-21	1.0271866720393081
miR-146a	GC	0.14294104488690973
miR-146a	FGF21	0.055493137564488926
miR-146a	CCL25	0.058242984390363794
miR-146a	TGFB1	0.38822486929799727
miR-146a	CXCL11	0.16275182557788703
miR-146a	miR-335	1.1782489063170072
miR-146a	APOC1	0.10003889651332099
miR-146a	CD244	0.31482417406217156
miR-146a	PF4	0.7006145243566193
miR-27b	SERPINA1	0.06605572258715586
miR-27b	THRB	0.06575327383637397
miR-27b	SERPINA6	0.08833357284078236
miR-27b	FGG	0.09313564420972664
miR-27b	HBEGF	0.4603087945283635
miR-27b	CFI	0.14692249279121228
miR-27b	C6	0.10838667566049054
miR-27b	C7	0.07555892118914631
miR-27b	Total-IGHG	0.09994923130074529
miR-27b	miR-21	0.9723113783974826
miR-27b	ERVMER34-1	0.07971004276593074
miR-27b	VEGFD	0.08159287019093409
miR-27b	CP	0.11538732089335824
miR-27b	GH1	0.11003360220269975
miR-27b	IL7	0.302996656367287
miR-27b	C1QC	0.1284065075683012
