Regulator	Target	MI
miR-126*	IGHG4	0.200765008175547
miR-126*	IGHG2	0.11276255679598535
miR-126*	TNFSF10	0.06095229411204883
miR-126*	IL12B	0.14170566967131748
miR-126*	SERPINF2	0.16304801735816365
miR-126*	LPA	0.09181977574928091
miR-126*	AMBP	0.2665733484539139
miR-126*	MUC16	0.055765155719454285
miR-126*	GDNF	0.060862675174854
miR-126*	IGHM	0.10107532054303636
miR-126*	HBEGF	0.40972455108398886
miR-126*	C1QB	0.10477900314369482
miR-126*	ITIH2	0.09774646363973094
miR-126*	C1S	0.1279731114763436
miR-126*	CD5L	0.17584429669392954
miR-126*	SAA4	0.13751229698663447
miR-126*	CPN2	0.1596582892233549
miR-126*	miR-126	1.1090400512286678
miR-126*	GSN	0.1064767755006839
miR-126*	LEP	0.045553881135945495
miR-223*	NT-pro-BNP	0.061687545387074216
miR-223*	SPON1	0.07692697194362363
miR-223*	CX3CL1	0.04348531440212433
miR-223*	ESM1	0.06615198459949756
miR-223*	miR-197	0.7505599119980548
miR-223*	miR-155	0.31307611525607904
miR-223*	CCL13	0.1634247536040565
miR-223*	ITIH4	0.16986832624733506
miR-223*	C1R	0.13778453229909626
miR-223*	SERPINC1	0.14156955163572427
miR-223*	ABCF1	0.1282646642379337
miR-223*	IL10RA	0.05450532191777313
miR-223*	TNFSF12	0.06704667528880748
miR-223*	GH1	0.08787177224353204
miR-223*	SHBG	0.11480214091595276
miR-146a	CCL4L1	0.11640786694491911
miR-146a	DKK1	0.504588155139869
miR-146a	STAMBP	0.7793347809331506
miR-146a	CD274	0.6343024428879938
miR-146a	miR-320	1.154489268286464
miR-146a	FGF21	0.04483402362779643
miR-146a	miR-335	1.1637108352091552
miR-146a	IL7	0.3102978730393433
miR-146a	HSPB1	0.8146341034614171
miR-146a	CXCL5	0.5583624402333252
miR-146a	CTSL	0.04699248525669031
miR-146a	IKBKG	0.5749240428773454
miR-146a	AXIN1	0.5682582496038266
miR-146a	SRC	0.7349611029934513
miR-146a	CCL8	0.1246377471607456
miR-146a	miR-24	1.262238255403938
miR-146a	EGF	0.6255149627613106
miR-27b	C4BPA	0.11322317463529075
miR-27b	SLC4A1	0.17743389101361196
miR-27b	SERPING1	0.14541522257312245
miR-27b	CFB	0.08466640897305577
miR-27b	CFI	0.18772738578695058
miR-27b	FBLN1	0.13602804625360232
miR-27b	PSPHP1	0.1077870669075871
miR-27b	C8A	0.13449078488899247
miR-27b	SERPINA7	0.218218536777548
miR-27b	JCHAIN	0.09817972945862596
miR-27b	DNER	0.05088090139125434
miR-27b	AHSG	0.15400119611108742
miR-27b	FGG	0.09999686099733651
miR-27b	APOA1	0.16497332518853725
miR-27b	APOA4	0.13494601048187604
miR-27b	TNFRSF1B	0.09900849877648898
miR-27b	GAL	0.06537557251552606
miR-27b	AFM	0.12741165280875233
miR-27b	miR-21	0.952475861344908
miR-148a	MPO	0.10481144649984664
miR-148a	HGF	0.08688372907715003
miR-148a	RNASE3	0.0791895520890078
miR-148a	TNFRSF11B	0.053435316136704714
miR-148a	miR-122	0.2011486306971042
miR-148a	CCL2	0.06819091758538232
miR-148a	miR-21	0.8585667949347036
miR-148a	TNFRSF10B	0.10305995988349803
miR-148a	CD5	0.06981863867808968
miR-148a	TEK	0.054252095377805176
miR-28-3p	F13A1	0.09401808363815167
miR-28-3p	miR-223	1.262591207146036
miR-28-3p	LIFR	0.08646050709243447
miR-28-3p	RBP4	0.1396474252417379
