Regulator	Target	MI
miR-126*	PAPPA	0.06516280262829444
miR-126*	FGF23	0.07488205070690501
miR-126*	IGHA2	0.09930235833596601
miR-126*	SELE	0.06174092428940536
miR-126*	GDNF	0.07973116067121921
miR-126*	IGHM	0.14104278628369915
miR-126*	FGA	0.23220115799365804
miR-126*	FGG	0.14633618188618058
miR-126*	PLAUR	0.08447718008469174
miR-126*	IFNG	0.07077085438239461
miR-126*	PLG	0.17790856591617654
miR-126*	miR-126	1.1147100146852775
miR-126*	NTF3	0.05372012889474309
miR-126*	IL10RB	0.04917565109159394
miR-126*	VEGFD	0.06608571878638347
miR-126*	C1QC	0.1380070151856172
miR-223*	miR-223	0.8591792379254235
miR-223*	TNFSF10	0.07139106932567518
miR-223*	RNASE3	0.0827708758209873
miR-223*	NGF	0.0645123958576228
miR-223*	MMP10	0.06559645328037966
miR-223*	SELENOP	0.12427193082007282
miR-223*	AFM	0.18097848898988378
miR-223*	CPN2	0.17773689909284496
miR-223*	AGRP	0.1216365048793655
miR-223*	HRG	0.1474834067716264
miR-146a	CSF1	0.09750411577967633
miR-146a	IL6R	0.12153765383044668
miR-146a	F2R	0.4706122677759028
miR-146a	STAMBP	0.8033971814900056
miR-146a	TGFA	0.08025927177591718
miR-146a	SULT1A1	0.6440071531273945
miR-146a	miR-335	1.2679709198303204
miR-146a	CXCL1	0.5843555544932135
miR-146a	CXCL5	0.4571626381701446
miR-146a	SRC	0.6946934433816985
miR-146a	miR-24	1.309008167160588
miR-27b	PLAT	0.08616587253693364
miR-27b	SERPINF2	0.10610676233873129
miR-27b	DKK1	0.445475718163145
miR-27b	FN1	0.10489707897972522
miR-27b	ALB	0.13945365023694833
miR-27b	IKBKG	0.5674017325495084
miR-27b	C1S	0.19287954420487985
miR-27b	miR-21	1.000849500166641
miR-27b	AGT	0.12354743847025507
miR-27b	APOC2	0.09439998945743522
miR-27b	IL18R1	0.12015688627054288
miR-148a	IL15RA	0.06095485532677003
miR-148a	HGF	0.07383087506095087
miR-148a	HBE1	0.1328929190828143
miR-148a	FGF21	0.11057514363858179
miR-148a	CXCL6	0.2869825561740438
miR-148a	THBD	0.07001514857148639
miR-148a	CSTB	0.10174106559885221
miR-148a	CD5L	0.1140568303009406
miR-148a	CCL8	0.09591361240893281
miR-148a	miR-21	0.7752096804510087
miR-148a	GC	0.16778208533927685
miR-148a	SERPIND1	0.15008826491699434
miR-148a	KLK11	0.048987074256356955
miR-148a	KITLG	0.0867401196522497
miR-28-3p	SPON1	0.09179194593462103
miR-28-3p	miR-223*	0.7804526121834137
miR-28-3p	miR-223	1.3128171590468085
miR-28-3p	TF	0.10121050525799724
miR-28-3p	CASP8	0.45575406400089946
miR-28-3p	CTSD	0.11939419908788196
miR-28-3p	MMP7	0.06968470781629232
miR-28-3p	LTA	0.05960362863298485
miR-28-3p	CLEC3B	0.19312908498036396
miR-28-3p	FABP4	0.12309045415755016
miR-223	C4BPA	0.14378288469275002
miR-223	MB	0.09921298359219044
miR-223	AXIN1	0.6395197587583574
miR-223	miR-191	1.44389969765923
miR-223	miR-28-3p	1.3005094075181427
miR-223	APOM	0.17210094861684766
miR-223	miR-24	1.4276341377303856
miR-223	TGFB1	0.4936753828974334
miR-223	AMBP	0.11854358228540995
miR-223	VEGFA	0.11202449227113931
miR-223	PF4	0.6766677960621088
miR-378	PGLYRP2	0.17623476133613725
miR-378	miR-155	0.2819986821196867
miR-378	miR-195	0.4103383000158445
miR-378	miR-122	0.24604694019284068
miR-378	APOB	0.16956222634898577
miR-378	CCL25	0.08939799680613003
miR-378	XPNPEP2	0.0794147277617574
miR-378	TEK	0.0961642898978905
miR-126	miR-126*	1.1121243723219347
miR-126	CLU	0.15314562791311914
miR-126	FGF5	0.1025610796852039
miR-126	C6	0.14547779284516782
miR-126	BDNF	0.060419470468618286
miR-126	TNFRSF9	0.04578207315969873
miR-126	CP	0.13976059072467706
miR-126	IL7	0.3182555342852167
miR-126	FASN	0.059320495869552126
miR-126	MRS2	0.1207156348698799
miR-126	SERPINA3	0.16983904622425428
miR-126	MMP3	0.0665662691772182
miR-126	PECAM1	0.3656682317174953
miR-126	miR-24	1.3235089011285561
miR-126	miR-21	1.0741846569161133
miR-126	LRG1	0.12272069200927582
miR-335	IL12B	0.06786180237198725
miR-335	LIFR	0.1318520152938687
miR-335	SERPING1	0.13076339597519038
miR-335	CFH	0.15291039557212205
miR-335	CFI	0.13648680569354
miR-335	miR-146a	1.2649381357624039
miR-335	CD40	0.3649769362188877
miR-335	C8A	0.13983564810982418
miR-335	ESM1	0.09658596129017205
miR-335	DNER	0.08743183536794152
miR-335	ITGB1BP2	0.5387257003180101
miR-335	HBEGF	0.3637659072754369
miR-335	C1QB	0.1724551589966623
miR-335	CCL4	0.09204983060385263
miR-335	EGF	0.5619993374906853
miR-335	CD40LG	0.6966443990725688
miR-197	PDGFB	0.08144026862924303
miR-197	HPR	0.08841160849059371
miR-197	VTN	0.137121445106148
miR-197	C5	0.12010301306722582
miR-197	CXCL10	0.08442719901754092
miR-197	REN	0.054827739762609795
miR-197	APOA1	0.26285782254135537
miR-197	GAL	0.13953186792339523
miR-197	miR-155	0.34241047845457917
miR-197	C1R	0.12700665047620152
miR-197	miR-24	1.1253516573105298
miR-24	miR-223	1.4182442891092908
miR-24	miR-197	1.1253516573105298
miR-24	CD274	0.6818291668103047
miR-24	miR-146a	1.3031364293731045
miR-24	miR-320	1.1875965379871785
miR-24	OLR1	0.10195101637507431
miR-24	SIRT2	0.8313627116950615
miR-24	miR-126	1.3235089011285561
miR-24	STOM	0.19950537365200738
miR-122	FCN3	0.19430415602596085
miR-122	CCL4L1	0.12911447639968276
miR-122	CLU	0.2110562306134227
miR-122	MPO	0.05506976978568723
miR-122	CXCL16	0.05385483646914402
miR-122	IGHG3	0.14423753972086661
miR-122	SELENOP	0.11665773006123992
miR-122	FBLN1	0.12046625440139991
miR-122	APOH	0.09486952551532113
miR-122	APOD	0.20960516916727912
miR-122	APOE	0.16997880151863498
miR-122	PSPHP1	0.22625830857335671
miR-122	TNFSF12	0.1807109386415897
