Regulator	Target	MI
miR-126*	CLU	0.07241833384970331
miR-126*	CXCL16	0.05613635199918665
miR-126*	FGG	0.08532813848736875
miR-126*	PLAUR	0.0683905842677115
miR-126*	MMP12	0.08508095110513025
miR-126*	RETN	0.10401048814050462
miR-126*	miR-126	1.0509397069221906
miR-126*	NTF3	0.054614561863106204
miR-126*	STOM	0.18738579632835783
miR-126*	FASN	0.0747798042313681
miR-126*	ADA	0.13056646503607805
miR-126*	IL17A	0.045222078132099774
miR-223*	CXCL9	0.06622589530018708
miR-223*	C8A	0.11723831976518095
miR-223*	miR-223	0.7789766608596169
miR-223*	IGHG2	0.13030879278991847
miR-223*	MMP7	0.11261465713305618
miR-223*	HBE1	0.060058875675060186
miR-223*	MMP3	0.08665160101926883
miR-223*	PRAP1	0.053151735523867316
miR-223*	PGF	0.08145913260731419
miR-223*	TNFRSF1A	0.07714665134775167
miR-223*	GAL	0.07292642226665436
miR-223*	CHI3L1	0.08646273808108518
miR-223*	miR-150	0.2826658748854296
miR-223*	KNG1	0.07347030766934637
miR-223*	APOD	0.1630235160031317
miR-223*	OSM	0.10253320067761429
miR-223*	FABP4	0.12793505291783092
miR-146a	HSPB1	0.7776495937546919
miR-146a	CXCL1	0.434423617736849
miR-146a	CXCL5	0.44531449609782037
miR-146a	IKBKG	0.5424822287976916
miR-146a	GPX3	0.2284437164644464
miR-146a	AZGP1	0.19841073645406926
miR-146a	SRC	0.7360786318285326
miR-146a	PLG	0.12384495233658921
miR-146a	IL1RL1	0.0584551371525075
miR-146a	miR-24	1.2523312958212944
miR-146a	TGFB1	0.4004659517790552
miR-146a	SERPIND1	0.11819914167270351
miR-146a	SELE	0.0999998969187752
miR-146a	AGT	0.14610021798399142
miR-146a	TF	0.07683103333571406
miR-146a	miR-335	1.1326920777422451
miR-146a	CD40LG	0.6915308730971788
miR-146a	FGF19	0.08681170129715365
miR-27b	PGLYRP2	0.1039763804399989
miR-27b	THRB	0.07663642045262531
miR-27b	ADM	0.10589884206575118
miR-27b	PRL	0.05638689787657558
miR-27b	OLR1	0.1360957261116722
miR-27b	IL6R	0.1072569667115788
miR-27b	MBL2	0.09923326733624638
miR-27b	IL10	0.0601057965988554
miR-27b	APOA1	0.07977394535537119
miR-27b	LPA	0.10039978492386314
miR-27b	C1QB	0.0759950164654688
miR-27b	CLEC3B	0.11205554300144982
miR-27b	C7	0.06850989172530131
miR-27b	miR-21	0.9408329029962506
miR-27b	CMA1	0.053832565837248936
miR-27b	TNFRSF10B	0.11860041796425502
miR-27b	LEP	0.052969600084568746
miR-27b	HRG	0.07792828286254228
miR-27b	KLKB1	0.17241386682126958
miR-148a	MPO	0.06812790878404051
miR-148a	JCHAIN	0.11251313779566985
miR-148a	CTSD	0.11453056604231282
miR-148a	TNFRSF1B	0.07662158328593449
miR-148a	miR-122	0.2233625835207098
miR-148a	miR-21	0.7708326652302526
miR-28-3p	CXCL6	0.3101418206180053
miR-28-3p	miR-223*	0.7240941375363654
miR-28-3p	SLC4A1	0.06087648757859476
miR-28-3p	miR-223	1.28801955053419
miR-28-3p	miR-197	1.1414393075990903
miR-28-3p	HBEGF	0.32855704693137255
miR-28-3p	miR-320	1.1365998526654666
miR-28-3p	CCL4	0.07500317103510667
miR-28-3p	GSN	0.09796181010810479
miR-28-3p	PSPHP1	0.07700584139560984
miR-223	IL15RA	0.10762293063527739
miR-223	MMP1	0.1844825564129522
miR-223	F2R	0.5043559712771639
miR-223	NGF	0.08187364138982556
miR-223	PECAM1	0.3100843186890927
miR-223	miR-191	1.5040868920177024
miR-223	TGFA	0.0814889566120982
miR-223	miR-28-3p	1.3133887449083472
