Regulator	Target	MI
miR-126*	C4BPA	0.1151758747991467
miR-126*	NPPB	0.08199259792854274
miR-126*	IGHG2	0.06356626178088476
miR-126*	TNFSF11	0.11829328034572573
miR-126*	SELENOP	0.20644664413857772
miR-126*	A1BG	0.06443862495139019
miR-126*	C2	0.16430417407647724
miR-126*	APOM	0.06964238698975933
miR-126*	PSPHP1	0.1631103494878614
miR-126*	TNFRSF9	0.05196399360580628
miR-126*	ORM1	0.1473452754933069
miR-126*	THRB	0.18836819815780625
miR-126*	ESM1	0.06523181858089444
miR-126*	MMP3	0.12915363434635285
miR-126*	AXIN1	0.5782643799800802
miR-126*	APOA4	0.11807264883718105
miR-126*	MMP10	0.09662296772331125
miR-126*	CCL13	0.12338545200279594
miR-126*	C1S	0.1762142006247016
miR-126*	SERPINC1	0.07579920361116876
miR-126*	CPN2	0.13672903441731332
miR-126*	CST5	0.0578107862630759
miR-126*	CLEC3B	0.10065282051899427
miR-126*	miR-126	1.168340790539121
miR-126*	CCL4	0.1611748611078987
miR-126*	APOC3	0.08964631711879356
miR-126*	LEP	0.050220247680226926
miR-126*	C1QC	0.11796691717478591
miR-223*	IGHG4	0.0549809706117772
miR-223*	AFM	0.11994475372160274
miR-223*	KNG1	0.04921040003962052
miR-223*	miR-24	0.7632415982520273
miR-223*	NTF3	0.06542947829239942
miR-223*	CCL2	0.10458400418460378
miR-223*	CCL25	0.05946577332876135
miR-223*	CCL28	0.09247891165221311
miR-146a	CD40	0.3800120646411296
miR-146a	HSPB1	0.8264019828162841
miR-146a	CXCL1	0.5176322981406027
miR-146a	IGHG3	0.08846498977160078
miR-146a	IL12B	0.1034234656826456
miR-146a	IKBKG	0.6130297931146407
miR-146a	MMP7	0.04775306580734817
miR-146a	HGF	0.058664361620667016
miR-146a	AZGP1	0.19420864091443502
miR-146a	PECAM1	0.3926680056584777
miR-146a	TIMELESS	0.047312499935920904
miR-146a	STAMBP	0.7085565534010829
miR-146a	LPA	0.09785909015378724
miR-146a	CD274	0.573942417308662
miR-146a	RETN	0.09736492312268741
miR-146a	ITIH1	0.22292801616489388
miR-146a	miR-24	1.3593504720863363
miR-146a	TGFB1	0.44742667954149873
miR-146a	EGF	0.6951853235590377
miR-146a	OSM	0.11379557848957678
miR-146a	miR-335	1.1280188721844473
miR-146a	TEK	0.19903125351971607
miR-146a	PF4	0.7105550429762033
miR-27b	IGHG1	0.07020476268101028
miR-27b	CTSL	0.12082558244933761
miR-27b	C1QB	0.10104444058510786
miR-27b	STOM	0.1830926496293408
miR-27b	miR-21	0.9494854801439798
miR-27b	IL10RB	0.10222194074055135
miR-27b	FN1	0.09971472458413366
miR-27b	REN	0.051438341015218825
miR-148a	F13A1	0.16362051859933846
miR-148a	ADM	0.13821522941346576
miR-148a	PRL	0.0623637959045551
miR-148a	C8A	0.16330747580116078
miR-148a	IL10	0.0450407713415526
miR-148a	FLT3LG	0.043760634447871816
miR-148a	ITIH2	0.11120396458970472
miR-148a	CFH	0.16639364848887794
miR-148a	TNFRSF11B	0.07829454490113807
miR-148a	miR-320	0.8186102932179651
miR-148a	CCL20	0.06958357263407766
miR-148a	VEGFD	0.12353311456409166
miR-148a	SELE	0.11229745570562422
miR-148a	CD5	0.06398273480273797
miR-28-3p	SLC4A1	0.12889034153055068
miR-28-3p	CLU	0.1217793733963255
miR-28-3p	miR-223	1.298328485487379
miR-28-3p	PAPPA	0.07487504098571396
miR-28-3p	miR-320	1.0874285805179698
miR-28-3p	S100A12	0.08881816141771193
miR-28-3p	CXCL10	0.04620023459245637
miR-28-3p	GH1	0.057415308008226695
miR-28-3p	IL7	0.2984653816060847
miR-28-3p	FGF19	0.10415422835743993
miR-28-3p	CXCL6	0.24464214127950257
miR-28-3p	IL16	0.0991325835933301
miR-28-3p	miR-155	0.40243594149132456
miR-28-3p	HBEGF	0.3806084485225183
miR-223	CCL4L1	0.057567257663305504
miR-223	IL27	0.12613488444496923
miR-223	DKK1	0.4375086307647189
miR-223	miR-191	1.425929069023966
miR-223	miR-28-3p	1.298328485487379
miR-223	miR-24	1.5232151084983174
miR-223	SLAMF1	0.163916293890761
miR-223	TNFSF14	0.3869626384916023
miR-223	TNFRSF10B	0.09831717544111651
miR-223	ADA	0.14219827186816936
miR-378	IL1R1	0.13315341562300986
miR-378	FGG	0.11303219571181788
miR-378	PLAUR	0.07338068794298369
miR-378	APOA1	0.1008632136310208
miR-378	ITIH4	0.10070941585853266
miR-378	miR-126	0.39807457799886503
miR-378	APOH	0.08935300747470976
miR-378	miR-122	0.27785576087929
miR-378	CCL3	0.1307113489679157
miR-378	GC	0.11807413229706754
miR-378	FGF23	0.0481813793688044
miR-378	CP	0.0931153051567657
miR-378	GDNF	0.06826349645107754
miR-378	FASN	0.05942671173919489
miR-126	miR-126*	1.146274108858023
miR-126	FCN3	0.17452450726631774
miR-126	SPON1	0.07459968671050454
miR-126	PLAT	0.06850194453080416
miR-126	IL6R	0.08673606184209515
miR-126	SERPINF1	0.13125118085517684
miR-126	HBE1	0.16053676539746942
miR-126	SERPINF2	0.13218225426006658
miR-126	CFI	0.13448009919102333
miR-126	C3	0.0979877970555263
miR-126	VTN	0.10898215767949448
miR-126	C5	0.1599718910262622
miR-126	C6	0.1417242299569228
miR-126	Total-IGHG	0.14586381231950707
miR-126	AMBP	0.12754159278933486
miR-126	BDNF	0.05160048536021122
miR-126	TF	0.1118075601418349
miR-126	SERPINA7	0.12861864269614998
miR-126	MBL2	0.06629433327034118
miR-126	FGA	0.12860585455531126
miR-126	TNFRSF1B	0.06722063176802706
miR-126	SAA4	0.10669619871536717
miR-126	PLG	0.11960490219245745
miR-126	miR-24	1.4044915776308082
miR-126	miR-21	0.9665814520217113
miR-126	miR-378	0.39409052805699485
miR-335	SERPINA3	0.11083474910294022
miR-335	OLR1	0.12840558821850756
miR-335	ITGB1BP2	0.5221534304683964
miR-335	CSTB	0.1046660343949819
miR-335	miR-146a	1.1280188721844464
miR-335	CCL19	0.10487718806524793
miR-335	APOL1	0.13727427623187527
miR-335	CD40LG	0.6688983305019764
miR-335	IL17C	0.07521342221990945
miR-335	IL18R1	0.08478846607808332
miR-197	FST	0.06404647510658368
miR-197	HPR	0.09236891596457131
miR-197	APOD	0.13068431408075565
miR-197	miR-150	0.283348186290004
miR-197	miR-24	1.1172370672532947
miR-197	ERVMER34-1	0.11351520234619095
miR-24	miR-223*	0.7567346144543183
miR-24	miR-223	1.529703572436504
miR-24	THBD	0.08009651673530627
miR-24	CASP8	0.4724120943764252
miR-24	F2R	0.504771835392483
miR-24	NGF	0.047604403871929435
miR-24	miR-197	1.1172370672532947
miR-24	CHI3L1	0.06786108643616995
miR-24	SRC	0.7696440650453882
miR-24	miR-146a	1.337278296956466
miR-24	miR-126	1.4045716421425425
miR-24	CMA1	0.0728279360685038
miR-24	KITLG	0.11826899679610126
miR-24	AGRP	0.08573338666067887
miR-122	NT-pro-BNP	0.09904744055343517
miR-122	FCN3	0.19004231045628028
miR-122	SERPINA1	0.05167703440788873
miR-122	PLAT	0.09149033738326917
miR-122	CX3CL1	0.06227097935949466
miR-122	NPPB	0.0449507207237021
miR-122	CTSD	0.15092555663677576
miR-122	HGF	0.06349821957619461
miR-122	TIMELESS	0.05193702756849117
miR-122	SELPLG	0.14216799790155932
miR-122	AFM	0.16564073435597404
miR-122	CST5	0.055796782546930324
miR-122	VTN	0.11381970030039312
miR-122	APOL1	0.08348990713232762
miR-122	FGF21	0.10264746366434441
miR-122	CCL23	0.08771578880376119
miR-122	APOC3	0.05611828162320176
miR-122	SELE	0.1434568254536428
miR-122	miR-378	0.27785576087929
miR-122	XPNPEP2	0.10236341453061293
miR-122	APOC2	0.16117982697977862
miR-122	LEP	0.04354703874595778
miR-122	SHBG	0.14361333283969113
miR-122	IL17C	0.06484395009680455
miR-155	MRS2	0.08457008363825036
miR-155	U6	0.37064244388099166
miR-155	MPO	0.1102134937286321
miR-155	SERPINF1	0.06818758672342895
miR-155	PRAP1	0.05343182549860881
miR-155	miR-150	0.3513543798119274
miR-155	miR-28-3p	0.3970369657462651
miR-155	CCL8	0.06126969178127961
miR-155	APOB	0.11338341325391355
miR-155	IGHA1	0.05570839994490484
miR-155	BDNF	0.04515167266910591
miR-155	FN1	0.11845419323011441
miR-155	IL6	0.0450791304979008
miR-320	miR-148a	0.8285939118847363
miR-320	DNER	0.07336065580287876
miR-320	CTSD	0.18432053937382875
miR-320	miR-92a	1.0153279698702136
miR-320	PGF	0.04675096970856174
miR-320	CDCP1	0.10529156231757142
miR-320	miR-28-3p	1.0874285805179689
miR-320	CXCL11	0.1863506414117433
miR-320	LRG1	0.11096107474160188
miR-320	CD6	0.13351091007938187
miR-320	ALB	0.07171626173845258
miR-150	U6	0.4411562830880058
miR-150	F13A1	0.08486923018112158
miR-150	JCHAIN	0.08356758249289253
miR-150	IGHG1	0.11057469854801738
miR-150	miR-92a	0.311231671012667
miR-150	APOA4	0.13245192580204979
miR-150	RNASE3	0.0873038923649192
miR-150	TNFRSF1A	0.05546113817949028
miR-150	miR-155	0.33263608593456695
miR-150	APOE	0.07121298342672944
miR-150	ABCF1	0.16529721769251626
miR-150	GSN	0.07812948225581717
miR-150	SERPIND1	0.20032613072208605
miR-150	PSPHP1	0.12118235865568305
miR-150	APOC1	0.048479377727765005
miR-195	HBD	0.22525176186787466
miR-195	miR-92a	0.7007445820730664
miR-195	HBA1	0.3673167229647971
miR-195	AGER	0.12611867269869137
miR-195	EIF4EBP1	0.48431920029819686
miR-195	miR-21	0.6495165888717906
miR-195	AGT	0.09750459806323342
miR-195	HRG	0.07450983593563532
miR-21	CXCL16	0.1359267790599663
miR-21	FGF5	0.05520036535755857
miR-21	SERPING1	0.1400960618709144
miR-21	miR-195	0.6495165888717906
miR-21	SULT1A1	0.5672633283207515
miR-21	FGF21	0.1002710556582711
miR-21	TNFSF12	0.1076334313110312
miR-21	miR-27b	0.9585968459442267
miR-21	miR-335	0.9699347462104546
miR-21	IGHM	0.045912647423842934
miR-21	CXCL9	0.07746388981844277
miR-21	SERPINA1	0.10006499438309913
miR-21	SERPINA6	0.126048088544926
miR-21	JCHAIN	0.0978135289940747
miR-21	MB	0.09075299186347596
miR-21	AHSG	0.0824308965371312
miR-21	SIRT2	0.819653111855855
miR-21	CD5L	0.12757323325607217
miR-21	miR-126	0.9665814520217113
miR-21	TTR	0.24537538624077726
miR-21	GDF15	0.08979859646392807
miR-21	VEGFA	0.09869684441554938
miR-92a	CXCL8	0.1286798798407096
miR-92a	GPX3	0.11243847139626784
miR-92a	MMP1	0.22163601458132653
miR-92a	RBP4	0.15667547083349564
miR-92a	GAL	0.0852095501831629
miR-92a	miR-195	0.7007445820730647
miR-92a	CFB	0.11797474638542127
miR-92a	FBLN1	0.058934301473685835
miR-92a	C7	0.15645405979219884
