Regulator	Target	MI
miR-126*	NPPB	0.08038884475584585
miR-126*	IGHG4	0.17670380217756065
miR-126*	PLAUR	0.1585694500885788
miR-126*	LIFR	0.06856100821852706
miR-126*	CCL13	0.17814559431267174
miR-126*	CCL11	0.06215897677583104
miR-126*	miR-126	0.9846829880222128
miR-126*	KLK11	0.044222083522797995
miR-126*	TF	0.14543599803579443
miR-223*	NT-pro-BNP	0.05061154012099589
miR-223*	miR-223	0.7106348420244641
miR-223*	IL12B	0.08677677240599113
miR-223*	IL6R	0.07241121969331221
miR-223*	IL10	0.05806836251058378
miR-223*	C7	0.1403774530598616
miR-223*	SERPIND1	0.10230897834247799
miR-223*	FN1	0.19581271778722087
miR-223*	GDNF	0.09986931545715994
miR-146a	AZGP1	0.17756348516710307
miR-146a	CD274	0.635159174491724
miR-146a	miR-320	1.1899135507608367
miR-146a	TGFB1	0.4397559322999198
miR-146a	MUC16	0.08405440079700988
miR-146a	miR-335	1.0683552033994932
miR-146a	HSPB1	0.692392006381886
miR-146a	CXCL1	0.5815974633421828
miR-146a	PRL	0.05946299841839231
miR-146a	CTSL	0.06634258154941719
miR-146a	AHSG	0.080610376596149
miR-146a	SIRT2	0.8567239399688198
miR-146a	HBEGF	0.4342459256387263
miR-146a	ITIH1	0.09686573246251662
miR-146a	CCL8	0.16158982390456966
miR-146a	miR-24	1.3516187084115652
miR-146a	miR-21	1.0279068123468322
miR-146a	CD40LG	0.7708845623285407
miR-146a	PF4	0.7711353323619088
miR-27b	U6	0.12705671686693343
miR-27b	CX3CL1	0.09836436526223835
miR-27b	IL15RA	0.05834578520599454
miR-27b	APOA4	0.10308887394941912
miR-27b	PRAP1	0.09016054949898589
miR-27b	TNFRSF1A	0.05123231410984186
miR-27b	CFB	0.11290541109943497
miR-27b	SELPLG	0.07303990977464725
miR-27b	AGER	0.05269907547512798
miR-27b	TTR	0.1602537833255191
miR-27b	miR-21	0.9999023625235965
miR-27b	GSN	0.1263769306628575
