Regulator	Target	MI
miR-126*	FCN3	0.16233524911817643
miR-126*	SPON1	0.06610785645519446
miR-126*	PGLYRP2	0.05031291517272152
miR-126*	MPO	0.07789394368795044
miR-126*	TNFSF10	0.08201342085774943
miR-126*	RBP4	0.17712063750123974
miR-126*	C2	0.1314399514815614
miR-126*	APOM	0.1789487654430273
miR-126*	CXCL9	0.08126061911704863
miR-126*	PRL	0.07952922035749577
miR-126*	CX3CL1	0.08524800428867252
miR-126*	C1QB	0.1542227949060102
miR-126*	SERPINC1	0.15270937818652452
miR-126*	CD5L	0.0944887967382666
miR-126*	SAA4	0.09122185960946805
miR-126*	ITIH1	0.07989920127633177
miR-126*	CPN2	0.1570301456124188
miR-126*	miR-126	1.0334050445206708
miR-126*	TTR	0.1431658092615269
miR-126*	ABCF1	0.16792502803500575
miR-126*	APOC3	0.17001175513113242
miR-126*	IL17A	0.060252018958347975
miR-223*	CXCL16	0.05753384903742553
miR-223*	miR-223	0.8025180638085461
miR-223*	CDCP1	0.07417097943044215
miR-223*	CFH	0.11815211402765158
miR-223*	AFM	0.14691484715640168
miR-223*	CST5	0.1216595958080191
miR-223*	NTF3	0.05954332271741691
miR-223*	CMA1	0.0643661896668597
miR-223*	KLK11	0.10741460703082772
miR-146a	MRS2	0.054956177437142095
miR-146a	CCL4L1	0.07428798525927238
miR-146a	JCHAIN	0.09874948371751113
miR-146a	IGHG2	0.1079288844641324
miR-146a	SIRT2	0.8688614963755539
miR-146a	SERPING1	0.10994494780039865
miR-146a	STAMBP	0.64926008393385
miR-146a	HBEGF	0.36004676401068014
miR-146a	SELPLG	0.07572862396079572
miR-146a	SRC	0.7734043196646567
miR-146a	miR-28-3p	1.1712078126105956
miR-146a	miR-24	1.314626045211421
miR-146a	CCL25	0.08698082713715838
miR-146a	ERVMER34-1	0.18623072483798708
miR-146a	miR-335	1.1850463212409856
miR-146a	CD40LG	0.6711025732097031
miR-146a	CD244	0.27372380732383483
miR-27b	NPPB	0.07737326888719842
miR-27b	IGHG4	0.13962814714528538
miR-27b	HBE1	0.14616429436305278
miR-27b	CFB	0.14576769799941225
miR-27b	KNG1	0.09489152340975338
miR-27b	FGF23	0.09024148895901174
miR-27b	TNFSF14	0.30050585116194206
miR-27b	TNFRSF10B	0.10158055840193825
miR-27b	IL7	0.2554934655901935
miR-27b	SERPINA1	0.08176184081433657
miR-27b	GPX3	0.1542917544988489
miR-27b	IL16	0.20880215333822072
miR-27b	C1R	0.1469207793227989
miR-27b	CCL3	0.08041211497649137
miR-27b	miR-21	1.057547073171916
miR-27b	CCL23	0.07369003320957646
miR-27b	AGT	0.13748343070393076
miR-27b	IL18R1	0.09380642600578248
miR-148a	SERPINA3	0.05247597387738345
miR-148a	IGHG1	0.13002998462041848
miR-148a	MB	0.06309381234563727
miR-148a	miR-21	0.713096288453591
miR-148a	FGF19	0.08553693311554511
miR-28-3p	CXCL6	0.2766361518255911
miR-28-3p	THBD	0.07847506928452574
miR-28-3p	F2R	0.47311521182505434
miR-28-3p	MMP3	0.06137297182503598
miR-28-3p	miR-155	0.2646665125576986
miR-28-3p	CD274	0.620187075788972
miR-28-3p	CSTB	0.20657875264557646
miR-28-3p	miR-146a	1.1712078126105947
miR-28-3p	miR-320	1.1400601695319157
miR-28-3p	CP	0.07026648927639112
miR-28-3p	PF4	0.6953496393063858
miR-223	CD40	0.42923559809866685
miR-223	miR-223*	0.8085410047663828
miR-223	CXCL1	0.50713430661862
miR-223	IL27	0.07989749109167299
miR-223	CXCL5	0.4358031172526209
miR-223	IKBKG	0.5992827554420153
miR-223	miR-191	1.4454514779475671
miR-223	SULT1A1	0.5354907440413497
miR-223	CCL7	0.04793743968642694
miR-223	miR-24	1.4226564917545232
miR-223	miR-320	1.134766704655334
miR-223	STOM	0.1551234621994695
miR-223	CCL19	0.07429230483700788
miR-223	LEP	0.08249734482517468
miR-223	ALB	0.10860358245857249
miR-223	AGRP	0.12275886814653614
miR-378	C8A	0.1082132015954409
miR-378	CTSD	0.14388748755083824
miR-378	miR-92a	0.3802360362281929
miR-378	IL1R1	0.21624695159941343
miR-378	RNASE3	0.09879565005702418
miR-378	miR-155	0.28754555916925995
miR-378	SELENOP	0.045335295995385216
miR-378	CCL11	0.13652732289058012
miR-378	IL1RL1	0.06622127529666333
miR-378	CCL8	0.13696414830355952
miR-378	miR-122	0.27853837646403345
miR-378	IL6	0.058507837314626165
miR-126	miR-126*	1.0046228512177136
miR-126	MMP7	0.04421048522347171
miR-126	FST	0.10418140101398965
miR-126	AZGP1	0.19889387093286626
miR-126	miR-195	0.7203865536829204
miR-126	CCL13	0.12097165434200363
miR-126	C7	0.10492403848769882
miR-126	miR-24	1.2597401616003996
miR-126	APOE	0.0709600725338797
miR-126	miR-21	0.9951039143288858
miR-126	TNFRSF9	0.04423995359342303
miR-126	FN1	0.1303956196745446
miR-126	C1QC	0.10116543774338638
miR-335	HSPB1	0.7382107055073188
miR-335	CLU	0.15908917399310418
miR-335	ORM2	0.057052394901860204
miR-335	CASP8	0.4651776709986102
miR-335	OLR1	0.14331533644830152
miR-335	FGA	0.14244390136390805
miR-335	FGG	0.09744111336985473
miR-335	AXIN1	0.5560961682386445
miR-335	LIFR	0.11839591804821747
miR-335	DKK1	0.37956772520818216
miR-335	ITGB1BP2	0.591718049395964
miR-335	LPA	0.08981717712271742
miR-335	C1S	0.14162255696005044
miR-335	miR-146a	1.185406252208531
miR-335	TNFRSF11B	0.15351696353090816
miR-335	Total-IGHG	0.10014845366436198
miR-335	S100A12	0.0964183536178318
