Regulator	Target	MI
miR-126*	CXCL6	0.36177818975189524
miR-126*	F13A1	0.07943713787854279
miR-126*	JCHAIN	0.06693807045804245
miR-126*	PRAP1	0.06723380183937078
miR-126*	LTA	0.10838539631745636
miR-126*	A1BG	0.13188012029855933
miR-126*	miR-126	1.0507520055996613
miR-126*	ERVMER34-1	0.11643883265735244
miR-126*	IL7	0.26814143157665526
miR-223*	IGHM	0.0926790675769098
miR-223*	FST	0.06415015433133053
miR-223*	SERPINF1	0.16026964756929374
miR-223*	ITIH4	0.06546782588608302
miR-223*	C1R	0.12462597629256322
miR-223*	AFM	0.18515087518922613
miR-223*	ITIH1	0.11982262438729485
miR-223*	KNG1	0.13618426169156628
miR-223*	miR-320	0.7297960401904557
miR-223*	NTF3	0.056636307298052024
miR-223*	APOB	0.10493767583821167
miR-223*	CCL25	0.062409269149080515
miR-223*	TNFRSF9	0.08769575201086255
miR-223*	APOC3	0.11778946937111723
miR-223*	APOC2	0.11790470460289093
miR-223*	IL17A	0.076565895530738
miR-146a	DKK1	0.322668117513099
miR-146a	STAMBP	0.6549913607103308
miR-146a	miR-320	1.1336842579521855
miR-146a	FGF21	0.09199610915772727
miR-146a	FN1	0.09142956274788094
miR-146a	miR-335	1.116325312604249
miR-146a	SERPINA3	0.09832971030431903
miR-146a	CD40	0.300121150117155
miR-146a	HSPB1	0.7776604906355917
miR-146a	CXCL1	0.5435679198213368
miR-146a	CXCL5	0.4761015666611925
miR-146a	IKBKG	0.5082292428723978
miR-146a	PECAM1	0.3205854002445081
miR-146a	SRC	0.7274351767441001
miR-146a	SAA4	0.17298331620729623
miR-146a	TTR	0.11282348366078931
miR-146a	miR-24	1.3448497832611377
miR-146a	miR-122	0.22963871957285065
miR-146a	GC	0.12771263757746976
miR-146a	EGF	0.6317980536651735
miR-146a	AGT	0.13822585150264022
miR-146a	CD40LG	0.6803400806336484
miR-146a	PF4	0.6861833191213424
miR-27b	C4BPA	0.11546941692998569
miR-27b	FGG	0.07128339865210354
miR-27b	IL16	0.07009938985180497
miR-27b	CCL7	0.0799784711780358
miR-27b	miR-21	0.983436236571082
miR-27b	APOL1	0.17472140914254286
miR-27b	CCL23	0.05842687969186677
miR-27b	PSPHP1	0.11217714715666371
miR-148a	IL6R	0.08341473123102983
miR-148a	SELENOP	0.12004027802491457
miR-148a	SERPING1	0.19456396989559543
miR-148a	LPA	0.12643624482155946
miR-148a	C2	0.09411350658356987
miR-148a	IGHA1	0.14139780710247507
miR-148a	SELE	0.09002208541043988
miR-148a	SHBG	0.13083926795825906
miR-148a	CXCL8	0.1303681126197711
miR-148a	SERPINA1	0.14339510432668945
miR-148a	SERPINA7	0.13612218035537538
miR-148a	CSTB	0.15887424104093473
miR-148a	CLEC3B	0.12422299017162164
miR-148a	CCL8	0.07934313401599535
miR-148a	miR-21	0.8170463539365374
miR-148a	APOC1	0.06858558729670428
miR-28-3p	ADM	0.16502083001383117
miR-28-3p	IGHG4	0.08871283219343429
miR-28-3p	IL15RA	0.0668955361705752
miR-28-3p	F2R	0.41704064402889873
miR-28-3p	miR-197	1.0896144350128063
miR-28-3p	CCL11	0.07261733399783399
miR-28-3p	SERPINC1	0.1358028447187154
miR-28-3p	IL1RL1	0.0685285292683302
miR-28-3p	miR-24	1.2882427186978092
miR-28-3p	AMBP	0.11561729774249585
miR-28-3p	XPNPEP2	0.11407156257272355
miR-223	PGLYRP2	0.09038840441477625
miR-223	IL12B	0.07670545101976245
miR-223	TNFRSF1B	0.07061602915861087
miR-223	CHI3L1	0.06130331114272014
miR-223	miR-191	1.4575168503271883
miR-223	miR-24	1.5018639632897663
miR-223	TNFSF14	0.28100157998228603
miR-223	IL10RB	0.07094331209789306
miR-378	CXCL9	0.053508115372837395
miR-378	CCL4L1	0.17847466067740125
miR-378	SLC4A1	0.1285880995940074
miR-378	HGF	0.12202237092321155
miR-378	APOA4	0.08901928210339705
miR-378	TIMELESS	0.07590542416006496
miR-378	C1QB	0.06078873590145406
miR-378	CD5L	0.08298672023432463
miR-378	miR-126	0.39829680138582013
miR-378	CCL4	0.09638447607710976
miR-378	IL6	0.06032332789516115
miR-126	miR-126*	1.0586511187684362
miR-126	FCN3	0.19848738481688954
miR-126	PLAT	0.07019627664896788
miR-126	IL1R1	0.1211871446799142
miR-126	miR-195	0.7895640337157737
miR-126	FBLN1	0.0764261633990877
miR-126	APOE	0.14724081574302694
miR-126	FGF23	0.08309130114303276
miR-126	CP	0.166315387483575
miR-126	ALB	0.1381781764481298
miR-126	CX3CL1	0.0623132219494682
miR-126	THBD	0.08248877339625249
miR-126	NGF	0.0645341589898889
miR-126	TNFRSF1A	0.11234801945563433
miR-126	miR-24	1.3467080069496324
miR-126	STOM	0.1744149949343461
miR-126	miR-21	1.1482366602213308
miR-126	miR-378	0.4086312850536613
miR-126	KLKB1	0.14531020171353326
miR-335	ORM1	0.17985593279197598
miR-335	CASP8	0.48263479484966254
miR-335	OLR1	0.13142564261394263
miR-335	SIRT2	0.7967071197518125
miR-335	GAL	0.11363783092869095
