Regulator	Target	MI
miR-126*	CSF1	0.1174630694376928
miR-126*	IL1R1	0.07320156096325636
miR-126*	NGF	0.11392134790210307
miR-126*	GAL	0.07433487154498941
miR-126*	TIMELESS	0.1371261821493901
miR-126*	CD5L	0.15126532873402443
miR-126*	AGER	0.06377604636276235
miR-126*	miR-126	1.0459274131431782
miR-126*	C6	0.11031399890702787
miR-126*	APOH	0.15066397815134902
miR-126*	TNFRSF10B	0.12982442785521187
miR-126*	KITLG	0.06365165142555096
miR-126*	GDNF	0.0898912489922461
miR-126*	ALB	0.18319100718507997
miR-223*	CCL4L1	0.11624761215018875
miR-223*	F13A1	0.1072529642343163
miR-223*	FLT3LG	0.12456474905553705
miR-223*	miR-197	0.7830451683528832
miR-223*	VEGFA	0.12040974817590655
miR-223*	CXCL10	0.08659280168461869
miR-223*	FASN	0.05172305111522846
miR-146a	HSPB1	0.6681644909414128
miR-146a	JCHAIN	0.10471016655872223
miR-146a	CASP8	0.531929640169567
miR-146a	MBL2	0.11884705703262366
miR-146a	APOA2	0.11781380485242554
miR-146a	DKK1	0.41860849084519547
miR-146a	MMP10	0.09218563795281742
miR-146a	SAA4	0.17345660896919668
miR-146a	ITIH1	0.14194065740475725
miR-146a	KNG1	0.1513508619108217
miR-146a	SULT1A1	0.5300359281152565
miR-146a	miR-24	1.2814472281076297
miR-146a	Total-IGHG	0.0922248624796751
miR-146a	ERVMER34-1	0.13727487704420938
miR-146a	AMBP	0.18054562325810775
miR-146a	miR-335	1.0918679960620254
miR-146a	CD40LG	0.6512458271051731
miR-146a	CD244	0.24831055210259567
miR-27b	OLR1	0.1944692517734179
miR-27b	APOA4	0.14922062274078218
miR-27b	CFI	0.17859355609689853
miR-27b	miR-126	1.0206851812596502
miR-27b	miR-122	0.18784878961155993
miR-27b	CCL2	0.11239072463238386
miR-27b	APOL1	0.09484332878168189
miR-27b	AGT	0.11848756593701815
miR-27b	LRG1	0.18786844565389238
miR-27b	IL7	0.26766159441859205
miR-27b	IL18R1	0.10238266722737599
miR-148a	LIFR	0.08260948403518675
miR-148a	LPA	0.09698524522392926
miR-148a	C3	0.1068069118157462
miR-148a	C7	0.0974359465217054
miR-148a	TNFSF12	0.06915061317226545
miR-148a	SELE	0.1066437504805382
miR-148a	FGF19	0.12018073083254688
miR-148a	NT-pro-BNP	0.08760646629252733
miR-148a	CXCL8	0.09612647869968072
miR-148a	CTSD	0.13768014624138392
miR-148a	IL10	0.11567695854050708
miR-148a	MMP3	0.12175242379362938
miR-148a	TNFRSF1A	0.10309289810706623
miR-148a	ITIH2	0.16326717881985875
miR-148a	NTF3	0.0750583864021026
miR-148a	miR-21	0.7658086553078718
miR-148a	TEK	0.06380622509839107
miR-28-3p	SLC4A1	0.1344037169311827
miR-28-3p	SERPINA7	0.12784184111575314
miR-28-3p	CXCL5	0.3474242943373902
miR-28-3p	miR-223	1.3450049947763176
miR-28-3p	IL6R	0.05698740498802479
miR-28-3p	F2R	0.564897052487523
miR-28-3p	miR-197	1.055742784637804
miR-28-3p	C5	0.1134154617773806
miR-28-3p	miR-320	1.1749791373538745
miR-28-3p	CCL4	0.10603080548536337
miR-28-3p	CCL19	0.08052046164098403
miR-223	CXCL1	0.5284946095013643
miR-223	TNFSF10	0.12679775532649362
miR-223	IKBKG	0.4935601569001129
miR-223	AXIN1	0.6104992604916664
miR-223	SELENOP	0.16774839773538464
miR-223	miR-191	1.384589869361613
miR-223	CD274	0.6585848890324275
miR-223	TGFA	0.12948414468381042
miR-223	miR-28-3p	1.3389249270262562
miR-223	VTN	0.11115072400380122
miR-223	miR-126	1.2521959778716356
miR-223	miR-24	1.4711153524834426
miR-223	KLKB1	0.1412750852053497
miR-378	IGHM	0.058856593796255297
miR-378	CXCL9	0.13007526370119127
miR-378	CX3CL1	0.052760219386477125
miR-378	DNER	0.07668952395881234
miR-378	IL12B	0.13618403339028884
miR-378	miR-92a	0.35298687969871345
miR-378	GPX3	0.1275241593220997
miR-378	MMP12	0.044573351394925353
miR-378	CDCP1	0.07461850955476024
miR-378	A1BG	0.15349880122963544
miR-378	IL1RL1	0.07769069254575012
miR-378	CCL8	0.12279903768221523
miR-378	miR-122	0.18676891323962597
miR-378	APOD	0.10283118329825669
miR-378	APOE	0.16883057030270177
miR-378	GDF15	0.04655437371941584
miR-378	AGRP	0.11274717356470898
miR-126	miR-126*	1.045927413143179
miR-126	CXCL6	0.40948930225162083
miR-126	SERPINA3	0.1511597478761626
miR-126	SERPINA1	0.07918645296754256
miR-126	miR-223	1.252348699805041
miR-126	PLAUR	0.09691854191982863
miR-126	PECAM1	0.36442880608511885
miR-126	ITGB1BP2	0.5776339628800065
miR-126	CFB	0.05441406659267045
miR-126	SRC	0.768431403882718
miR-126	C2	0.11187344364523533
miR-126	miR-21	0.9816069165508452
miR-126	MUC16	0.04660296492759386
miR-126	miR-27b	1.0121806227376204
miR-335	CD40	0.4121720863264011
miR-335	MMP1	0.2430528462403565
miR-335	SERPINF1	0.12875441190705228
miR-335	SIRT2	0.8093125281983573
miR-335	HBEGF	0.32572428891267347
miR-335	CSTB	0.10829024482271254
miR-335	C1S	0.09075243317340398
miR-335	miR-146a	1.0838702768119939
miR-335	CCL7	0.08780712360365595
miR-335	TF	0.16425079323646674
miR-197	ORM1	0.1540745690165508
miR-197	miR-223*	0.7960719355088042
miR-197	MPO	0.12523150541193928
miR-197	ORM2	0.10049998630348078
miR-197	TNFSF11	0.07488058414764698
miR-197	AHSG	0.08170055392778153
miR-197	RBP4	0.17238894278531003
miR-197	miR-150	0.3781069526539129
miR-197	SELPLG	0.06278350208506556
miR-197	miR-28-3p	1.0552490465074333
miR-197	GSN	0.14556153866533617
miR-197	CXCL11	0.11726582731839752
miR-24	miR-223	1.4721552066241443
miR-24	STAMBP	0.7008866824651951
miR-24	miR-146a	1.2824008872684214
miR-24	STOM	0.17001550510480357
miR-24	TGFB1	0.4238366245812264
