Regulator	Target	MI
miR-126*	FCN3	0.1042161106085473
miR-126*	SPON1	0.05719057929528937
miR-126*	PLAT	0.08399841419870313
miR-126*	FGF5	0.07611511276854621
miR-126*	NPPB	0.06485461517968627
miR-126*	IGHG4	0.12281020089613648
miR-126*	SERPINF1	0.08593394846357505
miR-126*	S100A12	0.10944998014753615
miR-126*	AMBP	0.13744252236996957
miR-126*	TNFRSF10B	0.10662122530899332
miR-126*	SELE	0.08732724120005564
miR-126*	IL7	0.34444824531633067
miR-126*	FASN	0.13827096024148133
miR-126*	SERPINA3	0.1792464008241259
miR-126*	AXIN1	0.7352905023284588
miR-126*	TNFRSF1A	0.053462897858114644
miR-126*	MMP12	0.050219754117315496
miR-126*	HBEGF	0.39530338878213644
miR-126*	SAA4	0.082922026373212
miR-126*	miR-126	1.0573281550966565
miR-126*	KITLG	0.12553632878092813
miR-223*	CCL4L1	0.06305433985748277
miR-223*	TNFSF10	0.1733591619070367
miR-223*	miR-197	0.8343739868589672
miR-223*	SERPING1	0.12674182292570002
miR-223*	CCL13	0.16046579252248883
miR-223*	ITIH4	0.14118795951749252
miR-223*	SERPINC1	0.07305611133185863
miR-223*	FGF23	0.08894608169861407
miR-223*	FGF21	0.08051006159830898
miR-223*	CCL28	0.115805273540734
miR-223*	IL17C	0.048168768161909625
miR-146a	IGHG3	0.04837153232406344
miR-146a	IKBKG	0.5153484683707363
miR-146a	F2R	0.45440382383365385
miR-146a	SIRT2	0.8842727296403794
miR-146a	C1S	0.16921578293840156
miR-146a	miR-24	1.2662872526892226
miR-146a	TGFB1	0.48037986601250005
miR-146a	EGF	0.681445549938795
miR-146a	KLK11	0.05954316880043109
miR-146a	IL6	0.0868989467996375
miR-146a	miR-335	1.1626465546850584
miR-146a	CD40LG	0.6858905109009115
miR-27b	LTA	0.14223493841604995
miR-27b	LPA	0.08092345824729108
miR-27b	C1QB	0.07356900895044305
miR-27b	C5	0.08144820883735182
miR-27b	CLEC3B	0.0905119316652625
miR-27b	TTR	0.21806238063290273
miR-27b	CCL2	0.15085144192558886
miR-27b	miR-21	1.0759935478619544
miR-27b	CCL20	0.10916130384674361
miR-27b	ALB	0.27117112836970936
miR-27b	AGRP	0.08590479713708543
miR-148a	PRL	0.06093927098125995
miR-148a	SERPINA6	0.1094509244462305
miR-148a	HGF	0.08710060555147425
miR-148a	NGF	0.10295714192425987
miR-148a	CCL8	0.17130124479933428
miR-148a	miR-21	0.841249166307831
miR-148a	miR-378	0.46265632580493143
miR-148a	CXCL11	0.21489905334563097
miR-28-3p	FST	0.04600056617657966
miR-28-3p	miR-197	1.1653354939249478
miR-28-3p	CD274	0.6032967323290821
miR-28-3p	miR-320	1.1600900610450102
miR-28-3p	SERPINA1	0.12130895656258822
miR-28-3p	DNER	0.08550556416699617
miR-28-3p	MMP1	0.22830510607071908
miR-28-3p	APOA4	0.09790602046969887
miR-28-3p	ITIH2	0.05128332975052885
miR-28-3p	miR-24	1.313614021161924
miR-28-3p	NTF3	0.05409821354273614
miR-28-3p	STOM	0.16636288696550317
miR-28-3p	CCL25	0.048880833096848875
miR-28-3p	CMA1	0.05842343112339776
miR-28-3p	IL10RA	0.0437101248219518
miR-223	OLR1	0.2504544135635687
miR-223	miR-191	1.4624574215535793
miR-223	miR-24	1.4127390044170776
miR-223	TNFSF14	0.3760660871737276
miR-378	MRS2	0.07126515479544526
miR-378	miR-148a	0.45299248376038204
miR-378	AZGP1	0.15840470420018882
miR-378	CD5L	0.04764861770730899
miR-378	miR-122	0.24453003193558587
miR-378	GDF15	0.10867818750901037
miR-378	ADA	0.14083774808377747
miR-126	miR-126*	1.0573281550966565
miR-126	THRB	0.07708229736863892
miR-126	SERPINF2	0.09206651314389447
miR-126	miR-195	0.7266971780896583
miR-126	C6	0.1336370235472799
miR-126	miR-24	1.2661083646321512
miR-126	miR-21	1.1021134747094976
miR-126	LRG1	0.18056979483213276
miR-335	STAMBP	0.7206385458692486
miR-335	miR-146a	1.1626465546850575
miR-335	TNFRSF11B	0.09293007709379353
miR-335	KLK6	0.15466334675020654
miR-335	C3	0.05376694635589985
miR-335	SULT1A1	0.6568643471116244
miR-335	APOH	0.07592526290318968
miR-335	EIF4EBP1	0.4621136497868763
miR-335	NT-pro-BNP	0.09245218912264708
miR-335	ORM1	0.1755552754356815
miR-335	CXCL8	0.17314883786119672
miR-335	HSPB1	0.7045031505862207
miR-335	CXCL1	0.5355798784951036
miR-335	C8A	0.09512194203523272
miR-335	MMP7	0.047616055592145656
miR-335	CHI3L1	0.07600967265311276
miR-335	ITGB1BP2	0.5971737725478894
miR-335	CCL7	0.08194588874222664
miR-335	ABCF1	0.2196207199438689
miR-197	miR-223*	0.8442611424589481
miR-197	IGHG1	0.10818072463260275
miR-197	RBP4	0.2477249632842593
miR-197	CFI	0.18031991435448003
miR-197	PDGFB	0.05606846405150012
miR-197	APOD	0.11229065797961901
miR-197	IGHA2	0.11241836465941013
miR-197	SLAMF1	0.1355223724951813
miR-197	TNFRSF9	0.047494698733508756
miR-197	TF	0.09832461624794941
miR-197	CTSL	0.11206488787626245
miR-197	FGA	0.0940113395098976
miR-197	PLAUR	0.12101736105149019
miR-197	miR-155	0.33794171264182715
miR-197	PECAM1	0.4233146513588997
miR-197	miR-150	0.29826389086497773
miR-197	CST5	0.10840834934693167
miR-197	miR-28-3p	1.1653354939249487
miR-197	CCL19	0.10033505208622095
miR-197	GSN	0.10358932420720013
miR-197	FABP4	0.11449644952679261
miR-197	CD6	0.04516489760890341
miR-197	APOC2	0.12239367999230488
miR-24	CXCL16	0.12052208106299656
miR-24	miR-223	1.4127390044170776
miR-24	CTSD	0.1262931561082885
miR-24	IL1R1	0.056127569346980266
miR-24	IL16	0.19587967829162256
miR-24	DKK1	0.44358260388958826
miR-24	CSTB	0.14447667732959424
miR-24	SRC	0.7677691983458725
miR-24	miR-146a	1.2662872526892226
miR-24	A1BG	0.11990258396773879
miR-24	CPN2	0.14147366525645122
miR-24	C2	0.11283154098716608
miR-24	miR-28-3p	1.3262202289448606
miR-24	miR-126	1.2661083646321512
miR-24	Total-IGHG	0.09566337766103938
miR-24	APOC3	0.11759377228098788
miR-24	CP	0.1262880130832782
miR-24	KLKB1	0.08938320232501873
miR-122	NT-pro-BNP	0.1550645439894458
miR-122	FCN3	0.18057832758061476
miR-122	CCL4L1	0.051213884121262154
miR-122	ADM	0.04731851867983394
miR-122	PLAT	0.06931662848063436
miR-122	FGF5	0.2073676615706903
miR-122	IGHG4	0.0963377018003797
miR-122	CTSL	0.048754604618164166
miR-122	MBL2	0.12235932389693982
miR-122	FGA	0.06915220067838579
miR-122	SERPINF1	0.09642332624944938
miR-122	APOA4	0.10976464114295315
miR-122	MMP12	0.09009158571684317
miR-122	RBP4	0.06347143502881014
miR-122	CHI3L1	0.062462618338127385
miR-122	CSTB	0.10284692194246325
miR-122	CFH	0.10881253316471629
miR-122	SERPINC1	0.05327055799177138
miR-122	AFM	0.14156668807011563
miR-122	TGFA	0.07324622227654487
miR-122	FBLN1	0.04496391526534449
miR-122	KLK6	0.07908849506519999
miR-122	APOM	0.07813779842644841
miR-122	CCL8	0.15854230418896176
miR-122	CCL7	0.05886539056535067
miR-122	CCL19	0.113753894302552
miR-122	APOL1	0.12268322561137257
miR-122	IGHA2	0.08951573427185
miR-122	CCL23	0.10923858860623792
miR-122	MUC16	0.0820013545517595
miR-122	IL10RB	0.11623691265649327
miR-122	PSPHP1	0.12362181250224769
miR-122	TNFRSF9	0.0945244411218491
miR-122	TNFSF12	0.06020961864022567
miR-122	SELE	0.09203079217790222
miR-122	GH1	0.13461829839509498
miR-122	miR-378	0.24453003193558498
miR-122	IL6	0.050707612761734744
miR-122	LRG1	0.15566436095125624
miR-122	XPNPEP2	0.06557175953009597
miR-122	FGF19	0.11477505445944747
miR-122	ALB	0.10354917861712387
miR-122	CCL28	0.053883723656491966
miR-155	U6	0.29632481937594335
miR-155	ORM2	0.04790690906165729
miR-155	JCHAIN	0.07097443684358051
miR-155	MB	0.050635562995277716
miR-155	MMP3	0.06140364191040426
miR-155	APOA2	0.09043152880115457
miR-155	miR-197	0.3438660475184072
miR-155	AGER	0.061058762228614505
miR-155	KNG1	0.14503485456090548
miR-155	TTR	0.14262210373791984
miR-155	GC	0.10910274939813291
miR-155	FN1	0.13208302107932557
miR-155	HRG	0.10488817404387696
miR-320	CXCL6	0.34540554653911304
miR-320	MPO	0.1080074585260169
miR-320	CASP8	0.5316790644146474
miR-320	IL12B	0.07666431568484988
miR-320	miR-92a	0.9817614160107242
miR-320	CFH	0.16908630572180972
miR-320	miR-28-3p	1.1599314558151983
miR-320	APOB	0.09158056032784678
miR-320	GH1	0.04875459670919824
miR-320	PF4	0.6872473508720045
miR-150	IGHM	0.11329398774630484
miR-150	U6	0.4278649312250655
miR-150	SLC4A1	0.06078173442376045
miR-150	CLU	0.133509484666682
miR-150	THBD	0.04637624600641743
miR-150	RNASE3	0.10292032490607461
miR-150	miR-197	0.29826389086497773
miR-150	PLG	0.09027070225760081
miR-150	APOE	0.1188114493507415
miR-150	SERPIND1	0.1338062250563663
miR-150	OSM	0.09085961792066932
miR-150	CD5	0.07545250384681967
miR-150	TEK	0.07114142440948612
miR-150	SHBG	0.1416075401737542
miR-150	C1QC	0.13333270991799306
miR-195	CXCL9	0.11612652982545768
miR-195	HBD	0.1641334764144462
miR-195	ESM1	0.09715520521281906
miR-195	TNFSF11	0.10372137156385097
miR-195	miR-92a	0.7297518971982235
miR-195	MMP3	0.04349371497094534
miR-195	LIFR	0.07271136764162112
miR-195	HBA1	0.23255201396078817
miR-195	TNFRSF1B	0.06927947318637884
miR-195	PRAP1	0.043973800691119
miR-195	miR-126	0.7596602543447455
miR-195	C7	0.13838475504024572
miR-195	APOL1	0.11200189575929631
miR-195	GC	0.1245670293613994
miR-195	BDNF	0.04447548378485777
miR-195	AGT	0.0756686115652423
miR-195	REN	0.10247335329545404
miR-195	CD244	0.2430515673215483
miR-21	PGLYRP2	0.07050561937176525
miR-21	CSF1	0.0942569578154453
miR-21	SLC4A1	0.13851730257299444
miR-21	miR-148a	0.841249166307831
miR-21	IL6R	0.09925383374034968
miR-21	TIMELESS	0.09563792321507858
miR-21	APOE	0.1468431356888944
