Regulator	Target	MI
miR-126*	F2R	0.4434021971675879
miR-126*	C6	0.143240459726643
miR-126*	C7	0.17366474155224498
miR-126*	AMBP	0.11682997060500089
miR-126*	TNFRSF10B	0.19505125917972777
miR-126*	SERPINA3	0.17573206673965114
miR-126*	SERPINA1	0.1275194496946872
miR-126*	CXCL5	0.45306930580168103
miR-126*	ESM1	0.09511320642646304
miR-126*	GAL	0.14243739496660535
miR-126*	C1R	0.15924309480900067
miR-126*	CD5L	0.10574878346064942
miR-126*	miR-126	1.0692714410285857
miR-126*	APOC3	0.16434762969451544
miR-126*	CCL28	0.10145066224447774
miR-223*	SLC4A1	0.06812575236221452
miR-223*	IGHG1	0.25212121263747456
miR-223*	miR-191	0.8350292834833057
miR-223*	ITIH2	0.15143042884283364
miR-223*	A1BG	0.143389603929303
miR-223*	TTR	0.1653664314789811
miR-223*	IGHA2	0.16542147981084998
miR-223*	FN1	0.22154203818584062
miR-146a	miR-126*	1.0629761101806556
miR-146a	miR-148a	0.865905971064544
miR-146a	IGHG3	0.1089268090615878
miR-146a	LIFR	0.07385794932206657
miR-146a	PGF	0.10713726154407333
miR-146a	TIMELESS	0.15359789008329372
miR-146a	STAMBP	0.7216415335762232
miR-146a	miR-191	1.3257657530983913
miR-146a	SULT1A1	0.6153892135880028
miR-146a	C5	0.1278875730427611
miR-146a	miR-320	1.2288590292356973
miR-146a	APOD	0.1490758438858757
miR-146a	APOE	0.08700897683681674
miR-146a	TGFB1	0.42640582205485345
miR-146a	CXCL11	0.2056686511878869
miR-146a	miR-335	1.2526426686707683
miR-146a	ALB	0.12548382227804478
miR-146a	CD40	0.3766039531818599
miR-146a	HSPB1	0.7488885112520771
miR-146a	CXCL1	0.7073661616236322
miR-146a	CASP8	0.5359909949592172
miR-146a	DNER	0.08504235363898527
miR-146a	IKBKG	0.6033965051318892
miR-146a	AXIN1	0.6849568671088715
miR-146a	ITGB1BP2	0.610865406838113
miR-146a	C1QB	0.10191312580755696
miR-146a	SRC	0.8169496877030342
miR-146a	ITIH1	0.20487308319272746
miR-146a	miR-24	1.3914007740788152
miR-146a	AGT	0.1297576251404262
miR-146a	CD40LG	0.7665807938202871
miR-27b	TNFSF10	0.10819111023354466
miR-27b	TNFSF11	0.09786748287002212
miR-27b	CFB	0.11630826438901831
miR-27b	C3	0.12633083936940093
miR-27b	PSPHP1	0.15242413366412588
miR-27b	TNFSF12	0.06633120268195647
miR-27b	HRG	0.15932444024206927
miR-27b	SERPINA6	0.1936956625096622
miR-27b	ORM2	0.05075371108035309
miR-27b	MBL2	0.18738893140256785
miR-27b	APOA2	0.16040051928422194
miR-27b	CLEC3B	0.2065184276479508
miR-27b	miR-21	1.0322694659245713
miR-27b	GC	0.18405307913824398
miR-27b	IL18R1	0.16231836450996173
miR-148a	FLT3LG	0.04583409862246768
miR-148a	miR-146a	0.875783617737314
miR-148a	AHSG	0.12604002566822992
miR-148a	IL16	0.1889327849888085
miR-148a	CSTB	0.16216950775994832
miR-148a	FABP4	0.0464180479831251
miR-28-3p	F13A1	0.19481761539290332
miR-28-3p	ADM	0.1870910006263733
miR-28-3p	CXCL16	0.05489106554071821
miR-28-3p	miR-223	1.3036826334980232
miR-28-3p	IL10	0.12100035702535372
miR-28-3p	DKK1	0.37352138947208235
miR-28-3p	AGER	0.12055840509471505
miR-223	C4BPA	0.13431641061743083
miR-223	C8A	0.1933074330897453
miR-223	IGHG2	0.13976258891085536
miR-223	MB	0.04833533658062805
miR-223	OLR1	0.110354352200571
miR-223	miR-191	1.6337288870328717
miR-223	PLG	0.07024807180776893
miR-223	CST5	0.0776207729097047
miR-223	miR-28-3p	1.3036826334980223
miR-223	IL1RL1	0.07556047113752484
miR-223	CCL8	0.18818471761870192
miR-223	miR-24	1.531445736133203
miR-223	CCL19	0.060111696643997625
miR-223	TNFRSF9	0.05636603311187205
miR-223	CD6	0.08552226398764429
miR-223	IL17C	0.05245546810164381
miR-378	IL12B	0.06763046753105417
miR-378	SERPINF1	0.09008380392193516
miR-378	RNASE3	0.08559560570095925
miR-378	PRAP1	0.07237326691930601
miR-378	APOH	0.12100912628341476
miR-378	FGF23	0.07260289867501246
miR-378	CXCL10	0.12865804617456078
miR-378	MRS2	0.08716222770687043
miR-378	CXCL8	0.16559016459947618
miR-378	THRB	0.09785478849134499
miR-378	miR-92a	0.4218936720111435
miR-378	APOA1	0.21735811797181004
miR-378	APOA4	0.2243779964164654
miR-378	MMP12	0.056636437474737455
miR-378	CCL11	0.051432767816083746
miR-378	miR-122	0.2979928125787126
miR-378	CCL4	0.09684066628180421
miR-378	CCL3	0.11633383442257816
miR-378	CCL25	0.06516988316608696
miR-378	GSN	0.2587338040449172
miR-378	CCL20	0.08175559309197311
miR-378	GDF15	0.07782542269006676
miR-378	OSM	0.08927991736712748
miR-378	KLK11	0.12562865037737492
miR-126	IL15RA	0.044645073477197705
miR-126	CFI	0.11373320266866749
miR-126	APOM	0.10278168893476192
miR-126	CXCL6	0.36779934673637626
miR-126	THBD	0.18691146228074018
miR-126	FGA	0.1693405116489375
miR-126	MMP7	0.0891480871818775
miR-126	PLAUR	0.05409787929299892
miR-126	miR-24	1.350568038624945
miR-126	KLKB1	0.12419845974191013
miR-335	IGHM	0.12714228179583031
miR-335	NGF	0.06574806678441636
miR-335	LTA	0.1194143230352882
miR-335	HBEGF	0.44690800632711447
miR-335	miR-146a	1.2376174862020504
miR-335	CPN2	0.13202597536699745
miR-335	VTN	0.11517393326086545
miR-335	TEK	0.0563981504107236
miR-335	PF4	0.6987084066080245
miR-197	AZGP1	0.17880402594289624
miR-197	PAPPA	0.06742093015814188
miR-197	miR-92a	0.9752571057145651
miR-197	miR-155	0.43010914516346155
miR-197	miR-24	1.1883828400997443
miR-197	KITLG	0.17891219152772297
miR-24	miR-223	1.531445736133204
miR-24	miR-197	1.1946926117349417
miR-24	CD274	0.6273538623063573
miR-24	miR-146a	1.3914007740788152
miR-24	TNFSF14	0.34112578424349493
miR-24	JCHAIN	0.11063549376659498
miR-24	ITIH4	0.1443618419438737
miR-24	miR-126	1.3538708335644287
miR-24	miR-21	1.1015601550352754
miR-24	IL10RB	0.047282868286294466
miR-122	U6	0.13576748597126986
miR-122	CXCL9	0.07000994339350619
miR-122	FCN3	0.26762583322190103
miR-122	CCL4L1	0.08463123608242373
miR-122	PLAT	0.12235479544228411
miR-122	SLC4A1	0.09837699386424781
miR-122	CX3CL1	0.062432721930471224
miR-122	FGF5	0.1092738931681847
miR-122	NPPB	0.10212293306818321
miR-122	IGHG2	0.12232219084662344
miR-122	TNFSF10	0.07364349211170662
miR-122	TNFSF11	0.1094654605687948
miR-122	CTSD	0.12000325261904266
miR-122	FGG	0.10872783581152934
miR-122	PLAUR	0.05122809675573503
miR-122	AZGP1	0.1542944359923739
miR-122	CDCP1	0.0875477820143793
miR-122	LTA	0.0533340160821707
miR-122	CHI3L1	0.09761849330381622
miR-122	SERPING1	0.0921101383770182
miR-122	CFH	0.14177218508645062
miR-122	CFI	0.13796493452094793
miR-122	AFM	0.19624767831053358
miR-122	PLG	0.08591425250531959
miR-122	HPR	0.10096400383318471
miR-122	CPN2	0.148350219574219
miR-122	CST5	0.0779326961204978
miR-122	C2	0.114366095251901
miR-122	KLK6	0.0595438949095044
miR-122	C3	0.15440422409729404
miR-122	VTN	0.2819124146313081
miR-122	C5	0.09051595110176347
miR-122	CCL7	0.18664238885661177
miR-122	APOB	0.15535471160328385
miR-122	SERPIND1	0.13010093209976503
miR-122	IL10RB	0.06350332238608747
miR-122	TNFRSF9	0.07010104711135323
miR-122	TNFSF12	0.16412068402884383
miR-122	GH1	0.061506234899183276
miR-122	miR-378	0.2935487912760344
miR-122	GDNF	0.07430062419038386
miR-122	APOC2	0.1194005345632414
miR-122	TEK	0.05222821237785347
miR-122	SHBG	0.16428075715863866
miR-122	CCL28	0.18808974507006493
miR-155	IGHG4	0.17958990842142342
miR-155	miR-197	0.4241763238466234
miR-155	miR-150	0.48669562853694703
miR-155	LPA	0.12779223179882404
miR-155	CFH	0.10317965908524762
miR-155	ERVMER34-1	0.10688118404009384
miR-155	BDNF	0.04550616561696863
miR-155	LEP	0.05247478678899231
miR-320	SERPING1	0.13381295436543272
miR-320	miR-146a	1.1651585419475916
miR-320	SELE	0.10858674860102102
miR-320	TF	0.14306297968832649
miR-320	miR-92a	1.0058623596336922
miR-320	GPX3	0.18322831836570685
miR-320	CCL2	0.08503368560992897
miR-320	ABCF1	0.18445981295021951
miR-320	AGRP	0.04450375586542865
miR-150	NT-pro-BNP	0.10553393979382619
miR-150	U6	0.4408448257625528
miR-150	ORM1	0.1214381523925212
miR-150	PGLYRP2	0.18595477958645112
miR-150	CLU	0.1533410117812295
miR-150	NPPB	0.16536638124174807
miR-150	FGG	0.10687120578934461
miR-150	SERPINF2	0.1789991685218979
miR-150	miR-155	0.48669562853694703
miR-150	SELENOP	0.15041306775574004
miR-150	SELPLG	0.07969912338319762
miR-150	RETN	0.10043701044850906
miR-150	ITIH1	0.17498759875622572
miR-150	S100A12	0.08245816178586285
miR-150	APOB	0.14165455384704995
miR-150	GC	0.15771919818681734
miR-150	miR-378	0.3574476345889783
miR-150	LRG1	0.2482447317532399
miR-150	C1QC	0.12590517710186155
miR-195	HBD	0.08558730498553224
miR-195	miR-92a	0.8407427683110571
miR-195	HBA1	0.3919930960559572
miR-195	MMP10	0.07690967116191416
miR-195	CCL13	0.20336235474483377
miR-195	FBLN1	0.13825871141641777
miR-195	CCL7	0.05056445028367307
miR-195	EIF4EBP1	0.5115873111985225
miR-195	VEGFD	0.13827082099725452
miR-195	CD5	0.08821356849060269
miR-195	FGF19	0.051533434358643326
miR-195	ADA	0.15286859319192203
miR-21	IL6R	0.059397661880980834
miR-21	KNG1	0.05146528926143379
miR-21	APOB	0.14166904287537374
miR-21	SLAMF1	0.049385058802038806
miR-21	miR-27b	1.0322694659245704
miR-21	IL6	0.07929454201860509
miR-21	GDNF	0.05689749730717697
miR-21	PRL	0.07661784619608003
miR-21	MMP1	0.38867774683525
miR-21	SIRT2	0.8330473436778858
miR-21	PECAM1	0.41773513246570015
miR-21	C1S	0.11643906644830082
miR-21	miR-24	1.1215854420394482
miR-21	STOM	0.2004184465369736
miR-21	CCL23	0.05054485360858063
miR-21	VEGFA	0.18400215134863362
miR-21	APOC2	0.15013303359222796
miR-21	CD244	0.3408275345162659
miR-92a	CSF1	0.09868401631472867
miR-92a	MPO	0.0707304493085088
miR-92a	IL1R1	0.10738890239820531
miR-92a	HGF	0.14152698497130967
miR-92a	miR-197	0.9752571057145651
miR-92a	miR-195	0.8099690541727682
