Regulator	Target	MI
miR-126*	SERPINF1	0.10974206276248832
miR-126*	MMP12	0.06772050913042094
miR-126*	miR-126	0.984531768696324
miR-223*	LIFR	0.05074374597661091
miR-223*	CFI	0.1170763797711194
miR-223*	miR-146a	0.7400611772330459
miR-223*	C2	0.2559162795204166
miR-223*	IGHA2	0.14085049935895544
miR-223*	CCL13	0.07021325682272828
miR-146a	FGF5	0.0669905848351302
miR-146a	IL1R1	0.09178220242011381
miR-146a	SERPING1	0.12807643989420914
miR-146a	LPA	0.18829362287547902
miR-146a	A1BG	0.1974121782561511
miR-146a	APOM	0.17839529499258155
miR-146a	C7	0.08168605673110196
miR-146a	miR-320	1.1549621076177807
miR-146a	IGHA1	0.13121630342861135
miR-146a	miR-27b	1.0172995768930884
miR-146a	miR-335	1.1815360803483363
miR-146a	IL7	0.32213234780847344
miR-146a	CXCL6	0.33772223093869336
miR-146a	HSPB1	0.7742900252329239
miR-146a	IL27	0.07097872087562251
miR-146a	CXCL5	0.47408641048833733
miR-146a	THBD	0.1350847176057428
miR-146a	CASP8	0.5227949071132381
miR-146a	DNER	0.0979654663978593
miR-146a	APOA1	0.25707330543241014
miR-146a	SIRT2	0.866862459823996
miR-146a	PECAM1	0.38442325209859174
miR-146a	HBEGF	0.4171899055362118
miR-146a	ITIH4	0.14301505298554673
miR-146a	SRC	0.7362720372064349
miR-146a	miR-24	1.4046533409552824
miR-146a	ERVMER34-1	0.1150065082874221
miR-146a	EGF	0.594482533883971
miR-146a	APOC2	0.11294184441266797
miR-146a	APOC1	0.08485527719576602
miR-27b	CD40	0.31973319464554795
miR-27b	PRL	0.0794480487895104
miR-27b	miR-148a	0.8125264851150602
miR-27b	IL6R	0.11008517459035971
miR-27b	IL16	0.0847640824052398
miR-27b	SAA4	0.12581621195905868
miR-27b	miR-146a	1.0172995768930875
miR-27b	CCL8	0.12472776251921491
miR-27b	miR-21	1.044032616051731
miR-27b	TGFB1	0.3682739146149867
miR-27b	TNFRSF9	0.1530016057852599
miR-148a	IGHG1	0.1263680006947272
miR-148a	FLT3LG	0.05278939210697242
miR-148a	PAPPA	0.08728984010064611
miR-148a	Total-IGHG	0.16981818390462777
miR-148a	miR-27b	0.8207224623804592
miR-148a	GDNF	0.04662109731995123
miR-148a	REN	0.06231372115894107
miR-148a	CCL23	0.05962656442895753
miR-148a	VEGFD	0.09156601216968685
miR-148a	IL17C	0.0477195522123397
miR-28-3p	miR-223	1.365384926861533
miR-28-3p	F2R	0.47506377801466293
miR-28-3p	PRAP1	0.12089855325558752
miR-28-3p	PGF	0.08301402055408236
miR-28-3p	FGF23	0.047038807329180976
miR-28-3p	CXCL8	0.13149267847549861
miR-28-3p	SERPINA1	0.19505042649830617
miR-28-3p	ADM	0.15735735846221033
miR-28-3p	C1QB	0.1357833231851293
miR-28-3p	CD5L	0.15820113554984072
miR-28-3p	ABCF1	0.17138589609326882
miR-223	IL12B	0.11015515514475549
miR-223	DKK1	0.43771213373527207
miR-223	miR-191	1.3970200161243076
miR-223	HPR	0.1037686247808507
miR-223	IKBKG	0.5153879375414867
miR-223	FGG	0.16553021513947552
miR-223	AXIN1	0.5126929071644843
miR-223	miR-28-3p	1.365384926861534
miR-223	miR-24	1.4177374746948495
miR-223	CD6	0.08389456960180475
miR-223	CD244	0.27509345730965773
miR-223	PF4	0.6850465257092102
miR-378	IGHM	0.08745203706150395
miR-378	CCL4L1	0.08688433833004083
miR-378	HGF	0.1616356999956654
miR-378	miR-122	0.3348995197268705
miR-378	CCL4	0.14797400422965
