Regulator	Target	MI
miR-126*	IGHG2	0.1446726531515221
miR-126*	TNFRSF10B	0.09434033079665927
miR-126*	NGF	0.11417032466508203
miR-126*	MMP12	0.08178996665722327
miR-126*	miR-126	1.0622245639430092
miR-126*	APOC3	0.141403254366665
miR-126*	IL18R1	0.08352752588008183
miR-223*	MPO	0.07616083662051576
miR-223*	miR-223	0.7893803725717081
miR-223*	IGHG4	0.12700757757288006
miR-223*	TGFA	0.04632680373870013
miR-223*	VTN	0.15196020016489165
miR-223*	APOE	0.10716850477756346
miR-223*	FASN	0.10447461765341082
miR-223*	FGF19	0.10653136277492337
miR-223*	IGHM	0.12176856519506263
miR-223*	CXCL9	0.12753623585111917
miR-223*	TNFRSF1A	0.13842732174526695
miR-223*	GAL	0.052287840977177424
miR-223*	miR-150	0.267181258422009
miR-223*	ITIH4	0.27850738343123904
miR-223*	CCL11	0.0642621537294561
miR-223*	SERPINC1	0.1378876065940302
miR-223*	SAA4	0.1336782387009885
miR-223*	RETN	0.07781959902020752
miR-223*	XPNPEP2	0.054917144691024156
miR-223*	CCL28	0.1365364435277332
miR-146a	PLAT	0.05607506360489811
miR-146a	miR-223	1.2649486330271786
miR-146a	HGF	0.07716373506961549
miR-146a	F2R	0.51409545938278
miR-146a	CFB	0.17425172292317637
miR-146a	Total-IGHG	0.14448905285096458
miR-146a	TGFB1	0.44949388162553827
miR-146a	TNFSF14	0.32852750557738375
miR-146a	miR-335	1.089371454229454
miR-146a	HSPB1	0.7086345661190823
miR-146a	ADM	0.1362657278699384
miR-146a	SERPINA7	0.21509608710817485
miR-146a	CXCL5	0.4174898754855807
miR-146a	CASP8	0.608863715218817
miR-146a	SIRT2	0.8943710154996092
miR-146a	SRC	0.7502721303995576
miR-146a	TTR	0.22813440961941112
miR-146a	CD40LG	0.6639332432335454
miR-146a	C1QC	0.16699209905246626
miR-27b	F13A1	0.2968903167177217
miR-27b	IL1R1	0.07954286661994381
miR-27b	SERPING1	0.1970878432395482
miR-27b	CXCL6	0.3194241788848746
miR-27b	SERPINA1	0.1660390533472924
miR-27b	GPX3	0.2000600597224098
miR-27b	PLAUR	0.0516698805773137
miR-27b	APOA4	0.13994891915226937
miR-27b	CST5	0.05141722158977391
miR-27b	miR-126	0.9600261788270927
miR-27b	CCL2	0.10681020812516451
miR-148a	HBE1	0.17471726438703783
miR-148a	FLT3LG	0.04861612065238852
miR-148a	HPR	0.12657654948318786
miR-148a	IGHA2	0.11915871325854166
miR-148a	BDNF	0.055559120271856166
miR-148a	TNFRSF9	0.09238962342808232
miR-148a	ITIH2	0.19936373358195159
miR-148a	AFM	0.1679891093940462
miR-148a	miR-21	0.9349941222527294
miR-148a	CCL25	0.06574882419146011
miR-148a	CMA1	0.06089739094648827
miR-148a	CD6	0.04811897779916485
miR-148a	CD5	0.06019023125605649
miR-28-3p	SPON1	0.05941634675755747
miR-28-3p	miR-223	1.4027215382149851
miR-28-3p	TNFSF11	0.08179903548981304
