Regulator	Target	MI
miR-126*	CXCL9	0.12865233341097326
miR-126*	PRL	0.08657767065153354
miR-126*	OLR1	0.08021262271119411
miR-126*	APOA1	0.09166090397141424
miR-126*	TIMELESS	0.08348307750913353
miR-126*	C1QB	0.10657903238745536
miR-126*	TNFRSF11B	0.07968582428696624
miR-126*	CST5	0.06738032806202021
miR-126*	C2	0.10180805038676244
miR-126*	CCL8	0.10542569071880248
miR-126*	C7	0.09742541412703698
miR-126*	miR-24	0.9806915678780728
miR-126*	VEGFA	0.13833272998831259
miR-126*	CCL28	0.10878673243314818
miR-223*	GAL	0.15296889039829065
miR-223*	miR-197	0.8533322279339712
miR-223*	PAPPA	0.05112158226382402
miR-223*	CHI3L1	0.0845146127518257
miR-223*	SERPING1	0.1078957985212714
miR-223*	C1S	0.13744901160083955
miR-223*	AFM	0.08056804852802735
miR-223*	CPN2	0.10925334080947291
miR-223*	IGHA2	0.09377733187807813
miR-223*	CCL20	0.09521085722561295
miR-223*	GDNF	0.05342094160013211
miR-146a	FCN3	0.057409247442482325
miR-146a	SPON1	0.10400341292606274
miR-146a	FGF5	0.08703500556982569
miR-146a	IL6R	0.11176251515246527
miR-146a	SERPINF1	0.10002586414563908
miR-146a	F2R	0.5195950995497931
miR-146a	STAMBP	0.6660345561146954
miR-146a	CD274	0.6078812513541276
miR-146a	TGFA	0.0920993731653148
miR-146a	APOE	0.13791040346722028
miR-146a	miR-335	1.0579378430507997
miR-146a	THRB	0.0670215349429899
miR-146a	CXCL1	0.5400154043962608
miR-146a	SERPINA6	0.07853995006956982
miR-146a	C8A	0.07066164841895706
miR-146a	THBD	0.13784816864394056
miR-146a	CASP8	0.4980476856025611
miR-146a	CTSL	0.06635743270212657
miR-146a	MB	0.11278737172764686
miR-146a	GPX3	0.12375770579940415
miR-146a	AXIN1	0.5662756384158723
miR-146a	PLAUR	0.0772424112120822
miR-146a	TNFRSF1A	0.057210412864106885
miR-146a	ITGB1BP2	0.5613622795501101
miR-146a	HBEGF	0.3738873305860926
miR-146a	miR-24	1.2588492452535318
miR-146a	ABCF1	0.10358181981480641
miR-146a	OSM	0.1064821865836354
miR-27b	U6	0.15615131663653692
miR-27b	ORM2	0.09026228427605076
miR-27b	IL1R1	0.061404107059815694
miR-27b	TNFRSF1B	0.0947602958677205
miR-27b	PRAP1	0.058731881236233185
miR-27b	CLEC3B	0.10337538166209992
miR-27b	CCL2	0.07529410354423316
miR-27b	miR-21	0.9587864500319672
miR-27b	MUC16	0.06897803317968165
miR-27b	CD5	0.1228060066196921
miR-148a	CXCL8	0.08019753917621308
miR-148a	APOA4	0.07510096794511067
miR-148a	SELENOP	0.05146821903196841
miR-148a	CFB	0.056734357055570506
