Regulator	Target	MI
miR-126*	NPPB	0.14443462735463708
miR-126*	IL12B	0.045933714486978694
miR-126*	SELENOP	0.2204256263720108
miR-126*	C6	0.14878402765328858
miR-126*	TGFB1	0.464521958483596
miR-126*	TNFSF12	0.06649230501065428
miR-126*	FASN	0.09118255320485957
miR-126*	SERPINA7	0.09717696687461697
miR-126*	MMP10	0.12326359929227149
miR-126*	CCL13	0.165194404743791
miR-126*	CST5	0.051184656356065616
miR-126*	miR-126	1.108487336732293
miR-126*	CCL8	0.1596263047711881
miR-126*	ABCF1	0.2023052375044525
miR-126*	XPNPEP2	0.08186903227598297
miR-223*	RNASE3	0.10143192851376082
miR-223*	miR-197	0.9147056696360076
miR-223*	C5	0.20140434710969757
miR-223*	GDNF	0.08309412207725853
miR-223*	ADA	0.11105180127384529
miR-223*	CHI3L1	0.08972145854835123
miR-223*	miR-150	0.3288972519918465
miR-146a	CXCL16	0.13161282713532607
miR-146a	TNFSF11	0.08247151286315635
miR-146a	IL15RA	0.10717062320251447
miR-146a	STAMBP	0.7960407843499704
miR-146a	SULT1A1	0.6110380131620943
miR-146a	CXCL11	0.19631148951355382
miR-146a	TF	0.1542348669170801
miR-146a	miR-335	1.2185729408290058
miR-146a	CD40	0.4417557359274875
miR-146a	THRB	0.15385660634671083
miR-146a	ORM2	0.1660316597628393
miR-146a	AXIN1	0.6048162171848261
miR-146a	ITGB1BP2	0.6415794263339283
miR-146a	miR-24	1.374353700390893
miR-146a	APOL1	0.13091234640363592
miR-146a	EGF	0.6288117433094857
miR-146a	CD244	0.33399980114549166
miR-27b	CSF1	0.14717624625319736
miR-27b	MPO	0.06585985490865731
miR-27b	HGF	0.06482638656930728
miR-27b	PDGFB	0.05275507094846432
miR-27b	PSPHP1	0.1882309126440731
miR-27b	SERPINA6	0.13705419937106722
miR-27b	MMP1	0.22587846052951388
miR-27b	HBEGF	0.35840439968161775
miR-27b	miR-21	1.175286395339839
miR-27b	CMA1	0.0442249818611975
miR-27b	CD5	0.14637809120050704
miR-27b	IL18R1	0.11042501723557763
miR-148a	PLAT	0.23701569986408888
miR-148a	FGF5	0.17109687089301318
miR-148a	IL1R1	0.08345205777209941
miR-148a	FLT3LG	0.055460675217973154
miR-148a	LIFR	0.0825507653694304
miR-148a	IGHA2	0.143133143293797
miR-148a	SLAMF1	0.0645181946258866
miR-148a	CXCL8	0.1505048909196285
miR-148a	TNFRSF1B	0.08822855490755543
miR-148a	CSTB	0.17159434333370616
miR-148a	miR-126	0.8823294178189531
miR-148a	miR-122	0.20436047707451177
miR-148a	SERPIND1	0.21606998669778843
miR-148a	CCL28	0.09955782940858793
miR-148a	IL17C	0.045495972172471255
miR-28-3p	miR-223	1.3297233468078717
miR-28-3p	IGHG4	0.17645328691516315
miR-28-3p	LPA	0.12265874247333564
miR-28-3p	miR-320	1.10816729489515
miR-28-3p	S100A12	0.049340441687496295
miR-28-3p	NT-pro-BNP	0.055745746662654305
miR-28-3p	CXCL6	0.34951530045050383
miR-28-3p	CTSD	0.1316781347875402
miR-28-3p	GDF15	0.08988096849427762
miR-223	PGLYRP2	0.21187874582690913
miR-223	CLU	0.14331821333504813
miR-223	DKK1	0.46269308017645994
miR-223	miR-191	1.4408642749788028
miR-223	CD274	0.5708300573801495
miR-223	TNFSF14	0.34246712519233125
miR-223	JCHAIN	0.15115619987918105
miR-223	APOA2	0.15864792424043284
miR-223	C1QB	0.12552451829844813
miR-223	miR-28-3p	1.3527300942492344
miR-223	miR-24	1.4730713529722275
miR-223	AGT	0.17564765931290705
miR-378	miR-195	0.43481144300320373
miR-378	Total-IGHG	0.2073063749525419
miR-378	IL16	0.09746891372088129
miR-378	CCL3	0.10649195848149873
miR-378	LRG1	0.13528750760870523
miR-126	miR-126*	1.1015418461766728
miR-126	miR-148a	0.8837498423277843
miR-126	miR-195	0.7918516551670134
miR-126	CFH	0.18538303422606184
miR-126	CFI	0.2319238258251124
miR-126	TGFA	0.15547944049583684
miR-126	HPR	0.15677702699496532
miR-126	BDNF	0.07604662187611311
miR-126	CXCL10	0.10596637793025998
miR-126	miR-335	1.1819009430527476
miR-126	PRL	0.10938208627189372
miR-126	FGG	0.15863649565858573
miR-126	PECAM1	0.37592284419031685
miR-126	C1R	0.16408928304049386
miR-126	SERPINC1	0.07668286970988447
miR-126	SAA4	0.20542555549687957
miR-126	CPN2	0.1656984454594781
miR-126	miR-24	1.383841068434589
miR-126	STOM	0.23839566262935463
miR-126	miR-21	1.1150689870681312
miR-126	GC	0.1537716834403442
miR-126	VEGFA	0.17607957023750487
miR-335	IGHG1	0.16804402124390005
miR-335	HBE1	0.19433985131709086
miR-335	SERPINF2	0.2112751272964868
miR-335	AZGP1	0.1581129086814359
miR-335	TIMELESS	0.07524251537784643
miR-335	miR-146a	1.2184610706087353
miR-335	APOM	0.12097041433071887
miR-335	APOB	0.2098769679325585
miR-335	IL7	0.35343506620785003
miR-335	FGF19	0.061652456394437394
miR-335	ORM1	0.12499588081280866
miR-335	HSPB1	0.8231506653241558
miR-335	CXCL1	0.5619884276787497
miR-335	CXCL5	0.4968657129301919
miR-335	AHSG	0.1581069301928073
miR-335	APOA1	0.18631108579770572
miR-335	APOA4	0.20868944589630356
miR-335	NGF	0.13181968421336698
miR-335	CD5L	0.2123233075308102
miR-335	miR-126	1.1999417789919544
miR-335	ERVMER34-1	0.175980574145993
miR-335	OSM	0.08696635953206844
miR-335	KITLG	0.08165765625704147
miR-335	CD40LG	0.7228947238241403
miR-335	APOC2	0.15168222929980768
miR-335	KLKB1	0.13350967459613905
miR-335	PF4	0.7291704864302595
miR-197	miR-223*	0.9109954409539851
miR-197	C4BPA	0.18744307306397268
miR-197	TNFSF10	0.09932484022148014
miR-197	RBP4	0.23868516742513712
miR-197	miR-191	1.1682751760913863
miR-197	AGER	0.12214470021302937
miR-197	TNFRSF10B	0.09950604739487634
miR-197	CP	0.1430713312815275
miR-197	SHBG	0.22499266527093376
miR-197	U6	0.34136339248944125
miR-197	C8A	0.1350835868927751
miR-197	miR-92a	0.8650352996050836
miR-197	MMP3	0.05456751205166732
miR-197	GAL	0.10849665318047741
miR-197	GSN	0.1159932694244521
miR-24	IGHG3	0.11633827786267048
miR-24	miR-223	1.4698358812416155
miR-24	IGHG2	0.14050805071351835
miR-24	F2R	0.5357941320734376
miR-24	miR-146a	1.3762443356684226
miR-24	APOE	0.13791320377105531
miR-24	AMBP	0.138930648357241
miR-24	MRS2	0.18152567190615798
miR-24	SERPINA3	0.21965259497731537
miR-24	IKBKG	0.583444793097132
miR-24	SIRT2	0.8485022525022563
miR-24	SRC	0.7574080470275648
miR-24	miR-126	1.3887714534769326
miR-24	IL10RB	0.07711210647202282
miR-24	TEK	0.05830610892277566
miR-122	FCN3	0.34758169527484206
miR-122	CLU	0.16014083877774699
miR-122	miR-148a	0.2028985744254479
miR-122	IGHG3	0.137230620747693
miR-122	IGHG2	0.10371136579026707
miR-122	FST	0.08049278114893532
miR-122	PGF	0.044299949978777065
miR-122	CFB	0.08124856949594683
miR-122	CFI	0.13999442569686948
miR-122	FBLN1	0.19097188901573325
miR-122	KNG1	0.11436186597151288
miR-122	VTN	0.25136561576955163
miR-122	APOH	0.13955773560662177
miR-122	APOD	0.1402779642569012
miR-122	AMBP	0.1729265144106522
miR-122	CP	0.08172960641832638
miR-122	SELE	0.12868327372658772
miR-122	GH1	0.07152767402255567
miR-122	IL6	0.06575348930255398
miR-122	TF	0.12948153573993526
miR-122	ALB	0.1407201674759886
miR-122	SHBG	0.19191344270115973
miR-122	SERPINA3	0.08853219097995169
miR-122	U6	0.19597885962006067
miR-122	CXCL9	0.06453857291433351
miR-122	CX3CL1	0.08397359038715635
miR-122	MMP10	0.05826057745611202
miR-122	GAL	0.06985625767173431
miR-122	C1QB	0.08693728345925233
miR-122	ITIH4	0.15304191349609741
miR-122	SELPLG	0.09115263356923098
miR-122	AFM	0.27208612571377166
miR-122	RETN	0.053715787486279254
miR-122	CST5	0.06190793173750908
miR-122	CCL4	0.08231490402623454
miR-122	CCL20	0.1032832688004568
miR-122	APOC3	0.14013771961818566
miR-122	VEGFD	0.04388155211695288
miR-122	LRG1	0.17772522665317592
miR-122	C1QC	0.14779272161596602
miR-155	FCN3	0.1716895264308853
miR-155	PRAP1	0.1431530354540671
miR-155	PGF	0.07386298184820461
miR-155	CFB	0.08587260108924966
miR-155	A1BG	0.1534509717074588
miR-155	KNG1	0.1440107231849046
miR-155	C2	0.09389692644667313
miR-155	C3	0.1360379595046748
miR-155	APOD	0.15499705847019207
miR-155	HRG	0.1694149732943746
miR-155	U6	0.48342061510642864
miR-155	IL27	0.07976999379536398
miR-155	ESM1	0.05905650614332458
miR-155	miR-92a	0.3728738788351791
miR-155	IL10	0.07889754786256198
miR-155	MMP12	0.057052359667285835
miR-155	miR-150	0.35144840364105256
miR-155	ITIH2	0.16575802194265865
miR-155	ITIH1	0.12225550508298522
miR-155	KLKB1	0.12375587097355378
miR-320	TNFRSF11B	0.07057750063748269
miR-320	C7	0.13806463902267563
miR-320	miR-92a	0.9693990173929219
miR-320	C1S	0.13186879539966512
miR-320	PLG	0.15981660311146229
miR-320	miR-28-3p	1.1127794866742464
miR-320	FABP4	0.1070132943372677
miR-150	miR-223*	0.33320920133893495
miR-150	IGHG1	0.18907906880366987
miR-150	SERPINF2	0.12063205652581122
miR-150	MUC16	0.07861290775800889
miR-150	PSPHP1	0.18429296690655939
miR-150	U6	0.5778704559021914
miR-150	SERPINA1	0.15167641738116888
miR-150	FGA	0.26645435473836354
miR-150	FGG	0.22867777383762178
miR-150	TNFRSF1B	0.1095329198452557
miR-150	miR-155	0.35144840364105256
miR-150	CLEC3B	0.14412733361255547
miR-150	CCL4	0.08428193474085521
miR-150	CCL20	0.10856986290426196
miR-150	CD6	0.1587521124370177
miR-150	APOC1	0.16073999999114097
miR-150	PTX3	0.04783918390426489
miR-195	SERPINF1	0.1351293316409361
miR-195	KLK6	0.05171326712784463
miR-195	EIF4EBP1	0.524565687972367
miR-195	MB	0.084814045900516
miR-195	miR-92a	0.8141497642402458
miR-195	HBA1	0.4859476510120313
miR-195	miR-126	0.7900871342966189
miR-195	miR-378	0.43527679726681523
miR-21	SLC4A1	0.10790372827936867
miR-21	FST	0.050221687040045815
miR-21	FBLN1	0.11798536491633804
miR-21	VTN	0.1686268048799917
miR-21	IGHA1	0.11310458149970604
miR-21	FN1	0.17545145996119516
miR-21	miR-27b	1.1572248792893935
miR-21	REN	0.05076285071093878
miR-21	IGHM	0.12054477358440963
miR-21	CXCL9	0.08515499266387483
miR-21	HBD	0.19603500468557034
miR-21	CASP8	0.6011138664782205
miR-21	CTSL	0.07611294514005351
miR-21	OLR1	0.13282793227758471
miR-21	MMP7	0.08770947241376348
miR-21	PLAUR	0.10328038793165284
miR-21	miR-126	1.113409147102388
miR-21	TTR	0.22737768460147034
miR-21	CCL2	0.08035621615650257
miR-21	IL10RA	0.07058138222365962
miR-21	APOC3	0.1543333359112573
miR-21	AGRP	0.08017351787517324
miR-21	C1QC	0.21325619702481546
miR-92a	F13A1	0.12751245242192155
miR-92a	miR-197	0.8650352996050836
miR-92a	SERPING1	0.17436685459839385
